layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.89452,1.87624,0.01828,102.65889,6.98901,0.85532,0.54460,0,0.05220,2.01575,13,169,16
0,1,5.04676,4.92111,0.12565,39.16540,7.09082,0.95602,0.58410,4,0.08394,1.88235,13,169,16
0,2,7.18475,5.60114,1.58361,3.53694,6.59600,1.73210,0.71232,4,0.03101,3.20000,13,169,16
0,3,6.35624,4.77810,1.57814,3.02768,6.55966,1.83011,0.72070,4,0.01380,3.12195,13,169,16
0,4,2.68709,2.63444,0.05266,50.03150,6.99588,0.89202,0.56694,0,0.06422,1.91045,13,169,16
0,5,4.38219,3.95887,0.42332,9.35194,7.07137,1.21286,0.57247,4,0.08132,1.85507,13,169,16
0,6,2.23394,2.16588,0.06805,31.82555,7.18228,0.97533,0.51800,0,0.06632,1.76552,13,169,16
0,7,3.97611,3.88997,0.08614,45.16092,7.24478,0.87086,0.52904,4,0.09012,1.69536,13,169,16
0,8,2.55547,2.40655,0.14892,16.16055,7.14135,1.39306,0.53951,0,0.06389,1.80282,13,169,16
0,9,3.72603,3.50721,0.21883,16.02736,7.09275,1.15999,0.57521,4,0.08314,1.82857,13,169,16
0,10,9.94373,8.07977,1.86396,4.33473,6.66207,1.53030,0.70335,4,0.01363,2.81319,13,169,16
0,11,5.78539,4.96304,0.82234,6.03526,6.87090,1.52017,0.64753,4,0.05383,2.30631,13,169,16
1,0,3.13770,2.83620,0.30150,9.40684,6.98216,1.29850,0.59691,0,0.06362,2.08130,13,169,16
1,1,8.25350,7.15080,1.10270,6.48484,6.59710,1.36276,0.71823,4,0.01700,3.20000,13,169,16
1,2,5.33641,4.78545,0.55096,8.68574,6.74148,1.42984,0.66228,4,0.05668,2.43810,13,169,16
1,3,5.75571,4.95949,0.79623,6.22873,6.37925,1.54684,0.72415,4,0.03328,3.24051,13,169,16
1,4,10.01372,8.86479,1.14892,7.71575,6.64701,1.35710,0.70607,4,0.01373,2.94253,13,169,16
1,5,4.43764,4.04866,0.38898,10.40841,6.93387,1.33048,0.61362,4,0.06947,1.96923,13,169,16
1,6,14.12211,11.67119,2.45092,4.76195,5.10928,1.60435,0.88979,4,0.00155,11.13043,13,169,16
1,7,4.25532,3.80737,0.44795,8.49954,6.62477,1.45325,0.66572,4,0.05672,2.53465,13,169,16
1,8,2.54607,2.38030,0.16577,14.35928,7.06901,1.35319,0.56700,0,0.06661,1.93939,13,169,16
1,9,3.97034,3.50385,0.46649,7.51102,6.64249,1.53666,0.67315,4,0.04759,2.69474,13,169,16
1,10,5.75003,4.89940,0.85064,5.75968,6.45834,1.59360,0.71975,4,0.03380,3.20000,13,169,16
1,11,4.07810,3.77317,0.30493,12.37400,7.13508,1.20068,0.56893,4,0.07488,1.84173,13,169,16
2,0,18.89916,16.87271,2.02646,8.32620,6.28458,1.16957,0.74022,4,0.00002,3.32468,13,169,16
2,1,6.86316,6.01776,0.84539,7.11830,6.67386,1.50952,0.69854,4,0.03138,2.78261,13,169,16
2,2,8.16489,6.88515,1.27973,5.38014,5.98285,1.57964,0.78206,4,0.02922,5.81818,13,169,16
2,3,4.03827,3.56868,0.46959,7.59961,6.63862,1.50018,0.68175,4,0.05076,2.78261,13,169,16
2,4,4.94337,4.37676,0.56661,7.72451,6.68910,1.46017,0.67295,4,0.04464,2.53465,13,169,16
2,5,3.48355,3.21444,0.26910,11.94496,6.96177,1.35658,0.60800,0,0.05643,2.09836,13,169,16
2,6,6.11536,5.50649,0.60887,9.04386,6.87879,1.34298,0.64521,4,0.05249,2.26549,13,169,16
2,7,4.58223,4.00794,0.57428,6.97902,6.64168,1.53475,0.66918,4,0.05368,2.50980,13,169,16
2,8,4.41351,4.02422,0.38930,10.33715,6.92097,1.38815,0.61623,4,0.07186,2.03175,13,169,16
2,9,18.58541,16.62745,1.95797,8.49219,6.32698,1.16777,0.73758,4,0.00002,3.32468,13,169,16
2,10,5.75484,5.27698,0.47786,11.04292,6.93797,1.28026,0.63421,4,0.04719,2.22609,13,169,16
2,11,5.84516,5.31255,0.53261,9.97452,6.85542,1.33502,0.64622,4,0.06778,2.37037,13,169,16
3,0,6.46446,5.65571,0.80875,6.99317,6.42881,1.41189,0.74925,4,0.00898,3.32468,13,169,16
3,1,3.75904,3.38374,0.37529,9.01622,6.96109,1.44218,0.61309,4,0.06126,2.04800,13,169,16
3,2,3.47673,3.11910,0.35763,8.72160,7.10898,1.53201,0.57003,0,0.06973,1.85507,13,169,16
3,3,4.62664,3.76556,0.86108,4.37305,6.97650,1.65231,0.61573,4,0.04065,2.06452,13,169,16
3,4,4.10480,3.77309,0.33171,11.37476,6.92928,1.27741,0.61889,4,0.06501,2.08130,13,169,16
3,5,10.16784,8.68393,1.48392,5.85204,6.55156,1.41530,0.72416,4,0.01139,3.16049,13,169,16
3,6,3.29124,2.74689,0.54435,5.04621,6.81596,1.58275,0.64138,0,0.04523,2.34862,13,169,16
3,7,4.19465,3.72207,0.47258,7.87610,6.82380,1.40882,0.64968,4,0.04998,2.34862,13,169,16
3,8,5.96374,5.53631,0.42744,12.95238,7.00191,1.24714,0.62044,4,0.05239,2.20690,13,169,16
3,9,9.03042,7.98286,1.04756,7.62046,6.60972,1.34671,0.71503,4,0.01011,2.87640,13,169,16
3,10,5.30300,4.91590,0.38709,12.69954,7.05949,1.34117,0.60301,4,0.06542,2.03175,13,169,16
3,11,4.71298,4.07740,0.63558,6.41524,6.79021,1.60529,0.66587,4,0.03284,2.53465,13,169,16
4,0,9.06719,7.48146,1.58572,4.71801,6.48251,1.55759,0.72550,4,0.03593,3.32468,13,169,16
4,1,3.62875,3.48164,0.14711,23.66714,6.98561,1.17376,0.60894,4,0.05400,2.11570,13,169,16
4,2,5.86084,5.02784,0.83301,6.03576,6.76623,1.49364,0.66591,4,0.05449,2.50980,13,169,16
4,3,12.19477,9.96577,2.22901,4.47095,5.80602,1.62354,0.82607,4,0.00230,5.01961,13,169,16
4,4,4.42408,4.22586,0.19822,21.31875,7.00517,1.01267,0.60894,4,0.06032,2.03175,13,169,16
4,5,9.95671,8.42860,1.52811,5.51571,6.43498,1.54840,0.74835,4,0.01971,3.60563,13,169,16
4,6,7.66051,6.54391,1.11660,5.86058,6.67050,1.54669,0.68724,4,0.03344,2.56000,13,169,16
4,7,9.69921,8.28643,1.41278,5.86536,6.38803,1.48203,0.75618,4,0.01380,3.71014,13,169,16
4,8,7.25188,5.98190,1.26998,4.71024,6.42757,1.64465,0.72382,4,0.03991,3.24051,13,169,16
4,9,5.28765,4.59172,0.69593,6.59799,6.67719,1.52092,0.66624,4,0.05387,2.48544,13,169,16
4,10,5.94386,5.23654,0.70732,7.40335,6.62042,1.39446,0.69991,4,0.02226,2.75269,13,169,16
4,11,7.64161,6.54451,1.09710,5.96529,6.67987,1.47591,0.70046,4,0.01901,2.78261,13,169,16
5,0,7.47505,5.97068,1.50437,3.96889,6.43311,1.70897,0.74420,4,0.01695,3.45946,13,169,16
5,1,12.57747,10.30393,2.27353,4.53212,5.38297,1.63087,0.85546,4,0.00656,10.24000,13,169,16
5,2,5.17234,4.61761,0.55473,8.32410,6.69854,1.39932,0.66598,4,0.05758,2.43810,13,169,16
5,3,6.52247,5.70379,0.81867,6.96713,6.59199,1.44709,0.70321,4,0.03107,2.81319,13,169,16
5,4,5.69308,4.85512,0.83796,5.79396,6.72729,1.55122,0.66506,4,0.06315,2.43810,13,169,16
5,5,11.05335,8.91879,2.13456,4.17829,5.55104,1.66254,0.84035,4,0.01236,8.25806,13,169,16
5,6,9.89723,8.25113,1.64610,5.01254,5.90812,1.61013,0.81094,4,0.00755,4.74074,13,169,16
5,7,10.38710,8.84644,1.54066,5.74198,6.12685,1.52833,0.79687,4,0.00813,4.57143,13,169,16
5,8,6.78558,5.62625,1.15933,4.85303,6.43945,1.64285,0.73369,4,0.02915,3.50685,13,169,16
5,9,10.92655,9.33527,1.59128,5.86652,6.52503,1.44810,0.73076,4,0.01151,3.28205,13,169,16
5,10,6.83520,5.91630,0.91890,6.43842,6.69317,1.50154,0.69635,4,0.01978,2.78261,13,169,16
5,11,9.87099,8.29909,1.57191,5.27963,6.05881,1.56346,0.79994,4,0.01489,5.44681,13,169,16
6,0,11.03354,9.53180,1.50174,6.34717,6.19572,1.46580,0.78129,4,0.01492,4.19672,13,169,16
6,1,6.73566,5.97009,0.76557,7.79827,6.81998,1.43327,0.66369,4,0.05338,2.53465,13,169,16
6,2,7.10518,5.95576,1.14943,5.18150,6.62131,1.51539,0.70954,4,0.01895,2.87640,13,169,16
6,3,10.25394,8.46842,1.78552,4.74282,5.98767,1.60496,0.81375,4,0.00550,4.74074,13,169,16
6,4,8.71227,7.50506,1.20721,6.21685,6.31173,1.53733,0.75384,4,0.01920,3.50685,13,169,16
6,5,9.00517,7.80234,1.20283,6.48662,6.50406,1.49431,0.73297,4,0.01574,3.12195,13,169,16
6,6,7.92039,6.56226,1.35814,4.83181,6.35438,1.67236,0.75843,4,0.01617,3.76471,13,169,16
6,7,5.12737,4.51085,0.61653,7.31653,6.82353,1.51401,0.64086,4,0.05247,2.24561,13,169,16
6,8,6.60837,5.64035,0.96803,5.82666,6.41529,1.46152,0.74918,4,0.01776,3.76471,13,169,16
6,9,7.23208,6.12080,1.11128,5.50787,6.53798,1.63132,0.72773,4,0.01328,3.28205,13,169,16
6,10,9.71560,8.47005,1.24555,6.80025,6.35338,1.49606,0.76109,4,0.00885,3.55556,13,169,16
6,11,11.47749,9.88240,1.59509,6.19550,6.46202,1.40611,0.73780,4,0.00514,3.20000,13,169,16
7,0,8.53871,6.58968,1.94903,3.38100,6.57167,1.38947,0.71741,4,0.02111,2.84444,13,169,16
7,1,6.42213,5.62910,0.79302,7.09827,6.68319,1.51610,0.69241,4,0.02913,2.66667,13,169,16
7,2,7.45663,6.11128,1.34535,4.54253,6.57816,1.60643,0.71778,4,0.01715,3.04762,13,169,16
7,3,11.45840,9.18034,2.27806,4.02990,5.27988,1.69083,0.86216,4,0.00828,13.47368,13,169,16
7,4,9.08802,7.75022,1.33780,5.79328,6.69360,1.46963,0.69549,4,0.01108,2.58586,13,169,16
7,5,4.82797,4.40633,0.42164,10.45057,6.94740,1.34616,0.61914,4,0.06029,2.13333,13,169,16
7,6,12.63429,10.31729,2.31699,4.45289,5.24622,1.63814,0.86703,4,0.00628,13.47368,13,169,16
7,7,13.18713,10.26589,2.92124,3.51423,5.42999,1.70825,0.86545,4,0.00845,8.53333,13,169,16
7,8,8.77969,6.20634,2.57335,2.41178,6.42260,1.77148,0.74002,4,0.01785,3.41333,13,169,16
7,9,7.89427,6.58115,1.31312,5.01185,6.27596,1.63036,0.76948,4,0.01548,4.00000,13,169,16
7,10,9.68033,8.48222,1.19811,7.07968,6.58832,1.29743,0.71809,4,0.01697,3.28205,13,169,16
7,11,11.31613,9.21742,2.09871,4.39194,5.95341,1.61003,0.81483,4,0.00842,5.12000,13,169,16
8,0,7.39615,6.22300,1.17315,5.30453,6.38294,1.57116,0.74228,4,0.02730,3.36842,13,169,16
8,1,6.53905,4.95320,1.58585,3.12337,6.30032,1.78454,0.74596,4,0.03493,3.87879,13,169,16
