layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,57.952,1.0000,0.00002,0.00535,0.9744
0,0,0.20,47.187,0.9999,0.00025,0.01848,1.0000
0,0,0.30,41.493,0.9995,0.00091,0.03560,0.9487
0,0,0.40,37.163,0.9987,0.00210,0.05860,0.8535
0,0,0.50,33.957,0.9973,0.00507,0.08476,0.8278
0,1,0.10,51.677,0.9999,nan,0.02732,0.9487
0,1,0.20,42.581,0.9991,nan,0.07785,0.9487
0,1,0.30,38.108,0.9974,nan,0.13029,0.8352
0,1,0.40,35.226,0.9949,nan,0.18155,0.7839
0,1,0.50,32.069,0.9895,nan,0.26112,0.8095
0,2,0.10,60.598,1.0000,nan,0.00920,1.0000
0,2,0.20,52.829,1.0000,nan,0.02251,0.9487
0,2,0.30,46.543,0.9998,nan,0.04641,0.9487
0,2,0.40,41.912,0.9994,nan,0.07909,0.7839
0,2,0.50,38.789,0.9988,nan,0.11331,0.7839
0,3,0.10,66.535,1.0000,0.00050,0.00481,1.0000
0,3,0.20,56.402,1.0000,nan,0.01545,0.9744
0,3,0.30,50.781,0.9999,nan,0.02952,0.9487
0,3,0.40,44.700,0.9996,nan,0.05944,0.8974
0,3,0.50,39.245,0.9986,nan,0.11140,0.8974
0,4,0.10,63.432,1.0000,0.00004,0.00714,1.0000
0,4,0.20,50.702,0.9998,0.00074,0.03093,0.9487
0,4,0.30,46.242,0.9994,0.00249,0.05169,0.8974
0,4,0.40,42.219,0.9984,0.00472,0.08214,0.8718
0,4,0.50,39.086,0.9967,0.00865,0.11781,0.7839
0,5,0.10,60.155,1.0000,0.00018,0.01117,0.9744
0,5,0.20,51.162,0.9998,0.00136,0.03147,0.9487
0,5,0.30,44.575,0.9991,0.00595,0.06718,0.9231
0,5,0.40,39.679,0.9972,nan,0.11803,0.8791
0,5,0.50,36.529,0.9942,nan,0.16964,0.8022
0,6,0.10,55.045,1.0000,0.00009,0.00856,0.9487
0,6,0.20,45.433,0.9998,0.00060,0.02587,0.9487
0,6,0.30,39.883,0.9992,nan,0.04902,0.8718
0,6,0.40,35.123,0.9977,nan,0.08478,0.8718
0,6,0.50,31.678,0.9949,nan,0.12607,0.7949
0,7,0.10,51.521,0.9999,nan,0.02403,0.9487
0,7,0.20,42.843,0.9992,nan,0.06526,0.9231
0,7,0.30,37.901,0.9976,nan,0.11527,0.8974
0,7,0.40,34.060,0.9942,nan,0.17938,0.8278
0,7,0.50,31.028,0.9883,nan,0.25431,0.7692
0,8,0.10,53.906,1.0000,0.00014,0.01178,1.0000
0,8,0.20,45.553,0.9997,nan,0.03083,0.9487
0,8,0.30,41.315,0.9993,nan,0.05022,0.9487
0,8,0.40,37.499,0.9983,nan,0.07792,0.9487
0,8,0.50,33.590,0.9958,nan,0.12221,0.8022
0,9,0.10,52.649,0.9999,0.00031,0.01690,0.9487
0,9,0.20,45.533,0.9997,0.00176,0.03834,0.8974
0,9,0.30,40.349,0.9991,0.00677,0.06963,0.8278
0,9,0.40,35.985,0.9975,nan,0.11508,0.8791
0,9,0.50,32.644,0.9945,nan,0.16908,0.8278
0,10,0.10,67.494,1.0000,nan,0.00512,1.0000
0,10,0.20,56.492,1.0000,nan,0.01818,0.9231
0,10,0.30,47.576,0.9998,nan,0.05075,0.8974
0,10,0.40,40.927,0.9991,nan,0.10911,0.8095
0,10,0.50,36.812,0.9976,nan,0.17523,0.8095
0,11,0.10,58.083,1.0000,nan,0.01354,1.0000
0,11,0.20,51.060,0.9999,nan,0.03039,0.9487
0,11,0.30,44.679,0.9995,nan,0.06335,0.8974
0,11,0.40,39.900,0.9985,nan,0.10982,0.8974
0,11,0.50,36.445,0.9966,nan,0.16347,0.8278
1,0,0.10,56.508,1.0000,0.00008,0.01044,1.0000
1,0,0.20,48.496,0.9998,0.00067,0.02626,0.9487
1,0,0.30,42.677,0.9994,0.00307,0.05131,0.8974
1,0,0.40,38.791,0.9986,0.00689,0.08025,0.8974
1,0,0.50,35.939,0.9972,0.01199,0.11145,0.8205
1,1,0.10,64.913,1.0000,nan,0.00683,1.0000
1,1,0.20,55.026,1.0000,nan,0.02131,0.9231
1,1,0.30,47.581,0.9998,nan,0.05021,0.8974
1,1,0.40,43.051,0.9994,nan,0.08458,0.8095
1,1,0.50,38.225,0.9983,nan,0.14743,0.7262
1,2,0.10,61.697,1.0000,0.00014,0.00879,1.0000
1,2,0.20,51.980,0.9999,0.00170,0.02691,0.9231
1,2,0.30,47.290,0.9998,nan,0.04617,0.9487
1,2,0.40,42.614,0.9993,nan,0.07909,0.8974
1,2,0.50,38.428,0.9981,nan,0.12807,0.7656
1,3,0.10,59.856,1.0000,nan,0.00938,1.0000
1,3,0.20,50.672,0.9999,nan,0.02699,0.9744
1,3,0.30,45.507,0.9997,nan,0.04892,0.9487
1,3,0.40,40.994,0.9992,nan,0.08225,0.8974
1,3,0.50,38.703,0.9987,nan,0.10707,0.8718
1,4,0.10,62.050,1.0000,nan,0.01021,0.9560
1,4,0.20,54.393,1.0000,nan,0.02466,0.8535
1,4,0.30,46.683,0.9998,nan,0.05990,0.6825
1,4,0.40,41.360,0.9992,nan,0.11056,0.6313
1,4,0.50,36.917,0.9977,nan,0.18438,0.6001
1,5,0.10,57.755,1.0000,nan,0.01343,0.9487
1,5,0.20,50.648,0.9999,nan,0.03045,0.9744
1,5,0.30,44.869,0.9995,nan,0.05923,0.8791
1,5,0.40,40.108,0.9985,nan,0.10247,0.8205
1,5,0.50,36.324,0.9965,nan,0.15843,0.8352
1,6,0.10,86.430,1.0000,nan,0.00062,1.0000
1,6,0.20,74.294,1.0000,nan,0.00250,0.9487
1,6,0.30,67.322,1.0000,nan,0.00558,0.8535
1,6,0.40,60.402,1.0000,nan,0.01238,0.8095
1,6,0.50,55.340,1.0000,nan,0.02217,0.7070
