layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.89452,1.65122,0.24330,6.78668,7.22917,-0.00000,0.55865,0,0.03560,1.77778,13,169,16
0,1,5.04676,2.81441,2.23235,1.26074,7.39049,-0.00000,0.49440,0,0.13029,1.47126,13,169,16
0,2,7.18475,4.87902,2.30573,2.11604,6.84642,-0.00000,0.65737,0,0.04641,2.48544,13,169,16
0,3,6.35624,4.31002,2.04622,2.10633,6.86893,-0.00000,0.65445,0,0.02952,2.34862,13,169,16
0,4,2.68709,1.86047,0.82662,2.25071,7.33082,-0.00000,0.51980,0,0.05169,1.66234,13,169,16
0,5,4.38220,2.44621,1.93599,1.26355,7.29784,-0.00000,0.52649,0,0.06718,1.63057,13,169,16
0,6,2.23394,1.65086,0.58308,2.83127,7.38065,-0.00000,0.50739,0,0.04902,1.57055,13,169,16
0,7,3.97611,2.29280,1.68331,1.36208,7.46502,-0.00000,0.46285,0,0.11527,1.43017,13,169,16
0,8,2.55547,2.01294,0.54253,3.71028,7.28858,-0.00000,0.54014,0,0.05022,1.66234,13,169,16
0,9,3.72603,2.15709,1.56894,1.37487,7.37087,-0.00000,0.50419,0,0.06963,1.58025,13,169,16
0,10,9.94373,5.38297,4.56076,1.18028,6.95557,-0.00000,0.63843,0,0.05075,2.24561,13,169,16
0,11,5.78539,3.33667,2.44872,1.36262,7.14694,-0.00000,0.57803,0,0.06335,1.84173,13,169,16
1,0,3.13770,2.29949,0.83822,2.74331,7.23271,-0.00000,0.55453,0,0.05131,1.75342,13,169,16
1,1,8.25350,4.35127,3.90222,1.11508,6.95093,-0.00000,0.63854,0,0.05021,2.26549,13,169,16
1,2,5.33641,3.58509,1.75132,2.04707,6.97915,-0.00000,0.61152,0,0.04617,1.92481,13,169,16
1,3,5.75571,4.18755,1.56817,2.67035,6.90893,-0.00000,0.62817,0,0.04892,2.11570,13,169,16
1,4,10.01372,4.43862,5.57510,0.79615,7.04562,-0.00000,0.61553,1,0.05990,2.20690,13,169,16
1,5,4.43764,2.87006,1.56757,1.83090,7.21734,-0.00000,0.55465,0,0.05923,1.67320,13,169,16
1,6,14.12211,9.12862,4.99349,1.82810,5.86876,-0.00000,0.82286,0,0.00558,5.33333,13,169,16
1,7,4.25533,3.18846,1.06687,2.98861,6.97351,-0.00000,0.61633,0,0.04403,2.04800,13,169,16
1,8,2.54607,1.95309,0.59297,3.29372,7.31898,-0.00000,0.52469,0,0.06324,1.58025,13,169,16
1,9,3.97034,3.07916,0.89118,3.45513,6.84668,-0.00000,0.64533,0,0.03678,2.24561,13,169,16
1,10,5.75003,3.70488,2.04515,1.81154,6.92778,-0.00000,0.62962,0,0.04278,2.11570,13,169,16
1,11,4.07810,2.36327,1.71484,1.37813,7.27904,-0.00000,0.53810,0,0.08095,1.65161,13,169,16
2,0,18.89917,7.22818,11.67099,0.61933,7.14103,-0.00000,0.58794,1,0.09058,2.00000,13,169,16
2,1,6.86316,4.01093,2.85223,1.40624,6.91654,-0.00000,0.64019,0,0.03998,2.20690,13,169,16
2,2,8.16489,5.58940,2.57549,2.17022,6.34993,-0.00000,0.73904,0,0.02237,3.55556,13,169,16
2,3,4.03827,2.94789,1.09038,2.70355,7.00278,-0.00000,0.60865,0,0.05286,1.95420,13,169,16
2,4,4.94337,3.31669,1.62668,2.03894,7.11119,-0.00000,0.57667,0,0.06842,1.77778,13,169,16
2,5,3.48355,2.40561,1.07794,2.23168,7.19552,-0.00000,0.56480,0,0.05182,1.81560,13,169,16
2,6,6.11536,3.27476,2.84059,1.15284,7.15431,-0.00000,0.58102,0,0.06916,1.88235,13,169,16
2,7,4.58223,3.10037,1.48186,2.09222,7.12776,-0.00000,0.57294,0,0.06142,1.79021,13,169,16
2,8,4.41351,3.03725,1.37627,2.20688,7.13477,-0.00000,0.57673,0,0.04871,1.76552,13,169,16
2,9,18.58542,7.09176,11.49366,0.61701,7.13621,-0.00000,0.58926,1,0.09029,2.00000,13,169,16
2,10,5.75485,3.51128,2.24357,1.56504,7.13373,-0.00000,0.57581,0,0.08158,1.81560,13,169,16
