layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9095,7.1410,18.89917,0.5879,2.0000,1
2,9,0.9095,7.1362,18.58542,0.5893,2.0000,1
7,3,0.8289,5.8088,11.45840,0.8241,5.9535,1
8,6,0.8289,5.8798,11.54005,0.8139,6.0952,1
11,3,0.8187,6.2173,9.55338,0.7692,4.7407,4
11,10,0.8187,6.2284,9.98576,0.7740,4.4912,5
10,5,0.8163,6.2333,16.74780,0.7762,4.8302,1
10,9,0.8163,6.3695,16.73608,0.7578,3.8788,1
5,10,0.8141,7.0096,6.83520,0.6224,2.2069,1
6,9,0.8141,6.7781,7.23208,0.6761,2.6122,1
11,5,0.8112,6.1936,10.78935,0.7753,5.0196,2
11,4,0.8098,6.3179,8.91716,0.7498,4.3390,3
11,7,0.8076,6.0167,11.90986,0.8017,5.8182,2
11,11,0.8011,5.9933,12.36706,0.8075,5.6889,1
11,1,0.8010,6.1614,10.22821,0.7813,4.9231,2
9,6,0.8001,6.1756,9.18867,0.7702,4.4138,3
5,6,0.7963,6.3806,9.89723,0.7402,3.5556,1
6,3,0.7963,6.5728,10.25394,0.7160,3.0843,1
5,0,0.7932,6.7126,7.47506,0.6901,2.6947,2
6,6,0.7932,6.7339,7.92040,0.6812,2.7234,2
5,3,0.7843,7.0031,6.52247,0.6196,2.0813,1
6,2,0.7843,6.9531,7.10519,0.6358,2.2261,1
1,4,0.7796,7.0456,10.01372,0.6155,2.2069,1
3,5,0.7796,7.0705,10.16784,0.6070,2.0813,1
5,11,0.7787,6.6048,9.87099,0.7095,3.0118,1
7,8,0.7787,6.8403,8.77969,0.6619,2.4615,1
9,0,0.7761,6.7668,8.65896,0.6757,2.5347,1
9,7,0.7761,6.8210,7.96437,0.6546,2.3063,1
5,8,0.7646,6.8849,6.78558,0.6433,2.2456,1
10,4,0.7612,6.9871,10.11085,0.6258,2.2261,1
10,6,0.7612,6.9884,10.57027,0.6280,2.2261,1
4,11,0.7566,7.0849,7.64162,0.5980,1.9542,1
7,2,0.7566,6.8805,7.45663,0.6487,2.2655,2
1,5,0.7468,7.2173,4.43764,0.5546,1.6732,1
3,7,0.7468,7.1200,4.19465,0.5810,1.8156,1
6,8,0.7404,6.7637,6.60838,0.6798,2.6122,1
9,3,0.7404,6.6493,6.64931,0.6776,2.6122,1
10,3,0.7355,6.6718,7.35744,0.6882,2.9091,1
11,0,0.7355,6.6050,7.87244,0.7036,2.9425,1
0,0,0.0000,7.2292,1.89452,0.5587,1.7778,0
0,1,0.0000,7.3905,5.04676,0.4944,1.4713,0
0,2,0.0000,6.8464,7.18475,0.6574,2.4854,0
0,3,0.0000,6.8689,6.35624,0.6544,2.3486,0
0,4,0.0000,7.3308,2.68709,0.5198,1.6623,0
0,5,0.0000,7.2978,4.38220,0.5265,1.6306,0
0,6,0.0000,7.3807,2.23394,0.5074,1.5706,0
0,7,0.0000,7.4650,3.97611,0.4628,1.4302,0
0,8,0.0000,7.2886,2.55547,0.5401,1.6623,0
0,9,0.0000,7.3709,3.72603,0.5042,1.5802,0
0,10,0.0000,6.9556,9.94373,0.6384,2.2456,0
0,11,0.0000,7.1469,5.78539,0.5780,1.8417,0
1,0,0.0000,7.2327,3.13770,0.5545,1.7534,0
1,1,0.0000,6.9509,8.25350,0.6385,2.2655,0
1,2,0.0000,6.9791,5.33641,0.6115,1.9248,0
1,3,0.0000,6.9089,5.75571,0.6282,2.1157,0
1,6,0.0000,5.8688,14.12211,0.8229,5.3333,0
1,7,0.0000,6.9735,4.25533,0.6163,2.0480,0
1,8,0.0000,7.3190,2.54607,0.5247,1.5802,0
1,9,0.0000,6.8467,3.97034,0.6453,2.2456,0
1,10,0.0000,6.9278,5.75003,0.6296,2.1157,0
1,11,0.0000,7.2790,4.07810,0.5381,1.6516,0
2,1,0.0000,6.9165,6.86316,0.6402,2.2069,0
2,2,0.0000,6.3499,8.16489,0.7390,3.5556,0
2,3,0.0000,7.0028,4.03827,0.6086,1.9542,0
2,4,0.0000,7.1112,4.94337,0.5767,1.7778,0
2,5,0.0000,7.1955,3.48355,0.5648,1.8156,0
2,6,0.0000,7.1543,6.11536,0.5810,1.8824,0
2,7,0.0000,7.1278,4.58223,0.5729,1.7902,0
2,8,0.0000,7.1348,4.41351,0.5767,1.7655,0
2,10,0.0000,7.1337,5.75485,0.5758,1.8156,0
2,11,0.0000,7.0609,5.84516,0.5972,1.9104,0
3,0,0.0000,6.8520,6.46446,0.6634,2.4381,0
3,1,0.0000,7.0599,3.75904,0.5986,1.9394,0
3,2,0.0000,7.2785,3.47674,0.5349,1.6516,0
3,3,0.0000,7.0376,4.62665,0.6124,2.0157,0
3,4,0.0000,7.1862,4.10480,0.5626,1.7067,0
3,6,0.0000,7.1385,3.29124,0.5685,1.7181,0
3,8,0.0000,7.1777,5.96375,0.5694,1.7655,0
3,9,0.0000,6.9245,9.03042,0.6449,2.3063,0
3,10,0.0000,7.2557,5.30300,0.5493,1.6842,0
3,11,0.0000,7.0175,4.71298,0.6108,1.9845,0
4,0,0.0000,6.5995,9.06719,0.7039,2.9767,0
4,1,0.0000,7.3080,3.62875,0.5234,1.6306,0
4,2,0.0000,6.9351,5.86084,0.6273,2.1157,0
4,3,0.0000,6.2728,12.19478,0.7653,3.7101,0
4,4,0.0000,7.3302,4.42408,0.5208,1.5802,0
4,5,0.0000,6.5966,9.95672,0.7139,3.0476,0
4,6,0.0000,6.7321,7.66051,0.6789,2.6392,0
4,7,0.0000,6.8300,9.69921,0.6673,2.4854,0
4,8,0.0000,6.8295,7.25188,0.6471,2.2655,0
4,9,0.0000,6.9319,5.28765,0.6267,2.1333,0
4,10,0.0000,7.0219,5.94386,0.6127,2.0984,0
5,1,0.0000,5.9830,12.57747,0.8009,5.0196,0
5,2,0.0000,7.0981,5.17234,0.5885,1.8963,0
5,4,0.0000,7.0077,5.69308,0.6093,1.9542,0
5,5,0.0000,6.0874,11.05335,0.7873,4.5714,0
5,7,0.0000,6.8060,10.38710,0.6720,2.5600,0
5,9,0.0000,7.0085,10.92655,0.6249,2.1513,0
6,0,0.0000,6.7109,11.03355,0.6844,2.6667,0
6,1,0.0000,7.1665,6.73566,0.5781,1.8824,0
6,4,0.0000,6.7550,8.71227,0.6750,2.4854,0
6,5,0.0000,6.8783,9.00517,0.6503,2.3063,0
6,7,0.0000,6.9596,5.12738,0.6162,2.0480,0
6,10,0.0000,6.8556,9.71560,0.6573,2.3925,0
6,11,0.0000,7.0132,11.47750,0.6212,2.1880,0
7,0,0.0000,6.8047,8.53871,0.6686,2.3925,0
7,1,0.0000,7.0821,6.42213,0.5966,1.9542,0
7,4,0.0000,6.9444,9.08802,0.6356,2.1695,0
7,5,0.0000,7.1687,4.82797,0.5640,1.7534,0
7,6,0.0000,5.8559,12.63429,0.8171,6.2439,0
7,7,0.0000,6.0743,13.18713,0.7951,4.6545,0
7,9,0.0000,6.6329,7.89427,0.6978,2.8132,0
7,10,0.0000,6.9615,9.68033,0.6355,2.1880,0
7,11,0.0000,6.5173,11.31613,0.7284,3.1605,0
8,0,0.0000,6.7826,7.39615,0.6648,2.3925,0
8,1,0.0000,6.5829,6.53905,0.6880,2.8444,0
8,2,0.0000,6.1898,12.20986,0.7719,4.2667,0
8,3,0.0000,6.8209,6.19402,0.6524,2.4151,0
8,4,0.0000,6.8359,9.24283,0.6576,2.3486,0
8,5,0.0000,6.8084,8.87158,0.6686,2.5859,0
8,7,0.0000,7.2484,4.12946,0.5426,1.7534,0
8,8,0.0000,7.2083,3.44607,0.5543,1.8028,0
8,9,0.0000,6.9048,5.31478,0.6393,2.2655,0
8,10,0.0000,6.9640,8.86146,0.6325,2.2069,0
8,11,0.0000,6.9598,7.16746,0.6311,2.1333,0
9,1,0.0000,6.7488,6.17356,0.6788,2.6122,0
9,2,0.0000,7.0553,4.21310,0.6017,2.0000,0
9,4,0.0000,6.6569,6.51242,0.6862,2.6122,0
9,5,0.0000,7.3030,4.42833,0.5253,1.5610,0
9,8,0.0000,7.2789,6.02019,0.5427,1.7534,0
9,9,0.0000,5.5613,12.66940,0.8519,7.7576,0
9,10,0.0000,7.1755,4.98328,0.5690,1.8286,0
9,11,0.0000,6.9941,3.72576,0.6194,2.0645,0
10,0,0.0000,7.0955,4.14957,0.5916,1.8963,0
10,1,0.0000,6.1694,21.77409,0.7857,4.7407,0
10,2,0.0000,6.9432,9.33372,0.6394,2.1880,0
10,7,0.0000,6.7926,8.62326,0.6710,2.5600,0
10,8,0.0000,6.9061,7.73357,0.6459,2.3063,0
10,10,0.0000,7.2074,5.82645,0.5639,1.7902,0
10,11,0.0000,6.6685,10.70848,0.6972,2.8444,0
11,2,0.0000,6.8595,5.14134,0.6413,2.2655,0
11,6,0.0000,6.2689,9.19578,0.7658,4.4138,0
11,8,0.0000,7.0641,6.41622,0.5963,1.9248,0
11,9,0.0000,6.9789,4.36261,0.6152,2.1157,0
