layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,3.98744,2.31494,1.67250,1.8601,7.1833,0.0000,0.5681,0.05405,0.2764
1,12,5.77304,2.97296,2.80008,1.3236,6.9154,0.0000,0.6280,0.04534,0.4330
2,12,7.76010,3.45614,4.30396,0.9946,6.8276,0.0000,0.6566,0.03585,0.5000
3,12,5.17841,2.63286,2.54555,1.1609,7.0349,0.0000,0.6095,0.04739,0.4714
4,12,6.52505,3.41072,3.11432,1.1268,6.9279,0.0000,0.6293,0.05021,0.4330
5,12,8.54609,4.38596,4.16013,1.0824,6.5916,0.0000,0.7006,0.03148,0.3727
6,12,7.71131,3.90697,3.80433,1.0375,6.7718,0.0000,0.6698,0.03890,0.4930
7,12,8.50104,4.47955,4.02149,1.1675,6.6517,0.0000,0.6828,0.03850,0.4714
8,12,7.31573,3.88447,3.43126,1.2569,6.7955,0.0000,0.6524,0.04454,0.4714
9,12,6.53299,3.42630,3.10669,1.2530,6.8730,0.0000,0.6419,0.04663,0.4930
10,12,11.88974,6.19200,5.69774,1.1668,6.7971,0.0000,0.6674,0.04650,0.4714
11,12,13.68607,7.10095,6.58512,1.0842,6.6414,0.0000,0.6996,0.03910,0.3727
