layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.058,0.9999,0.00010,0.01191,0.9524
0,0,0.20,45.737,0.9997,0.00050,0.02767,0.9524
0,0,0.30,40.565,0.9991,0.00178,0.05019,0.9048
0,0,0.40,36.901,0.9978,0.00352,0.07652,0.8571
0,0,0.50,33.369,0.9951,0.00783,0.11493,0.8095
0,1,0.10,54.724,1.0000,0.00016,0.01244,1.0000
0,1,0.20,45.561,0.9997,nan,0.03572,0.9762
0,1,0.30,38.384,0.9984,nan,0.08162,0.9762
0,1,0.40,34.331,0.9959,nan,0.13014,0.8571
0,1,0.50,30.680,0.9905,nan,0.19812,0.7619
0,2,0.10,67.408,1.0000,nan,0.00559,1.0000
0,2,0.20,57.590,1.0000,0.00208,0.01730,1.0000
0,2,0.30,50.929,0.9999,nan,0.03725,0.9762
0,2,0.40,46.892,0.9997,nan,0.05928,0.9048
0,2,0.50,43.163,0.9993,nan,0.09107,0.7755
0,3,0.10,74.084,1.0000,0.00009,0.00221,1.0000
0,3,0.20,63.201,1.0000,0.00065,0.00772,0.9762
0,3,0.30,56.058,1.0000,nan,0.01757,0.9524
0,3,0.40,49.296,0.9999,nan,0.03828,0.9286
0,3,0.50,44.650,0.9996,nan,0.06536,0.9048
0,4,0.10,61.342,1.0000,0.00007,0.00996,1.0000
0,4,0.20,52.542,0.9998,0.00046,0.02743,0.9524
0,4,0.30,46.695,0.9993,0.00227,0.05377,0.8333
0,4,0.40,42.286,0.9982,0.00608,0.08933,0.8095
0,4,0.50,39.970,0.9969,0.00956,0.11663,0.7798
0,5,0.10,55.244,0.9999,nan,0.01698,1.0000
0,5,0.20,46.906,0.9996,nan,0.04435,0.9762
0,5,0.30,42.279,0.9990,nan,0.07555,0.9048
0,5,0.40,38.044,0.9973,nan,0.12303,0.8163
0,5,0.50,34.147,0.9934,nan,0.19269,0.7925
0,6,0.10,60.270,1.0000,0.00008,0.00898,1.0000
0,6,0.20,49.276,0.9998,0.00207,0.03184,0.9762
0,6,0.30,44.194,0.9992,0.00393,0.05715,0.9524
0,6,0.40,40.500,0.9982,0.00698,0.08744,0.9524
0,6,0.50,36.909,0.9958,0.01452,0.13220,0.9286
0,7,0.10,56.713,1.0000,nan,0.01437,0.9762
0,7,0.20,48.771,0.9998,nan,0.03584,0.9524
0,7,0.30,43.469,0.9992,nan,0.06600,0.9116
0,7,0.40,38.697,0.9976,nan,0.11433,0.7925
0,7,0.50,34.519,0.9938,nan,0.18493,0.7211
0,8,0.10,57.189,1.0000,0.00024,0.01237,1.0000
0,8,0.20,48.063,0.9997,0.00137,0.03538,0.9762
0,8,0.30,43.699,0.9991,0.00459,0.05847,1.0000
0,8,0.40,40.023,0.9979,nan,0.08928,0.8810
0,8,0.50,37.427,0.9962,nan,0.12039,0.8401
0,9,0.10,53.733,1.0000,0.00026,0.01319,1.0000
0,9,0.20,44.822,0.9997,0.00202,0.03679,0.9524
0,9,0.30,39.055,0.9989,nan,0.07146,0.9048
0,9,0.40,35.165,0.9972,nan,0.11183,0.9048
0,9,0.50,31.724,0.9939,0.02489,0.16620,0.7687
0,10,0.10,75.343,1.0000,nan,0.00226,0.9762
0,10,0.20,65.416,1.0000,0.00150,0.00710,0.9762
0,10,0.30,59.165,1.0000,nan,0.01457,0.9762
0,10,0.40,52.254,0.9999,nan,0.03230,0.8878
0,10,0.50,44.884,0.9996,nan,0.07545,0.7585
0,11,0.10,56.050,1.0000,nan,0.01654,0.9762
0,11,0.20,48.337,0.9997,nan,0.04020,1.0000
0,11,0.30,42.526,0.9989,nan,0.07849,0.9524
0,11,0.40,37.838,0.9969,nan,0.13465,0.9286
0,11,0.50,34.718,0.9936,nan,0.19283,0.8333
1,0,0.10,55.385,1.0000,0.00040,0.01378,1.0000
1,0,0.20,46.171,0.9997,0.00246,0.03979,0.9286
1,0,0.30,40.634,0.9990,nan,0.07528,0.9048
1,0,0.40,36.349,0.9973,nan,0.12329,0.9048
1,0,0.50,33.484,0.9947,nan,0.17145,0.7925
1,1,0.10,86.613,1.0000,nan,0.00062,0.9762
1,1,0.20,72.895,1.0000,nan,0.00300,1.0000
1,1,0.30,64.959,1.0000,nan,0.00748,0.8878
1,1,0.40,56.210,1.0000,nan,0.02048,0.8104
1,1,0.50,48.438,0.9998,nan,0.05010,0.7287
1,2,0.10,58.978,1.0000,0.00024,0.01286,0.9762
1,2,0.20,50.474,0.9998,0.00172,0.03424,0.8810
1,2,0.30,45.923,0.9995,nan,0.05783,0.8571
1,2,0.40,41.241,0.9987,0.01298,0.09914,0.7517
1,2,0.50,37.677,0.9970,0.02428,0.14944,0.6981
1,3,0.10,64.509,1.0000,0.00024,0.00628,1.0000
1,3,0.20,53.128,0.9999,nan,0.02329,0.9762
1,3,0.30,46.404,0.9997,nan,0.05051,0.9286
1,3,0.40,41.401,0.9990,nan,0.08984,0.8810
1,3,0.50,37.523,0.9976,nan,0.14040,0.8333
1,4,0.10,89.361,1.0000,0.00005,0.00048,1.0000
1,4,0.20,77.051,1.0000,nan,0.00196,0.9354
1,4,0.30,67.341,1.0000,nan,0.00600,0.9048
1,4,0.40,58.469,1.0000,nan,0.01665,0.8333
1,4,0.50,50.250,0.9999,nan,0.04289,0.6743
1,5,0.10,59.326,1.0000,0.00024,0.01052,1.0000
1,5,0.20,48.805,0.9998,nan,0.03531,0.9762
1,5,0.30,43.167,0.9993,nan,0.06758,0.9524
1,5,0.40,38.283,0.9979,nan,0.11857,0.8231
1,5,0.50,34.819,0.9953,nan,0.17668,0.7925
1,6,0.10,113.302,1.0000,nan,0.00003,1.0000
1,6,0.20,101.872,1.0000,nan,0.00011,0.9762
1,6,0.30,89.148,1.0000,0.00008,0.00049,0.9524
1,6,0.40,82.161,1.0000,nan,0.00109,0.9524
1,6,0.50,74.246,1.0000,nan,0.00271,0.7857
1,7,0.10,64.914,1.0000,0.00011,0.00719,1.0000
1,7,0.20,54.678,0.9999,nan,0.02337,0.9762
1,7,0.30,48.156,0.9996,0.00310,0.04952,0.9524
1,7,0.40,43.596,0.9990,nan,0.08372,0.8707
1,7,0.50,40.325,0.9978,nan,0.12199,0.8639
1,8,0.10,55.285,1.0000,0.00018,0.01107,1.0000
1,8,0.20,47.256,0.9998,0.00120,0.02790,1.0000
1,8,0.30,42.406,0.9994,0.00320,0.04876,0.9762
1,8,0.40,37.966,0.9984,nan,0.08129,0.8810
1,8,0.50,33.764,0.9959,0.01538,0.13188,0.8333
1,9,0.10,60.270,1.0000,0.00017,0.00857,0.9762
1,9,0.20,52.438,0.9999,0.00072,0.02112,0.9762
1,9,0.30,47.785,0.9998,0.00223,0.03609,0.9524
1,9,0.40,42.806,0.9994,nan,0.06401,0.9286
1,9,0.50,38.541,0.9983,nan,0.10460,0.8401
1,10,0.10,62.798,1.0000,nan,0.00933,0.9762
1,10,0.20,53.918,0.9999,nan,0.02595,0.9524
1,10,0.30,48.353,0.9997,nan,0.04924,0.8810
1,10,0.40,43.569,0.9992,nan,0.08541,0.8571
1,10,0.50,39.800,0.9980,nan,0.13181,0.7755
1,11,0.10,54.386,0.9999,0.00079,0.01768,0.9762
1,11,0.20,46.126,0.9996,0.00338,0.04577,0.9524
1,11,0.30,41.140,0.9989,nan,0.08126,0.8810
1,11,0.40,37.170,0.9971,nan,0.12835,0.8163
1,11,0.50,33.714,0.9936,nan,0.19106,0.7143
2,0,0.10,153.447,1.0000,nan,0.00000,0.9762
2,0,0.20,147.140,1.0000,nan,0.00000,0.8750
2,0,0.30,137.880,1.0000,nan,0.00000,0.8469
2,0,0.40,120.257,1.0000,nan,0.00001,0.7823
2,0,0.50,103.573,1.0000,nan,0.00009,0.6641
2,1,0.10,73.777,1.0000,nan,0.00271,1.0000
2,1,0.20,62.878,1.0000,nan,0.00952,0.9286
2,1,0.30,57.426,1.0000,nan,0.01784,0.9286
2,1,0.40,51.396,0.9999,nan,0.03571,0.8707
2,1,0.50,45.004,0.9996,nan,0.07454,0.7755
2,2,0.10,69.169,1.0000,0.00026,0.00435,0.9762
2,2,0.20,59.339,1.0000,nan,0.01349,0.9762
2,2,0.30,53.156,0.9999,nan,0.02748,0.9286
2,2,0.40,47.960,0.9998,nan,0.04998,0.8639
2,2,0.50,44.086,0.9995,nan,0.07808,0.7857
2,3,0.10,67.110,1.0000,nan,0.00502,1.0000
2,3,0.20,55.088,1.0000,0.00117,0.02005,0.9524
2,3,0.30,48.892,0.9998,0.00423,0.04093,0.9286
2,3,0.40,44.633,0.9995,0.00844,0.06683,0.8639
2,3,0.50,41.360,0.9990,0.01693,0.09741,0.9048
2,4,0.10,62.796,1.0000,0.00044,0.00915,0.9286
2,4,0.20,53.479,0.9999,nan,0.02675,0.9524
2,4,0.30,47.141,0.9997,nan,0.05549,0.8299
2,4,0.40,42.584,0.9992,nan,0.09377,0.7696
2,4,0.50,38.558,0.9980,nan,0.14906,0.7585
2,5,0.10,61.943,1.0000,0.00016,0.00904,0.9762
2,5,0.20,51.971,0.9999,0.00126,0.02850,0.9286
2,5,0.30,46.745,0.9996,0.00435,0.05202,0.8810
2,5,0.40,42.202,0.9989,0.01187,0.08776,0.8333
2,5,0.50,38.644,0.9974,nan,0.13219,0.7925
2,6,0.10,60.908,1.0000,nan,0.01052,0.9762
2,6,0.20,52.186,0.9999,nan,0.02872,0.9286
2,6,0.30,46.898,0.9998,nan,0.05279,0.8810
2,6,0.40,42.991,0.9994,nan,0.08277,0.8878
2,6,0.50,39.317,0.9986,nan,0.12637,0.8231
2,7,0.10,65.377,1.0000,0.00007,0.00684,1.0000
2,7,0.20,55.181,0.9999,nan,0.02213,1.0000
2,7,0.30,50.284,0.9998,0.00233,0.03890,0.9048
2,7,0.40,44.086,0.9991,nan,0.07940,0.8512
2,7,0.50,39.906,0.9976,nan,0.12848,0.8231
2,8,0.10,60.103,1.0000,0.00053,0.01143,1.0000
2,8,0.20,50.671,0.9999,nan,0.03385,0.9524
2,8,0.30,44.474,0.9994,nan,0.06909,0.8571
2,8,0.40,40.015,0.9983,nan,0.11544,0.8571
2,8,0.50,36.524,0.9963,nan,0.17255,0.7449
2,9,0.10,152.769,1.0000,nan,0.00000,1.0000
2,9,0.20,145.504,1.0000,nan,0.00000,0.9524
2,9,0.30,134.778,1.0000,nan,0.00000,0.9048
2,9,0.40,119.050,1.0000,nan,0.00002,0.8639
2,9,0.50,104.910,1.0000,nan,0.00008,0.6769
2,10,0.10,68.007,1.0000,0.00010,0.00463,1.0000
2,10,0.20,57.456,1.0000,0.00071,0.01558,0.9524
2,10,0.30,52.233,0.9999,0.00202,0.02844,0.9524
2,10,0.40,47.768,0.9998,nan,0.04754,0.9286
2,10,0.50,43.123,0.9994,0.01390,0.08116,0.7823
2,11,0.10,66.168,1.0000,0.00009,0.00679,0.9762
2,11,0.20,53.760,0.9999,nan,0.02833,0.9286
2,11,0.30,47.657,0.9996,nan,0.05719,0.8651
2,11,0.40,42.605,0.9987,nan,0.10233,0.7993
2,11,0.50,38.539,0.9967,nan,0.16340,0.7766
3,0,0.10,86.012,1.0000,nan,0.00043,1.0000
3,0,0.20,73.091,1.0000,nan,0.00189,1.0000
3,0,0.30,65.099,1.0000,nan,0.00473,0.9524
3,0,0.40,56.939,1.0000,nan,0.01211,0.8810
3,0,0.50,50.067,0.9999,nan,0.02671,0.7619
3,1,0.10,60.708,1.0000,nan,0.00875,1.0000
3,1,0.20,51.020,0.9999,nan,0.02668,0.9524
3,1,0.30,44.195,0.9994,nan,0.05855,0.8571
3,1,0.40,40.166,0.9984,nan,0.09310,0.8163
3,1,0.50,36.367,0.9961,nan,0.14419,0.7517
3,2,0.10,58.982,1.0000,0.00049,0.01117,1.0000
3,2,0.20,48.837,0.9998,nan,0.03593,0.9762
3,2,0.30,42.981,0.9992,0.00886,0.07051,0.8810
3,2,0.40,39.252,0.9980,nan,0.10832,0.8810
3,2,0.50,35.801,0.9956,nan,0.16115,0.7993
3,3,0.10,65.815,1.0000,nan,0.00395,0.9762
3,3,0.20,55.269,1.0000,nan,0.01331,0.9592
3,3,0.30,48.084,0.9999,nan,0.03044,0.9354
3,3,0.40,42.605,0.9995,0.00985,0.05720,0.8274
3,3,0.50,37.796,0.9986,nan,0.09950,0.7585
3,4,0.10,60.036,1.0000,0.00028,0.00968,1.0000
3,4,0.20,48.763,0.9998,nan,0.03544,0.9762
3,4,0.30,43.465,0.9992,0.00551,0.06521,0.9286
3,4,0.40,39.296,0.9979,nan,0.10539,0.8707
3,4,0.50,35.561,0.9951,nan,0.16201,0.7347
3,5,0.10,87.383,1.0000,nan,0.00058,1.0000
3,5,0.20,72.785,1.0000,nan,0.00311,0.9762
3,5,0.30,66.029,1.0000,0.00134,0.00677,0.9524
3,5,0.40,61.143,1.0000,0.00304,0.01189,0.8810
3,5,0.50,54.464,1.0000,nan,0.02564,0.7857
3,6,0.10,58.588,1.0000,0.00039,0.00900,1.0000
3,6,0.20,49.106,0.9999,nan,0.02682,1.0000
3,6,0.30,42.060,0.9994,nan,0.06035,0.9286
3,6,0.40,37.005,0.9981,nan,0.10801,0.9048
3,6,0.50,32.710,0.9948,nan,0.17709,0.8639
3,7,0.10,55.797,1.0000,nan,0.01542,0.9762
3,7,0.20,48.173,0.9998,nan,0.03710,0.9524
3,7,0.30,43.066,0.9994,nan,0.06680,0.8095
3,7,0.40,38.927,0.9984,nan,0.10757,0.8333
3,7,0.50,35.847,0.9967,nan,0.15335,0.7517
3,8,0.10,60.100,1.0000,nan,0.01091,0.9524
3,8,0.20,52.098,0.9999,nan,0.02742,0.9116
3,8,0.30,47.432,0.9997,nan,0.04692,0.8878
3,8,0.40,42.658,0.9990,nan,0.08130,0.8878
3,8,0.50,38.162,0.9972,nan,0.13641,0.8036
