layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.66424,1.64745,0.01679,98.11175,7.03518,1.08142,0.52905,0,0.05019,1.95420,14,196,16
0,1,3.20850,2.97861,0.22989,12.95685,7.13132,1.17740,0.55923,0,0.08162,1.76552,14,196,16
0,2,7.03147,5.72736,1.30410,4.39181,6.69538,1.63500,0.69545,4,0.03725,2.87640,14,196,16
0,3,6.25206,4.87351,1.37855,3.53525,6.61162,1.80416,0.71052,4,0.01757,3.16049,14,196,16
0,4,2.47978,2.39519,0.08459,28.31526,6.89828,1.07508,0.59500,0,0.05377,2.04800,14,196,16
0,5,4.09777,3.77226,0.32551,11.58877,7.09124,1.12551,0.58450,4,0.07555,1.92481,14,196,16
0,6,2.38636,2.27178,0.11458,19.82622,7.00626,1.37299,0.59061,0,0.05715,2.06452,14,196,16
0,7,3.11581,3.06053,0.05527,55.37052,7.12303,1.05742,0.57410,4,0.06600,1.85507,14,196,16
0,8,2.30803,2.15644,0.15159,14.22555,7.05819,1.45271,0.56949,0,0.05847,2.03175,14,196,16
0,9,2.72864,2.61552,0.11312,23.12238,7.11023,1.20317,0.57001,4,0.07146,1.86861,14,196,16
0,10,9.27742,7.65215,1.62527,4.70825,6.62655,1.51046,0.71255,4,0.01457,3.08434,14,196,16
0,11,3.29926,3.11778,0.18148,17.17983,7.12498,1.23117,0.56736,4,0.07849,1.82857,14,196,16
1,0,3.40093,3.07783,0.32310,9.52593,7.05873,1.35555,0.58642,0,0.07528,1.95420,14,196,16
1,1,8.53919,7.39711,1.14209,6.47684,6.54386,1.36544,0.72720,4,0.00748,3.08434,14,196,16
1,2,4.21703,3.78463,0.43240,8.75262,6.83239,1.49131,0.64534,4,0.05783,2.30631,14,196,16
1,3,5.29803,4.70467,0.59336,7.92888,6.67508,1.39903,0.67364,4,0.05051,2.48544,14,196,16
1,4,10.23849,8.98582,1.25267,7.17336,6.53080,1.37076,0.72827,4,0.00600,3.20000,14,196,16
1,5,4.04983,3.66138,0.38846,9.42540,6.99808,1.33263,0.60224,4,0.06758,1.98450,14,196,16
1,6,14.69206,12.03158,2.66048,4.52234,4.71042,1.62523,0.91318,4,0.00049,16.00000,14,196,16
1,7,3.97747,3.55255,0.42492,8.36052,6.72743,1.44312,0.66237,4,0.04952,2.46154,14,196,16
1,8,2.60885,2.31750,0.29135,7.95428,6.90039,1.65208,0.60773,0,0.04876,2.11570,14,196,16
1,9,3.69312,3.28182,0.41130,7.97906,6.60116,1.50073,0.68829,4,0.03609,2.78261,14,196,16
