layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,3.98744,3.52238,0.46506,24.4444,6.9594,1.3105,0.6048,0.05517,1.9720
1,12,5.77304,5.04561,0.72742,8.4884,6.6214,1.4374,0.6712,0.04417,1.4907
2,12,7.76010,6.81810,0.94201,7.9772,6.5526,1.4156,0.7011,0.03668,0.0000
3,12,5.17841,4.57585,0.60256,9.2983,6.8024,1.4156,0.6565,0.04246,1.4907
4,12,6.52505,5.64677,0.87828,8.6390,6.5890,1.4310,0.6941,0.03955,1.1055
5,12,8.54609,7.21158,1.33451,5.7895,6.1573,1.5525,0.7660,0.02379,0.0000
6,12,7.71131,6.60554,1.10577,7.1593,6.4262,1.4781,0.7343,0.02695,0.0000
7,12,8.50104,7.07461,1.42643,6.5539,6.2371,1.5045,0.7484,0.02518,0.0000
8,12,7.31573,6.18026,1.13546,5.9163,6.3813,1.5500,0.7251,0.03559,0.0000
9,12,6.53299,5.66186,0.87113,8.3036,6.5450,1.4579,0.7015,0.03824,1.1055
10,12,11.88974,8.48958,3.40016,3.0830,6.4283,1.4462,0.7243,0.04084,1.1055
11,12,13.68607,9.53745,4.14861,2.7633,6.2091,1.4007,0.7574,0.04098,0.0000
