layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.625,1.0000,0.00005,0.00882,1.0000
0,0,0.20,44.166,0.9998,0.00024,0.02081,0.9487
0,0,0.30,39.286,0.9994,0.00075,0.03649,0.9231
0,0,0.40,35.885,0.9988,0.00160,0.05399,0.9487
0,0,0.50,32.825,0.9975,0.00326,0.07678,0.7766
0,1,0.10,59.457,1.0000,0.00012,0.01240,1.0000
0,1,0.20,51.245,0.9998,nan,0.03193,0.9487
0,1,0.30,45.764,0.9992,nan,0.06001,0.8791
0,1,0.40,41.373,0.9978,nan,0.09949,0.8910
0,1,0.50,37.807,0.9951,nan,0.14999,0.8141
0,2,0.10,61.274,1.0000,nan,0.00870,0.9744
0,2,0.20,53.970,1.0000,nan,0.02018,0.9487
0,2,0.30,46.644,0.9998,nan,0.04691,0.8974
0,2,0.40,41.058,0.9993,nan,0.08923,0.8462
0,2,0.50,35.217,0.9972,nan,0.17481,0.7766
0,3,0.10,63.556,1.0000,nan,0.00701,0.9744
0,3,0.20,55.377,1.0000,nan,0.01797,0.9744
0,3,0.30,48.089,0.9998,nan,0.04158,0.8535
0,3,0.40,43.805,0.9996,nan,0.06809,0.8462
0,3,0.50,40.407,0.9991,nan,0.10069,0.8022
0,4,0.10,57.629,1.0000,0.00019,0.01384,0.9231
0,4,0.20,49.582,0.9997,0.00090,0.03495,0.8718
0,4,0.30,44.483,0.9990,0.00352,0.06287,0.8462
0,4,0.40,40.758,0.9977,0.00901,0.09654,0.7766
0,4,0.50,38.380,0.9961,nan,0.12694,0.7582
0,5,0.10,55.864,1.0000,0.00026,0.01519,1.0000
0,5,0.20,45.989,0.9995,0.00273,0.04736,0.9487
0,5,0.30,40.431,0.9983,nan,0.08980,0.9487
0,5,0.40,36.591,0.9959,nan,0.13973,0.8791
0,5,0.50,33.364,0.9913,nan,0.20259,0.7656
0,6,0.10,57.588,1.0000,0.00015,0.01113,1.0000
0,6,0.20,48.439,0.9997,nan,0.03193,1.0000
0,6,0.30,43.566,0.9991,nan,0.05595,0.8974
0,6,0.40,38.897,0.9975,nan,0.09578,0.7949
0,6,0.50,35.826,0.9949,nan,0.13639,0.7949
0,7,0.10,56.000,1.0000,0.00026,0.01293,1.0000
0,7,0.20,47.724,0.9998,0.00118,0.03353,0.9487
0,7,0.30,43.697,0.9994,nan,0.05331,0.8718
0,7,0.40,38.433,0.9980,nan,0.09773,0.8791
0,7,0.50,35.054,0.9956,nan,0.14420,0.8352
0,8,0.10,54.793,0.9999,0.00019,0.01349,0.9487
0,8,0.20,49.187,0.9998,0.00101,0.02573,0.9487
0,8,0.30,44.093,0.9994,nan,0.04625,0.9487
0,8,0.40,39.397,0.9982,nan,0.07942,0.9048
0,8,0.50,36.123,0.9961,nan,0.11578,0.8791
0,9,0.10,54.305,1.0000,0.00023,0.01556,1.0000
0,9,0.20,42.401,0.9993,nan,0.06128,0.8974
0,9,0.30,37.475,0.9977,nan,0.10805,0.8462
0,9,0.40,34.236,0.9952,nan,0.15689,0.8974
0,9,0.50,30.742,0.9892,nan,0.23457,0.8022
0,10,0.10,69.081,1.0000,nan,0.00423,1.0000
0,10,0.20,57.180,1.0000,nan,0.01665,0.9744
0,10,0.30,51.160,0.9999,nan,0.03330,0.9487
0,10,0.40,45.206,0.9996,nan,0.06609,0.8718
0,10,0.50,39.995,0.9988,nan,0.12041,0.7839
0,11,0.10,58.902,1.0000,nan,0.01090,1.0000
0,11,0.20,51.187,0.9999,nan,0.02650,0.9744
0,11,0.30,45.010,0.9995,nan,0.05395,0.9487
0,11,0.40,41.814,0.9990,nan,0.07795,0.9231
0,11,0.50,38.163,0.9977,nan,0.11867,0.9487
1,0,0.10,65.401,1.0000,0.00010,0.00511,1.0000
1,0,0.20,55.558,1.0000,0.00094,0.01585,1.0000
1,0,0.30,48.832,0.9999,nan,0.03439,0.9487
1,0,0.40,44.633,0.9996,nan,0.05576,0.8718
1,0,0.50,39.793,0.9988,nan,0.09736,0.8462
1,1,0.10,69.535,1.0000,nan,0.00404,0.9487
1,1,0.20,56.105,1.0000,nan,0.01895,0.8791
1,1,0.30,48.957,0.9999,nan,0.04314,0.7839
1,1,0.40,45.058,0.9997,nan,0.06759,0.7070
1,1,0.50,39.881,0.9990,nan,0.12267,0.7949
1,2,0.10,67.033,1.0000,0.00016,0.00537,0.9744
1,2,0.20,56.156,1.0000,nan,0.01878,0.8462
1,2,0.30,52.016,0.9999,nan,0.03025,0.8205
1,2,0.40,47.385,0.9998,0.00876,0.05156,0.8278
1,2,0.50,43.990,0.9995,nan,0.07622,0.8022
1,3,0.10,61.540,1.0000,0.00031,0.00953,0.9487
1,3,0.20,52.966,0.9999,nan,0.02558,0.8718
1,3,0.30,48.786,0.9999,nan,0.04140,0.7949
1,3,0.40,44.556,0.9996,nan,0.06737,0.7070
1,3,0.50,40.640,0.9991,nan,0.10575,0.7628
1,4,0.10,70.558,1.0000,nan,0.00380,0.9744
1,4,0.20,54.222,1.0000,nan,0.02495,0.8168
1,4,0.30,48.401,0.9998,nan,0.04877,0.8022
1,4,0.40,43.866,0.9995,nan,0.08220,0.7445
1,4,0.50,40.400,0.9990,nan,0.12251,0.6886
1,5,0.10,61.189,1.0000,0.00040,0.00972,0.9744
1,5,0.20,53.956,1.0000,nan,0.02236,0.9231
1,5,0.30,47.130,0.9998,nan,0.04907,0.8791
1,5,0.40,42.707,0.9995,nan,0.08165,0.6813
1,5,0.50,38.338,0.9985,nan,0.13502,0.6126
1,6,0.10,81.416,1.0000,nan,0.00110,1.0000
1,6,0.20,69.270,1.0000,nan,0.00443,0.9231
1,6,0.30,63.291,1.0000,nan,0.00883,0.8205
1,6,0.40,59.358,1.0000,nan,0.01388,0.7949
1,6,0.50,54.538,1.0000,nan,0.02418,0.7216
1,7,0.10,69.736,1.0000,0.00009,0.00397,1.0000
1,7,0.20,59.079,1.0000,0.00103,0.01354,0.9487
1,7,0.30,53.869,1.0000,nan,0.02467,0.9231
1,7,0.40,49.809,0.9999,nan,0.03937,0.9487
1,7,0.50,45.231,0.9997,nan,0.06669,0.8974
1,8,0.10,59.915,1.0000,0.00008,0.00649,0.9744
1,8,0.20,48.852,0.9999,0.00106,0.02318,0.9487
1,8,0.30,42.246,0.9995,0.00328,0.04959,0.8974
1,8,0.40,38.464,0.9988,0.00664,0.07665,0.8974
1,8,0.50,33.992,0.9966,nan,0.12827,0.8022
1,9,0.10,65.153,1.0000,nan,0.00614,1.0000
1,9,0.20,55.321,1.0000,nan,0.01905,0.9744
1,9,0.30,50.778,0.9999,nan,0.03214,0.9487
1,9,0.40,46.540,0.9997,nan,0.05235,0.8718
1,9,0.50,42.657,0.9994,nan,0.08186,0.8462
1,10,0.10,63.651,1.0000,0.00030,0.00834,0.9744
1,10,0.20,56.266,1.0000,nan,0.01952,0.9487
1,10,0.30,50.205,0.9998,nan,0.03922,0.8791
1,10,0.40,45.912,0.9996,nan,0.06430,0.8864
1,10,0.50,41.451,0.9989,nan,0.10746,0.7821
1,11,0.10,50.280,0.9999,0.00108,0.02330,0.9744
1,11,0.20,42.450,0.9995,nan,0.05738,0.9231
1,11,0.30,38.899,0.9989,nan,0.08636,0.8535
1,11,0.40,34.452,0.9969,nan,0.14410,0.7839
1,11,0.50,31.048,0.9932,nan,0.21325,0.7326
2,0,0.10,63.707,1.0000,nan,0.00848,0.3767
2,0,0.20,52.014,1.0000,nan,0.03260,0.2622
2,0,0.30,45.320,0.9998,nan,0.07046,0.2698
2,0,0.40,40.319,0.9994,nan,0.12532,0.3080
2,0,0.50,32.712,0.9965,nan,0.30084,0.2668
2,1,0.10,62.365,1.0000,nan,0.00878,1.0000
2,1,0.20,55.119,1.0000,nan,0.02021,0.9744
2,1,0.30,48.829,0.9999,nan,0.04169,0.8535
2,1,0.40,44.318,0.9996,nan,0.07008,0.7582
2,1,0.50,41.293,0.9993,nan,0.09929,0.8022
2,2,0.10,65.951,1.0000,0.00022,0.00601,1.0000
2,2,0.20,55.935,1.0000,0.00167,0.01905,0.8974
2,2,0.30,50.167,0.9999,nan,0.03701,0.8974
2,2,0.40,46.242,0.9998,nan,0.05816,0.7839
2,2,0.50,42.613,0.9994,nan,0.08832,0.7839
2,3,0.10,66.168,1.0000,0.00013,0.00496,1.0000
2,3,0.20,54.962,1.0000,nan,0.01803,1.0000
2,3,0.30,47.980,0.9998,nan,0.04029,0.9231
2,3,0.40,43.844,0.9996,0.01228,0.06486,0.8095
2,3,0.50,41.038,0.9992,nan,0.08959,0.7839
2,4,0.10,68.102,1.0000,0.00026,0.00485,0.9744
2,4,0.20,56.235,1.0000,nan,0.01902,0.8718
2,4,0.30,50.254,0.9999,nan,0.03786,0.7729
2,4,0.40,44.891,0.9996,nan,0.07020,0.6749
2,4,0.50,41.002,0.9991,nan,0.10984,0.6126
2,5,0.10,67.351,1.0000,0.00006,0.00441,1.0000
2,5,0.20,54.371,1.0000,nan,0.01966,0.9744
2,5,0.30,47.545,0.9998,nan,0.04314,0.9487
2,5,0.40,43.754,0.9995,nan,0.06674,0.9231
2,5,0.50,39.547,0.9986,nan,0.10834,0.8278
2,6,0.10,59.743,1.0000,nan,0.01064,0.9231
2,6,0.20,51.431,0.9999,nan,0.02769,0.9231
2,6,0.30,47.078,0.9998,nan,0.04571,0.8205
2,6,0.40,41.582,0.9992,nan,0.08607,0.7949
2,6,0.50,36.966,0.9977,nan,0.14643,0.7949
2,7,0.10,65.777,1.0000,0.00012,0.00621,1.0000
2,7,0.20,52.413,0.9999,nan,0.02894,0.9231
2,7,0.30,47.235,0.9997,nan,0.05253,0.8718
2,7,0.40,43.784,0.9994,nan,0.07815,0.8462
2,7,0.50,40.059,0.9985,nan,0.11999,0.7949
2,8,0.10,55.982,1.0000,nan,0.01808,0.8974
2,8,0.20,48.289,0.9998,nan,0.04385,0.8535
2,8,0.30,44.133,0.9996,nan,0.07076,0.7473
2,8,0.40,40.157,0.9989,nan,0.11183,0.7143
2,8,0.50,36.948,0.9978,nan,0.16180,0.6007
2,9,0.10,62.467,1.0000,nan,0.00979,0.3446
2,9,0.20,51.014,0.9999,nan,0.03658,0.2698
2,9,0.30,44.684,0.9998,nan,0.07581,0.3126
2,9,0.40,40.913,0.9995,nan,0.11703,0.3217
