layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9737,7.1197,18.93423,0.5926,2.0317,1
2,9,0.9737,7.1208,18.59740,0.5924,2.0317,1
5,5,0.7948,6.5462,9.86217,0.7128,2.7826,1
6,8,0.7948,6.4968,8.67184,0.7266,3.5556,1
6,6,0.7860,6.9165,8.49734,0.6389,2.1880,1
7,2,0.7860,6.7977,7.99459,0.6705,2.4854,2
4,11,0.7693,6.9431,8.04349,0.6340,2.1513,2
5,0,0.7366,6.8984,6.99227,0.6389,2.2456,1
0,0,0.0000,7.2159,1.98024,0.5645,1.8417,0
0,1,0.0000,7.3392,3.10395,0.5194,1.5802,0
0,2,0.0000,7.0099,7.92710,0.6220,2.0984,0
0,3,0.0000,6.7185,8.49811,0.6874,2.8132,0
0,4,0.0000,7.3020,2.69066,0.5315,1.6101,0
0,5,0.0000,7.3955,3.64864,0.4936,1.4713,0
0,6,0.0000,7.3686,2.76468,0.5119,1.5802,0
0,7,0.0000,7.2924,2.92954,0.5260,1.6000,0
0,8,0.0000,7.2656,2.37388,0.5469,1.6623,0
0,9,0.0000,7.4826,3.75579,0.4619,1.4222,0
0,10,0.0000,6.8477,8.91052,0.6657,2.5098,0
0,11,0.0000,7.1780,3.78134,0.5691,1.7902,0
1,0,0.0000,6.8420,5.23934,0.6546,2.2655,0
1,1,0.0000,6.8774,9.08735,0.6567,2.3925,0
1,2,0.0000,6.5066,7.52365,0.7146,3.1605,0
1,3,0.0000,6.7851,7.60724,0.6586,2.3704,0
1,4,0.0000,6.8775,9.90707,0.6533,2.3925,0
1,5,0.0000,6.8963,7.90019,0.6452,2.2456,0
1,6,0.0000,5.7957,14.38018,0.8254,5.8182,0
1,7,0.0000,6.4665,7.98788,0.7276,3.2821,0
1,8,0.0000,7.1562,3.12603,0.5654,1.7297,0
1,9,0.0000,6.5770,7.05827,0.7051,2.9425,0
1,10,0.0000,6.8503,6.37115,0.6423,2.2261,0
1,11,0.0000,7.3254,5.02691,0.5201,1.5515,0
2,1,0.0000,6.6742,8.22107,0.6940,2.8132,0
2,2,0.0000,6.5635,8.63368,0.7043,2.9091,0
2,3,0.0000,6.6410,6.08843,0.6881,2.6947,0
2,4,0.0000,6.7100,9.29673,0.6876,2.6947,0
2,5,0.0000,6.9006,5.22683,0.6382,2.1880,0
2,6,0.0000,6.9828,6.38579,0.6220,2.0645,0
2,7,0.0000,6.7757,6.09000,0.6548,2.2655,0
2,8,0.0000,6.9985,8.59150,0.6185,2.0645,0
2,10,0.0000,7.0927,6.82513,0.5909,1.9248,0
2,11,0.0000,6.8918,6.53938,0.6329,2.1333,0
3,0,0.0000,6.9597,7.11707,0.6380,2.3063,0
3,1,0.0000,7.0119,4.17457,0.6143,2.0317,0
3,2,0.0000,7.0352,5.51986,0.6062,1.9248,0
3,3,0.0000,7.0850,5.09839,0.5998,1.9692,0
3,4,0.0000,7.2269,4.76645,0.5455,1.6516,0
3,5,0.0000,6.8764,11.58137,0.6580,2.3704,0
3,6,0.0000,7.1641,4.32674,0.5700,1.7902,0
3,7,0.0000,7.0585,4.01457,0.5953,1.8686,0
3,8,0.0000,7.2968,5.72450,0.5333,1.6410,0
3,9,0.0000,6.8720,9.62943,0.6571,2.3925,0
3,10,0.0000,7.3034,6.51098,0.5323,1.6954,0
3,11,0.0000,6.9810,5.89962,0.6246,2.1513,0
4,0,0.0000,6.6741,8.58522,0.6780,2.5098,0
4,1,0.0000,7.3443,3.49913,0.5122,1.5901,0
4,2,0.0000,6.7281,7.15991,0.6756,2.5859,0
4,3,0.0000,6.6611,12.24197,0.7054,3.0118,0
4,4,0.0000,7.0320,5.52952,0.6055,1.9248,0
4,5,0.0000,6.7246,8.94567,0.6847,2.6122,0
4,6,0.0000,7.0182,6.77234,0.6113,2.0000,0
4,7,0.0000,6.5145,9.66784,0.7155,2.9091,0
4,8,0.0000,6.5001,9.65769,0.7187,2.9767,0
4,9,0.0000,6.9705,5.27197,0.6117,1.9542,0
4,10,0.0000,7.0763,6.61846,0.5954,1.9542,0
5,1,0.0000,5.9111,13.20597,0.8076,5.4468,0
5,2,0.0000,6.8572,6.87625,0.6384,2.0984,0
5,3,0.0000,6.9673,7.73080,0.6225,2.0480,0
5,4,0.0000,6.9729,5.06470,0.6196,2.0645,0
5,6,0.0000,6.8638,11.22678,0.6518,2.3704,0
5,7,0.0000,6.8757,10.20290,0.6501,2.2456,0
5,8,0.0000,6.8338,6.10811,0.6534,2.2857,0
5,9,0.0000,7.0312,11.07356,0.6201,2.1333,0
5,10,0.0000,6.9351,7.03050,0.6365,2.2261,0
5,11,0.0000,6.7274,10.85347,0.6813,2.4854,0
6,0,0.0000,6.4649,12.26445,0.7318,3.2821,0
6,1,0.0000,6.9953,6.38711,0.6130,1.9845,0
6,2,0.0000,6.9497,8.13373,0.6263,2.1333,0
6,3,0.0000,6.2515,11.61669,0.7596,3.7101,0
6,4,0.0000,6.6092,9.47372,0.6952,2.7826,0
6,5,0.0000,6.9753,7.86369,0.6242,2.0645,0
6,7,0.0000,6.9521,5.38110,0.6201,2.0645,0
6,9,0.0000,6.7973,8.09586,0.6656,2.4381,0
