layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,52.030,1.0000,0.00004,0.00841,0.9744
0,0,0.20,44.056,0.9998,0.00026,0.02107,0.9744
0,0,0.30,38.042,0.9993,0.00125,0.04212,0.8974
0,0,0.40,34.271,0.9982,0.00262,0.06501,0.8974
0,0,0.50,31.085,0.9963,0.00486,0.09381,0.7949
0,1,0.10,60.098,1.0000,0.00013,0.01152,1.0000
0,1,0.20,50.996,0.9998,nan,0.03286,0.9744
0,1,0.30,45.480,0.9992,nan,0.06200,0.8791
0,1,0.40,41.779,0.9980,nan,0.09494,0.8278
0,1,0.50,38.146,0.9954,nan,0.14425,0.8791
0,2,0.10,60.766,1.0000,nan,0.00923,0.9744
0,2,0.20,53.292,1.0000,nan,0.02182,0.9487
0,2,0.30,47.691,0.9998,nan,0.04158,0.9487
0,2,0.40,43.663,0.9996,nan,0.06611,0.8205
0,2,0.50,37.867,0.9985,nan,0.12885,0.6886
0,3,0.10,67.151,1.0000,nan,0.00463,1.0000
0,3,0.20,55.110,1.0000,nan,0.01853,0.9487
0,3,0.30,49.958,0.9999,nan,0.03353,0.9231
0,3,0.40,44.934,0.9997,nan,0.05979,0.8718
0,3,0.50,40.576,0.9991,nan,0.09875,0.8205
0,4,0.10,59.940,1.0000,0.00007,0.01061,1.0000
0,4,0.20,53.104,0.9999,0.00036,0.02330,0.9487
0,4,0.30,48.204,0.9996,0.00152,0.04096,0.8974
0,4,0.40,43.873,0.9989,0.00349,0.06744,0.8535
0,4,0.50,40.137,0.9974,0.00837,0.10369,0.8022
0,5,0.10,55.414,0.9999,0.00022,0.01600,0.9744
0,5,0.20,48.188,0.9997,0.00173,0.03676,0.9487
0,5,0.30,41.221,0.9986,0.00875,0.08199,0.8974
0,5,0.40,36.626,0.9959,nan,0.13916,0.8022
0,5,0.50,33.400,0.9914,nan,0.20175,0.8278
0,6,0.10,56.644,1.0000,0.00019,0.01241,0.9744
0,6,0.20,48.894,0.9997,0.00136,0.03030,0.9304
0,6,0.30,44.200,0.9993,nan,0.05201,0.8535
0,6,0.40,39.994,0.9980,nan,0.08441,0.8535
0,6,0.50,36.475,0.9956,nan,0.12657,0.8022
0,7,0.10,63.421,1.0000,0.00007,0.00550,0.9744
0,7,0.20,51.750,0.9999,nan,0.02109,0.9487
0,7,0.30,45.745,0.9996,nan,0.04211,0.9487
0,7,0.40,41.320,0.9990,nan,0.07009,0.8718
0,7,0.50,37.728,0.9976,nan,0.10599,0.8022
0,8,0.10,58.086,1.0000,0.00016,0.00924,0.9744
0,8,0.20,48.004,0.9997,0.00102,0.02948,0.9487
0,8,0.30,42.666,0.9991,0.00298,0.05451,0.9487
0,8,0.40,39.682,0.9983,nan,0.07685,0.8974
0,8,0.50,36.669,0.9965,nan,0.10872,0.8462
0,9,0.10,51.329,0.9999,0.00062,0.02192,0.9487
0,9,0.20,43.214,0.9994,0.00567,0.05581,0.9231
0,9,0.30,37.736,0.9978,nan,0.10485,0.8462
0,9,0.40,33.341,0.9941,nan,0.17392,0.6960
0,9,0.50,30.543,0.9887,nan,0.24001,0.7701
0,10,0.10,68.298,1.0000,nan,0.00463,0.9744
0,10,0.20,56.574,1.0000,nan,0.01785,0.9744
0,10,0.30,51.080,0.9999,nan,0.03360,0.9487
0,10,0.40,45.415,0.9997,nan,0.06451,0.8278
0,10,0.50,38.978,0.9985,nan,0.13536,0.7143
0,11,0.10,57.359,1.0000,nan,0.01302,1.0000
0,11,0.20,47.984,0.9998,nan,0.03831,1.0000
0,11,0.30,43.844,0.9994,nan,0.06170,0.9231
0,11,0.40,39.877,0.9984,nan,0.09742,0.8974
0,11,0.50,36.920,0.9969,nan,0.13693,0.7949
1,0,0.10,61.435,1.0000,nan,0.00806,0.9744
1,0,0.20,50.397,0.9999,nan,0.02872,0.9231
1,0,0.30,46.180,0.9997,nan,0.04667,0.8974
1,0,0.40,42.495,0.9994,nan,0.07133,0.8535
