layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9737,6.2800,18.93423,0.7404,3.3247,1
2,9,0.9737,6.3228,18.59739,0.7382,3.3247,1
5,5,0.7940,6.0562,9.86217,0.7919,4.4138,1
6,8,0.7940,6.1112,8.67184,0.7902,5.1200,1
6,6,0.7863,6.4939,8.49734,0.7330,3.0118,1
7,2,0.7863,6.4670,7.99459,0.7334,3.1605,2
4,11,0.7695,6.5940,8.04348,0.7163,2.8764,2
5,0,0.7386,6.6523,6.99227,0.7055,2.8764,1
0,0,0.0000,6.8673,1.98024,0.5625,2.2261,0
0,1,0.0000,7.1285,3.10395,0.5391,1.7655,0
0,2,0.0000,6.6774,7.92710,0.7007,2.9425,0
0,3,0.0000,6.4652,8.49811,0.7410,3.5556,0
0,4,0.0000,7.0030,2.69066,0.5575,1.8963,0
0,5,0.0000,7.1373,3.64864,0.5548,1.7778,0
0,6,0.0000,7.0884,2.76468,0.5457,1.8551,0
0,7,0.0000,6.9843,2.92954,0.6012,2.0813,0
0,8,0.0000,7.0122,2.37388,0.5627,1.9692,0
0,9,0.0000,7.2126,3.75579,0.5404,1.7778,0
0,10,0.0000,6.6711,8.91052,0.7007,2.7527,0
0,11,0.0000,7.0100,3.78134,0.6010,2.0645,0
1,0,0.0000,6.6461,5.23934,0.6931,2.8764,0
1,1,0.0000,6.4775,9.08735,0.7400,3.2405,0
1,2,0.0000,6.1728,7.52365,0.7656,4.4138,0
1,3,0.0000,6.2673,7.60724,0.7501,4.1290,0
1,4,0.0000,6.4499,9.90707,0.7445,3.2405,0
1,5,0.0000,6.5219,7.90019,0.7247,3.0843,0
1,6,0.0000,4.7826,14.38018,0.9051,16.0000,0
1,7,0.0000,6.0405,7.98788,0.7745,4.7407,0
1,8,0.0000,6.9071,3.12603,0.6187,2.1513,0
1,9,0.0000,6.2686,7.05827,0.7547,4.1967,0
1,10,0.0000,6.5464,6.37115,0.7004,2.7826,0
1,11,0.0000,7.0889,5.02691,0.5864,1.8963,0
2,1,0.0000,6.3968,8.22107,0.7411,3.5068,0
2,2,0.0000,6.0793,8.63368,0.7726,4.8302,0
2,3,0.0000,6.2914,6.08842,0.7438,3.7101,0
2,4,0.0000,6.2696,9.29673,0.7681,4.4138,0
2,5,0.0000,6.5120,5.22683,0.7080,3.0118,0
2,6,0.0000,6.7869,6.38579,0.6613,2.4381,0
2,7,0.0000,6.4596,6.09000,0.6983,3.0476,0
2,8,0.0000,6.7264,8.59150,0.6845,2.5859,0
2,10,0.0000,6.7192,6.82513,0.6895,2.8444,0
2,11,0.0000,6.6477,6.53938,0.6755,2.5859,0
3,0,0.0000,6.5077,7.11707,0.7316,3.2000,0
3,1,0.0000,6.7978,4.17457,0.6529,2.3704,0
3,2,0.0000,6.8194,5.51986,0.6644,2.4854,0
3,3,0.0000,6.9189,5.09839,0.6347,2.1880,0
3,4,0.0000,6.7762,4.76645,0.6685,2.4381,0
3,5,0.0000,6.4371,11.58136,0.7477,3.1605,0
3,6,0.0000,7.0772,4.32673,0.5888,1.9394,0
3,7,0.0000,6.8168,4.01457,0.6510,2.3704,0
3,8,0.0000,7.0670,5.72450,0.6006,2.1157,0
3,9,0.0000,6.5349,9.62943,0.7279,2.9767,0
3,10,0.0000,6.9217,6.51098,0.6446,2.4381,0
3,11,0.0000,6.6045,5.89962,0.7073,2.9091,0
4,0,0.0000,6.2981,8.58522,0.7438,3.7101,0
4,1,0.0000,6.9989,3.49913,0.5948,1.9248,0
4,2,0.0000,6.3260,7.15991,0.7483,3.9385,0
4,3,0.0000,6.1098,12.24197,0.8004,4.4138,0
4,4,0.0000,6.7437,5.52952,0.6696,2.4854,0
4,5,0.0000,6.4937,8.94567,0.7342,3.2821,0
4,6,0.0000,6.7341,6.77234,0.6827,2.6392,0
4,7,0.0000,6.1714,9.66784,0.7770,4.0000,0
4,8,0.0000,6.0596,9.65769,0.7874,4.9231,0
4,9,0.0000,6.6365,5.27197,0.6861,2.7234,0
4,10,0.0000,6.7316,6.61846,0.6780,2.5600,0
5,1,0.0000,5.1455,13.20597,0.8780,13.4737,0
5,2,0.0000,6.3491,6.87625,0.7352,3.4595,0
5,3,0.0000,6.4920,7.73080,0.7245,3.1220,0
5,4,0.0000,6.7208,5.06470,0.6649,2.5347,0
5,6,0.0000,6.2876,11.22678,0.7745,3.8209,0
5,7,0.0000,6.4904,10.20290,0.7370,3.2000,0
5,8,0.0000,6.5152,6.10811,0.7093,2.9767,0
5,9,0.0000,6.5566,11.07356,0.7239,3.2405,0
5,10,0.0000,6.6700,7.03050,0.7010,2.9767,0
5,11,0.0000,6.6610,10.85346,0.7054,2.7826,0
6,0,0.0000,5.7283,12.26445,0.8391,6.0952,0
6,1,0.0000,6.7201,6.38711,0.6790,2.5098,0
6,2,0.0000,6.4323,8.13373,0.7362,3.2405,0
6,3,0.0000,5.6631,11.61669,0.8341,6.4000,0
6,4,0.0000,6.1995,9.47372,0.7598,3.8209,0
6,5,0.0000,6.7415,7.86369,0.6844,2.7527,0
6,7,0.0000,6.5697,5.38110,0.6959,2.9091,0
6,9,0.0000,6.5930,8.09586,0.7178,2.9767,0
6,10,0.0000,6.2024,11.81070,0.7855,4.1290,0
