layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,50.323,1.0000,0.00006,0.01024,0.9744
0,0,0.20,43.700,0.9998,0.00028,0.02196,1.0000
0,0,0.30,39.189,0.9994,0.00074,0.03690,0.9487
0,0,0.40,35.172,0.9986,0.00203,0.05861,0.8462
0,0,0.50,32.400,0.9973,0.00343,0.08064,0.8205
0,1,0.10,62.188,1.0000,0.00014,0.00906,1.0000
0,1,0.20,52.791,0.9998,nan,0.02672,1.0000
0,1,0.30,46.410,0.9993,nan,0.05571,0.8654
0,1,0.40,41.462,0.9979,nan,0.09847,0.8397
0,1,0.50,37.619,0.9948,nan,0.15327,0.8278
0,2,0.10,62.089,1.0000,nan,0.00793,1.0000
0,2,0.20,54.931,1.0000,nan,0.01807,0.9744
0,2,0.30,47.021,0.9998,nan,0.04491,0.9231
0,2,0.40,40.803,0.9992,nan,0.09189,0.8462
0,2,0.50,36.288,0.9978,nan,0.15453,0.7509
0,3,0.10,67.568,1.0000,nan,0.00442,0.9744
0,3,0.20,57.390,1.0000,nan,0.01425,0.9487
0,3,0.30,49.584,0.9999,nan,0.03501,0.9487
0,3,0.40,45.168,0.9997,nan,0.05820,0.8791
0,3,0.50,40.570,0.9991,nan,0.09882,0.8168
0,4,0.10,60.308,1.0000,0.00009,0.01017,0.8974
0,4,0.20,50.378,0.9998,0.00076,0.03189,0.8718
0,4,0.30,45.477,0.9992,0.00233,0.05607,0.8718
0,4,0.40,42.472,0.9985,0.00442,0.07925,0.8278
0,4,0.50,38.927,0.9965,nan,0.11919,0.8022
0,5,0.10,56.892,1.0000,0.00023,0.01350,1.0000
0,5,0.20,45.753,0.9995,0.00325,0.04866,0.9231
0,5,0.30,40.350,0.9983,nan,0.09064,0.8278
0,5,0.40,35.768,0.9950,nan,0.15360,0.8205
0,5,0.50,33.262,0.9911,nan,0.20499,0.7326
0,6,0.10,61.528,1.0000,0.00015,0.00707,1.0000
0,6,0.20,47.148,0.9996,0.00178,0.03704,0.9487
0,6,0.30,42.382,0.9989,nan,0.06412,0.8205
0,6,0.40,38.678,0.9974,nan,0.09822,0.7949
0,6,0.50,35.804,0.9949,nan,0.13673,0.7509
0,7,0.10,60.454,1.0000,0.00006,0.00774,0.9744
0,7,0.20,49.003,0.9998,0.00084,0.02894,0.9231
0,7,0.30,42.908,0.9993,nan,0.05838,0.8974
0,7,0.40,39.473,0.9984,0.00968,0.08670,0.8535
0,7,0.50,35.988,0.9964,nan,0.12950,0.7766
0,8,0.10,57.406,1.0000,0.00011,0.00999,0.9487
0,8,0.20,48.080,0.9998,0.00075,0.02923,0.9487
0,8,0.30,43.294,0.9992,nan,0.05071,0.9231
0,8,0.40,39.464,0.9982,nan,0.07881,0.9048
0,8,0.50,36.107,0.9961,nan,0.11599,0.8535
