layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9737,7.1414,18.93424,0.5879,2.0000,1
2,9,0.9737,7.1342,18.59740,0.5898,2.0157,1
5,5,0.7950,6.5240,9.86217,0.7187,3.0118,1
6,8,0.7950,6.4379,8.67184,0.7396,3.8788,1
6,6,0.7843,6.9110,8.49734,0.6402,2.2069,1
7,2,0.7843,6.7488,7.99459,0.6826,2.6392,2
4,11,0.7694,6.9098,8.04349,0.6430,2.2069,2
5,0,0.7380,6.8655,6.99227,0.6462,2.2655,1
0,0,0.0000,7.2166,1.98024,0.5641,1.8417,0
0,1,0.0000,7.3327,3.10395,0.5206,1.5706,0
0,2,0.0000,6.9841,7.92710,0.6295,2.1695,0
0,3,0.0000,6.7130,8.49811,0.6898,2.8132,0
0,4,0.0000,7.2865,2.69066,0.5372,1.6306,0
0,5,0.0000,7.4145,3.64864,0.4852,1.4545,0
0,6,0.0000,7.3651,2.76468,0.5122,1.5706,0
0,7,0.0000,7.2529,2.92954,0.5412,1.6623,0
0,8,0.0000,7.2699,2.37388,0.5463,1.6732,0
0,9,0.0000,7.4619,3.75579,0.4705,1.4545,0
0,10,0.0000,6.8856,8.91052,0.6560,2.4615,0
0,11,0.0000,7.2088,3.78134,0.5588,1.7297,0
1,0,0.0000,6.8441,5.23934,0.6540,2.2456,0
1,1,0.0000,6.8436,9.08735,0.6646,2.4615,0
1,2,0.0000,6.5445,7.52365,0.7050,2.9425,0
1,3,0.0000,6.7823,7.60724,0.6595,2.3486,0
1,4,0.0000,6.8595,9.90707,0.6585,2.3704,0
1,5,0.0000,6.9251,7.90019,0.6373,2.1880,0
1,6,0.0000,5.6622,14.38018,0.8451,6.9189,0
1,7,0.0000,6.4090,7.98788,0.7388,3.4595,0
1,8,0.0000,7.1662,3.12603,0.5640,1.7415,0
1,9,0.0000,6.5814,7.05827,0.7035,2.8444,0
1,10,0.0000,6.8051,6.37116,0.6546,2.3486,0
1,11,0.0000,7.2882,5.02691,0.5332,1.6000,0
2,1,0.0000,6.6822,8.22107,0.6918,2.7527,0
2,2,0.0000,6.5595,8.63368,0.7061,2.8444,0
2,3,0.0000,6.6661,6.08843,0.6815,2.6122,0
2,4,0.0000,6.7508,9.29673,0.6774,2.6392,0
2,5,0.0000,6.8853,5.22683,0.6426,2.2655,0
2,6,0.0000,6.9545,6.38579,0.6311,2.1333,0
2,7,0.0000,6.8084,6.09000,0.6456,2.2655,0
2,8,0.0000,7.0160,8.59150,0.6133,2.0317,0
2,10,0.0000,7.0808,6.82513,0.5951,1.9692,0
2,11,0.0000,6.8871,6.53938,0.6336,2.1333,0
3,0,0.0000,6.8972,7.11707,0.6547,2.4151,0
3,1,0.0000,6.9647,4.17457,0.6285,2.1513,0
3,2,0.0000,7.0382,5.51986,0.6080,1.9692,0
3,3,0.0000,7.1150,5.09839,0.5910,1.8824,0
3,4,0.0000,7.2093,4.76645,0.5529,1.6732,0
3,5,0.0000,6.9065,11.58137,0.6506,2.3273,0
3,6,0.0000,7.1482,4.32674,0.5756,1.8156,0
3,7,0.0000,7.0353,4.01457,0.6006,1.8824,0
3,8,0.0000,7.2849,5.72450,0.5365,1.6732,0
3,9,0.0000,6.9092,9.62943,0.6481,2.3486,0
3,10,0.0000,7.2778,6.51098,0.5411,1.7067,0
3,11,0.0000,7.0186,5.89962,0.6128,2.0480,0
4,0,0.0000,6.6780,8.58522,0.6762,2.4615,0
4,1,0.0000,7.3204,3.49913,0.5207,1.6000,0
4,2,0.0000,6.6648,7.15991,0.6914,2.7826,0
4,3,0.0000,6.5708,12.24197,0.7242,3.2000,0
4,4,0.0000,7.0341,5.52953,0.6062,1.9394,0
4,5,0.0000,6.7058,8.94567,0.6889,2.7234,0
4,6,0.0000,7.0777,6.77234,0.5919,1.8686,0
4,7,0.0000,6.4978,9.66784,0.7210,3.0843,0
4,8,0.0000,6.4630,9.65769,0.7294,3.2405,0
4,9,0.0000,6.9094,5.27197,0.6306,2.0984,0
4,10,0.0000,7.0085,6.61846,0.6155,2.0645,0
5,1,0.0000,5.8082,13.20597,0.8254,6.0952,0
5,2,0.0000,6.8364,6.87625,0.6458,2.2069,0
5,3,0.0000,6.9167,7.73080,0.6375,2.1695,0
5,4,0.0000,6.9513,5.06470,0.6272,2.1333,0
5,6,0.0000,6.8045,11.22678,0.6687,2.5098,0
5,7,0.0000,6.8253,10.20290,0.6616,2.3486,0
5,8,0.0000,6.8867,6.10811,0.6358,2.1157,0
5,9,0.0000,7.0099,11.07356,0.6263,2.1880,0
5,10,0.0000,6.9071,7.03050,0.6439,2.2857,0
5,11,0.0000,6.6131,10.85347,0.7046,2.7826,0
6,0,0.0000,6.4095,12.26445,0.7437,3.4595,0
6,1,0.0000,6.9376,6.38711,0.6300,2.0813,0
6,2,0.0000,6.9264,8.13373,0.6324,2.1880,0
6,3,0.0000,6.1887,11.61669,0.7719,4.1967,0
6,4,0.0000,6.5618,9.47372,0.7060,2.8764,0
6,5,0.0000,6.9559,7.86369,0.6287,2.1333,0
6,7,0.0000,6.9337,5.38110,0.6263,2.1157,0
6,9,0.0000,6.7947,8.09586,0.6649,2.3925,0
6,10,0.0000,6.6836,11.81070,0.6936,2.6122,0
6,11,0.0000,7.0057,11.69529,0.6239,2.1880,0
7,0,0.0000,6.9661,5.15454,0.6250,2.0813,0
7,1,0.0000,6.7539,7.88157,0.6673,2.4615,0
7,3,0.0000,6.3913,10.92084,0.7441,3.4595,0
7,4,0.0000,6.8950,10.19853,0.6498,2.3063,0
7,5,0.0000,7.2576,4.32561,0.5449,1.6954,0
7,6,0.0000,5.8798,11.68174,0.8094,6.5641,0
7,7,0.0000,6.1174,13.64643,0.7907,4.5714,0
7,8,0.0000,6.7261,7.33947,0.6826,2.6392,0
7,9,0.0000,6.4717,8.63626,0.7288,3.0476,0
7,10,0.0000,7.0338,6.68907,0.6073,1.9542,0
7,11,0.0000,6.4040,11.76094,0.7375,3.5068,0
8,0,0.0000,6.5914,7.88809,0.7039,2.9767,0
8,1,0.0000,6.1843,8.73211,0.7643,4.3390,0
8,2,0.0000,6.3003,11.56943,0.7566,3.6056,0
8,3,0.0000,6.8933,6.18710,0.6272,2.2069,0
8,4,0.0000,6.7923,9.92383,0.6768,2.6667,0
8,5,0.0000,6.5157,10.35687,0.7262,3.3684,0
8,6,0.0000,6.1864,11.85646,0.7788,4.3390,0
8,7,0.0000,7.0769,3.74592,0.5991,1.9394,0
8,8,0.0000,6.9304,4.14837,0.6315,2.2069,0
8,9,0.0000,6.9435,4.79043,0.6161,2.0157,0
8,10,0.0000,6.6574,7.49166,0.6950,2.8132,0
8,11,0.0000,6.8313,6.40835,0.6636,2.3925,0
9,0,0.0000,7.0665,6.77512,0.6065,2.0813,0
9,1,0.0000,7.0922,5.33457,0.5838,1.8417,0
9,2,0.0000,7.1091,3.78087,0.5867,1.8963,0
9,3,0.0000,6.6913,7.38407,0.6863,2.6947,0
9,4,0.0000,6.8631,5.64437,0.6479,2.3273,0
9,5,0.0000,7.1786,3.38924,0.5688,1.7534,0
9,6,0.0000,6.6280,8.45884,0.7052,2.8444,0
9,7,0.0000,7.1078,6.16720,0.5857,1.8824,0
9,8,0.0000,7.2252,6.00824,0.5598,1.7415,0
9,9,0.0000,6.3275,9.59991,0.7442,3.8209,0
9,10,0.0000,7.0639,4.31688,0.5995,1.9248,0
9,11,0.0000,6.7942,7.17577,0.6718,2.5098,0
10,0,0.0000,6.8711,5.31254,0.6365,2.1695,0
10,1,0.0000,5.9329,13.09957,0.8137,5.2245,0
10,2,0.0000,6.8778,6.48822,0.6468,2.3273,0
10,3,0.0000,5.9022,12.86674,0.8151,5.5652,0
10,4,0.0000,6.5607,8.23980,0.7140,3.0843,0
10,5,0.0000,5.8806,12.21815,0.8164,5.6889,0
10,6,0.0000,6.8023,8.39441,0.6658,2.5600,0
10,7,0.0000,6.2217,9.97630,0.7638,4.4138,0
10,8,0.0000,6.2595,11.50816,0.7650,3.9385,0
10,9,0.0000,6.4821,11.22429,0.7304,3.2000,0
10,10,0.0000,6.9401,9.76613,0.6444,2.3273,0
10,11,0.0000,7.0586,7.14915,0.5912,1.8686,0
11,0,0.0000,5.9761,13.20610,0.8061,5.2245,0
11,1,0.0000,6.2874,10.99371,0.7602,3.9385,0
11,2,0.0000,6.6107,7.69418,0.6982,2.7527,0
11,3,0.0000,5.9778,12.24230,0.8034,5.3333,0
11,4,0.0000,6.1177,10.86514,0.7811,4.4138,0
11,5,0.0000,6.5882,9.07567,0.7000,2.8444,0
11,6,0.0000,6.1257,11.01522,0.7847,4.4912,0
11,7,0.0000,5.4624,14.94673,0.8672,8.0000,0
11,8,0.0000,7.0082,7.08513,0.6199,2.0984,0
11,9,0.0000,6.4863,7.90321,0.7179,3.1220,0
11,10,0.0000,5.9972,11.63703,0.7955,5.5652,0
11,11,0.0000,5.5661,13.91197,0.8547,7.7576,0
