layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,59.435,1.0000,0.00002,0.00452,0.9697
0,0,0.20,45.175,0.9998,0.00042,0.02335,0.9394
0,0,0.30,38.383,0.9991,0.00276,0.05103,0.8485
0,0,0.40,33.071,0.9971,0.00728,0.09406,0.8485
0,0,0.50,29.809,0.9938,0.01314,0.13694,0.7273
0,1,0.10,50.142,0.9999,nan,0.03278,0.9697
0,1,0.20,39.106,0.9983,nan,0.11677,0.8788
0,1,0.30,34.553,0.9951,nan,0.19724,0.7587
0,1,0.40,30.732,0.9882,nan,0.30622,0.6981
0,1,0.50,28.082,0.9782,nan,0.41547,0.6537
0,2,0.10,50.715,0.9999,nan,0.03149,0.7143
0,2,0.20,43.481,0.9997,nan,0.07243,0.6104
0,2,0.30,40.229,0.9994,nan,0.10532,0.5725
0,2,0.40,36.089,0.9984,nan,0.16963,0.5130
0,2,0.50,30.619,0.9944,nan,0.31842,0.4610
0,3,0.10,54.478,1.0000,nan,0.01745,0.9394
0,3,0.20,48.863,0.9999,nan,0.03331,0.7965
0,3,0.30,44.139,0.9997,nan,0.05738,0.7965
0,3,0.40,37.877,0.9988,nan,0.11797,0.7154
0,3,0.50,32.966,0.9962,nan,0.20765,0.7532
0,4,0.10,56.893,1.0000,0.00041,0.01523,0.9091
0,4,0.20,46.569,0.9995,0.00231,0.04998,0.9394
0,4,0.30,40.005,0.9978,nan,0.10640,0.9091
0,4,0.40,37.106,0.9957,nan,0.14856,0.7446
0,4,0.50,34.428,0.9920,nan,0.20223,0.6840
0,5,0.10,50.952,0.9999,0.00300,0.02553,1.0000
0,5,0.20,42.791,0.9993,nan,0.06532,0.9697
0,5,0.30,39.075,0.9983,nan,0.10019,0.9091
0,5,0.40,35.561,0.9962,nan,0.15016,0.8268
0,5,0.50,32.727,0.9926,nan,0.20807,0.7965
0,6,0.10,55.792,0.9999,0.00057,0.01727,0.9394
0,6,0.20,47.663,0.9996,nan,0.04402,0.9177
0,6,0.30,40.702,0.9982,nan,0.09812,0.8571
0,6,0.40,35.373,0.9938,nan,0.18122,0.7662
0,6,0.50,32.459,0.9879,nan,0.25345,0.6764
0,7,0.10,52.907,0.9999,nan,0.02145,0.9697
0,7,0.20,46.169,0.9997,nan,0.04659,0.8788
0,7,0.30,42.187,0.9992,nan,0.07368,0.8485
0,7,0.40,36.620,0.9973,nan,0.13987,0.7576
0,7,0.50,32.711,0.9933,nan,0.21937,0.6537
0,8,0.10,63.592,1.0000,0.00004,0.00533,1.0000
0,8,0.20,52.301,0.9999,0.00095,0.01956,0.9697
0,8,0.30,46.963,0.9998,0.00223,0.03616,0.9394
0,8,0.40,43.105,0.9995,0.00539,0.05639,0.9697
0,8,0.50,39.791,0.9989,nan,0.08257,0.9394
0,9,0.10,55.318,1.0000,0.00077,0.01700,1.0000
0,9,0.20,44.694,0.9996,nan,0.05775,0.9697
0,9,0.30,39.435,0.9988,nan,0.10580,0.8052
0,9,0.40,35.236,0.9967,nan,0.17159,0.7446
0,9,0.50,31.725,0.9926,nan,0.25705,0.6320
0,10,0.10,51.390,1.0000,nan,0.02930,0.8052
0,10,0.20,43.180,0.9997,nan,0.07540,0.6551
0,10,0.30,39.104,0.9992,nan,0.12056,0.5855
0,10,0.40,32.778,0.9964,nan,0.24974,0.4105
0,10,0.50,28.207,0.9896,nan,0.42275,0.4105
0,11,0.10,60.615,1.0000,0.00010,0.00717,1.0000
0,11,0.20,49.730,0.9999,0.00167,0.02509,1.0000
0,11,0.30,43.866,0.9996,0.00628,0.04928,0.9394
0,11,0.40,39.809,0.9990,nan,0.07862,0.9091
0,11,0.50,36.502,0.9978,nan,0.11505,0.8485
1,0,0.10,51.273,1.0000,nan,0.03004,0.4069
1,0,0.20,43.134,0.9997,nan,0.07668,0.4069
1,0,0.30,39.922,0.9994,nan,0.11099,0.3690
1,0,0.40,33.775,0.9976,nan,0.22523,0.3564
1,0,0.50,28.016,0.9911,nan,0.43710,0.3402
1,1,0.10,48.213,0.9999,nan,0.02883,0.8874
1,1,0.20,42.825,0.9996,nan,0.05362,0.8571
1,1,0.30,35.940,0.9979,nan,0.11845,0.7359
1,1,0.40,32.894,0.9958,nan,0.16821,0.7662
1,1,0.50,30.215,0.9922,nan,0.22897,0.7056
1,2,0.10,55.306,1.0000,0.00039,0.01101,0.9394
1,2,0.20,48.940,0.9999,0.00187,0.02292,0.9091
1,2,0.30,43.588,0.9997,0.00596,0.04244,0.8571
1,2,0.40,40.416,0.9994,nan,0.06115,0.9091
1,2,0.50,36.932,0.9987,nan,0.09132,0.8268
1,3,0.10,58.550,1.0000,0.00020,0.01027,0.9394
1,3,0.20,51.737,0.9999,0.00104,0.02251,0.9394
1,3,0.30,47.523,0.9998,nan,0.03656,0.9091
1,3,0.40,43.696,0.9995,0.00462,0.05681,0.9091
1,3,0.50,40.388,0.9989,0.00944,0.08313,0.8788
1,4,0.10,65.808,1.0000,nan,0.00556,0.9697
1,4,0.20,53.509,0.9999,nan,0.02289,0.9091
1,4,0.30,46.998,0.9997,nan,0.04844,0.8571
1,4,0.40,42.433,0.9991,nan,0.08194,0.7662
1,4,0.50,38.608,0.9977,nan,0.12727,0.7316
1,5,0.10,52.813,1.0000,0.00024,0.01441,0.9091
1,5,0.20,45.919,0.9998,0.00584,0.03188,0.9394
1,5,0.30,40.982,0.9993,nan,0.05628,0.9091
1,5,0.40,37.540,0.9985,nan,0.08364,0.8268
1,5,0.50,35.662,0.9977,nan,0.10384,0.8268
1,6,0.10,50.268,0.9999,nan,0.02748,1.0000
1,6,0.20,43.481,0.9994,nan,0.06003,0.9394
1,6,0.30,38.947,0.9984,nan,0.10117,0.8788
1,6,0.40,36.067,0.9969,nan,0.14095,0.8788
1,6,0.50,32.207,0.9924,nan,0.21982,0.8182
1,7,0.10,54.981,1.0000,0.00066,0.01611,0.9697
1,7,0.20,49.575,0.9998,0.00089,0.03002,0.8788
1,7,0.30,43.205,0.9993,0.00524,0.06250,0.8485
1,7,0.40,40.038,0.9986,nan,0.09000,0.8485
1,7,0.50,35.640,0.9960,nan,0.14933,0.8182
1,8,0.10,59.232,1.0000,nan,0.01174,0.9697
1,8,0.20,49.514,0.9998,nan,0.03594,0.8874
1,8,0.30,44.690,0.9994,nan,0.06264,0.8788
1,8,0.40,42.489,0.9991,nan,0.08070,0.8268
1,8,0.50,38.005,0.9974,nan,0.13522,0.7359
1,9,0.10,52.302,1.0000,nan,0.02669,0.4441
1,9,0.20,42.130,0.9996,nan,0.08608,0.3759
1,9,0.30,40.115,0.9994,nan,0.10855,0.4048
1,9,0.40,33.985,0.9976,nan,0.21985,0.3654
1,9,0.50,27.460,0.9890,nan,0.46601,0.3759
1,10,0.10,59.977,1.0000,0.00022,0.00964,1.0000
1,10,0.20,50.717,0.9999,0.00266,0.02799,0.9091
1,10,0.30,46.321,0.9998,0.00533,0.04643,0.8182
1,10,0.40,42.051,0.9993,nan,0.07592,0.7359
1,10,0.50,36.425,0.9976,nan,0.14509,0.5639
1,11,0.10,62.726,1.0000,0.00015,0.00602,1.0000
1,11,0.20,53.699,1.0000,0.00059,0.01702,1.0000
1,11,0.30,47.405,0.9998,nan,0.03512,0.9697
1,11,0.40,39.867,0.9988,nan,0.08365,0.9091
1,11,0.50,37.188,0.9978,nan,0.11387,0.8874
2,0,0.10,66.697,1.0000,nan,0.00504,0.9481
2,0,0.20,56.903,1.0000,nan,0.01556,0.8874
2,0,0.30,51.794,0.9999,nan,0.02803,0.8409
2,0,0.40,47.424,0.9998,nan,0.04635,0.7662
2,0,0.50,44.527,0.9997,nan,0.06470,0.7576
2,1,0.10,63.692,1.0000,0.00003,0.00628,1.0000
2,1,0.20,51.222,0.9999,0.00101,0.02638,0.9091
2,1,0.30,45.493,0.9994,0.00250,0.05102,0.8571
2,1,0.40,41.860,0.9987,nan,0.07752,0.8788
2,1,0.50,39.318,0.9977,nan,0.10387,0.8571
2,2,0.10,57.693,1.0000,nan,0.01427,0.9177
2,2,0.20,50.169,0.9999,nan,0.03394,0.8355
2,2,0.30,46.487,0.9997,nan,0.05186,0.8193
2,2,0.40,42.646,0.9992,nan,0.08070,0.6840
2,2,0.50,39.317,0.9983,nan,0.11840,0.6537
2,3,0.10,76.015,1.0000,nan,0.00174,0.9177
2,3,0.20,65.445,1.0000,nan,0.00587,0.9481
2,3,0.30,60.236,1.0000,nan,0.01070,0.8889
2,3,0.40,55.673,1.0000,nan,0.01810,0.8369
2,3,0.50,50.571,0.9999,nan,0.03256,0.8182
2,4,0.10,64.088,1.0000,nan,0.00682,0.9697
2,4,0.20,53.707,0.9999,nan,0.02252,0.9015
2,4,0.30,49.334,0.9998,nan,0.03726,0.8874
2,4,0.40,44.436,0.9995,nan,0.06547,0.8052
2,4,0.50,40.848,0.9989,nan,0.09897,0.6299
2,5,0.10,60.134,1.0000,nan,0.01080,0.9481
2,5,0.20,50.825,0.9999,nan,0.03155,0.8874
2,5,0.30,45.552,0.9997,nan,0.05789,0.8571
2,5,0.40,40.921,0.9992,nan,0.09867,0.7587
2,5,0.50,37.598,0.9982,nan,0.14465,0.7284
2,6,0.10,61.514,1.0000,nan,0.00920,0.9481
2,6,0.20,51.455,0.9999,nan,0.02930,0.9091
2,6,0.30,45.758,0.9997,nan,0.05646,0.8182
2,6,0.40,42.381,0.9994,nan,0.08329,0.6753
2,6,0.50,39.515,0.9989,nan,0.11585,0.6623
2,7,0.10,67.187,1.0000,nan,0.00477,0.9481
2,7,0.20,59.200,1.0000,nan,0.01197,0.9177
2,7,0.30,48.614,0.9999,nan,0.04050,0.7965
2,7,0.40,44.989,0.9997,nan,0.06148,0.7359
2,7,0.50,41.524,0.9994,nan,0.09161,0.7359
2,8,0.10,63.204,1.0000,nan,0.00738,0.9697
2,8,0.20,54.079,1.0000,nan,0.02109,0.9177
2,8,0.30,48.465,0.9998,nan,0.04025,0.8874
2,8,0.40,45.676,0.9997,nan,0.05549,0.8268
2,8,0.50,43.084,0.9995,nan,0.07479,0.8571
2,9,0.10,64.282,1.0000,0.00009,0.00638,1.0000
2,9,0.20,54.130,1.0000,nan,0.02053,0.9394
2,9,0.30,49.757,0.9999,nan,0.03397,0.8874
2,9,0.40,46.050,0.9997,nan,0.05206,0.8874
2,9,0.50,41.821,0.9993,nan,0.08471,0.7500
2,10,0.10,59.770,1.0000,nan,0.01110,0.9394
2,10,0.20,52.246,0.9999,nan,0.02639,0.8788
2,10,0.30,47.068,0.9998,nan,0.04789,0.8106
2,10,0.40,43.205,0.9994,nan,0.07472,0.8409
2,10,0.50,39.884,0.9987,nan,0.10952,0.7803
2,11,0.10,60.687,1.0000,nan,0.00986,0.9394
2,11,0.20,50.275,0.9999,nan,0.03268,0.8571
2,11,0.30,43.210,0.9996,nan,0.07371,0.8571
2,11,0.40,39.127,0.9989,nan,0.11795,0.6894
2,11,0.50,36.542,0.9980,nan,0.15883,0.6894
3,0,0.10,64.824,1.0000,0.00022,0.00600,1.0000
3,0,0.20,55.047,1.0000,nan,0.01849,0.9394
3,0,0.30,50.548,0.9999,nan,0.03103,0.9177
3,0,0.40,44.787,0.9996,nan,0.06024,0.8571
3,0,0.50,40.022,0.9988,nan,0.10426,0.8052
3,1,0.10,61.138,1.0000,0.00137,0.00938,0.9697
3,1,0.20,51.383,0.9999,nan,0.02883,0.8788
3,1,0.30,45.923,0.9998,nan,0.05406,0.8571
3,1,0.40,41.673,0.9993,nan,0.08818,0.7673
3,1,0.50,38.662,0.9987,nan,0.12471,0.7532
3,2,0.10,61.972,1.0000,nan,0.00831,0.9697
3,2,0.20,51.562,0.9999,nan,0.02756,0.9091
3,2,0.30,45.599,0.9998,nan,0.05475,0.8571
3,2,0.40,42.379,0.9995,nan,0.07933,0.7749
3,2,0.50,39.032,0.9990,nan,0.11662,0.7500
3,3,0.10,67.418,1.0000,0.00017,0.00435,0.9697
3,3,0.20,56.908,1.0000,nan,0.01460,0.9394
3,3,0.30,49.817,0.9999,nan,0.03303,0.8788
3,3,0.40,45.817,0.9998,nan,0.05235,0.7576
3,3,0.50,42.344,0.9996,nan,0.07808,0.8788
3,4,0.10,56.587,1.0000,nan,0.01605,0.9177
3,4,0.20,45.669,0.9998,nan,0.05640,0.7532
3,4,0.30,41.090,0.9993,nan,0.09555,0.6245
3,4,0.40,36.809,0.9982,nan,0.15642,0.5509
3,4,0.50,34.068,0.9966,nan,0.21444,0.5725
3,5,0.10,59.604,1.0000,nan,0.01145,0.9177
3,5,0.20,52.191,0.9999,nan,0.02687,0.8712
3,5,0.30,47.984,0.9997,nan,0.04362,0.8586
3,5,0.40,43.729,0.9993,nan,0.07119,0.8409
3,5,0.50,39.658,0.9981,nan,0.11375,0.7359
3,6,0.10,71.722,1.0000,0.00021,0.00280,0.9697
3,6,0.20,61.651,1.0000,nan,0.00892,0.9394
3,6,0.30,56.846,1.0000,nan,0.01551,0.8268
3,6,0.40,52.320,1.0000,nan,0.02612,0.7229
3,6,0.50,49.623,0.9999,nan,0.03564,0.7749
3,7,0.10,74.212,1.0000,nan,0.00208,0.9697
3,7,0.20,65.615,1.0000,nan,0.00561,0.9091
3,7,0.30,59.061,1.0000,nan,0.01192,0.9091
3,7,0.40,53.323,1.0000,nan,0.02308,0.7749
3,7,0.50,48.915,0.9999,nan,0.03834,0.6677
3,8,0.10,66.214,1.0000,0.00011,0.00504,0.9697
3,8,0.20,59.519,1.0000,nan,0.01089,0.9697
3,8,0.30,53.787,1.0000,nan,0.02106,1.0000
3,8,0.40,49.439,0.9999,nan,0.03474,0.9697
3,8,0.50,45.635,0.9997,nan,0.05383,0.9091
3,9,0.10,63.216,1.0000,nan,0.00714,0.9091
3,9,0.20,54.648,1.0000,nan,0.01914,0.9091
3,9,0.30,48.214,0.9999,nan,0.04014,0.8571
3,9,0.40,43.924,0.9996,nan,0.06578,0.7965
3,9,0.50,40.189,0.9991,nan,0.10113,0.7587
3,10,0.10,60.379,1.0000,nan,0.01034,0.9697
3,10,0.20,52.597,1.0000,nan,0.02533,0.8571
3,10,0.30,46.648,0.9998,nan,0.05025,0.8658
3,10,0.40,42.624,0.9995,nan,0.07986,0.8571
3,10,0.50,38.385,0.9987,nan,0.13010,0.7446
3,11,0.10,60.357,1.0000,nan,0.00988,0.9697
3,11,0.20,55.106,1.0000,nan,0.01808,0.9091
3,11,0.30,51.667,0.9999,nan,0.02686,0.9091
3,11,0.40,45.632,0.9998,nan,0.05381,0.7835
3,11,0.50,40.292,0.9993,nan,0.09951,0.7532
4,0,0.10,69.290,1.0000,nan,0.00363,1.0000
4,0,0.20,59.839,1.0000,nan,0.01077,0.9481
4,0,0.30,55.375,1.0000,nan,0.01800,0.8139
4,0,0.40,50.271,0.9999,nan,0.03240,0.7143
4,0,0.50,45.963,0.9998,nan,0.05320,0.6926
4,1,0.10,58.750,1.0000,nan,0.01163,0.9481
4,1,0.20,51.112,0.9999,nan,0.02803,0.9697
4,1,0.30,45.219,0.9997,nan,0.05524,0.8485
4,1,0.40,40.990,0.9993,nan,0.08988,0.7965
4,1,0.50,37.728,0.9985,nan,0.13085,0.7587
4,2,0.10,57.482,1.0000,0.00029,0.01162,0.9697
4,2,0.20,51.617,0.9999,0.00111,0.02282,0.9697
4,2,0.30,46.212,0.9997,nan,0.04251,0.9394
4,2,0.40,41.170,0.9991,nan,0.07597,0.8182
4,2,0.50,37.919,0.9982,nan,0.11045,0.7879
4,3,0.10,58.399,1.0000,0.00042,0.01121,0.9697
4,3,0.20,51.196,0.9999,nan,0.02568,0.9091
4,3,0.30,46.026,0.9998,nan,0.04658,0.8182
4,3,0.40,42.831,0.9996,nan,0.06728,0.7662
4,3,0.50,39.372,0.9991,nan,0.10019,0.5869
4,4,0.10,61.996,1.0000,0.00025,0.00778,0.9697
4,4,0.20,54.284,1.0000,nan,0.01891,0.8788
4,4,0.30,49.738,0.9999,nan,0.03191,0.8182
4,4,0.40,45.321,0.9998,nan,0.05306,0.8788
4,4,0.50,42.422,0.9996,nan,0.07408,0.7879
4,5,0.10,60.047,1.0000,0.00010,0.01051,0.9394
4,5,0.20,52.731,0.9999,0.00070,0.02439,0.9394
