layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,3.14542,2.47144,0.67399,3.66690,7.35949,-0.00000,0.51260,0,0.05103,1.58025,11,121,16
0,1,7.62240,2.50442,5.11797,0.48934,7.65793,-0.00000,0.36957,1,0.19724,1.26733,11,121,16
0,2,17.66888,5.89417,11.77471,0.50058,7.25951,-0.00000,0.55095,1,0.10532,1.80282,11,121,16
0,3,11.10375,5.70884,5.39491,1.05819,7.09897,-0.00000,0.59927,0,0.05738,1.95420,11,121,16
0,4,3.96972,2.05665,1.91308,1.07505,7.52693,-0.00000,0.43986,0,0.10640,1.38378,11,121,16
0,5,5.63132,2.89695,2.73437,1.05946,7.42488,-0.00000,0.48865,0,0.10019,1.50588,11,121,16
0,6,4.61815,2.48403,2.13412,1.16396,7.53991,-0.00000,0.43317,0,0.09812,1.39891,11,121,16
0,7,6.65680,2.76540,3.89140,0.71065,7.32748,-0.00000,0.52552,1,0.07368,1.57055,11,121,16
0,8,5.77349,3.80093,1.97256,1.92690,6.93570,-0.00000,0.63501,0,0.03616,2.13333,11,121,16
0,9,7.42714,2.61104,4.81610,0.54215,7.30492,-0.00000,0.52085,1,0.10580,1.52381,11,121,16
0,10,19.11717,6.12390,12.99327,0.47131,7.35098,-0.00000,0.51887,1,0.12056,1.68421,11,121,16
0,11,4.57975,2.11675,2.46301,0.85942,7.16813,-0.00000,0.57390,1,0.04928,1.77778,11,121,16
1,0,22.68036,6.73751,15.94285,0.42260,7.34210,-0.00000,0.52110,1,0.11099,1.70667,11,121,16
1,1,5.86694,2.74282,3.12412,0.87795,7.41036,-0.00000,0.49518,1,0.11845,1.53293,11,121,16
1,2,5.03255,2.64317,2.38938,1.10621,6.93159,-0.00000,0.63790,0,0.04244,2.22609,11,121,16
1,3,4.49444,2.42605,2.06839,1.17292,7.01278,-0.00000,0.62326,0,0.03656,2.15126,11,121,16
1,4,5.21240,2.48364,2.72876,0.91017,7.20520,-0.00000,0.56094,1,0.04844,1.72973,11,121,16
1,5,3.84141,2.23759,1.60382,1.39516,7.19226,-0.00000,0.57222,0,0.05628,1.81560,11,121,16
1,6,7.28667,3.31999,3.96668,0.83697,7.32161,-0.00000,0.52446,1,0.10117,1.58025,11,121,16
1,7,4.26809,2.34376,1.92433,1.21796,7.23737,-0.00000,0.54844,0,0.06250,1.63057,11,121,16
1,8,5.27887,2.36948,2.90939,0.81443,7.32649,-0.00000,0.52426,1,0.06264,1.65161,11,121,16
1,9,21.98974,6.77474,15.21499,0.44527,7.34804,-0.00000,0.51945,1,0.10855,1.69536,11,121,16
1,10,7.20029,2.36904,4.83125,0.49036,7.22365,-0.00000,0.56319,1,0.04643,1.84173,11,121,16
1,11,5.02664,2.70781,2.31883,1.16775,7.17105,-0.00000,0.57719,0,0.03512,1.88235,11,121,16
2,0,9.42597,3.75085,5.67513,0.66093,6.32461,-0.00000,0.73804,1,0.02803,3.76471,11,121,16
2,1,4.17911,2.88384,1.29527,2.22644,7.16422,-0.00000,0.57403,0,0.05102,1.88235,11,121,16
2,2,5.94191,2.59253,3.34938,0.77403,7.05328,-0.00000,0.60116,1,0.05186,1.91045,11,121,16
2,3,13.10829,4.55072,8.55757,0.53178,5.98236,-0.00000,0.79599,1,0.01070,5.33333,11,121,16
2,4,6.51132,2.78926,3.72206,0.74939,6.83828,-0.00000,0.64354,1,0.03726,2.16949,11,121,16
2,5,10.41883,3.97265,6.44618,0.61628,7.00535,-0.00000,0.62253,1,0.05789,2.15126,11,121,16
2,6,9.70751,3.35647,6.35105,0.52849,6.94253,-0.00000,0.63225,1,0.05646,2.18803,11,121,16
2,7,10.39575,3.59517,6.80057,0.52866,6.73781,-0.00000,0.68240,1,0.04050,2.61224,11,121,16
2,8,7.73644,3.59567,4.14078,0.86836,6.58300,-0.00000,0.69613,1,0.04025,2.94253,11,121,16
2,9,7.21121,3.35580,3.85541,0.87041,6.61965,-0.00000,0.68526,1,0.03397,2.61224,11,121,16
2,10,7.19865,2.85082,4.34783,0.65569,7.03908,-0.00000,0.61318,1,0.04789,2.09836,11,121,16
2,11,10.56460,3.90509,6.65951,0.58639,7.01764,-0.00000,0.61673,1,0.07371,2.06452,11,121,16
3,0,6.58233,3.22763,3.35470,0.96212,6.87298,-0.00000,0.64308,1,0.03103,2.15126,11,121,16
3,1,8.90960,3.47799,5.43161,0.64032,6.91946,-0.00000,0.63726,1,0.05406,2.18803,11,121,16
3,2,9.86649,3.89984,5.96665,0.65361,6.73182,-0.00000,0.66766,1,0.05475,2.39252,11,121,16
3,3,10.12530,3.47329,6.65201,0.52214,6.62261,-0.00000,0.69709,1,0.03303,2.81319,11,121,16
3,4,10.93342,3.84812,7.08531,0.54311,7.24905,-0.00000,0.55501,1,0.09555,1.76552,11,121,16
3,5,5.24052,2.51094,2.72957,0.91990,7.06104,-0.00000,0.59768,1,0.04362,1.91045,11,121,16
3,6,12.67199,4.67096,8.00103,0.58380,6.08240,-0.00000,0.78707,1,0.01551,4.57143,11,121,16
3,7,12.31346,4.61300,7.70046,0.59906,5.99691,-0.00000,0.79684,1,0.01192,5.33333,11,121,16
3,8,7.38717,4.28690,3.10027,1.38275,6.58097,-0.00000,0.71292,0,0.02106,3.04762,11,121,16
3,9,8.76708,3.79636,4.97072,0.76374,6.63589,-0.00000,0.68945,1,0.04014,2.78261,11,121,16
3,10,12.31984,4.02346,8.29638,0.48497,6.89686,-0.00000,0.65086,1,0.05025,2.32727,11,121,16
3,11,10.07192,3.99989,6.07203,0.65874,6.62340,-0.00000,0.69909,1,0.02686,2.75269,11,121,16
4,0,10.72052,3.92840,6.79213,0.57838,6.20451,-0.00000,0.75695,1,0.01800,4.12903,11,121,16
4,1,8.55059,3.21293,5.33766,0.60194,6.92854,-0.00000,0.62354,1,0.05524,2.00000,11,121,16
4,2,5.64454,2.69128,2.95326,0.91129,6.99901,-0.00000,0.61763,1,0.04251,2.00000,11,121,16
4,3,8.30991,3.22123,5.08867,0.63302,6.69911,-0.00000,0.67047,1,0.04658,2.41509,11,121,16
4,4,10.07246,3.85505,6.21741,0.62004,6.41826,-0.00000,0.72060,1,0.03191,3.24051,11,121,16
4,5,5.17753,2.32850,2.84904,0.81729,7.08165,-0.00000,0.59435,1,0.04277,1.95420,11,121,16
4,6,11.42409,4.09752,7.32657,0.55927,6.08557,-0.00000,0.77365,1,0.02319,5.56522,11,121,16
4,7,10.49901,3.98996,6.50905,0.61299,6.49080,-0.00000,0.72704,1,0.03059,3.36842,11,121,16
4,8,5.57000,2.70811,2.86188,0.94627,7.04452,-0.00000,0.59944,1,0.05190,1.89630,11,121,16
4,9,12.76548,4.46348,8.30200,0.53764,5.88629,-0.00000,0.80370,1,0.01381,6.73684,11,121,16
4,10,5.47804,2.70551,2.77253,0.97583,7.12424,-0.00000,0.58548,1,0.05190,1.88235,11,121,16
4,11,5.88526,2.92025,2.96501,0.98490,6.79271,-0.00000,0.65643,1,0.03713,2.24561,11,121,16
5,0,10.54451,7.96790,2.57661,3.09240,6.57252,-0.00000,0.71415,0,0.02409,3.04762,11,121,16
5,1,13.68536,9.49527,4.19009,2.26613,6.53336,-0.00000,0.72310,0,0.03121,3.32468,11,121,16
5,2,8.18826,6.43784,1.75043,3.67787,6.70691,-0.00000,0.68449,0,0.03881,2.66667,11,121,16
5,3,9.82990,6.76354,3.06636,2.20572,6.97382,-0.00000,0.62686,0,0.06416,2.11570,11,121,16
5,4,16.70871,10.30385,6.40486,1.60875,6.47658,-0.00000,0.72885,0,0.02486,3.45946,11,121,16
5,5,9.42445,7.45076,1.97368,3.77505,6.53752,-0.00000,0.71929,0,0.02220,3.08434,11,121,16
5,6,11.80419,8.83751,2.96668,2.97893,6.38792,-0.00000,0.74859,0,0.01473,3.76471,11,121,16
5,7,19.00528,12.55638,6.44890,1.94706,6.18098,-0.00000,0.77816,0,0.01514,5.56522,11,121,16
5,8,7.89598,6.05510,1.84088,3.28924,6.85998,-0.00000,0.65010,0,0.05872,2.30631,11,121,16
5,9,7.74029,6.21823,1.52207,4.08539,6.66093,-0.00000,0.69540,0,0.03202,2.75269,11,121,16
5,10,12.72153,8.73284,3.98869,2.18940,6.52758,-0.00000,0.72498,0,0.02702,3.24051,11,121,16
5,11,16.41233,10.82498,5.58735,1.93741,6.33501,-0.00000,0.75312,0,0.02453,4.41379,11,121,16
