layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.8935,7.3421,22.68036,0.5211,1.7067,1
1,9,0.8935,7.3480,21.98974,0.5194,1.6954,1
5,0,0.8459,6.5725,10.54451,0.7141,3.0476,2
5,5,0.8459,6.5375,9.42445,0.7193,3.0843,2
5,2,0.8304,6.7069,8.18826,0.6845,2.6667,2
5,8,0.8106,6.8600,7.89598,0.6501,2.3063,1
5,6,0.7932,6.3879,11.80419,0.7486,3.7647,1
2,7,0.7892,6.7378,10.39575,0.6824,2.6122,1
3,11,0.7892,6.6234,10.07192,0.6991,2.7527,2
3,1,0.7867,6.9195,8.90960,0.6373,2.1880,1
3,2,0.7867,6.7318,9.86649,0.6677,2.3925,1
2,5,0.7751,7.0053,10.41883,0.6225,2.1513,1
2,11,0.7751,7.0176,10.56460,0.6167,2.0645,1
3,9,0.7728,6.6359,8.76708,0.6895,2.7826,3
4,3,0.7728,6.6991,8.30991,0.6705,2.4151,1
3,3,0.7707,6.6226,10.12530,0.6971,2.8132,1
2,10,0.7584,7.0391,7.19865,0.6132,2.0984,1
3,0,0.7584,6.8730,6.58233,0.6431,2.1513,1
2,4,0.7421,6.8383,6.51132,0.6435,2.1695,1
4,5,0.7421,7.0816,5.17753,0.5944,1.9542,1
0,0,0.0000,7.3595,3.14542,0.5126,1.5802,0
0,1,0.0000,7.6579,7.62240,0.3696,1.2673,0
0,2,0.0000,7.2595,17.66888,0.5510,1.8028,0
0,3,0.0000,7.0990,11.10375,0.5993,1.9542,0
0,4,0.0000,7.5269,3.96972,0.4399,1.3838,0
0,5,0.0000,7.4249,5.63132,0.4887,1.5059,0
0,6,0.0000,7.5399,4.61815,0.4332,1.3989,0
0,7,0.0000,7.3275,6.65680,0.5255,1.5706,0
0,8,0.0000,6.9357,5.77349,0.6350,2.1333,0
0,9,0.0000,7.3049,7.42714,0.5208,1.5238,0
0,10,0.0000,7.3510,19.11717,0.5189,1.6842,0
0,11,0.0000,7.1681,4.57975,0.5739,1.7778,0
1,1,0.0000,7.4104,5.86694,0.4952,1.5329,0
1,2,0.0000,6.9316,5.03255,0.6379,2.2261,0
1,3,0.0000,7.0128,4.49444,0.6233,2.1513,0
1,4,0.0000,7.2052,5.21240,0.5609,1.7297,0
1,5,0.0000,7.1923,3.84141,0.5722,1.8156,0
1,6,0.0000,7.3216,7.28667,0.5245,1.5802,0
1,7,0.0000,7.2374,4.26809,0.5484,1.6306,0
1,8,0.0000,7.3265,5.27887,0.5243,1.6516,0
1,10,0.0000,7.2236,7.20029,0.5632,1.8417,0
1,11,0.0000,7.1711,5.02664,0.5772,1.8824,0
2,0,0.0000,6.3246,9.42597,0.7380,3.7647,0
2,1,0.0000,7.1642,4.17911,0.5740,1.8824,0
2,2,0.0000,7.0533,5.94191,0.6012,1.9104,0
2,3,0.0000,5.9824,13.10829,0.7960,5.3333,0
2,6,0.0000,6.9425,9.70751,0.6322,2.1880,0
2,8,0.0000,6.5830,7.73644,0.6961,2.9425,0
2,9,0.0000,6.6196,7.21121,0.6853,2.6122,0
3,4,0.0000,7.2490,10.93342,0.5550,1.7655,0
3,5,0.0000,7.0610,5.24052,0.5977,1.9104,0
3,6,0.0000,6.0824,12.67199,0.7871,4.5714,0
3,7,0.0000,5.9969,12.31346,0.7968,5.3333,0
3,8,0.0000,6.5810,7.38717,0.7129,3.0476,0
3,10,0.0000,6.8969,12.31984,0.6509,2.3273,0
4,0,0.0000,6.2045,10.72052,0.7570,4.1290,0
4,1,0.0000,6.9285,8.55059,0.6235,2.0000,0
4,2,0.0000,6.9990,5.64454,0.6176,2.0000,0
4,4,0.0000,6.4183,10.07246,0.7206,3.2405,0
4,6,0.0000,6.0856,11.42409,0.7737,5.5652,0
4,7,0.0000,6.4908,10.49901,0.7270,3.3684,0
4,8,0.0000,7.0445,5.57000,0.5994,1.8963,0
4,9,0.0000,5.8863,12.76548,0.8037,6.7368,0
4,10,0.0000,7.1242,5.47804,0.5855,1.8824,0
4,11,0.0000,6.7927,5.88526,0.6564,2.2456,0
5,1,0.0000,6.5334,13.68536,0.7231,3.3247,0
5,3,0.0000,6.9738,9.82990,0.6269,2.1157,0
5,4,0.0000,6.4766,16.70871,0.7289,3.4595,0
5,7,0.0000,6.1810,19.00528,0.7782,5.5652,0
5,9,0.0000,6.6609,7.74029,0.6954,2.7527,0
5,10,0.0000,6.5276,12.72153,0.7250,3.2405,0
5,11,0.0000,6.3350,16.41233,0.7531,4.4138,0
