layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.8930,7.1938,22.68036,0.5714,1.8286,1
1,9,0.8930,7.2019,21.98974,0.5688,1.8156,1
5,0,0.8447,6.5681,10.54451,0.7130,3.0843,2
5,5,0.8447,6.5182,9.42445,0.7209,3.2821,2
2,11,0.8291,6.9360,10.56460,0.6412,2.2261,2
3,2,0.8291,6.6964,9.86649,0.6830,2.5600,2
5,2,0.8284,6.5910,8.18826,0.7123,2.9091,2
5,8,0.8062,6.8091,7.89598,0.6635,2.4381,1
2,7,0.7950,6.7524,10.39575,0.6839,2.7234,1
3,11,0.7950,6.6684,10.07192,0.6925,2.7527,2
5,6,0.7944,6.3232,11.80419,0.7622,3.6571,1
3,1,0.7897,6.8646,8.90960,0.6528,2.2655,1
2,5,0.7731,6.8225,10.41883,0.6641,2.3486,1
3,9,0.7675,6.5983,8.76707,0.7059,2.8764,3
4,3,0.7675,6.5957,8.30991,0.7035,3.0476,1
2,10,0.7627,7.0290,7.19865,0.6143,2.0984,1
3,0,0.7627,6.8601,6.58233,0.6486,2.2655,1
3,3,0.7585,6.5672,10.12530,0.7158,3.2000,1
2,4,0.7414,6.9372,6.51132,0.6209,2.0157,1
4,5,0.7414,7.1734,5.17753,0.5616,1.7534,1
0,0,0.0000,7.2891,3.14542,0.5369,1.7181,0
0,1,0.0000,7.5383,7.62240,0.4391,1.3989,0
0,2,0.0000,7.0673,17.66888,0.6104,2.0645,0
0,3,0.0000,7.0346,11.10375,0.6129,2.0317,0
0,4,0.0000,7.4628,3.96972,0.4655,1.5059,0
0,5,0.0000,7.4382,5.63132,0.4779,1.5059,0
0,6,0.0000,7.4519,4.61815,0.4775,1.4798,0
0,7,0.0000,7.3993,6.65680,0.4925,1.4629,0
0,8,0.0000,7.0744,5.77349,0.5974,1.9542,0
0,9,0.0000,7.1993,7.42714,0.5633,1.8286,0
0,10,0.0000,7.2055,19.11717,0.5684,1.8028,0
0,11,0.0000,7.2526,4.57975,0.5417,1.6623,0
1,1,0.0000,7.1878,5.86694,0.5644,1.7181,0
1,2,0.0000,6.9536,5.03255,0.6281,2.1333,0
1,3,0.0000,7.0676,4.49444,0.5981,1.9248,0
1,4,0.0000,7.2772,5.21240,0.5345,1.6203,0
1,5,0.0000,7.2434,3.84141,0.5517,1.6842,0
1,6,0.0000,7.3138,7.28667,0.5310,1.6101,0
1,7,0.0000,7.1502,4.26809,0.5714,1.7655,0
1,8,0.0000,7.4596,5.27887,0.4688,1.4545,0
1,10,0.0000,7.2268,7.20029,0.5608,1.7655,0
1,11,0.0000,7.1336,5.02664,0.5820,1.8156,0
2,0,0.0000,6.4668,9.42597,0.7108,3.1220,0
2,1,0.0000,7.2367,4.17911,0.5517,1.7181,0
2,2,0.0000,7.0818,5.94191,0.5843,1.8156,0
2,3,0.0000,5.9366,13.10829,0.8016,6.9189,0
2,6,0.0000,6.7287,9.70751,0.6814,2.6947,0
2,8,0.0000,6.6286,7.73644,0.6906,2.7527,0
2,9,0.0000,6.6866,7.21121,0.6669,2.4615,0
3,4,0.0000,7.1903,10.93342,0.5730,1.8417,0
3,5,0.0000,7.0684,5.24052,0.5927,1.8963,0
3,6,0.0000,6.0789,12.67199,0.7918,5.0196,0
3,7,0.0000,6.0067,12.31346,0.7934,5.6889,0
3,8,0.0000,6.4845,7.38717,0.7209,3.1220,0
3,10,0.0000,6.7982,12.31984,0.6696,2.4381,0
4,0,0.0000,6.2401,10.72052,0.7574,4.0635,0
4,1,0.0000,6.8696,8.55059,0.6444,2.2261,0
4,2,0.0000,7.0676,5.64454,0.5966,1.8963,0
4,4,0.0000,6.3405,10.07246,0.7452,3.8209,0
4,6,0.0000,6.0112,11.42409,0.7895,6.4000,0
4,7,0.0000,6.4955,10.49901,0.7328,3.2405,0
4,8,0.0000,7.1798,5.57000,0.5552,1.6732,0
4,9,0.0000,5.7346,12.76548,0.8257,8.2581,0
4,10,0.0000,7.0490,5.47804,0.6060,2.0000,0
4,11,0.0000,6.9251,5.88526,0.6174,2.0645,0
5,1,0.0000,6.4097,13.68536,0.7472,3.6571,0
5,3,0.0000,6.8546,9.82990,0.6550,2.3273,0
5,4,0.0000,6.4100,16.70871,0.7469,3.8209,0
5,7,0.0000,6.1407,19.00528,0.7895,5.3333,0
5,9,0.0000,6.6269,7.74029,0.7047,2.9091,0
5,10,0.0000,6.4427,12.72153,0.7408,3.5068,0
5,11,0.0000,6.2535,16.41233,0.7734,4.5714,0
