layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.13329,1.79153,0.34177,5.24194,7.11955,-0.00000,0.59194,0,0.02418,2.09836,13,169,16
0,1,4.63889,2.31110,2.32779,0.99283,7.40044,-0.00000,0.49846,1,0.08515,1.56098,13,169,16
0,2,13.99834,6.56487,7.43348,0.88315,7.07511,-0.00000,0.60630,1,0.05498,2.00000,13,169,16
0,3,7.16649,4.66170,2.50478,1.86112,6.83269,-0.00000,0.66387,0,0.03385,2.43810,13,169,16
0,4,3.10351,2.17070,0.93281,2.32705,7.30831,-0.00000,0.52630,0,0.05949,1.65161,13,169,16
0,5,5.74737,2.87136,2.87601,0.99838,7.17982,-0.00000,0.56132,1,0.06694,1.76552,13,169,16
0,6,2.94013,1.74210,1.19802,1.45415,7.45307,-0.00000,0.47563,0,0.07344,1.52381,13,169,16
0,7,6.37641,2.96771,3.40870,0.87063,7.25834,-0.00000,0.54721,1,0.09258,1.68421,13,169,16
0,8,4.79364,3.32260,1.47105,2.25866,7.01997,-0.00000,0.61330,0,0.04526,2.03175,13,169,16
0,9,8.09325,5.19097,2.90228,1.78858,6.78630,-0.00000,0.66001,0,0.06281,2.43810,13,169,16
0,10,12.23067,5.12691,7.10376,0.72172,7.15253,-0.00000,0.58384,1,0.05322,1.93939,13,169,16
0,11,4.16680,2.79926,1.36754,2.04693,7.21643,-0.00000,0.55149,0,0.07899,1.67320,13,169,16
1,0,18.38710,7.28854,11.09857,0.65671,7.11488,-0.00000,0.59487,1,0.07525,2.03175,13,169,16
1,1,5.08269,3.35811,1.72458,1.94721,6.99699,-0.00000,0.62392,0,0.04269,2.09836,13,169,16
1,2,4.94782,3.65045,1.29737,2.81374,6.80607,-0.00000,0.66364,0,0.04180,2.43810,13,169,16
1,3,3.99698,2.82168,1.17530,2.40081,7.02285,-0.00000,0.61524,0,0.03394,2.03175,13,169,16
1,4,5.18929,3.40919,1.78010,1.91517,7.11582,-0.00000,0.57840,0,0.06431,1.82857,13,169,16
1,5,3.08786,2.48721,0.60065,4.14086,7.22899,-0.00000,0.54475,0,0.06258,1.66234,13,169,16
1,6,7.45573,3.77326,3.68247,1.02466,7.20689,-0.00000,0.55699,0,0.08308,1.76552,13,169,16
1,7,3.69496,2.99196,0.70301,4.25594,7.04963,-0.00000,0.59693,0,0.04708,1.95420,13,169,16
1,8,5.46664,3.19331,2.27333,1.40468,7.29497,-0.00000,0.53255,0,0.09611,1.63057,13,169,16
1,9,18.25048,7.16981,11.08067,0.64706,7.12618,-0.00000,0.59131,1,0.07890,2.01575,13,169,16
1,10,5.51222,3.46059,2.05162,1.68676,6.96374,-0.00000,0.62038,0,0.04099,2.03175,13,169,16
1,11,4.88450,3.29801,1.58649,2.07881,6.91700,-0.00000,0.64520,0,0.03164,2.30631,13,169,16
2,0,6.75117,4.70540,2.04577,2.30006,6.75399,-0.00000,0.66419,0,0.04696,2.43810,13,169,16
2,1,3.03040,2.02876,1.00164,2.02544,7.36079,-0.00000,0.50983,0,0.05709,1.63057,13,169,16
2,2,5.24764,3.79942,1.44822,2.62352,6.84459,-0.00000,0.64864,0,0.03903,2.24561,13,169,16
2,3,12.11258,8.15552,3.95705,2.06101,6.27553,-0.00000,0.74744,0,0.03716,3.82090,13,169,16
2,4,4.14241,2.52610,1.61632,1.56287,7.18942,-0.00000,0.56503,0,0.05856,1.76552,13,169,16
2,5,7.41442,4.59985,2.81457,1.63430,6.89353,-0.00000,0.64440,0,0.04519,2.30631,13,169,16
2,6,7.44410,4.99137,2.45272,2.03503,6.65808,-0.00000,0.68624,0,0.03086,2.66667,13,169,16
2,7,9.24865,5.21169,4.03696,1.29100,6.89422,-0.00000,0.65028,0,0.04246,2.34862,13,169,16
2,8,6.49099,4.40377,2.08722,2.10987,6.78902,-0.00000,0.66138,0,0.03522,2.34862,13,169,16
2,9,5.29492,3.88931,1.40561,2.76699,6.91873,-0.00000,0.62045,0,0.05643,2.09836,13,169,16
2,10,4.86027,3.36559,1.49467,2.25173,6.99125,-0.00000,0.61442,0,0.04570,2.04800,13,169,16
2,11,8.00902,4.89971,3.10931,1.57582,6.95781,-0.00000,0.63230,0,0.04808,2.22609,13,169,16
3,0,5.85472,4.34568,1.50903,2.87978,6.71366,-0.00000,0.67473,0,0.02903,2.56000,13,169,16
3,1,7.26861,4.47674,2.79188,1.60349,6.69749,-0.00000,0.68618,0,0.03364,2.63918,13,169,16
3,2,8.78292,5.65604,3.12687,1.80885,6.79866,-0.00000,0.66489,0,0.05090,2.43810,13,169,16
3,3,10.16699,6.81011,3.35689,2.02870,6.11405,-0.00000,0.77448,0,0.02112,5.22449,13,169,16
3,4,11.04288,5.07853,5.96435,0.85148,7.15843,-0.00000,0.58161,1,0.08210,1.91045,13,169,16
3,5,4.63554,2.71933,1.91621,1.41912,7.08321,-0.00000,0.59383,0,0.04468,1.98450,13,169,16
3,6,12.04799,8.49922,3.54878,2.39497,5.93105,-0.00000,0.80472,0,0.01019,5.56522,13,169,16
3,7,12.42810,8.40568,4.02243,2.08970,6.03957,-0.00000,0.79411,0,0.01157,4.74074,13,169,16
3,8,6.34327,4.62821,1.71506,2.69857,6.70828,-0.00000,0.67694,0,0.03454,2.58586,13,169,16
3,9,7.68242,5.18588,2.49654,2.07723,6.64325,-0.00000,0.68937,0,0.04360,2.78261,13,169,16
3,10,8.76858,3.88008,4.88849,0.79372,7.02075,-0.00000,0.62082,1,0.06611,2.11570,13,169,16
3,11,9.67787,6.40132,3.27655,1.95368,6.67431,-0.00000,0.68987,0,0.03463,2.63918,13,169,16
4,0,8.84087,5.40890,3.43197,1.57604,6.52190,-0.00000,0.72448,0,0.02411,3.36842,13,169,16
4,1,7.09272,4.55467,2.53805,1.79455,6.63873,-0.00000,0.69451,0,0.02794,2.72340,13,169,16
4,2,4.53639,3.19358,1.34281,2.37829,6.95542,-0.00000,0.61951,0,0.04144,2.03175,13,169,16
4,3,7.06249,4.76972,2.29277,2.08033,6.65811,-0.00000,0.68382,0,0.03742,2.63918,13,169,16
4,4,8.14093,4.99485,3.14607,1.58765,6.55243,-0.00000,0.71281,0,0.02305,2.97674,13,169,16
4,5,4.66509,2.74182,1.92326,1.42561,7.04382,-0.00000,0.60754,0,0.04153,1.96923,13,169,16
4,6,11.80191,8.14605,3.65586,2.22822,5.92373,-0.00000,0.80183,0,0.01426,5.81818,13,169,16
4,7,7.37143,4.66137,2.71006,1.72003,6.74246,-0.00000,0.67296,0,0.04910,2.53465,13,169,16
4,8,4.98601,3.59180,1.39421,2.57622,6.88427,-0.00000,0.63567,0,0.04202,2.16949,13,169,16
4,9,11.01090,7.43980,3.57110,2.08333,6.13545,-0.00000,0.77016,0,0.02257,4.41379,13,169,16
4,10,5.01856,3.36355,1.65501,2.03234,6.87831,-0.00000,0.64312,0,0.03792,2.24561,13,169,16
4,11,3.61149,2.64041,0.97108,2.71904,6.97047,-0.00000,0.62474,0,0.03619,2.22609,13,169,16
5,0,8.29643,5.84278,2.45364,2.38127,6.46504,-0.00000,0.73620,0,0.01844,3.41333,13,169,16
5,1,10.28247,6.12187,4.16060,1.47139,6.73438,-0.00000,0.68229,0,0.03994,2.58586,13,169,16
5,2,6.79279,4.71628,2.07651,2.27125,6.73311,-0.00000,0.68304,0,0.03133,2.66667,13,169,16
5,3,11.14958,6.90932,4.24026,1.62946,6.51378,-0.00000,0.72995,0,0.02652,3.45946,13,169,16
5,4,12.50994,7.01270,5.49723,1.27568,6.55019,-0.00000,0.72353,0,0.02876,3.50685,13,169,16
5,5,11.02121,6.67606,4.34515,1.53644,6.49772,-0.00000,0.73146,0,0.02842,3.71014,13,169,16
5,6,10.31753,6.82053,3.49700,1.95040,6.40142,-0.00000,0.74760,0,0.02519,4.12903,13,169,16
5,7,14.49957,8.90930,5.59026,1.59372,6.20810,-0.00000,0.77886,0,0.02037,5.01961,13,169,16
5,8,6.84098,4.48995,2.35103,1.90978,6.84910,-0.00000,0.65592,0,0.04298,2.37037,13,169,16
5,9,5.29372,3.98774,1.30599,3.05343,6.91948,-0.00000,0.63973,0,0.03185,2.15126,13,169,16
5,10,9.62717,6.14724,3.47993,1.76649,6.66873,-0.00000,0.70080,0,0.02389,2.87640,13,169,16
5,11,16.50860,9.27625,7.23235,1.28261,6.19290,-0.00000,0.77753,0,0.02301,5.44681,13,169,16
