layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.8894,7.1149,18.38710,0.5949,2.0317,1
1,9,0.8894,7.1262,18.25048,0.5913,2.0157,1
2,11,0.8346,6.9578,8.00902,0.6323,2.2261,2
3,2,0.8346,6.7987,8.78292,0.6649,2.4381,1
3,9,0.7981,6.6433,7.68242,0.6894,2.7826,1
4,3,0.7981,6.6581,7.06249,0.6838,2.6392,1
5,3,0.7896,6.5138,11.14958,0.7299,3.4595,1
5,5,0.7896,6.4977,11.02121,0.7315,3.7101,1
5,1,0.7789,6.7344,10.28247,0.6823,2.5859,1
5,10,0.7789,6.6687,9.62717,0.7008,2.8764,1
2,7,0.7726,6.8942,9.24865,0.6503,2.3486,1
3,11,0.7726,6.6743,9.67787,0.6899,2.6392,1
2,8,0.7712,6.7890,6.49099,0.6614,2.3486,1
3,8,0.7712,6.7083,6.34327,0.6769,2.5859,1
0,11,0.7691,7.2164,4.16680,0.5515,1.6732,1
1,1,0.7691,6.9970,5.08269,0.6239,2.0984,1
3,10,0.7561,7.0208,8.76858,0.6208,2.1157,1
0,0,0.0000,7.1195,2.13329,0.5919,2.0984,0
0,1,0.0000,7.4004,4.63889,0.4985,1.5610,0
0,2,0.0000,7.0751,13.99834,0.6063,2.0000,0
0,3,0.0000,6.8327,7.16649,0.6639,2.4381,0
0,4,0.0000,7.3083,3.10351,0.5263,1.6516,0
0,5,0.0000,7.1798,5.74737,0.5613,1.7655,0
0,6,0.0000,7.4531,2.94013,0.4756,1.5238,0
0,7,0.0000,7.2583,6.37641,0.5472,1.6842,0
0,8,0.0000,7.0200,4.79364,0.6133,2.0317,0
0,9,0.0000,6.7863,8.09325,0.6600,2.4381,0
0,10,0.0000,7.1525,12.23067,0.5838,1.9394,0
1,2,0.0000,6.8061,4.94782,0.6636,2.4381,0
1,3,0.0000,7.0228,3.99698,0.6152,2.0317,0
1,4,0.0000,7.1158,5.18929,0.5784,1.8286,0
1,5,0.0000,7.2290,3.08786,0.5447,1.6623,0
1,6,0.0000,7.2069,7.45573,0.5570,1.7655,0
1,7,0.0000,7.0496,3.69496,0.5969,1.9542,0
1,8,0.0000,7.2950,5.46664,0.5325,1.6306,0
1,10,0.0000,6.9637,5.51222,0.6204,2.0317,0
1,11,0.0000,6.9170,4.88450,0.6452,2.3063,0
2,0,0.0000,6.7540,6.75117,0.6642,2.4381,0
2,1,0.0000,7.3608,3.03040,0.5098,1.6306,0
2,2,0.0000,6.8446,5.24764,0.6486,2.2456,0
2,3,0.0000,6.2755,12.11258,0.7474,3.8209,0
2,4,0.0000,7.1894,4.14241,0.5650,1.7655,0
2,5,0.0000,6.8935,7.41442,0.6444,2.3063,0
2,6,0.0000,6.6581,7.44410,0.6862,2.6667,0
2,9,0.0000,6.9187,5.29492,0.6205,2.0984,0
2,10,0.0000,6.9913,4.86027,0.6144,2.0480,0
3,0,0.0000,6.7137,5.85472,0.6747,2.5600,0
3,1,0.0000,6.6975,7.26861,0.6862,2.6392,0
3,3,0.0000,6.1140,10.16699,0.7745,5.2245,0
3,4,0.0000,7.1584,11.04288,0.5816,1.9104,0
3,5,0.0000,7.0832,4.63554,0.5938,1.9845,0
3,6,0.0000,5.9311,12.04799,0.8047,5.5652,0
3,7,0.0000,6.0396,12.42810,0.7941,4.7407,0
4,0,0.0000,6.5219,8.84087,0.7245,3.3684,0
4,1,0.0000,6.6387,7.09272,0.6945,2.7234,0
4,2,0.0000,6.9554,4.53639,0.6195,2.0317,0
4,4,0.0000,6.5524,8.14093,0.7128,2.9767,0
4,5,0.0000,7.0438,4.66509,0.6075,1.9692,0
4,6,0.0000,5.9237,11.80191,0.8018,5.8182,0
4,7,0.0000,6.7425,7.37143,0.6730,2.5347,0
4,8,0.0000,6.8843,4.98601,0.6357,2.1695,0
4,9,0.0000,6.1355,11.01090,0.7702,4.4138,0
4,10,0.0000,6.8783,5.01856,0.6431,2.2456,0
4,11,0.0000,6.9705,3.61149,0.6247,2.2261,0
5,0,0.0000,6.4650,8.29643,0.7362,3.4133,0
5,2,0.0000,6.7331,6.79279,0.6830,2.6667,0
5,4,0.0000,6.5502,12.50994,0.7235,3.5068,0
5,6,0.0000,6.4014,10.31753,0.7476,4.1290,0
5,7,0.0000,6.2081,14.49957,0.7789,5.0196,0
5,8,0.0000,6.8491,6.84098,0.6559,2.3704,0
5,9,0.0000,6.9195,5.29372,0.6397,2.1513,0
5,11,0.0000,6.1929,16.50860,0.7775,5.4468,0
