layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.378,1.0000,0.00007,0.00935,1.0000
0,0,0.20,43.838,0.9997,0.00053,0.02803,0.9744
0,0,0.30,38.179,0.9991,0.00213,0.05378,0.8718
0,0,0.40,34.933,0.9980,0.00491,0.07815,0.8974
0,0,0.50,32.495,0.9965,0.00827,0.10347,0.7436
0,1,0.10,55.941,0.9999,nan,0.01946,0.9744
0,1,0.20,45.315,0.9994,nan,0.06612,0.9487
0,1,0.30,40.646,0.9981,nan,0.11320,0.9304
0,1,0.40,36.263,0.9948,nan,0.18749,0.8910
0,1,0.50,33.296,0.9896,nan,0.26384,0.7778
0,2,0.10,89.378,1.0000,nan,0.00043,1.0000
0,2,0.20,79.415,1.0000,nan,0.00136,0.9744
0,2,0.30,69.753,1.0000,nan,0.00412,0.8974
0,2,0.40,61.644,1.0000,nan,0.01049,0.7692
0,2,0.50,52.580,1.0000,nan,0.02977,0.6630
0,3,0.10,74.098,1.0000,0.00007,0.00197,1.0000
0,3,0.20,64.064,1.0000,0.00054,0.00624,0.9744
0,3,0.30,56.997,1.0000,nan,0.01408,0.9744
0,3,0.40,51.417,0.9999,nan,0.02676,0.9487
0,3,0.50,46.236,0.9998,nan,0.04859,0.8462
0,4,0.10,59.317,1.0000,0.00016,0.01331,1.0000
0,4,0.20,51.022,0.9998,nan,0.03458,0.9231
0,4,0.30,46.504,0.9993,nan,0.05817,0.8791
0,4,0.40,42.731,0.9983,nan,0.08982,0.7692
0,4,0.50,39.195,0.9962,nan,0.13495,0.6310
0,5,0.10,63.252,1.0000,0.00014,0.00831,1.0000
0,5,0.20,51.592,0.9999,0.00169,0.03181,0.9487
0,5,0.30,44.716,0.9993,0.00723,0.07020,0.8654
0,5,0.40,40.402,0.9981,0.01799,0.11536,0.8214
0,5,0.50,36.087,0.9948,nan,0.18958,0.7189
0,6,0.10,51.265,0.9999,nan,0.02572,0.9487
0,6,0.20,46.013,0.9995,nan,0.04709,0.9487
0,6,0.30,40.643,0.9983,nan,0.08739,0.8974
0,6,0.40,37.906,0.9969,nan,0.11975,0.8718
0,6,0.50,35.410,0.9945,nan,0.15963,0.8278
0,7,0.10,54.009,1.0000,0.00111,0.01939,0.9487
0,7,0.20,45.762,0.9997,nan,0.05010,0.8535
0,7,0.30,39.801,0.9989,nan,0.09951,0.8535
0,7,0.40,36.035,0.9973,nan,0.15353,0.8462
0,7,0.50,33.586,0.9953,nan,0.20354,0.6960
0,8,0.10,65.271,1.0000,0.00014,0.00531,1.0000
0,8,0.20,55.388,1.0000,0.00077,0.01656,0.9744
0,8,0.30,48.262,0.9998,0.00301,0.03762,0.8974
0,8,0.40,43.490,0.9994,0.00864,0.06518,0.8974
0,8,0.50,39.173,0.9983,0.02107,0.10713,0.8718
0,9,0.10,62.880,1.0000,0.00028,0.00847,0.9487
0,9,0.20,54.550,1.0000,0.00227,0.02211,0.9231
0,9,0.30,49.197,0.9999,nan,0.04094,0.8535
0,9,0.40,44.587,0.9996,nan,0.06961,0.7912
0,9,0.50,40.751,0.9990,nan,0.10826,0.7143
0,10,0.10,80.928,1.0000,nan,0.00109,1.0000
0,10,0.20,71.136,1.0000,nan,0.00338,0.9744
0,10,0.30,63.681,1.0000,nan,0.00797,0.9231
0,10,0.40,56.570,1.0000,0.00435,0.01807,0.8535
0,10,0.50,49.760,0.9999,nan,0.03958,0.7070
0,11,0.10,56.144,1.0000,0.00032,0.01301,1.0000
0,11,0.20,47.978,0.9998,nan,0.03330,0.9231
0,11,0.30,42.993,0.9994,nan,0.05912,0.9231
0,11,0.40,39.589,0.9988,nan,0.08749,0.8718
0,11,0.50,36.107,0.9973,nan,0.13063,0.8462
1,0,0.10,151.878,1.0000,nan,0.00000,0.9560
1,0,0.20,150.607,1.0000,nan,0.00000,0.9304
1,0,0.30,131.419,1.0000,nan,0.00000,0.8608
1,0,0.40,115.050,1.0000,nan,0.00002,0.7005
1,0,0.50,98.661,1.0000,nan,0.00015,0.5806
1,1,0.10,70.891,1.0000,0.00025,0.00249,1.0000
1,1,0.20,60.297,1.0000,nan,0.00843,0.9487
1,1,0.30,51.841,0.9999,nan,0.02231,0.9231
1,1,0.40,45.125,0.9997,nan,0.04834,0.9231
1,1,0.50,38.483,0.9986,nan,0.10386,0.8535
1,2,0.10,61.012,1.0000,0.00028,0.00654,1.0000
1,2,0.20,52.539,1.0000,0.00142,0.01734,0.8974
1,2,0.30,46.572,0.9998,0.00447,0.03446,0.8462
1,2,0.40,42.099,0.9996,nan,0.05767,0.7179
1,2,0.50,38.230,0.9989,nan,0.09004,0.7179
1,3,0.10,64.908,1.0000,0.00008,0.00615,1.0000
1,3,0.20,53.997,0.9999,0.00112,0.02161,0.9744
1,3,0.30,47.850,0.9997,nan,0.04386,0.9231
1,3,0.40,42.881,0.9990,0.00848,0.07771,0.8278
1,3,0.50,39.905,0.9981,nan,0.10947,0.7885
1,4,0.10,63.551,1.0000,nan,0.00851,1.0000
1,4,0.20,54.999,0.9999,nan,0.02279,1.0000
1,4,0.30,49.731,0.9998,nan,0.04179,0.9304
1,4,0.40,45.144,0.9994,nan,0.07087,0.8397
1,4,0.50,40.355,0.9981,nan,0.12299,0.8095
1,5,0.10,52.779,1.0000,nan,0.01508,1.0000
1,5,0.20,46.421,0.9998,0.00180,0.03135,0.9744
1,5,0.30,41.921,0.9994,0.00363,0.05264,0.8974
1,5,0.40,37.685,0.9984,0.00902,0.08572,0.8205
1,5,0.50,34.104,0.9964,nan,0.12947,0.8718
1,6,0.10,62.020,1.0000,0.00060,0.00811,1.0000
1,6,0.20,51.418,0.9999,0.00347,0.02749,0.9744
1,6,0.30,44.596,0.9996,0.00899,0.06030,0.9231
1,6,0.40,40.561,0.9991,nan,0.09595,0.8791
1,6,0.50,35.573,0.9971,nan,0.17040,0.8022
1,7,0.10,65.794,1.0000,0.00010,0.00566,1.0000
1,7,0.20,53.370,0.9999,nan,0.02367,1.0000
1,7,0.30,46.565,0.9995,0.00502,0.05181,0.9744
1,7,0.40,41.802,0.9986,0.01158,0.08965,0.8278
1,7,0.50,38.057,0.9966,0.02165,0.13798,0.8278
1,8,0.10,59.397,1.0000,nan,0.01356,0.9487
1,8,0.20,50.188,0.9998,0.00287,0.03916,0.9487
1,8,0.30,44.885,0.9994,nan,0.07212,0.8718
1,8,0.40,40.036,0.9980,nan,0.12603,0.8095
1,8,0.50,36.815,0.9958,nan,0.18260,0.6493
1,9,0.10,151.407,1.0000,nan,0.00000,0.9560
1,9,0.20,149.231,1.0000,nan,0.00000,0.8910
1,9,0.30,134.615,1.0000,nan,0.00000,0.8278
1,9,0.40,117.331,1.0000,nan,0.00002,0.6639
1,9,0.50,82.075,1.0000,nan,0.00102,0.5668
1,10,0.10,64.831,1.0000,0.00010,0.00631,1.0000
1,10,0.20,56.530,1.0000,0.00086,0.01641,0.9744
1,10,0.30,49.769,0.9998,0.00253,0.03574,0.8535
1,10,0.40,44.927,0.9995,0.00590,0.06241,0.7766
1,10,0.50,40.618,0.9987,nan,0.10248,0.7582
1,11,0.10,69.308,1.0000,0.00010,0.00352,1.0000
1,11,0.20,59.615,1.0000,0.00068,0.01074,0.9744
1,11,0.30,53.932,0.9999,0.00220,0.02067,0.9744
1,11,0.40,46.814,0.9997,0.00647,0.04690,0.9487
1,11,0.50,40.343,0.9986,0.01646,0.09879,0.8214
2,0,0.10,65.006,1.0000,nan,0.00721,0.9304
2,0,0.20,54.975,1.0000,nan,0.02287,0.8974
2,0,0.30,50.059,0.9998,nan,0.04028,0.8654
2,0,0.40,45.159,0.9995,nan,0.07082,0.7701
2,0,0.50,41.174,0.9988,nan,0.11204,0.7445
2,1,0.10,63.153,1.0000,0.00005,0.00770,0.9487
2,1,0.20,50.132,0.9997,nan,0.03449,0.8974
2,1,0.30,44.690,0.9990,nan,0.06454,0.9231
2,1,0.40,40.741,0.9976,nan,0.10168,0.9231
2,1,0.50,38.041,0.9956,0.01404,0.13875,0.8022
2,2,0.10,62.992,1.0000,0.00032,0.00915,1.0000
2,2,0.20,55.144,0.9999,nan,0.02259,0.9304
2,2,0.30,49.312,0.9998,nan,0.04420,0.9048
2,2,0.40,45.575,0.9995,nan,0.06797,0.8910
2,2,0.50,43.073,0.9991,nan,0.09066,0.8547
2,3,0.10,83.675,1.0000,nan,0.00085,0.9744
2,3,0.20,72.854,1.0000,nan,0.00296,0.9167
2,3,0.30,67.087,1.0000,nan,0.00575,0.8791
2,3,0.40,60.230,1.0000,nan,0.01265,0.7372
2,3,0.50,53.497,1.0000,nan,0.02747,0.7115
2,4,0.10,61.054,1.0000,0.00023,0.01135,0.9744
2,4,0.20,51.800,0.9998,nan,0.03294,0.8974
2,4,0.30,46.332,0.9994,nan,0.06181,0.8535
2,4,0.40,42.772,0.9987,nan,0.09313,0.7949
2,4,0.50,39.052,0.9969,0.02324,0.14291,0.6932
2,5,0.10,83.458,1.0000,nan,0.00087,1.0000
2,5,0.20,72.052,1.0000,0.00044,0.00323,0.9560
2,5,0.30,59.207,1.0000,0.00230,0.01418,0.9560
2,5,0.40,48.016,0.9998,nan,0.05144,0.8910
2,5,0.50,41.449,0.9989,nan,0.10956,0.7701
2,6,0.10,65.761,1.0000,nan,0.00666,0.9744
2,6,0.20,58.059,1.0000,nan,0.01617,0.9304
2,6,0.30,52.160,0.9999,nan,0.03190,0.8535
2,6,0.40,48.185,0.9998,nan,0.05042,0.9048
2,6,0.50,44.189,0.9994,nan,0.07987,0.8364
2,7,0.10,80.821,1.0000,0.00011,0.00117,1.0000
2,7,0.20,69.263,1.0000,nan,0.00444,0.9744
2,7,0.30,63.051,1.0000,nan,0.00908,0.9560
2,7,0.40,57.814,1.0000,nan,0.01659,0.9423
2,7,0.50,51.709,0.9999,nan,0.03350,0.9167
2,8,0.10,66.166,1.0000,0.00028,0.00619,0.9744
2,8,0.20,57.838,1.0000,0.00094,0.01615,0.9560
2,8,0.30,52.945,0.9999,0.00225,0.02837,0.9744
2,8,0.40,48.225,0.9998,nan,0.04885,0.9167
2,8,0.50,44.749,0.9995,nan,0.07288,0.8654
2,9,0.10,63.902,1.0000,0.00018,0.00769,1.0000
2,9,0.20,53.190,0.9999,0.00143,0.02639,0.9487
2,9,0.30,47.654,0.9997,nan,0.04992,0.8791
2,9,0.40,43.535,0.9992,nan,0.08020,0.7885
2,9,0.50,40.257,0.9984,nan,0.11698,0.7628
2,10,0.10,76.925,1.0000,0.00008,0.00182,1.0000
2,10,0.20,64.618,1.0000,0.00053,0.00749,1.0000
2,10,0.30,56.881,1.0000,nan,0.01825,1.0000
2,10,0.40,47.760,0.9997,nan,0.05216,0.9304
2,10,0.50,42.489,0.9989,nan,0.09570,0.8974
2,11,0.10,83.406,1.0000,0.00005,0.00084,1.0000
2,11,0.20,72.177,1.0000,nan,0.00306,1.0000
2,11,0.30,62.327,1.0000,nan,0.00951,0.9744
2,11,0.40,53.682,0.9999,nan,0.02573,0.9487
2,11,0.50,47.342,0.9998,nan,0.05338,0.8462
3,0,0.10,70.466,1.0000,0.00011,0.00371,0.9744
3,0,0.20,59.973,1.0000,nan,0.01242,1.0000
3,0,0.30,52.939,0.9999,nan,0.02791,0.9744
3,0,0.40,47.501,0.9997,nan,0.05221,0.9304
3,0,0.50,44.366,0.9994,nan,0.07490,0.9121
3,1,0.10,71.442,1.0000,0.00013,0.00337,0.9487
3,1,0.20,61.571,1.0000,0.00071,0.01050,0.9487
3,1,0.30,54.997,1.0000,0.00248,0.02238,0.9487
3,1,0.40,48.841,0.9998,nan,0.04547,0.8278
3,1,0.50,43.811,0.9994,nan,0.08114,0.8095
3,2,0.10,87.018,1.0000,0.00002,0.00055,1.0000
3,2,0.20,71.825,1.0000,0.00040,0.00317,0.9744
3,2,0.30,61.650,1.0000,nan,0.01023,0.9231
