layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,56.809,1.0000,0.00003,0.00630,0.9744
0,0,0.20,49.670,0.9999,0.00016,0.01433,0.9231
0,0,0.30,45.610,0.9998,0.00036,0.02286,0.9231
0,0,0.40,40.319,0.9994,0.00120,0.04204,0.9487
0,0,0.50,37.301,0.9988,0.00260,0.05950,1.0000
0,1,0.10,56.712,1.0000,0.00067,0.01780,1.0000
0,1,0.20,48.441,0.9997,nan,0.04614,0.9487
0,1,0.30,42.646,0.9988,nan,0.08992,0.8974
0,1,0.40,38.464,0.9968,nan,0.14552,0.8791
0,1,0.50,35.212,0.9933,nan,0.21161,0.8141
0,2,0.10,61.442,1.0000,nan,0.01073,0.8974
0,2,0.20,53.288,1.0000,nan,0.02745,0.7326
0,2,0.30,46.577,0.9998,nan,0.05943,0.6007
0,2,0.40,42.067,0.9995,nan,0.09988,0.6493
0,2,0.50,34.846,0.9971,nan,0.22937,0.5110
0,3,0.10,62.656,1.0000,nan,0.00734,0.9744
0,3,0.20,55.447,1.0000,nan,0.01683,0.9487
0,3,0.30,49.547,0.9999,nan,0.03319,0.9487
0,3,0.40,45.316,0.9997,nan,0.05401,0.8974
0,3,0.50,39.313,0.9989,nan,0.10781,0.7766
0,4,0.10,58.461,1.0000,0.00016,0.01468,1.0000
0,4,0.20,52.212,0.9998,nan,0.03015,0.9231
0,4,0.30,47.413,0.9994,nan,0.05239,0.9487
0,4,0.40,42.696,0.9983,nan,0.09018,0.8654
0,4,0.50,39.290,0.9963,nan,0.13348,0.7445
0,5,0.10,59.488,1.0000,0.00049,0.01282,1.0000
0,5,0.20,51.937,0.9999,0.00171,0.03057,0.9487
0,5,0.30,45.273,0.9994,nan,0.06584,0.8974
0,5,0.40,42.153,0.9987,nan,0.09429,0.9231
0,5,0.50,39.052,0.9974,nan,0.13475,0.8462
0,6,0.10,55.702,0.9999,nan,0.01544,0.9744
0,6,0.20,48.748,0.9997,nan,0.03437,0.9487
0,6,0.30,42.853,0.9990,nan,0.06776,0.8718
0,6,0.40,39.210,0.9977,nan,0.10306,0.8462
0,6,0.50,36.063,0.9952,nan,0.14806,0.7766
0,7,0.10,53.882,1.0000,0.00155,0.01967,0.9231
0,7,0.20,45.020,0.9997,nan,0.05457,0.8718
0,7,0.30,40.726,0.9991,nan,0.08946,0.8718
0,7,0.40,36.679,0.9977,nan,0.14255,0.8095
0,7,0.50,33.240,0.9949,nan,0.21180,0.6383
0,8,0.10,61.520,1.0000,0.00017,0.00818,0.9744
0,8,0.20,53.134,0.9999,0.00145,0.02147,0.9487
0,8,0.30,47.732,0.9998,nan,0.03999,0.8974
0,8,0.40,42.940,0.9993,0.01079,0.06944,0.8974
0,8,0.50,39.364,0.9983,nan,0.10480,0.8462
0,9,0.10,58.951,1.0000,nan,0.01332,0.9744
0,9,0.20,51.638,0.9999,nan,0.03091,0.8791
0,9,0.30,47.394,0.9998,nan,0.05039,0.8535
0,9,0.40,43.672,0.9995,nan,0.07734,0.8022
0,9,0.50,40.046,0.9989,nan,0.11741,0.7582
0,10,0.10,61.279,1.0000,nan,0.01051,0.9744
0,10,0.20,50.998,0.9999,nan,0.03432,0.9048
0,10,0.30,45.344,0.9997,nan,0.06580,0.7949
0,10,0.40,38.712,0.9988,nan,0.14121,0.7143
0,10,0.50,32.991,0.9955,nan,0.27284,0.5824
0,11,0.10,58.198,1.0000,0.00022,0.01027,1.0000
0,11,0.20,45.702,0.9997,nan,0.04328,1.0000
0,11,0.30,41.526,0.9992,nan,0.07000,0.9744
0,11,0.40,37.636,0.9981,nan,0.10954,0.8791
0,11,0.50,34.613,0.9961,nan,0.15515,0.8718
1,0,0.10,58.255,1.0000,nan,0.01589,0.3596
1,0,0.20,51.036,0.9999,nan,0.03649,0.2958
1,0,0.30,43.398,0.9997,nan,0.08791,0.3584
1,0,0.40,39.797,0.9993,nan,0.13307,0.3446
1,0,0.50,32.196,0.9960,nan,0.31925,0.2836
1,1,0.10,62.303,1.0000,nan,0.00669,0.9744
1,1,0.20,53.153,1.0000,nan,0.01919,0.9744
1,1,0.30,47.107,0.9998,nan,0.03848,0.9487
1,1,0.40,41.910,0.9994,nan,0.07000,0.8974
1,1,0.50,35.963,0.9976,nan,0.13882,0.8718
1,2,0.10,63.910,1.0000,0.00017,0.00468,1.0000
1,2,0.20,53.070,1.0000,nan,0.01631,0.9487
1,2,0.30,46.300,0.9998,nan,0.03556,0.9048
1,2,0.40,42.280,0.9996,nan,0.05648,0.8535
1,2,0.50,38.218,0.9989,nan,0.09015,0.8022
1,3,0.10,60.076,1.0000,0.00017,0.01073,1.0000
1,3,0.20,54.564,0.9999,nan,0.02025,1.0000
1,3,0.30,49.050,0.9998,0.00312,0.03820,0.9744
1,3,0.40,45.688,0.9995,0.00477,0.05625,0.9304
1,3,0.50,41.369,0.9986,0.01328,0.09249,0.8535
1,4,0.10,58.360,1.0000,nan,0.01548,1.0000
1,4,0.20,50.864,0.9998,nan,0.03668,0.9304
1,4,0.30,46.094,0.9995,nan,0.06352,0.8791
1,4,0.40,42.141,0.9988,nan,0.10014,0.8352
1,4,0.50,38.722,0.9973,nan,0.14843,0.7262
1,5,0.10,57.210,1.0000,0.00013,0.00905,1.0000
1,5,0.20,46.629,0.9998,0.00108,0.03061,0.9744
1,5,0.30,41.501,0.9993,0.00393,0.05524,0.9744
1,5,0.40,37.962,0.9985,0.01026,0.08303,0.8718
1,5,0.50,34.238,0.9965,nan,0.12748,0.8022
1,6,0.10,58.068,1.0000,nan,0.01279,0.9744
