layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,49.975,1.0000,0.00010,0.01125,0.9286
0,0,0.20,41.157,0.9997,0.00076,0.03104,0.9286
0,0,0.30,36.722,0.9991,0.00243,0.05173,0.9286
0,0,0.40,33.178,0.9980,0.00486,0.07778,0.8571
0,0,0.50,29.753,0.9956,0.00974,0.11539,0.8231
0,1,0.10,57.192,1.0000,0.00055,0.01792,0.9286
0,1,0.20,48.222,0.9996,nan,0.05034,0.9524
0,1,0.30,43.271,0.9988,nan,0.08901,0.7925
0,1,0.40,39.524,0.9972,nan,0.13702,0.7755
0,1,0.50,36.301,0.9941,nan,0.19859,0.7347
0,2,0.10,63.364,1.0000,nan,0.00937,0.7925
0,2,0.20,55.658,1.0000,nan,0.02276,0.6701
0,2,0.30,48.963,0.9999,nan,0.04920,0.5825
0,2,0.40,42.810,0.9995,nan,0.09992,0.5417
0,2,0.50,36.779,0.9982,nan,0.20007,0.4498
0,3,0.10,69.983,1.0000,nan,0.00366,0.9762
0,3,0.20,60.325,1.0000,nan,0.01114,0.9762
0,3,0.30,54.186,1.0000,nan,0.02258,0.9286
0,3,0.40,48.468,0.9998,nan,0.04361,0.9048
0,3,0.50,42.392,0.9993,nan,0.08777,0.8571
0,4,0.10,64.921,1.0000,0.00007,0.00745,0.9762
0,4,0.20,57.186,0.9999,nan,0.01816,0.9524
0,4,0.30,49.184,0.9996,nan,0.04562,0.9762
0,4,0.40,44.487,0.9988,nan,0.07836,0.8878
0,4,0.50,40.975,0.9972,nan,0.11741,0.7321
0,5,0.10,60.989,1.0000,nan,0.01123,0.9524
0,5,0.20,53.094,0.9999,nan,0.02787,0.8810
0,5,0.30,46.530,0.9996,nan,0.05933,0.8571
0,5,0.40,41.721,0.9986,nan,0.10322,0.7993
0,5,0.50,37.694,0.9966,nan,0.16409,0.7389
0,6,0.10,55.980,1.0000,0.00061,0.01476,0.9762
0,6,0.20,47.306,0.9996,nan,0.04007,0.9524
0,6,0.30,42.144,0.9988,nan,0.07259,0.8810
0,6,0.40,36.961,0.9961,nan,0.13184,0.8095
0,6,0.50,33.323,0.9909,nan,0.20041,0.7279
0,7,0.10,57.309,1.0000,0.00036,0.01279,1.0000
0,7,0.20,47.800,0.9998,nan,0.03822,0.9762
0,7,0.30,41.153,0.9992,nan,0.08215,0.9048
0,7,0.40,37.185,0.9980,nan,0.12974,0.8469
0,7,0.50,34.245,0.9961,nan,0.18200,0.7687
0,8,0.10,59.900,1.0000,0.00040,0.01060,1.0000
0,8,0.20,52.846,0.9999,nan,0.02389,0.9762
0,8,0.30,47.444,0.9997,nan,0.04450,0.9286
0,8,0.40,44.156,0.9995,nan,0.06497,0.8639
0,8,0.50,40.492,0.9987,nan,0.09906,0.8639
0,9,0.10,57.637,1.0000,nan,0.01657,0.9286
0,9,0.20,49.741,0.9999,nan,0.04114,0.8095
0,9,0.30,44.913,0.9996,nan,0.07172,0.7925
0,9,0.40,40.201,0.9989,nan,0.12338,0.7279
0,9,0.50,36.297,0.9972,nan,0.19339,0.6054
0,10,0.10,63.575,1.0000,nan,0.00898,0.9286
0,10,0.20,55.233,1.0000,nan,0.02346,0.7993
0,10,0.30,48.243,0.9999,nan,0.05246,0.7347
0,10,0.40,43.036,0.9996,nan,0.09553,0.6335
0,10,0.50,35.222,0.9973,nan,0.23488,0.4821
0,11,0.10,60.003,1.0000,0.00026,0.00871,1.0000
