layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9384,7.0090,16.15894,0.6234,2.1695,1
1,9,0.9384,7.0129,16.23258,0.6222,2.1513,1
5,7,0.8220,6.3976,13.88570,0.7497,4.0000,2
5,11,0.8220,6.4299,12.88943,0.7455,3.6571,2
5,3,0.8153,6.6601,9.04643,0.7032,2.9767,1
5,5,0.8153,6.5923,9.64053,0.7160,3.2000,2
5,10,0.8066,6.6183,10.25717,0.7112,2.8444,1
5,2,0.8044,6.7338,7.32488,0.6849,2.5600,1
5,6,0.8044,6.6380,7.23451,0.7047,2.8132,1
5,0,0.8014,6.2876,13.77658,0.7679,4.2667,2
2,3,0.7986,6.0590,12.39368,0.7890,4.7407,1
4,6,0.7986,5.8858,11.58291,0.8193,5.4468,1
2,4,0.7805,6.9141,4.46064,0.6447,2.2857,1
3,5,0.7805,7.0968,4.33804,0.5893,1.8417,1
0,0,0.0000,7.3338,1.87621,0.5257,1.6410,0
0,1,0.0000,7.3805,4.08831,0.5013,1.5515,0
0,2,0.0000,6.9651,13.43939,0.6361,2.2069,0
0,3,0.0000,6.7013,6.94593,0.6944,2.7234,0
0,4,0.0000,7.2108,2.96150,0.5575,1.7902,0
0,5,0.0000,7.1489,5.52771,0.5811,1.8156,0
0,6,0.0000,7.4870,2.58847,0.4606,1.4545,0
0,7,0.0000,7.1687,5.59493,0.5745,1.7778,0
0,8,0.0000,6.9063,4.95009,0.6437,2.3063,0
0,9,0.0000,6.9337,8.23522,0.6308,2.1333,0
0,10,0.0000,7.0679,12.21358,0.6097,2.0813,0
0,11,0.0000,6.9670,4.27970,0.6254,2.1513,0
1,1,0.0000,6.8950,5.59298,0.6496,2.3486,0
1,2,0.0000,6.7444,5.46938,0.6854,2.7234,0
1,3,0.0000,7.1892,3.41037,0.5673,1.7655,0
1,4,0.0000,6.9650,5.33135,0.6243,2.0984,0
1,5,0.0000,7.1484,3.22641,0.5822,1.8551,0
1,6,0.0000,7.3222,5.08985,0.5193,1.5802,0
1,7,0.0000,7.0533,3.31223,0.5998,2.0000,0
1,8,0.0000,7.2517,4.96166,0.5353,1.6000,0
1,10,0.0000,7.1349,4.60492,0.5767,1.8551,0
1,11,0.0000,7.0152,4.69606,0.6208,2.1513,0
2,0,0.0000,6.6509,7.19513,0.6893,2.5600,0
2,1,0.0000,7.2428,2.89075,0.5520,1.7534,0
2,2,0.0000,6.8142,5.08440,0.6621,2.4151,0
2,5,0.0000,6.7621,8.55877,0.6798,2.6122,0
2,6,0.0000,6.6696,6.95408,0.6929,2.6667,0
2,7,0.0000,6.8089,9.36473,0.6724,2.5347,0
2,8,0.0000,6.6993,5.92287,0.6867,2.5859,0
2,9,0.0000,6.8244,5.25531,0.6522,2.2857,0
2,10,0.0000,6.9269,5.71281,0.6402,2.2069,0
2,11,0.0000,6.9541,7.75667,0.6386,2.2261,0
3,0,0.0000,6.6333,6.12893,0.7068,2.8132,0
3,1,0.0000,6.7261,6.80882,0.6858,2.6667,0
3,2,0.0000,6.6366,8.13241,0.7031,2.7826,0
3,3,0.0000,6.3025,9.57724,0.7607,4.0635,0
3,4,0.0000,6.8981,10.68309,0.6540,2.3704,0
3,6,0.0000,5.8225,12.80834,0.8200,6.4000,0
3,7,0.0000,5.9890,12.35303,0.8021,4.9231,0
3,8,0.0000,6.5642,6.56669,0.7181,3.0843,0
3,9,0.0000,6.4818,7.81058,0.7275,3.0476,0
3,10,0.0000,6.9084,9.57434,0.6499,2.3486,0
3,11,0.0000,6.3887,10.10699,0.7519,3.6571,0
4,0,0.0000,6.3870,8.10918,0.7471,3.7101,0
4,1,0.0000,6.5612,8.00579,0.7186,3.0476,0
4,2,0.0000,6.7863,4.23260,0.6736,2.5347,0
4,3,0.0000,6.3868,7.79598,0.7469,3.5068,0
4,4,0.0000,5.8482,11.20970,0.8120,6.7368,0
4,5,0.0000,7.0148,4.94012,0.6165,2.0645,0
4,7,0.0000,6.2229,9.01009,0.7671,4.3390,0
4,8,0.0000,6.6978,5.08934,0.6867,2.5859,0
4,9,0.0000,5.9247,11.82121,0.8025,6.0952,0
4,10,0.0000,6.8430,4.34308,0.6576,2.3063,0
4,11,0.0000,6.8142,4.02953,0.6650,2.4381,0
5,1,0.0000,6.5294,9.67657,0.7257,3.2405,0
5,4,0.0000,6.3287,15.16534,0.7624,4.1290,0
5,8,0.0000,6.9553,5.90697,0.6293,2.1695,0
5,9,0.0000,6.9447,5.14524,0.6329,2.1513,0
