layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,49.920,1.0000,0.00010,0.01132,0.9762
0,0,0.20,40.817,0.9997,0.00089,0.03228,0.9048
0,0,0.30,35.101,0.9987,0.00333,0.06234,0.9048
0,0,0.40,31.369,0.9970,0.00806,0.09579,0.8639
0,0,0.50,28.037,0.9935,nan,0.14060,0.8036
0,1,0.10,56.621,0.9999,nan,0.01914,1.0000
0,1,0.20,47.982,0.9996,nan,0.05175,0.9048
0,1,0.30,42.079,0.9984,nan,0.10210,0.8274
0,1,0.40,38.323,0.9963,nan,0.15734,0.7866
0,1,0.50,35.717,0.9933,nan,0.21239,0.7287
0,2,0.10,71.896,1.0000,nan,0.00351,0.9286
0,2,0.20,59.440,1.0000,nan,0.01473,0.7925
0,2,0.30,52.317,0.9999,nan,0.03344,0.7279
0,2,0.40,45.274,0.9997,nan,0.07524,0.5587
0,2,0.50,38.832,0.9989,nan,0.15797,0.5697
0,3,0.10,69.238,1.0000,nan,0.00399,1.0000
0,3,0.20,60.255,1.0000,nan,0.01123,0.9762
0,3,0.30,53.281,0.9999,nan,0.02506,0.9524
0,3,0.40,48.053,0.9998,nan,0.04574,0.8571
0,3,0.50,42.744,0.9994,nan,0.08428,0.8231
0,4,0.10,61.662,1.0000,0.00020,0.01085,0.9762
0,4,0.20,52.461,0.9998,0.00102,0.03129,0.9048
0,4,0.30,47.603,0.9994,0.00296,0.05473,0.9048
0,4,0.40,43.788,0.9986,nan,0.08492,0.8036
0,4,0.50,40.537,0.9970,nan,0.12347,0.7993
0,5,0.10,59.051,1.0000,0.00041,0.01404,0.9524
0,5,0.20,51.814,0.9999,nan,0.03229,0.9286
0,5,0.30,46.069,0.9995,nan,0.06257,0.8810
0,5,0.40,42.352,0.9988,nan,0.09598,0.7755
0,5,0.50,39.015,0.9975,nan,0.14094,0.6854
0,6,0.10,54.635,0.9999,nan,0.01723,0.9524
0,6,0.20,46.283,0.9995,nan,0.04507,0.8810
0,6,0.30,40.142,0.9981,nan,0.09140,0.8571
0,6,0.40,36.009,0.9951,nan,0.14711,0.7925
0,6,0.50,32.659,0.9894,nan,0.21635,0.7755
0,7,0.10,54.601,1.0000,0.00072,0.01747,0.9762
0,7,0.20,45.103,0.9997,nan,0.05214,0.9048
0,7,0.30,40.962,0.9992,nan,0.08399,0.9286
0,7,0.40,37.590,0.9982,nan,0.12382,0.8333
0,7,0.50,35.099,0.9968,nan,0.16496,0.8639
0,8,0.10,65.872,1.0000,0.00016,0.00533,1.0000
0,8,0.20,57.208,1.0000,0.00106,0.01446,1.0000
0,8,0.30,50.377,0.9999,nan,0.03174,0.9286
0,8,0.40,45.404,0.9996,nan,0.05628,0.9286
0,8,0.50,41.174,0.9989,nan,0.09158,0.9048
0,9,0.10,61.520,1.0000,nan,0.01060,0.9762
0,9,0.20,51.218,0.9999,nan,0.03471,0.8163
0,9,0.30,45.986,0.9997,nan,0.06339,0.6973
0,9,0.40,42.461,0.9993,nan,0.09512,0.6743
0,9,0.50,38.394,0.9983,nan,0.15191,0.6105
0,10,0.10,65.971,1.0000,nan,0.00681,0.8810
0,10,0.20,58.900,1.0000,nan,0.01538,0.7687
0,10,0.30,49.653,0.9999,nan,0.04460,0.7347
0,10,0.40,42.571,0.9995,nan,0.10079,0.6097
0,10,0.50,36.945,0.9982,nan,0.19262,0.5094
0,11,0.10,60.278,1.0000,0.00025,0.00844,1.0000
0,11,0.20,48.709,0.9999,nan,0.03196,0.9286
0,11,0.30,43.371,0.9995,nan,0.05909,0.9048
0,11,0.40,39.478,0.9988,nan,0.09250,0.8810
0,11,0.50,36.692,0.9977,nan,0.12747,0.7925
1,0,0.10,77.844,1.0000,nan,0.00179,0.3319
1,0,0.20,64.744,1.0000,nan,0.00811,0.3844
1,0,0.30,56.343,1.0000,nan,0.02133,0.3053
1,0,0.40,45.859,0.9998,nan,0.07131,0.3503
1,0,0.50,37.919,0.9988,nan,0.17790,0.3138
1,1,0.10,68.675,1.0000,nan,0.00416,1.0000
1,1,0.20,58.071,1.0000,nan,0.01410,0.9762
1,1,0.30,51.954,0.9999,nan,0.02852,0.9524
1,1,0.40,46.481,0.9997,nan,0.05356,0.9286
1,1,0.50,41.649,0.9991,nan,0.09342,0.8571
1,2,0.10,61.709,1.0000,0.00021,0.00738,0.9762
1,2,0.20,53.770,1.0000,nan,0.01841,0.9762
1,2,0.30,48.450,0.9999,nan,0.03397,0.8810
1,2,0.40,44.808,0.9997,nan,0.05166,0.8571
1,2,0.50,41.400,0.9994,nan,0.07648,0.7925
1,3,0.10,64.935,1.0000,0.00007,0.00649,1.0000
1,3,0.20,54.851,0.9999,nan,0.02074,0.9286
1,3,0.30,49.412,0.9997,0.00265,0.03879,0.9524
1,3,0.40,45.627,0.9994,nan,0.05997,0.8333
1,3,0.50,42.322,0.9987,nan,0.08773,0.8333
