layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.87621,1.42616,0.45004,3.16895,7.40886,-0.00000,0.49763,0,0.06234,1.54217,14,196,16
0,1,4.08831,1.83266,2.25565,0.81248,7.39323,-0.00000,0.49830,1,0.10210,1.51479,14,196,16
0,2,13.43939,5.69511,7.74428,0.73540,6.92537,-0.00000,0.64737,1,0.03344,2.26549,14,196,16
0,3,6.94593,4.16457,2.78136,1.49731,6.76942,-0.00000,0.68209,0,0.02506,2.63918,14,196,16
0,4,2.96150,1.85818,1.10332,1.68417,7.22847,-0.00000,0.55563,0,0.05473,1.74150,14,196,16
0,5,5.52771,2.59491,2.93279,0.88479,7.11340,-0.00000,0.59372,1,0.06257,1.96923,14,196,16
0,6,2.58847,1.38787,1.20060,1.15598,7.50160,-0.00000,0.45498,0,0.09140,1.41436,14,196,16
0,7,5.59493,2.25036,3.34457,0.67284,7.14239,-0.00000,0.58454,1,0.08399,1.84173,14,196,16
0,8,4.95009,3.02771,1.92238,1.57498,6.86834,-0.00000,0.65531,0,0.03174,2.37037,14,196,16
0,9,8.23522,3.70192,4.53330,0.81661,6.87062,-0.00000,0.64720,1,0.06339,2.18803,14,196,16
0,10,12.21358,4.49310,7.72048,0.58197,7.01934,-0.00000,0.62375,1,0.04460,2.18803,14,196,16
0,11,4.27970,2.38370,1.89600,1.25722,7.02309,-0.00000,0.60810,0,0.05909,1.95420,14,196,16
1,0,16.15894,5.39045,10.76849,0.50058,6.88850,-0.00000,0.65452,1,0.02133,2.41509,14,196,16
1,1,5.59298,2.94075,2.65223,1.10879,6.80890,-0.00000,0.67020,0,0.02852,2.43810,14,196,16
1,2,5.46938,2.71535,2.75403,0.98595,6.65825,-0.00000,0.69469,1,0.03397,2.75269,14,196,16
1,3,3.41037,1.93257,1.47779,1.30774,7.01335,-0.00000,0.62174,0,0.03879,2.11570,14,196,16
1,4,5.33135,2.82936,2.50199,1.13084,7.02548,-0.00000,0.61022,0,0.06801,1.96923,14,196,16
1,5,3.22641,2.04829,1.17812,1.73860,7.16262,-0.00000,0.57690,0,0.04438,1.80282,14,196,16
