layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9384,6.8885,16.15894,0.6545,2.4151,1
1,9,0.9384,6.8983,16.23258,0.6524,2.3925,1
5,7,0.8198,6.3700,13.88570,0.7564,3.8788,2
5,11,0.8198,6.3845,12.88943,0.7547,3.8788,2
5,3,0.8178,6.7647,9.04643,0.6824,2.7234,1
5,5,0.8178,6.5900,9.64053,0.7178,3.1220,2
5,10,0.8073,6.5980,10.25717,0.7181,3.1220,1
2,3,0.7987,6.0307,12.39368,0.7960,5.1200,1
4,6,0.7987,5.9980,11.58291,0.8028,5.5652,1
5,2,0.7960,6.6568,7.32488,0.7043,2.9091,1
5,6,0.7960,6.5720,7.23451,0.7200,3.0843,1
5,0,0.7949,6.3464,13.77657,0.7615,4.0000,2
2,7,0.7876,6.7884,9.36473,0.6790,2.6392,1
3,11,0.7876,6.5407,10.10699,0.7241,3.1605,1
2,4,0.7844,7.1249,4.46064,0.5839,1.8417,1
3,5,0.7844,7.1730,4.33804,0.5680,1.7778,1
0,0,0.0000,7.4089,1.87621,0.4976,1.5422,0
0,1,0.0000,7.3932,4.08831,0.4983,1.5148,0
0,2,0.0000,6.9254,13.43939,0.6474,2.2655,0
0,3,0.0000,6.7694,6.94593,0.6821,2.6392,0
0,4,0.0000,7.2285,2.96150,0.5556,1.7415,0
0,5,0.0000,7.1134,5.52771,0.5937,1.9692,0
0,6,0.0000,7.5016,2.58847,0.4550,1.4144,0
0,7,0.0000,7.1424,5.59493,0.5845,1.8417,0
0,8,0.0000,6.8683,4.95009,0.6553,2.3704,0
0,9,0.0000,6.8706,8.23522,0.6472,2.1880,0
0,10,0.0000,7.0193,12.21358,0.6237,2.1880,0
0,11,0.0000,7.0231,4.27970,0.6081,1.9542,0
1,1,0.0000,6.8089,5.59298,0.6702,2.4381,0
1,2,0.0000,6.6582,5.46938,0.6947,2.7527,0
1,3,0.0000,7.0134,3.41037,0.6217,2.1157,0
1,4,0.0000,7.0255,5.33135,0.6102,1.9692,0
1,5,0.0000,7.1626,3.22641,0.5769,1.8028,0
1,6,0.0000,7.2931,5.08985,0.5329,1.6101,0
1,7,0.0000,7.0475,3.31223,0.6059,2.0157,0
1,8,0.0000,7.2064,4.96166,0.5587,1.6842,0
1,10,0.0000,7.0476,4.60492,0.6047,2.0000,0
1,11,0.0000,6.9176,4.69606,0.6437,2.2655,0
2,0,0.0000,6.9094,7.19513,0.6363,2.1333,0
2,1,0.0000,7.3139,2.89075,0.5275,1.6623,0
2,2,0.0000,6.9601,5.08440,0.6243,2.0157,0
2,5,0.0000,6.8378,8.55877,0.6628,2.3925,0
2,6,0.0000,6.8688,6.95408,0.6435,2.1880,0
2,8,0.0000,6.7448,5.92287,0.6775,2.4615,0
2,9,0.0000,6.9805,5.25531,0.6094,1.9692,0
2,10,0.0000,6.9254,5.71281,0.6425,2.2456,0
2,11,0.0000,6.9389,7.75667,0.6424,2.2456,0
3,0,0.0000,6.7346,6.12893,0.6805,2.4854,0
3,1,0.0000,6.8539,6.80882,0.6572,2.3486,0
3,2,0.0000,6.6566,8.13241,0.7000,2.7527,0
3,3,0.0000,6.4715,9.57724,0.7358,3.3247,0
3,4,0.0000,6.9119,10.68309,0.6512,2.3925,0
3,6,0.0000,5.7891,12.80834,0.8273,7.3143,0
3,7,0.0000,5.9210,12.35303,0.8143,5.8182,0
3,8,0.0000,6.6238,6.56669,0.7033,2.8132,0
3,9,0.0000,6.5113,7.81058,0.7257,3.1605,0
3,10,0.0000,6.8757,9.57434,0.6588,2.4381,0
4,0,0.0000,6.5068,8.10918,0.7259,3.3247,0
4,1,0.0000,6.6033,8.00579,0.7112,2.8444,0
4,2,0.0000,6.9191,4.23260,0.6416,2.2069,0
4,3,0.0000,6.5824,7.79598,0.7121,2.8444,0
4,4,0.0000,5.8289,11.20970,0.8213,6.7368,0
4,5,0.0000,7.1014,4.94012,0.5933,1.9248,0
4,7,0.0000,6.3994,9.01009,0.7445,3.5068,0
4,8,0.0000,6.9208,5.08934,0.6330,2.1513,0
4,9,0.0000,5.9215,11.82121,0.8050,6.5641,0
4,10,0.0000,6.9366,4.34308,0.6371,2.2456,0
4,11,0.0000,6.8959,4.02953,0.6408,2.2456,0
5,1,0.0000,6.5314,9.67656,0.7264,3.3684,0
5,4,0.0000,6.3624,15.16534,0.7593,3.8788,0
5,8,0.0000,6.9722,5.90697,0.6296,2.1880,0
5,9,0.0000,6.9591,5.14523,0.6305,2.1880,0
