layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.87620,1.80555,0.07065,25.55520,7.10292,1.12376,0.53531,0,0.05484,1.82857,14,196,16
0,1,4.08831,3.97162,0.11669,34.03519,7.17438,0.87584,0.54954,4,0.10822,1.69536,14,196,16
0,2,13.43939,11.45903,1.98036,5.78633,6.32383,1.33241,0.76188,4,0.00244,3.82090,14,196,16
0,3,6.94593,5.67855,1.26738,4.48053,6.54997,1.68178,0.72399,4,0.01098,3.24051,14,196,16
0,4,2.96149,2.73177,0.22972,11.89170,6.77490,1.24756,0.63827,0,0.04669,2.30631,14,196,16
0,5,5.52771,4.87817,0.64954,7.51019,6.90715,1.29992,0.64071,4,0.05913,2.34862,14,196,16
0,6,2.58847,2.52001,0.06846,36.80902,7.29702,0.89845,0.49760,4,0.11231,1.52381,14,196,16
0,7,5.59493,5.13103,0.46390,11.06058,6.90280,1.16347,0.63993,4,0.06304,2.18803,14,196,16
0,8,4.95009,4.07926,0.87083,4.68436,6.78751,1.71631,0.67343,4,0.03280,2.61224,14,196,16
0,9,8.23522,7.07894,1.15628,6.12219,6.41919,1.49016,0.74221,4,0.02811,3.50685,14,196,16
0,10,12.21358,10.61561,1.59797,6.64317,6.49566,1.17986,0.73138,4,0.00566,3.28205,14,196,16
0,11,4.27970,3.66008,0.61962,5.90694,6.69453,1.62171,0.67834,4,0.04555,2.66667,14,196,16
1,0,16.15894,14.49908,1.65986,8.73511,6.31773,1.10447,0.73956,4,0.00000,3.32468,14,196,16
1,1,5.59297,4.88381,0.70917,6.88670,6.69940,1.54649,0.69293,4,0.01379,2.61224,14,196,16
1,2,5.46938,4.72886,0.74052,6.38582,6.43497,1.44787,0.73131,4,0.03745,3.45946,14,196,16
1,3,3.41037,3.07758,0.33278,9.24796,6.82967,1.38160,0.64177,4,0.05834,2.32727,14,196,16
1,4,5.33135,4.70412,0.62723,7.49982,6.71529,1.46905,0.67838,4,0.05819,2.66667,14,196,16
