layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9383,6.3177,16.15894,0.7396,3.3247,1
1,9,0.9383,6.3316,16.23258,0.7426,3.4595,1
5,7,0.8226,5.9121,13.88570,0.8042,5.9535,2
5,11,0.8226,5.8431,12.88943,0.8122,6.5641,2
5,3,0.8191,6.4290,9.04642,0.7281,3.6056,1
5,5,0.8191,6.2320,9.64053,0.7604,4.5714,2
5,10,0.8086,6.2365,10.25717,0.7629,4.4138,1
5,2,0.8017,6.2684,7.32488,0.7510,4.4138,1
5,6,0.8017,6.1401,7.23451,0.7675,4.7407,1
5,0,0.7990,5.7447,13.77657,0.8278,6.5641,2
2,3,0.7988,5.4788,12.39368,0.8454,8.2581,1
4,6,0.7988,5.4933,11.58291,0.8476,8.8276,1
2,4,0.7846,6.6188,4.46064,0.6982,2.9091,1
3,5,0.7846,6.8521,4.33804,0.6419,2.3486,1
0,0,0.0000,7.1029,1.87620,0.5353,1.8286,0
0,1,0.0000,7.1744,4.08831,0.5495,1.6954,0
0,2,0.0000,6.3238,13.43939,0.7619,3.8209,0
0,3,0.0000,6.5500,6.94593,0.7240,3.2405,0
0,4,0.0000,6.7749,2.96149,0.6383,2.3063,0
0,5,0.0000,6.9071,5.52771,0.6407,2.3486,0
0,6,0.0000,7.2970,2.58847,0.4976,1.5238,0
0,7,0.0000,6.9028,5.59493,0.6399,2.1880,0
0,8,0.0000,6.7875,4.95009,0.6734,2.6122,0
0,9,0.0000,6.4192,8.23522,0.7422,3.5068,0
0,10,0.0000,6.4957,12.21358,0.7314,3.2821,0
0,11,0.0000,6.6945,4.27970,0.6783,2.6667,0
1,1,0.0000,6.6994,5.59297,0.6929,2.6122,0
1,2,0.0000,6.4350,5.46938,0.7313,3.4595,0
1,3,0.0000,6.8297,3.41037,0.6418,2.3273,0
1,4,0.0000,6.7153,5.33135,0.6784,2.6667,0
1,5,0.0000,6.8373,3.22641,0.6413,2.3063,0
1,6,0.0000,7.0681,5.08985,0.5895,1.9104,0
1,7,0.0000,6.7913,3.31223,0.6387,2.2857,0
1,8,0.0000,6.9571,4.96166,0.6209,2.0813,0
1,10,0.0000,6.7478,4.60492,0.6687,2.5600,0
1,11,0.0000,6.7520,4.69606,0.6780,2.6667,0
2,0,0.0000,6.5700,7.19513,0.7092,2.8132,0
2,1,0.0000,7.0474,2.89075,0.5592,1.8156,0
2,2,0.0000,6.6681,5.08440,0.6793,2.6122,0
2,5,0.0000,6.4884,8.55877,0.7375,3.1220,0
2,6,0.0000,6.5232,6.95408,0.7123,3.0476,0
2,7,0.0000,6.4331,9.36473,0.7489,3.3247,0
2,8,0.0000,6.2769,5.92287,0.7523,3.8788,0
2,9,0.0000,6.5702,5.25531,0.6764,2.6947,0
2,10,0.0000,6.7474,5.71281,0.6765,2.4854,0
2,11,0.0000,6.6170,7.75667,0.7125,2.7527,0
3,0,0.0000,6.5807,6.12893,0.7034,2.9425,0
3,1,0.0000,6.4592,6.80882,0.7384,3.5068,0
3,2,0.0000,6.3606,8.13241,0.7458,2.9091,0
3,3,0.0000,5.9382,9.57724,0.8159,5.1200,0
3,4,0.0000,6.6093,10.68309,0.7063,2.9425,0
3,6,0.0000,5.0827,12.80834,0.8812,16.0000,0
3,7,0.0000,5.3710,12.35303,0.8628,9.1429,0
3,8,0.0000,6.2620,6.56669,0.7600,4.0000,0
3,9,0.0000,6.3717,7.81058,0.7512,3.3684,0
3,10,0.0000,6.4534,9.57434,0.7434,3.6056,0
3,11,0.0000,6.1760,10.10699,0.7864,3.9385,0
4,0,0.0000,6.1408,8.10918,0.7848,4.5714,0
4,1,0.0000,6.2701,8.00578,0.7631,3.9385,0
4,2,0.0000,6.6615,4.23260,0.6762,2.6667,0
4,3,0.0000,6.2120,7.79598,0.7702,4.0635,0
4,4,0.0000,5.1720,11.20970,0.8636,16.0000,0
4,5,0.0000,6.7630,4.94012,0.6619,2.3704,0
4,7,0.0000,6.0426,9.01009,0.7880,4.5714,0
4,8,0.0000,6.5637,5.08934,0.7000,2.9425,0
4,9,0.0000,5.2531,11.82121,0.8588,16.0000,0
4,10,0.0000,6.5440,4.34308,0.7061,3.0476,0
4,11,0.0000,6.4298,4.02953,0.7124,3.3247,0
5,1,0.0000,6.2378,9.67656,0.7511,4.4138,0
5,4,0.0000,5.8530,15.16534,0.8114,6.7368,0
5,8,0.0000,6.7151,5.90697,0.6722,2.7234,0
5,9,0.0000,6.4815,5.14523,0.7082,3.5068,0
