layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,56.042,1.0000,0.00003,0.00675,1.0000
0,0,0.20,48.175,0.9999,0.00020,0.01669,1.0000
0,0,0.30,41.370,0.9995,0.00089,0.03653,1.0000
0,0,0.40,36.757,0.9987,0.00301,0.06212,0.9167
0,0,0.50,33.629,0.9972,0.00591,0.08906,0.9167
0,1,0.10,50.485,0.9998,nan,0.03430,0.9524
0,1,0.20,43.467,0.9992,nan,0.07693,0.9167
0,1,0.30,38.737,0.9977,nan,0.13263,0.8889
0,1,0.40,33.934,0.9931,nan,0.23054,0.7579
0,1,0.50,31.640,0.9883,nan,0.30023,0.6905
0,2,0.10,61.681,1.0000,nan,0.00970,0.6825
0,2,0.20,53.416,1.0000,nan,0.02512,0.6002
0,2,0.30,45.117,0.9998,nan,0.06531,0.5407
0,2,0.40,43.122,0.9997,nan,0.08217,0.5754
0,2,0.50,35.140,0.9979,nan,0.20597,0.4385
0,3,0.10,58.474,1.0000,nan,0.01188,0.9444
0,3,0.20,50.319,0.9999,nan,0.03039,0.8968
0,3,0.30,45.257,0.9998,nan,0.05442,0.8492
0,3,0.40,39.979,0.9992,nan,0.09992,0.7302
0,3,0.50,36.251,0.9981,nan,0.15349,0.6746
0,4,0.10,55.968,0.9999,nan,0.01823,0.8611
0,4,0.20,48.633,0.9996,nan,0.04242,0.8611
0,4,0.30,43.929,0.9989,nan,0.07290,0.8611
0,4,0.40,40.228,0.9975,nan,0.11163,0.7024
0,4,0.50,37.093,0.9948,nan,0.16015,0.6825
0,5,0.10,53.920,0.9999,nan,0.01949,0.9167
0,5,0.20,44.269,0.9995,nan,0.05921,0.9444
0,5,0.30,39.901,0.9985,nan,0.09790,0.9246
0,5,0.40,36.676,0.9969,nan,0.14192,0.9097
0,5,0.50,32.968,0.9927,nan,0.21748,0.7262
0,6,0.10,58.144,1.0000,0.00032,0.01436,1.0000
0,6,0.20,49.798,0.9998,nan,0.03753,0.9167
0,6,0.30,42.998,0.9988,nan,0.08211,0.9167
0,6,0.40,40.125,0.9977,nan,0.11431,0.7857
0,6,0.50,35.971,0.9940,nan,0.18440,0.7024
0,7,0.10,57.708,1.0000,0.00042,0.01323,0.9722
0,7,0.20,47.437,0.9997,nan,0.04317,0.9444
0,7,0.30,42.055,0.9991,nan,0.08022,0.8135
0,7,0.40,38.879,0.9981,nan,0.11564,0.8056
0,7,0.50,34.693,0.9950,nan,0.18724,0.7937
0,8,0.10,58.124,1.0000,0.00125,0.01110,1.0000
0,8,0.20,50.462,0.9999,0.00243,0.02681,0.9444
0,8,0.30,44.877,0.9996,nan,0.05100,0.9167
