layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.63629,2.47759,0.15871,15.61118,7.05686,1.41496,0.54689,0,0.05057,1.92481,12,144,16
0,1,5.92493,5.78284,0.14209,40.69859,7.28594,0.85460,0.51610,4,0.12351,1.63057,12,144,16
0,2,16.81678,15.00819,1.80859,8.29828,6.37581,1.25485,0.74607,4,0.00165,3.65714,12,144,16
0,3,10.92554,8.81243,2.11312,4.17034,6.54595,1.64413,0.72681,4,0.01320,3.24051,12,144,16
0,4,3.55838,3.47681,0.08158,42.61963,7.24899,0.92359,0.49523,0,0.09625,1.58025,12,144,16
0,5,6.42486,5.81290,0.61195,9.49892,7.22404,1.24144,0.54458,4,0.11769,1.69536,12,144,16
0,6,4.71418,4.64818,0.06600,70.42453,7.14475,0.91877,0.55413,4,0.08774,1.80282,12,144,16
0,7,6.03807,5.58767,0.45040,12.40611,7.03433,1.15472,0.60735,4,0.07061,2.03175,12,144,16
0,8,5.21628,4.19215,1.02414,4.09335,6.91105,1.76065,0.63871,4,0.03764,2.37037,12,144,16
0,9,6.74885,6.02578,0.72307,8.33366,6.97129,1.39838,0.62264,4,0.06252,2.13333,12,144,16
0,10,16.44326,14.55663,1.88663,7.71568,6.51217,1.25276,0.72406,4,0.00381,3.20000,12,144,16
0,11,4.48099,3.99371,0.48729,8.19578,6.80022,1.50030,0.65198,4,0.04867,2.32727,12,144,16
1,0,20.80810,18.58659,2.22151,8.36664,6.29216,1.20723,0.74077,4,0.00000,3.28205,12,144,16
1,1,5.65326,4.89656,0.75670,6.47093,6.82855,1.57295,0.66309,4,0.01808,2.50980,12,144,16
1,2,5.11509,4.36421,0.75088,5.81212,6.42348,1.48258,0.73445,4,0.02153,3.41333,12,144,16
1,3,4.65305,4.08534,0.56770,7.19627,6.58854,1.45313,0.70490,4,0.03205,3.04762,12,144,16
1,4,5.73035,5.08790,0.64246,7.91946,6.77572,1.43525,0.65778,4,0.04857,2.30631,12,144,16
1,5,3.64964,3.37391,0.27573,12.23627,6.87028,1.33602,0.63375,0,0.04301,2.24561,12,144,16
1,6,7.49052,6.92813,0.56240,12.31892,6.99378,1.24201,0.61598,4,0.08193,2.13333,12,144,16
1,7,4.49125,3.98043,0.51083,7.79213,6.76721,1.52587,0.64726,4,0.05469,2.32727,12,144,16
1,8,5.19750,4.82287,0.37464,12.87348,7.06601,1.12559,0.59133,4,0.06669,1.96923,12,144,16
1,9,20.07231,17.88315,2.18916,8.16896,6.37069,1.22227,0.73701,4,0.00000,3.24051,12,144,16
1,10,6.48253,5.84737,0.63517,9.20600,6.83244,1.30702,0.66068,4,0.04363,2.58586,12,144,16
1,11,4.90855,4.37759,0.53095,8.24477,6.81349,1.51244,0.65896,4,0.02200,2.39252,12,144,16
