layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.463,1.0000,0.00006,0.00822,0.9744
0,0,0.20,45.764,0.9999,0.00030,0.01995,0.9487
0,0,0.30,39.132,0.9994,0.00148,0.04281,0.9231
0,0,0.40,34.385,0.9982,0.00477,0.07395,0.8974
0,0,0.50,31.226,0.9964,0.01077,0.10638,0.8278
0,1,0.10,56.358,1.0000,nan,0.01850,0.9560
0,1,0.20,46.602,0.9995,nan,0.05687,0.8535
0,1,0.30,41.067,0.9984,nan,0.10755,0.8214
0,1,0.40,36.352,0.9952,nan,0.18508,0.8278
0,1,0.50,32.955,0.9894,nan,0.27368,0.6777
0,2,0.10,63.380,1.0000,nan,0.00868,0.8791
0,2,0.20,55.040,1.0000,nan,0.02267,0.7326
0,2,0.30,49.401,0.9999,nan,0.04339,0.5641
0,2,0.40,43.147,0.9996,nan,0.08915,0.4835
0,2,0.50,38.064,0.9986,nan,0.16005,0.4606
0,3,0.10,63.632,1.0000,nan,0.00704,1.0000
0,3,0.20,54.989,1.0000,nan,0.01903,1.0000
0,3,0.30,48.881,0.9999,nan,0.03844,0.9744
0,3,0.40,43.775,0.9996,nan,0.06920,0.9231
0,3,0.50,37.833,0.9983,nan,0.13716,0.8022
0,4,0.10,62.811,1.0000,0.00015,0.00896,0.9744
0,4,0.20,52.956,0.9999,0.00127,0.02786,0.9048
0,4,0.30,48.028,0.9995,nan,0.04914,0.8910
0,4,0.40,44.243,0.9989,nan,0.07598,0.8535
0,4,0.50,41.178,0.9978,nan,0.10813,0.8288
0,5,0.10,59.889,1.0000,0.00049,0.01186,0.9487
0,5,0.20,49.235,0.9998,nan,0.04043,0.9231
0,5,0.30,42.896,0.9990,nan,0.08389,0.8974
0,5,0.40,37.356,0.9963,nan,0.15875,0.7692
0,5,0.50,34.139,0.9921,nan,0.22989,0.7839
0,6,0.10,53.878,0.9999,nan,0.01884,0.9487
0,6,0.20,46.269,0.9996,nan,0.04525,0.8718
0,6,0.30,42.541,0.9990,nan,0.06951,0.8718
0,6,0.40,38.671,0.9974,nan,0.10852,0.8397
0,6,0.50,35.055,0.9941,nan,0.16456,0.7766
0,7,0.10,52.824,0.9999,nan,0.02182,0.8974
0,7,0.20,44.757,0.9996,nan,0.05523,0.8278
0,7,0.30,39.949,0.9989,nan,0.09606,0.8352
0,7,0.40,36.354,0.9974,nan,0.14529,0.7509
0,7,0.50,32.818,0.9941,nan,0.21831,0.6676
0,8,0.10,67.023,1.0000,0.00004,0.00437,1.0000
0,8,0.20,57.234,1.0000,nan,0.01347,0.9744
0,8,0.30,49.143,0.9998,nan,0.03420,0.9231
0,8,0.40,44.884,0.9996,nan,0.05584,0.8718
0,8,0.50,40.525,0.9988,nan,0.09224,0.8462
0,9,0.10,58.123,1.0000,nan,0.01434,0.9744
0,9,0.20,50.595,0.9999,nan,0.03412,0.9487
0,9,0.30,45.346,0.9996,nan,0.06244,0.9231
0,9,0.40,41.363,0.9991,nan,0.09878,0.8718
0,9,0.50,37.257,0.9976,nan,0.15847,0.7692
0,10,0.10,65.228,1.0000,nan,0.00693,0.9231
0,10,0.20,54.094,1.0000,nan,0.02497,0.7839
0,10,0.30,47.085,0.9998,nan,0.05595,0.7958
0,10,0.40,40.648,0.9991,nan,0.11740,0.6676
0,10,0.50,35.457,0.9970,nan,0.21342,0.6053
0,11,0.10,61.514,1.0000,nan,0.00731,0.9744
0,11,0.20,49.380,0.9999,nan,0.02956,0.9744
0,11,0.30,43.452,0.9994,nan,0.05850,0.9487
0,11,0.40,39.216,0.9985,nan,0.09527,0.8974
0,11,0.50,36.009,0.9969,nan,0.13781,0.8974
1,0,0.10,68.824,1.0000,nan,0.00471,0.4249
1,0,0.20,58.271,1.0000,nan,0.01586,0.3477
1,0,0.30,49.221,0.9999,nan,0.04497,0.2988
1,0,0.40,42.747,0.9996,nan,0.09475,0.3187
1,0,0.50,36.172,0.9984,nan,0.20200,0.3187
1,1,0.10,59.285,1.0000,nan,0.00979,0.9744
1,1,0.20,50.812,0.9999,nan,0.02596,0.9487
1,1,0.30,46.035,0.9998,nan,0.04500,0.9231
1,1,0.40,40.918,0.9993,nan,0.08110,0.8535
1,1,0.50,36.798,0.9981,nan,0.13032,0.8535
1,2,0.10,63.970,1.0000,0.00013,0.00529,1.0000
1,2,0.20,52.498,0.9999,0.00188,0.01980,0.9744
1,2,0.30,46.889,0.9998,nan,0.03777,0.8974
1,2,0.40,42.315,0.9994,nan,0.06395,0.8535
1,2,0.50,38.165,0.9985,nan,0.10313,0.8205
1,3,0.10,59.851,1.0000,0.00024,0.01115,0.9744
1,3,0.20,50.182,0.9998,0.00212,0.03393,0.8974
1,3,0.30,45.606,0.9994,0.00533,0.05747,0.8535
1,3,0.40,41.931,0.9987,nan,0.08774,0.8352
1,3,0.50,39.094,0.9975,nan,0.12164,0.8352
1,4,0.10,59.262,1.0000,nan,0.01391,0.9744
1,4,0.20,53.500,0.9999,nan,0.02701,0.9167
1,4,0.30,48.091,0.9997,nan,0.05034,0.9167
1,4,0.40,44.238,0.9993,nan,0.07845,0.8397
1,4,0.50,41.224,0.9986,nan,0.11099,0.7885
1,5,0.10,61.006,1.0000,0.00019,0.00878,1.0000
1,5,0.20,51.895,0.9999,nan,0.02507,0.9744
1,5,0.30,47.191,0.9997,nan,0.04309,0.9231
1,5,0.40,42.670,0.9992,nan,0.07252,0.9231
1,5,0.50,38.634,0.9980,nan,0.11540,0.8535
1,6,0.10,56.775,1.0000,nan,0.01727,0.9744
1,6,0.20,47.890,0.9998,nan,0.04804,0.8718
1,6,0.30,42.633,0.9994,nan,0.08801,0.8718
1,6,0.40,39.273,0.9986,nan,0.12956,0.8022
1,6,0.50,34.987,0.9963,nan,0.21223,0.8352
1,7,0.10,60.316,1.0000,0.00034,0.01087,0.9744
1,7,0.20,52.038,0.9999,0.00167,0.02819,0.9487
1,7,0.30,46.283,0.9995,nan,0.05469,0.8974
1,7,0.40,41.691,0.9984,nan,0.09279,0.8022
1,7,0.50,38.943,0.9970,nan,0.12732,0.8791
1,8,0.10,55.617,1.0000,nan,0.02098,0.9744
1,8,0.20,46.782,0.9996,nan,0.05802,0.8462
1,8,0.30,41.375,0.9987,nan,0.10811,0.8141
1,8,0.40,38.219,0.9974,nan,0.15550,0.7445
1,8,0.50,35.112,0.9947,nan,0.22236,0.6310
1,9,0.10,64.405,1.0000,nan,0.00783,0.3959
1,9,0.20,58.202,1.0000,nan,0.01599,0.3990
1,9,0.30,49.033,0.9999,nan,0.04595,0.3703
1,9,0.40,42.026,0.9996,nan,0.10296,0.3507
1,9,0.50,35.878,0.9982,nan,0.20896,0.3217
1,10,0.10,61.459,1.0000,0.00017,0.00934,1.0000
1,10,0.20,51.063,0.9999,nan,0.03093,0.9231
1,10,0.30,44.189,0.9994,0.01264,0.06825,0.8397
1,10,0.40,39.095,0.9981,nan,0.12268,0.7628
1,10,0.50,35.126,0.9953,nan,0.19374,0.6264
1,11,0.10,60.758,1.0000,0.00054,0.00968,0.9744
1,11,0.20,52.522,0.9999,nan,0.02498,0.9487
1,11,0.30,47.413,0.9997,nan,0.04498,0.9744
1,11,0.40,44.075,0.9994,nan,0.06606,0.8654
1,11,0.50,40.913,0.9988,nan,0.09506,0.8910
2,0,0.10,62.323,1.0000,nan,0.00986,0.9744
2,0,0.20,52.012,0.9999,nan,0.03233,0.9167
2,0,0.30,47.218,0.9997,nan,0.05614,0.8654
2,0,0.40,43.944,0.9994,nan,0.08184,0.7839
2,0,0.50,39.856,0.9985,nan,0.13103,0.7839
2,1,0.10,61.420,1.0000,0.00008,0.00956,1.0000
2,1,0.20,51.094,0.9998,0.00108,0.03139,0.9487
2,1,0.30,46.524,0.9994,0.00329,0.05312,0.9304
