layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9370,6.9985,18.45353,0.6277,2.2069,1
1,9,0.9370,7.0103,18.35387,0.6247,2.1695,1
2,6,0.8196,6.5122,8.16352,0.7190,3.1605,2
4,3,0.8196,6.5473,8.33571,0.7149,3.0476,2
2,3,0.8174,6.3003,12.11772,0.7506,3.8788,1
4,6,0.8174,6.1582,11.14300,0.7790,4.4138,1
3,3,0.8021,6.2468,11.24023,0.7680,4.4138,1
3,11,0.8021,6.3878,10.85594,0.7430,3.4595,1
3,9,0.7978,6.6199,8.08869,0.7030,2.9091,2
4,0,0.7876,6.3639,9.27797,0.7461,3.7101,1
4,7,0.7876,6.4855,9.32214,0.7264,3.4133,1
5,2,0.7742,6.8242,6.24513,0.6605,2.3925,1
5,8,0.7742,6.9092,6.80051,0.6443,2.2456,2
5,6,0.7434,6.6796,7.40010,0.6953,2.6392,1
2,7,0.7289,6.7300,9.67827,0.6861,2.6392,1
3,4,0.7289,6.9516,10.03831,0.6395,2.2655,1
0,0,0.0000,7.3410,2.13869,0.5223,1.6842,0
0,1,0.0000,7.4344,5.54113,0.4844,1.4713,0
0,2,0.0000,6.9725,13.98960,0.6359,2.2069,0
0,3,0.0000,6.9173,8.04752,0.6459,2.2456,0
0,4,0.0000,7.1836,3.25650,0.5702,1.8028,0
0,5,0.0000,7.3567,5.69623,0.5105,1.5901,0
0,6,0.0000,7.4429,2.92277,0.4822,1.5515,0
0,7,0.0000,7.3067,5.94146,0.5341,1.6203,0
0,8,0.0000,6.8529,5.37953,0.6557,2.3486,0
0,9,0.0000,7.0581,7.05564,0.6038,1.9248,0
0,10,0.0000,7.1468,11.30008,0.5867,1.9845,0
0,11,0.0000,7.1697,4.13143,0.5741,1.8417,0
1,1,0.0000,7.1489,5.94335,0.5853,1.9394,0
1,2,0.0000,6.9798,4.46968,0.6267,2.0480,0
1,3,0.0000,7.0935,3.61418,0.5963,1.8963,0
1,4,0.0000,6.9919,5.41931,0.6191,2.0000,0
1,5,0.0000,7.0345,4.57495,0.6130,1.9394,0
1,6,0.0000,7.1279,9.16304,0.5889,1.9248,0
1,7,0.0000,7.0694,3.56636,0.5953,1.8286,0
1,8,0.0000,7.2409,6.24099,0.5486,1.6101,0
1,10,0.0000,7.2980,5.59177,0.5306,1.6954,0
1,11,0.0000,6.9616,4.98640,0.6324,2.2069,0
2,0,0.0000,6.9348,7.07793,0.6311,2.1333,0
2,1,0.0000,7.2592,3.14525,0.5468,1.7181,0
2,2,0.0000,6.9603,5.00217,0.6273,2.1157,0
2,4,0.0000,6.9680,4.62988,0.6269,2.1513,0
2,5,0.0000,6.9630,10.15471,0.6342,2.1695,0
2,8,0.0000,6.6898,7.19351,0.6868,2.6947,0
2,9,0.0000,6.9692,5.59312,0.6115,1.9248,0
2,10,0.0000,6.9952,5.57388,0.6195,2.0813,0
2,11,0.0000,6.9823,8.71530,0.6288,2.1333,0
3,0,0.0000,6.7837,7.22248,0.6674,2.3486,0
3,1,0.0000,6.7516,8.47026,0.6753,2.5347,0
3,2,0.0000,6.5955,10.05491,0.7081,2.7826,0
3,5,0.0000,7.0239,4.50102,0.6043,1.9542,0
3,6,0.0000,5.7203,13.62026,0.8340,8.0000,0
3,7,0.0000,5.9976,12.66859,0.7990,5.6889,0
3,8,0.0000,6.8226,6.83038,0.6523,2.2261,0
3,10,0.0000,6.8897,10.38445,0.6544,2.3063,0
4,1,0.0000,6.5696,9.13760,0.7150,2.9091,0
4,2,0.0000,6.9557,4.42652,0.6313,2.1880,0
4,4,0.0000,6.0830,10.24926,0.7832,5.0196,0
4,5,0.0000,7.1153,4.36911,0.5852,1.8824,0
4,8,0.0000,7.0524,5.70422,0.6090,1.9542,0
4,9,0.0000,5.9009,12.17029,0.8077,7.1111,0
4,10,0.0000,6.9680,4.25245,0.6246,2.0645,0
4,11,0.0000,6.7747,4.73354,0.6694,2.5098,0
5,0,0.0000,6.2227,13.63992,0.7784,4.7407,0
5,1,0.0000,6.6300,9.34640,0.7049,2.8444,0
5,3,0.0000,6.6429,9.91213,0.7053,2.8764,0
5,4,0.0000,6.4174,15.26597,0.7470,3.6571,0
5,5,0.0000,6.6841,8.54821,0.6910,2.6947,0
5,7,0.0000,6.5801,12.36039,0.7173,3.2821,0
5,9,0.0000,6.9821,5.32714,0.6224,2.0813,0
5,10,0.0000,6.5619,9.85207,0.7179,3.2000,0
5,11,0.0000,6.3831,13.18959,0.7533,3.8788,0
