layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,50.157,1.0000,0.00013,0.01203,1.0000
0,0,0.20,40.005,0.9995,0.00118,0.03872,0.8718
0,0,0.30,35.135,0.9985,0.00381,0.06783,0.8462
0,0,0.40,31.576,0.9967,0.00988,0.10218,0.8462
0,0,0.50,28.658,0.9934,0.01789,0.14298,0.8022
0,1,0.10,58.793,1.0000,nan,0.01398,0.9744
0,1,0.20,49.586,0.9998,nan,0.04034,0.8718
0,1,0.30,41.334,0.9985,nan,0.10430,0.8022
0,1,0.40,36.832,0.9957,nan,0.17513,0.7216
0,1,0.50,33.705,0.9911,nan,0.25103,0.7005
0,2,0.10,89.546,1.0000,nan,0.00043,1.0000
0,2,0.20,77.174,1.0000,nan,0.00177,0.9048
0,2,0.30,67.022,1.0000,nan,0.00571,0.8535
0,2,0.40,60.084,1.0000,nan,0.01269,0.8022
0,2,0.50,53.225,1.0000,nan,0.02794,0.7262
0,3,0.10,76.743,1.0000,0.00006,0.00155,1.0000
0,3,0.20,66.472,1.0000,0.00044,0.00507,1.0000
0,3,0.30,59.605,1.0000,0.00109,0.01119,0.9744
0,3,0.40,52.798,0.9999,0.00366,0.02449,0.9487
0,3,0.50,45.612,0.9997,nan,0.05601,0.9304
0,4,0.10,61.347,1.0000,0.00011,0.01060,0.9744
0,4,0.20,51.780,0.9998,0.00081,0.03190,0.9231
0,4,0.30,46.358,0.9993,0.00447,0.05956,0.8535
0,4,0.40,42.864,0.9985,nan,0.08906,0.7326
0,4,0.50,39.075,0.9964,nan,0.13775,0.6749
0,5,0.10,63.218,1.0000,0.00020,0.00808,0.9487
0,5,0.20,51.436,0.9999,0.00220,0.03138,0.8718
0,5,0.30,44.798,0.9993,0.00696,0.06739,0.8718
0,5,0.40,39.578,0.9978,0.02005,0.12291,0.8022
0,5,0.50,35.415,0.9942,nan,0.19848,0.7656
0,6,0.10,59.927,1.0000,0.00020,0.00939,1.0000
0,6,0.20,47.423,0.9997,nan,0.03962,0.9744
0,6,0.30,40.500,0.9983,nan,0.08792,0.9744
0,6,0.40,36.412,0.9957,nan,0.14076,0.8718
0,6,0.50,33.449,0.9915,nan,0.19797,0.7766
0,7,0.10,55.186,1.0000,0.00063,0.01662,1.0000
0,7,0.20,45.356,0.9997,nan,0.05154,0.8718
0,7,0.30,39.941,0.9989,nan,0.09615,0.7949
0,7,0.40,36.071,0.9972,nan,0.15012,0.7582
0,7,0.50,33.330,0.9948,nan,0.20581,0.6630
0,8,0.10,66.127,1.0000,0.00010,0.00484,1.0000
0,8,0.20,54.449,1.0000,nan,0.01856,0.9231
0,8,0.30,48.411,0.9998,nan,0.03721,0.9231
0,8,0.40,43.858,0.9994,nan,0.06284,0.8718
0,8,0.50,39.290,0.9984,0.01855,0.10632,0.7949
0,9,0.10,62.498,1.0000,nan,0.00867,1.0000
0,9,0.20,52.793,0.9999,nan,0.02649,0.9744
0,9,0.30,46.799,0.9997,nan,0.05283,0.8974
0,9,0.40,41.937,0.9992,nan,0.09246,0.7766
0,9,0.50,38.018,0.9980,nan,0.14518,0.7885
0,10,0.10,76.781,1.0000,nan,0.00183,0.9744
0,10,0.20,66.618,1.0000,nan,0.00590,0.9744
0,10,0.30,58.679,1.0000,nan,0.01473,0.9231
0,10,0.40,52.444,0.9999,nan,0.03019,0.7326
0,10,0.50,45.613,0.9997,nan,0.06628,0.6960
0,11,0.10,58.362,1.0000,0.00027,0.01051,1.0000
0,11,0.20,50.135,0.9999,0.00202,0.02710,1.0000
0,11,0.30,44.030,0.9995,nan,0.05473,1.0000
0,11,0.40,38.949,0.9984,nan,0.09823,0.8974
0,11,0.50,35.970,0.9968,0.02414,0.13842,0.8718
1,0,0.10,152.949,1.0000,nan,0.00000,1.0000
1,0,0.20,151.591,1.0000,nan,0.00000,0.9744
1,0,0.30,141.034,1.0000,nan,0.00000,0.8974
1,0,0.40,128.217,1.0000,nan,0.00001,0.7839
1,0,0.50,100.113,1.0000,nan,0.00013,0.6264
1,1,0.10,75.339,1.0000,0.00020,0.00154,1.0000
1,1,0.20,61.699,1.0000,nan,0.00741,1.0000
1,1,0.30,52.242,0.9999,nan,0.02202,0.9487
1,1,0.40,44.446,0.9997,nan,0.05402,0.9487
1,1,0.50,39.164,0.9989,nan,0.09924,0.8535
1,2,0.10,61.549,1.0000,0.00025,0.00699,1.0000
1,2,0.20,51.823,0.9999,nan,0.02140,0.9744
1,2,0.30,46.417,0.9998,nan,0.03988,0.8791
1,2,0.40,41.367,0.9993,nan,0.07133,0.8022
1,2,0.50,37.252,0.9982,nan,0.11456,0.7766
1,3,0.10,63.052,1.0000,0.00010,0.00771,1.0000
1,3,0.20,53.337,0.9999,0.00136,0.02360,0.8718
1,3,0.30,47.517,0.9996,nan,0.04612,0.8791
1,3,0.40,43.073,0.9990,nan,0.07693,0.8095
1,3,0.50,38.833,0.9973,0.02060,0.12535,0.7445
1,4,0.10,59.481,1.0000,0.00049,0.01357,0.9744
1,4,0.20,51.923,0.9999,nan,0.03239,0.9304
1,4,0.30,46.108,0.9995,nan,0.06326,0.8718
1,4,0.40,43.054,0.9991,nan,0.08991,0.8205
1,4,0.50,39.883,0.9981,nan,0.12952,0.7582
1,5,0.10,59.820,1.0000,nan,0.01007,1.0000
1,5,0.20,51.368,0.9999,nan,0.02664,1.0000
1,5,0.30,46.557,0.9997,nan,0.04635,1.0000
1,5,0.40,42.573,0.9992,nan,0.07333,0.8462
1,5,0.50,39.177,0.9982,nan,0.10840,0.9231
1,6,0.10,61.191,1.0000,nan,0.01039,1.0000
1,6,0.20,52.003,0.9999,nan,0.02992,1.0000
1,6,0.30,45.959,0.9997,0.01133,0.06001,0.8974
1,6,0.40,41.516,0.9992,nan,0.10008,0.8278
1,6,0.50,36.668,0.9975,nan,0.17488,0.7143
1,7,0.10,58.698,1.0000,0.00018,0.01310,0.9487
1,7,0.20,49.405,0.9997,nan,0.03818,0.9744
1,7,0.30,45.096,0.9993,nan,0.06270,0.8718
1,7,0.40,41.180,0.9982,0.01268,0.09841,0.8278
1,7,0.50,38.469,0.9967,nan,0.13446,0.7509
1,8,0.10,59.638,1.0000,0.00040,0.01321,0.9487
1,8,0.20,48.639,0.9998,nan,0.04685,0.9304
1,8,0.30,42.477,0.9990,nan,0.09523,0.8278
1,8,0.40,38.091,0.9973,nan,0.15781,0.7582
1,8,0.50,34.649,0.9941,nan,0.23453,0.6007
1,9,0.10,154.458,1.0000,nan,0.00000,1.0000
1,9,0.20,154.001,1.0000,nan,0.00000,0.9744
1,9,0.30,142.879,1.0000,nan,0.00000,0.8718
