layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9374,7.1333,18.45353,0.5905,2.0000,1
1,9,0.9374,7.1414,18.35387,0.5879,2.0000,1
2,6,0.8177,6.3973,8.16352,0.7364,3.4133,2
4,3,0.8177,6.3932,8.33571,0.7379,3.7101,3
2,3,0.8171,6.2168,12.11772,0.7690,3.8209,1
4,6,0.8171,6.0839,11.14300,0.7887,4.5714,1
3,3,0.8017,6.1388,11.24023,0.7813,4.4912,1
3,11,0.8017,6.2639,10.85594,0.7599,3.7647,1
3,9,0.8013,6.4945,8.08869,0.7250,3.4595,2
4,0,0.7862,6.2809,9.27798,0.7569,4.0000,1
4,7,0.7862,6.3563,9.32214,0.7400,3.6056,1
5,2,0.7719,6.7178,6.24513,0.6867,2.8444,1
5,8,0.7719,6.7166,6.80051,0.6855,2.7527,1
5,1,0.7544,6.5540,9.34640,0.7177,3.2821,1
2,7,0.7306,6.7316,9.67828,0.6821,2.5347,1
3,4,0.7306,6.9409,10.03831,0.6382,2.2069,1
0,0,0.0000,7.3122,2.13869,0.5307,1.6732,0
0,1,0.0000,7.3709,5.54113,0.5079,1.5706,0
0,2,0.0000,7.1152,13.98961,0.5961,2.0157,0
0,3,0.0000,6.8872,8.04752,0.6528,2.4615,0
0,4,0.0000,7.2956,3.25650,0.5259,1.6410,0
0,5,0.0000,7.2179,5.69623,0.5527,1.7181,0
0,6,0.0000,7.4169,2.92278,0.4898,1.5515,0
0,7,0.0000,7.3436,5.94146,0.5175,1.5422,0
0,8,0.0000,7.0520,5.37953,0.6023,1.9845,0
0,9,0.0000,7.0597,7.05564,0.5989,1.8963,0
0,10,0.0000,7.1333,11.30008,0.5910,2.0157,0
0,11,0.0000,7.2220,4.13143,0.5482,1.7297,0
1,1,0.0000,7.0709,5.94335,0.6045,2.0000,0
1,2,0.0000,6.9625,4.46968,0.6229,2.0984,0
1,3,0.0000,6.9192,3.61418,0.6376,2.1880,0
1,4,0.0000,7.0237,5.41931,0.6030,1.9692,0
1,5,0.0000,7.0885,4.57495,0.5880,1.8417,0
1,6,0.0000,7.1439,9.16304,0.5786,1.8156,0
1,7,0.0000,6.9583,3.56636,0.6182,2.0645,0
1,8,0.0000,7.2502,6.24099,0.5404,1.6623,0
1,10,0.0000,7.2173,5.59177,0.5493,1.6954,0
1,11,0.0000,6.9614,4.98640,0.6291,2.1333,0
2,0,0.0000,6.8149,7.07793,0.6602,2.3704,0
2,1,0.0000,7.2251,3.14525,0.5584,1.8156,0
2,2,0.0000,6.8822,5.00217,0.6398,2.2069,0
2,4,0.0000,6.9794,4.62988,0.6142,2.0984,0
2,5,0.0000,6.9177,10.15471,0.6420,2.2857,0
2,8,0.0000,6.5859,7.19351,0.7037,2.9091,0
2,9,0.0000,6.7929,5.59312,0.6513,2.2456,0
2,10,0.0000,6.8653,5.57388,0.6541,2.4151,0
2,11,0.0000,6.9759,8.71530,0.6315,2.1157,0
3,0,0.0000,6.6670,7.22248,0.6850,2.7527,0
3,1,0.0000,6.6617,8.47026,0.6912,2.6947,0
3,2,0.0000,6.6790,10.05492,0.6957,2.6667,0
3,5,0.0000,7.0351,4.50102,0.6004,1.9845,0
3,6,0.0000,5.6493,13.62026,0.8432,7.5294,0
3,7,0.0000,5.9207,12.66859,0.8100,5.3333,0
3,8,0.0000,6.5597,6.83038,0.7000,2.9425,0
3,10,0.0000,6.9435,10.38445,0.6400,2.2261,0
4,1,0.0000,6.4153,9.13760,0.7392,3.4133,0
4,2,0.0000,6.8151,4.42652,0.6597,2.3925,0
4,4,0.0000,5.9938,10.24926,0.7935,5.5652,0
4,5,0.0000,7.1674,4.36911,0.5697,1.7655,0
4,8,0.0000,6.9246,5.70422,0.6433,2.2857,0
4,9,0.0000,5.9378,12.17029,0.8023,5.8182,0
4,10,0.0000,6.9003,4.25245,0.6343,2.2261,0
4,11,0.0000,6.6571,4.73354,0.6859,2.7826,0
5,0,0.0000,6.1715,13.63992,0.7852,5.0196,0
5,3,0.0000,6.5510,9.91213,0.7216,3.3684,0
5,4,0.0000,6.2608,15.26597,0.7737,4.4912,0
5,5,0.0000,6.4724,8.54821,0.7325,3.5556,0
5,6,0.0000,6.4271,7.40010,0.7435,3.5556,0
5,7,0.0000,6.4649,12.36039,0.7390,3.6571,0
5,9,0.0000,6.9437,5.32714,0.6334,2.2069,0
5,10,0.0000,6.5495,9.85208,0.7223,3.2405,0
5,11,0.0000,6.2788,13.18959,0.7689,4.3390,0
