layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9318,7.0991,17.82935,0.5994,2.0480,1
1,9,0.9318,7.1247,18.25530,0.5916,2.0000,1
3,3,0.7945,6.3041,10.11925,0.7508,3.9385,1
3,11,0.7945,6.3528,10.95561,0.7450,3.4133,1
2,7,0.7693,6.8090,9.95127,0.6685,2.4615,1
3,4,0.7693,6.7976,9.38320,0.6682,2.3704,1
2,2,0.7405,6.9579,5.14472,0.6231,2.0645,1
3,0,0.7405,6.9046,6.32627,0.6316,2.1333,1
0,0,0.0000,7.1757,1.81104,0.5765,1.9542,0
0,1,0.0000,7.4756,5.02951,0.4663,1.4545,0
0,2,0.0000,7.0538,14.00736,0.6125,2.0645,0
0,3,0.0000,6.8660,7.79542,0.6600,2.4381,0
0,4,0.0000,7.3625,3.30366,0.5062,1.5802,0
0,5,0.0000,7.4069,4.74359,0.4772,1.4382,0
0,6,0.0000,7.5112,3.20849,0.4472,1.3913,0
0,7,0.0000,7.1939,6.30101,0.5600,1.6954,0
0,8,0.0000,7.0660,4.48121,0.5986,1.9394,0
0,9,0.0000,6.8770,7.64112,0.6418,2.1695,0
0,10,0.0000,7.1388,13.18798,0.5880,1.9394,0
0,11,0.0000,7.0749,4.20611,0.5921,1.9248,0
1,1,0.0000,7.0452,5.07811,0.6085,2.0480,0
1,2,0.0000,6.8103,5.24856,0.6613,2.3486,0
1,3,0.0000,6.9780,3.88281,0.6214,2.0645,0
1,4,0.0000,7.0603,5.01994,0.5916,1.8824,0
1,5,0.0000,7.1956,3.32701,0.5608,1.7297,0
1,6,0.0000,7.3123,6.63850,0.5257,1.6203,0
1,7,0.0000,6.9898,3.81492,0.6110,2.0157,0
1,8,0.0000,7.3584,4.54306,0.5068,1.5802,0
1,10,0.0000,7.0267,6.07702,0.6104,2.0157,0
1,11,0.0000,6.9285,4.90875,0.6410,2.2456,0
2,0,0.0000,6.9191,6.73003,0.6287,2.1157,0
2,1,0.0000,7.3635,2.95807,0.5083,1.5610,0
2,3,0.0000,6.4268,11.69023,0.7262,3.2000,0
2,4,0.0000,7.1102,4.90011,0.5841,1.8417,0
2,5,0.0000,7.0129,7.16159,0.6088,1.9692,0
2,6,0.0000,6.8672,7.36868,0.6361,2.1880,0
2,8,0.0000,6.7822,6.49736,0.6685,2.4854,0
2,9,0.0000,6.8682,5.24271,0.6333,2.1513,0
2,10,0.0000,7.0460,5.59801,0.6060,2.0000,0
2,11,0.0000,6.9525,8.61650,0.6339,2.2261,0
3,1,0.0000,6.8010,8.71931,0.6526,2.2069,0
3,2,0.0000,6.6324,9.87336,0.7029,2.8132,0
3,5,0.0000,7.0821,5.07062,0.5914,1.9104,0
3,6,0.0000,5.9095,12.91029,0.8003,5.9535,0
3,7,0.0000,5.8940,13.03099,0.8092,5.5652,0
3,8,0.0000,6.7196,6.53239,0.6734,2.4381,0
3,9,0.0000,6.4362,8.47560,0.7338,3.4595,0
3,10,0.0000,7.0414,8.96766,0.6114,2.0000,0
4,0,0.0000,6.4796,10.26794,0.7148,3.1220,0
4,1,0.0000,6.6202,9.11011,0.6933,2.7826,0
4,2,0.0000,6.7874,6.03993,0.6611,2.3925,0
4,3,0.0000,6.5414,8.85715,0.7040,3.0476,0
4,4,0.0000,6.5343,9.13627,0.7048,2.8764,0
4,5,0.0000,7.0055,5.91692,0.6026,1.8824,0
4,6,0.0000,6.0880,11.20067,0.7798,4.4138,0
4,7,0.0000,6.8169,9.43212,0.6575,2.3273,0
4,8,0.0000,6.9668,4.79452,0.6188,2.0480,0
4,9,0.0000,5.9135,12.02527,0.7961,6.7368,0
4,10,0.0000,6.8498,6.31718,0.6397,2.2069,0
4,11,0.0000,6.6010,4.88659,0.6966,2.9425,0
5,0,0.0000,6.5212,7.69081,0.7214,3.2405,0
5,1,0.0000,6.4947,9.83193,0.7214,3.5068,0
5,2,0.0000,6.6997,6.19181,0.6862,2.6947,0
5,3,0.0000,6.6743,8.86480,0.6960,2.9091,0
5,4,0.0000,6.7799,8.67545,0.6704,2.5600,0
5,5,0.0000,6.3583,11.02648,0.7529,4.4138,0
5,6,0.0000,6.1879,12.37411,0.7801,5.2245,0
5,7,0.0000,6.0671,16.63386,0.7954,6.0952,0
5,8,0.0000,6.7989,7.03391,0.6634,2.5347,0
5,9,0.0000,6.9095,4.47315,0.6401,2.3486,0
5,10,0.0000,6.4984,9.67097,0.7274,3.5068,0
5,11,0.0000,5.9610,17.63667,0.8099,6.4000,0
