layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9316,6.9850,17.82934,0.6314,2.2456,1
1,9,0.9316,7.0049,18.25530,0.6262,2.1880,1
3,3,0.7919,6.3167,10.11925,0.7550,4.1290,1
3,11,0.7919,6.3183,10.95560,0.7569,3.9385,1
3,4,0.7916,6.8542,9.38320,0.6610,2.3925,2
3,9,0.7916,6.7040,8.47560,0.6887,2.6947,1
2,3,0.7856,6.3507,11.69023,0.7495,3.7101,1
4,6,0.7856,6.1201,11.20067,0.7793,4.8302,1
2,7,0.7724,6.8342,9.95127,0.6649,2.3704,1
2,2,0.7438,7.0794,5.14472,0.5972,1.9104,1
3,0,0.7438,6.9619,6.32627,0.6249,2.0480,1
0,0,0.0000,7.2537,1.81104,0.5529,1.7902,0
0,1,0.0000,7.5629,5.02951,0.4273,1.3617,0
0,2,0.0000,7.0507,14.00736,0.6141,2.0645,0
0,3,0.0000,6.8894,7.79542,0.6550,2.4151,0
0,4,0.0000,7.2599,3.30366,0.5470,1.7067,0
0,5,0.0000,7.4425,4.74359,0.4766,1.4798,0
0,6,0.0000,7.4814,3.20849,0.4664,1.4884,0
0,7,0.0000,7.1423,6.30101,0.5823,1.8028,0
0,8,0.0000,6.9719,4.48121,0.6249,2.0480,0
0,9,0.0000,6.9111,7.64112,0.6372,2.1157,0
0,10,0.0000,7.1279,13.18798,0.5918,2.0000,0
0,11,0.0000,7.1141,4.20611,0.5847,1.8417,0
1,1,0.0000,7.0207,5.07811,0.6190,2.1333,0
1,2,0.0000,6.8861,5.24856,0.6507,2.3273,0
1,3,0.0000,6.9805,3.88281,0.6273,2.0645,0
1,4,0.0000,6.9795,5.01994,0.6211,2.0317,0
1,5,0.0000,7.2340,3.32701,0.5566,1.7067,0
1,6,0.0000,7.3288,6.63849,0.5250,1.6101,0
1,7,0.0000,7.0261,3.81492,0.6115,1.9692,0
1,8,0.0000,7.2953,4.54306,0.5359,1.6623,0
1,10,0.0000,7.1266,6.07702,0.5820,1.8551,0
1,11,0.0000,6.8691,4.90875,0.6560,2.4151,0
2,0,0.0000,6.8961,6.73003,0.6349,2.1695,0
2,1,0.0000,7.3812,2.95807,0.5019,1.5515,0
2,4,0.0000,7.1234,4.90011,0.5838,1.8963,0
2,5,0.0000,6.9608,7.16158,0.6308,2.0984,0
2,6,0.0000,6.8665,7.36868,0.6404,2.2456,0
2,8,0.0000,6.7273,6.49736,0.6831,2.6122,0
2,9,0.0000,6.9461,5.24271,0.6215,2.0984,0
2,10,0.0000,6.9980,5.59801,0.6205,2.0480,0
2,11,0.0000,6.9842,8.61650,0.6300,2.1880,0
3,1,0.0000,6.6576,8.71931,0.6924,2.7527,0
3,2,0.0000,6.6371,9.87336,0.7036,2.8132,0
3,5,0.0000,7.1099,5.07061,0.5878,1.8824,0
3,6,0.0000,5.7833,12.91029,0.8254,7.7576,0
3,7,0.0000,5.8801,13.03099,0.8182,6.2439,0
3,8,0.0000,6.7565,6.53239,0.6740,2.4854,0
3,10,0.0000,7.0537,8.96766,0.6112,2.0645,0
4,0,0.0000,6.5015,10.26794,0.7199,3.1605,0
4,1,0.0000,6.6498,9.11011,0.6938,2.7234,0
4,2,0.0000,6.7835,6.03993,0.6680,2.3925,0
4,3,0.0000,6.5927,8.85715,0.7034,2.9425,0
4,4,0.0000,6.5009,9.13627,0.7156,3.0476,0
4,5,0.0000,6.9107,5.91692,0.6352,2.1333,0
4,7,0.0000,6.8042,9.43212,0.6661,2.4151,0
4,8,0.0000,7.0565,4.79452,0.5987,1.9248,0
4,9,0.0000,5.8611,12.02527,0.8088,8.0000,0
4,10,0.0000,6.8121,6.31718,0.6539,2.3063,0
4,11,0.0000,6.7561,4.88659,0.6695,2.5600,0
5,0,0.0000,6.6201,7.69081,0.7056,2.9425,0
5,1,0.0000,6.5222,9.83193,0.7236,3.3247,0
5,2,0.0000,6.8163,6.19181,0.6595,2.3925,0
5,3,0.0000,6.9078,8.86480,0.6443,2.2069,0
5,4,0.0000,6.8761,8.67545,0.6529,2.2655,0
5,5,0.0000,6.4720,11.02648,0.7363,3.7101,0
5,6,0.0000,6.2803,12.37411,0.7723,4.3390,0
5,7,0.0000,6.1173,16.63386,0.7924,5.3333,0
5,8,0.0000,6.9269,7.03391,0.6318,2.1157,0
5,9,0.0000,7.1050,4.47315,0.5854,1.8551,0
5,10,0.0000,6.6093,9.67097,0.7070,2.8444,0
5,11,0.0000,6.0138,17.63667,0.8080,5.5652,0
