layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.00085,1.56774,0.43311,3.61974,7.33734,-0.00000,0.52476,0,0.03887,1.67320,13,169,16
0,1,4.86570,2.13203,2.73367,0.77992,7.40502,-0.00000,0.49562,1,0.09359,1.52381,13,169,16
0,2,13.97769,5.72146,8.25623,0.69299,7.03288,-0.00000,0.61898,1,0.04888,2.11570,13,169,16
0,3,7.95511,4.44063,3.51448,1.26353,6.95027,-0.00000,0.64023,0,0.03328,2.24561,13,169,16
0,4,3.13383,1.90472,1.22911,1.54967,7.18326,-0.00000,0.57339,0,0.04460,1.85507,13,169,16
0,5,6.22447,2.88216,3.34231,0.86233,7.29093,-0.00000,0.53445,1,0.07073,1.65161,13,169,16
0,6,3.04482,1.60668,1.43814,1.11719,7.41136,-0.00000,0.49468,0,0.07080,1.59006,13,169,16
0,7,6.13796,2.62652,3.51144,0.74799,7.09085,-0.00000,0.59969,1,0.06683,1.92481,13,169,16
0,8,5.04610,3.48551,1.56059,2.23346,6.92895,-0.00000,0.63498,0,0.03904,2.20690,13,169,16
0,9,7.42384,3.69017,3.73367,0.98835,6.74417,-0.00000,0.67625,1,0.03212,2.41509,13,169,16
0,10,13.34563,5.00369,8.34194,0.59982,7.12624,-0.00000,0.59167,1,0.05622,2.01575,13,169,16
0,11,5.56992,2.78700,2.78292,1.00146,7.08512,-0.00000,0.60079,0,0.06053,1.96923,13,169,16
1,0,18.68826,6.47230,12.21596,0.52982,6.99311,-0.00000,0.62897,1,0.04180,2.20690,13,169,16
1,1,6.96827,3.10856,3.85971,0.80539,7.04188,-0.00000,0.61711,1,0.04396,2.11570,13,169,16
1,2,5.73844,3.16451,2.57393,1.22945,6.64302,-0.00000,0.70115,0,0.02743,2.84444,13,169,16
1,3,4.18042,2.40506,1.77535,1.35470,6.91179,-0.00000,0.64415,0,0.04073,2.22609,13,169,16
1,4,6.37242,3.28516,3.08726,1.06410,6.76063,-0.00000,0.67237,0,0.04237,2.50980,13,169,16
1,5,3.78752,2.36373,1.42379,1.66017,7.10416,-0.00000,0.59240,0,0.05313,1.82857,13,169,16
1,6,6.19224,3.19026,3.00198,1.06272,7.04389,-0.00000,0.60753,0,0.06637,2.01575,13,169,16
