layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,50.001,0.9999,0.00010,0.01305,0.9744
0,0,0.20,41.403,0.9996,0.00090,0.03512,0.9744
0,0,0.30,37.525,0.9990,0.00208,0.05489,0.9231
0,0,0.40,33.970,0.9976,0.00474,0.08265,0.8718
0,0,0.50,30.119,0.9942,0.01103,0.12875,0.7656
0,1,0.10,60.597,1.0000,0.00031,0.01148,0.9744
0,1,0.20,48.978,0.9997,nan,0.04374,0.9231
0,1,0.30,42.156,0.9987,nan,0.09594,0.8397
0,1,0.40,38.009,0.9966,nan,0.15463,0.7885
0,1,0.50,35.080,0.9934,nan,0.21665,0.7372
0,2,0.10,90.719,1.0000,nan,0.00037,1.0000
0,2,0.20,77.000,1.0000,nan,0.00181,0.9231
0,2,0.30,70.692,1.0000,nan,0.00374,0.8974
0,2,0.40,62.214,1.0000,nan,0.00992,0.8095
0,2,0.50,53.696,1.0000,nan,0.02645,0.6703
0,3,0.10,78.038,1.0000,0.00006,0.00133,1.0000
0,3,0.20,64.800,1.0000,0.00066,0.00611,1.0000
0,3,0.30,58.102,1.0000,nan,0.01321,1.0000
0,3,0.40,52.726,0.9999,nan,0.02453,0.9744
0,3,0.50,46.171,0.9998,nan,0.05217,0.8974
0,4,0.10,60.572,1.0000,0.00020,0.01153,1.0000
0,4,0.20,50.694,0.9997,0.00131,0.03594,0.8974
0,4,0.30,45.809,0.9992,0.00321,0.06307,0.8205
0,4,0.40,42.513,0.9983,0.00616,0.09218,0.7509
0,4,0.50,39.349,0.9965,nan,0.13268,0.6566
0,5,0.10,61.384,1.0000,0.00016,0.01043,1.0000
0,5,0.20,53.013,0.9999,0.00184,0.02734,0.9487
0,5,0.30,45.305,0.9994,0.00753,0.06642,0.7582
0,5,0.40,39.888,0.9980,nan,0.12391,0.7189
0,5,0.50,35.766,0.9949,nan,0.19916,0.6749
0,6,0.10,52.156,0.9999,nan,0.02230,0.8974
0,6,0.20,44.145,0.9993,nan,0.05609,0.8278
0,6,0.30,39.818,0.9981,nan,0.09230,0.8022
0,6,0.40,37.142,0.9965,nan,0.12560,0.8205
0,6,0.50,34.266,0.9932,nan,0.17491,0.7372
0,7,0.10,56.884,1.0000,0.00058,0.01376,0.9231
0,7,0.20,48.319,0.9998,nan,0.03688,0.8462
0,7,0.30,42.988,0.9994,nan,0.06813,0.7766
0,7,0.40,39.102,0.9986,nan,0.10658,0.7766
0,7,0.50,36.320,0.9974,nan,0.14681,0.7216
0,8,0.10,67.477,1.0000,0.00010,0.00406,0.9744
0,8,0.20,57.948,1.0000,0.00060,0.01216,1.0000
0,8,0.30,50.452,0.9999,0.00189,0.02882,0.9231
0,8,0.40,45.187,0.9996,0.00501,0.05283,0.8022
0,8,0.50,39.634,0.9985,nan,0.10013,0.7766
0,9,0.10,65.309,1.0000,0.00010,0.00617,1.0000
0,9,0.20,55.710,1.0000,nan,0.01864,0.9231
0,9,0.30,50.900,0.9999,nan,0.03243,0.8974
0,9,0.40,46.348,0.9997,nan,0.05478,0.9048
0,9,0.50,42.266,0.9993,nan,0.08763,0.8141
0,10,0.10,90.731,1.0000,0.00005,0.00037,1.0000
0,10,0.20,75.430,1.0000,nan,0.00214,1.0000
0,10,0.30,65.095,1.0000,nan,0.00703,0.9560
0,10,0.40,57.006,1.0000,nan,0.01784,0.8535
0,10,0.50,48.379,0.9999,0.01781,0.04817,0.6813
0,11,0.10,61.744,1.0000,0.00019,0.00688,1.0000
0,11,0.20,51.289,0.9999,nan,0.02291,0.9744
0,11,0.30,45.133,0.9997,nan,0.04655,0.9487
0,11,0.40,40.657,0.9992,nan,0.07794,0.8205
0,11,0.50,36.982,0.9982,nan,0.11897,0.8205
1,0,0.10,151.294,1.0000,nan,0.00000,1.0000
1,0,0.20,151.136,1.0000,nan,0.00000,1.0000
1,0,0.30,148.802,1.0000,nan,0.00000,0.9487
1,0,0.40,122.157,1.0000,nan,0.00001,0.7216
1,0,0.50,96.173,1.0000,nan,0.00020,0.6190
1,1,0.10,79.787,1.0000,nan,0.00114,1.0000
1,1,0.20,67.749,1.0000,0.00050,0.00455,1.0000
1,1,0.30,59.527,1.0000,0.00183,0.01171,0.9487
1,1,0.40,51.736,0.9999,nan,0.02872,0.9231
1,1,0.50,43.954,0.9995,nan,0.07035,0.8791
1,2,0.10,65.303,1.0000,0.00013,0.00446,0.9744
1,2,0.20,56.023,1.0000,0.00091,0.01298,0.8974
1,2,0.30,50.969,0.9999,nan,0.02322,0.8462
1,2,0.40,47.399,0.9999,nan,0.03503,0.7436
1,2,0.50,43.236,0.9996,nan,0.05657,0.7326
1,3,0.10,61.048,1.0000,0.00022,0.00963,0.9487
1,3,0.20,53.067,0.9999,0.00125,0.02413,0.8974
1,3,0.30,47.726,0.9997,0.00454,0.04463,0.8974
1,3,0.40,43.863,0.9993,0.00783,0.06963,0.8352
1,3,0.50,41.054,0.9986,0.01277,0.09622,0.7445
1,4,0.10,65.577,1.0000,nan,0.00674,0.9744
1,4,0.20,55.944,1.0000,nan,0.02044,0.9304
1,4,0.30,51.138,0.9999,nan,0.03555,0.8910
1,4,0.40,46.527,0.9996,nan,0.06044,0.8535
1,4,0.50,43.315,0.9993,0.01446,0.08748,0.8278
1,5,0.10,58.069,1.0000,0.00037,0.00994,0.9744
1,5,0.20,48.728,0.9999,nan,0.02914,0.9231
1,5,0.30,44.014,0.9996,nan,0.05013,0.8974
1,5,0.40,40.636,0.9991,0.00807,0.07396,0.9231
1,5,0.50,36.571,0.9976,nan,0.11811,0.8022
1,6,0.10,62.621,1.0000,nan,0.00826,1.0000
1,6,0.20,51.947,0.9999,nan,0.02823,0.9487
1,6,0.30,45.787,0.9996,nan,0.05737,0.9231
1,6,0.40,41.263,0.9990,nan,0.09657,0.8974
1,6,0.50,38.227,0.9979,nan,0.13699,0.8974
1,7,0.10,64.950,1.0000,0.00006,0.00634,0.9744
1,7,0.20,54.866,0.9999,0.00047,0.02024,0.9744
1,7,0.30,48.849,0.9997,0.00141,0.04046,0.9744
1,7,0.40,43.562,0.9990,0.00682,0.07437,0.9048
1,7,0.50,39.449,0.9974,nan,0.11940,0.8278
1,8,0.10,64.640,1.0000,0.00018,0.00742,0.9560
1,8,0.20,52.593,0.9999,0.00208,0.02970,0.9304
1,8,0.30,45.357,0.9995,nan,0.06832,0.8471
1,8,0.40,39.945,0.9983,nan,0.12739,0.7582
1,8,0.50,36.527,0.9962,nan,0.18881,0.6557
1,9,0.10,152.969,1.0000,nan,0.00000,0.9744
1,9,0.20,152.867,1.0000,nan,0.00000,0.9744
1,9,0.30,149.568,1.0000,nan,0.00000,0.8974
1,9,0.40,120.447,1.0000,nan,0.00001,0.7399
1,9,0.50,79.852,1.0000,nan,0.00132,0.6310
1,10,0.10,63.151,1.0000,0.00016,0.00737,0.9487
1,10,0.20,53.455,0.9999,0.00129,0.02249,0.8974
1,10,0.30,47.698,0.9998,0.00442,0.04364,0.8718
1,10,0.40,43.766,0.9995,0.00882,0.06862,0.7509
1,10,0.50,40.307,0.9990,nan,0.10218,0.7766
1,11,0.10,70.860,1.0000,0.00011,0.00299,1.0000
1,11,0.20,60.339,1.0000,0.00091,0.01005,1.0000
1,11,0.30,53.649,0.9999,nan,0.02170,0.9487
1,11,0.40,47.619,0.9997,nan,0.04345,0.9487
1,11,0.50,41.137,0.9989,0.01763,0.09164,0.9231
2,0,0.10,68.262,1.0000,nan,0.00497,0.9560
2,0,0.20,59.113,1.0000,nan,0.01424,0.9304
2,0,0.30,52.759,0.9999,nan,0.02959,0.9048
2,0,0.40,48.711,0.9998,nan,0.04716,0.7958
2,0,0.50,44.984,0.9996,nan,0.07244,0.7445
2,1,0.10,57.930,1.0000,0.00033,0.01412,1.0000
2,1,0.20,49.539,0.9997,0.00185,0.03710,0.9487
2,1,0.30,44.689,0.9992,nan,0.06485,0.9231
2,1,0.40,40.788,0.9980,0.01250,0.10162,0.8974
2,1,0.50,37.982,0.9961,nan,0.14035,0.8022
2,2,0.10,69.328,1.0000,nan,0.00441,1.0000
2,2,0.20,61.111,1.0000,nan,0.01136,0.9167
2,2,0.30,55.380,1.0000,nan,0.02198,0.8654
2,2,0.40,50.645,0.9999,nan,0.03792,0.8654
2,2,0.50,46.854,0.9997,nan,0.05866,0.8397
2,3,0.10,85.125,1.0000,nan,0.00072,1.0000
2,3,0.20,75.147,1.0000,nan,0.00227,0.9744
2,3,0.30,67.394,1.0000,nan,0.00555,0.8291
2,3,0.40,62.560,1.0000,nan,0.00968,0.7701
