layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.00085,1.95343,0.04741,41.19975,7.10055,1.15810,0.52925,0,0.05489,1.89630,13,169,16
0,1,4.86570,4.63325,0.23245,19.93182,7.14527,0.99036,0.56443,4,0.09594,1.72973,13,169,16
0,2,13.97769,12.14347,1.83422,6.62050,6.43953,1.34963,0.74318,4,0.00374,3.41333,13,169,16
0,3,7.95511,6.55982,1.39529,4.70140,6.57638,1.60677,0.71958,4,0.01321,3.28205,13,169,16
0,4,3.13383,2.99944,0.13439,22.31823,6.91791,1.15554,0.60176,0,0.06307,2.06452,13,169,16
0,5,6.22447,5.48826,0.73621,7.45475,6.99228,1.30899,0.61849,4,0.06642,2.08130,13,169,16
0,6,3.04482,2.97507,0.06975,42.65463,7.19164,0.77235,0.53575,4,0.09230,1.72973,13,169,16
0,7,6.13796,5.64501,0.49295,11.45141,6.86124,1.25044,0.65067,4,0.06813,2.39252,13,169,16
0,8,5.04610,4.07365,0.97245,4.18906,6.75646,1.82107,0.67604,4,0.02882,2.58586,13,169,16
0,9,7.42384,6.36802,1.05582,6.03136,6.41208,1.54958,0.73492,4,0.03243,3.55556,13,169,16
0,10,13.34563,11.88760,1.45803,8.15318,6.60697,1.26102,0.70987,4,0.00703,3.01176,13,169,16
0,11,5.56992,4.86866,0.70125,6.94281,6.75667,1.52690,0.67539,4,0.04655,2.66667,13,169,16
1,0,18.68826,16.68826,2.00000,8.34411,6.30655,1.17084,0.73889,4,0.00000,3.32468,13,169,16
1,1,6.96827,6.23197,0.73629,8.46396,6.68568,1.37779,0.69891,4,0.01171,2.81319,13,169,16
1,2,5.73844,4.88291,0.85553,5.70745,6.28073,1.46938,0.76004,4,0.02322,3.87879,13,169,16
1,3,4.18042,3.63325,0.54717,6.64008,6.61143,1.49565,0.68759,4,0.04463,2.94253,13,169,16
1,4,6.37242,5.50854,0.86388,6.37650,6.41127,1.52265,0.73178,4,0.03555,3.50685,13,169,16
1,5,3.78752,3.35153,0.43599,7.68725,6.77827,1.45081,0.64970,0,0.05013,2.39252,13,169,16
1,6,6.19224,5.55533,0.63690,8.72244,6.85227,1.43434,0.64724,4,0.05737,2.37037,13,169,16
1,7,3.55662,3.01195,0.54467,5.52983,6.82086,1.69498,0.63664,0,0.04046,2.24561,13,169,16
1,8,5.96440,5.40673,0.55767,9.69523,6.98078,1.32076,0.62188,4,0.06832,2.08130,13,169,16
1,9,18.33857,16.36232,1.97625,8.27946,6.34824,1.17955,0.73742,4,0.00000,3.32468,13,169,16
1,10,6.13603,5.37501,0.76102,7.06291,6.53106,1.49287,0.71614,4,0.04364,3.41333,13,169,16
1,11,4.98877,4.39549,0.59329,7.40868,6.71630,1.48135,0.67971,4,0.02170,2.58586,13,169,16
2,0,7.28408,6.21782,1.06626,5.83145,6.47701,1.55595,0.73242,4,0.02959,3.41333,13,169,16
2,1,3.56004,3.23626,0.32378,9.99520,7.02299,1.32870,0.58140,0,0.06485,2.01575,13,169,16
2,2,7.39230,6.08689,1.30541,4.66280,6.07615,1.60405,0.78297,4,0.02198,4.74074,13,169,16
2,3,12.78739,10.42450,2.36289,4.41176,5.18093,1.64323,0.87135,4,0.00555,15.05882,13,169,16
2,4,5.14351,4.60904,0.53447,8.62355,6.47032,1.41994,0.71941,4,0.03462,3.41333,13,169,16
2,5,8.94310,7.82581,1.11729,7.00427,6.65458,1.44601,0.70463,4,0.00983,2.75269,13,169,16
2,6,8.41574,7.19130,1.22444,5.87311,6.26234,1.55918,0.76524,4,0.02180,4.00000,13,169,16
2,7,9.47334,8.11695,1.35640,5.98420,6.32458,1.53650,0.76332,4,0.00820,3.32468,13,169,16
2,8,7.73062,6.55231,1.17832,5.56074,6.28622,1.56480,0.76270,4,0.02267,3.93846,13,169,16
2,9,5.49904,4.64134,0.85770,5.41138,6.56080,1.60520,0.68646,4,0.05608,2.87640,13,169,16
2,10,5.96209,5.21995,0.74213,7.03371,6.63303,1.48405,0.70429,4,0.01448,2.78261,13,169,16
2,11,10.24809,8.95691,1.29118,6.93700,6.47171,1.40386,0.74265,4,0.00431,3.16049,13,169,16
3,0,5.95804,4.95764,1.00041,4.95562,6.58918,1.56718,0.70445,4,0.02782,2.87640,13,169,16
3,1,7.47378,6.37413,1.09965,5.79650,6.46879,1.48051,0.73792,4,0.01890,3.50685,13,169,16
3,2,9.49186,7.90495,1.58692,4.98133,6.20114,1.58945,0.77541,4,0.00714,3.55556,13,169,16
3,3,9.87602,8.39794,1.47808,5.68167,6.08769,1.55865,0.79416,4,0.01392,4.49123,13,169,16
3,4,10.01035,8.86275,1.14760,7.72289,6.54445,1.36704,0.72506,4,0.00365,2.90909,13,169,16
3,5,3.81885,3.63952,0.17932,20.29572,7.00140,1.16192,0.59794,4,0.06012,1.95420,13,169,16
3,6,12.14948,9.83107,2.31841,4.24044,5.47098,1.65224,0.85485,4,0.00816,9.14286,13,169,16
3,7,12.16821,9.71110,2.45711,3.95225,5.30741,1.68593,0.86431,4,0.00588,11.13043,13,169,16
3,8,6.75679,5.17736,1.57943,3.27798,6.32659,1.79280,0.75268,4,0.02082,3.76471,13,169,16
3,9,8.34250,7.12030,1.22220,5.82580,6.32446,1.55488,0.76155,4,0.01691,3.87879,13,169,16
3,10,7.83388,7.15509,0.67878,10.54103,6.62450,1.29424,0.71331,4,0.02383,3.01176,13,169,16
3,11,10.40916,8.41684,1.99232,4.22465,6.03074,1.64745,0.80292,4,0.00952,4.57143,13,169,16
4,0,8.56395,7.18440,1.37955,5.20779,5.98019,1.59040,0.80398,4,0.01369,5.12000,13,169,16
4,1,7.57336,6.52796,1.04541,6.24443,6.22610,1.48967,0.76107,4,0.02070,3.82090,13,169,16
4,2,4.90452,4.16654,0.73798,5.64587,6.70681,1.58449,0.66739,4,0.04292,2.53465,13,169,16
4,3,8.36898,6.97224,1.39673,4.99183,6.13650,1.61870,0.77321,4,0.02827,4.65455,13,169,16
4,4,9.36758,7.69791,1.66968,4.61042,5.78778,1.64502,0.79975,4,0.02538,7.31429,13,169,16
4,5,4.91683,4.48304,0.43379,10.33455,6.97985,1.20014,0.60923,4,0.07000,2.01575,13,169,16
4,6,10.58993,8.58763,2.00229,4.28890,5.68201,1.64849,0.82505,4,0.01482,6.73684,13,169,16
4,7,8.01156,7.09471,0.91685,7.73809,6.28733,1.45286,0.76297,4,0.01920,4.06349,13,169,16
4,8,5.63701,4.62403,1.01297,4.56481,6.38893,1.70039,0.73010,4,0.03227,3.55556,13,169,16
4,9,12.66297,10.31678,2.34620,4.39723,4.96749,1.64396,0.88030,4,0.00933,16.00000,13,169,16
4,10,3.99360,3.59956,0.39405,9.13485,6.82065,1.39999,0.64701,4,0.04727,2.34862,13,169,16
4,11,5.56787,4.72098,0.84689,5.57446,6.28103,1.60821,0.73804,4,0.03397,3.82090,13,169,16
5,0,13.21048,7.97593,5.23455,1.52371,5.78552,1.54960,0.81990,4,0.01798,7.31429,13,169,16
5,1,6.93364,4.59898,2.33466,1.96987,6.49088,1.60046,0.69864,0,0.05094,3.04762,13,169,16
5,2,6.03049,4.18934,1.84116,2.27538,6.43482,1.60236,0.71763,0,0.03668,3.82090,13,169,16
5,3,9.28623,5.94199,3.34425,1.77678,6.31032,1.58706,0.74904,4,0.03044,3.93846,13,169,16
5,4,12.50883,8.11628,4.39255,1.84774,5.99082,1.49746,0.78568,4,0.03555,6.09524,13,169,16
5,5,9.03492,5.95254,3.08238,1.93115,6.26370,1.52486,0.74993,4,0.03634,4.06349,13,169,16
5,6,7.00855,4.32758,2.68098,1.61418,6.20450,1.69337,0.75625,0,0.02611,4.33898,13,169,16
5,7,15.65239,9.68315,5.96924,1.62217,5.91163,1.47465,0.80630,4,0.02337,5.56522,13,169,16
5,8,6.46350,4.90391,1.55960,3.14434,6.76232,1.57610,0.66625,4,0.06437,2.61224,13,169,16
5,9,4.65302,3.31297,1.34005,2.47228,6.72602,1.71178,0.64329,0,0.06257,2.50980,13,169,16
5,10,9.78739,6.17483,3.61256,1.70927,6.30753,1.55637,0.74092,4,0.04450,4.19672,13,169,16
5,11,11.33476,7.10491,4.22986,1.67970,5.97738,1.49028,0.79227,4,0.02867,5.68889,13,169,16
