layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9248,6.3065,18.68826,0.7389,3.3247,1
1,9,0.9248,6.3482,18.33857,0.7374,3.3247,1
2,7,0.8255,6.3246,9.47334,0.7633,3.3247,2
3,9,0.8255,6.3245,8.34250,0.7615,3.8788,1
3,4,0.8188,6.5445,10.01035,0.7251,2.9091,1
5,3,0.8015,6.3103,9.28623,0.7490,3.9385,1
5,5,0.8015,6.2637,9.03492,0.7499,4.0635,1
2,10,0.7793,6.6330,5.96209,0.7043,2.7826,1
3,0,0.7793,6.5892,5.95804,0.7045,2.8764,1
0,0,0.0000,7.1005,2.00085,0.5293,1.8963,0
0,1,0.0000,7.1453,4.86570,0.5644,1.7297,0
0,2,0.0000,6.4395,13.97769,0.7432,3.4133,0
0,3,0.0000,6.5764,7.95511,0.7196,3.2821,0
0,4,0.0000,6.9179,3.13383,0.6018,2.0645,0
0,5,0.0000,6.9923,6.22447,0.6185,2.0813,0
0,6,0.0000,7.1916,3.04482,0.5358,1.7297,0
0,7,0.0000,6.8612,6.13796,0.6507,2.3925,0
0,8,0.0000,6.7565,5.04610,0.6760,2.5859,0
0,9,0.0000,6.4121,7.42384,0.7349,3.5556,0
0,10,0.0000,6.6070,13.34563,0.7099,3.0118,0
0,11,0.0000,6.7567,5.56992,0.6754,2.6667,0
1,1,0.0000,6.6857,6.96827,0.6989,2.8132,0
1,2,0.0000,6.2807,5.73844,0.7600,3.8788,0
1,3,0.0000,6.6114,4.18042,0.6876,2.9425,0
1,4,0.0000,6.4113,6.37242,0.7318,3.5068,0
1,5,0.0000,6.7783,3.78752,0.6497,2.3925,0
1,6,0.0000,6.8523,6.19224,0.6472,2.3704,0
1,7,0.0000,6.8209,3.55662,0.6366,2.2456,0
1,8,0.0000,6.9808,5.96440,0.6219,2.0813,0
1,10,0.0000,6.5311,6.13603,0.7161,3.4133,0
1,11,0.0000,6.7163,4.98877,0.6797,2.5859,0
2,0,0.0000,6.4770,7.28408,0.7324,3.4133,0
2,1,0.0000,7.0230,3.56004,0.5814,2.0157,0
2,2,0.0000,6.0762,7.39230,0.7830,4.7407,0
2,3,0.0000,5.1809,12.78739,0.8713,15.0588,0
2,4,0.0000,6.4703,5.14351,0.7194,3.4133,0
2,5,0.0000,6.6546,8.94310,0.7046,2.7527,0
2,6,0.0000,6.2623,8.41574,0.7652,4.0000,0
2,8,0.0000,6.2862,7.73062,0.7627,3.9385,0
2,9,0.0000,6.5608,5.49904,0.6865,2.8764,0
2,11,0.0000,6.4717,10.24809,0.7427,3.1605,0
3,1,0.0000,6.4688,7.47378,0.7379,3.5068,0
3,2,0.0000,6.2011,9.49186,0.7754,3.5556,0
3,3,0.0000,6.0877,9.87602,0.7942,4.4912,0
3,5,0.0000,7.0014,3.81885,0.5979,1.9542,0
3,6,0.0000,5.4710,12.14948,0.8549,9.1429,0
3,7,0.0000,5.3074,12.16821,0.8643,11.1304,0
3,8,0.0000,6.3266,6.75679,0.7527,3.7647,0
3,10,0.0000,6.6245,7.83388,0.7133,3.0118,0
3,11,0.0000,6.0307,10.40916,0.8029,4.5714,0
4,0,0.0000,5.9802,8.56395,0.8040,5.1200,0
4,1,0.0000,6.2261,7.57336,0.7611,3.8209,0
4,2,0.0000,6.7068,4.90452,0.6674,2.5347,0
4,3,0.0000,6.1365,8.36898,0.7732,4.6545,0
4,4,0.0000,5.7878,9.36758,0.7997,7.3143,0
4,5,0.0000,6.9798,4.91683,0.6092,2.0157,0
4,6,0.0000,5.6820,10.58993,0.8251,6.7368,0
4,7,0.0000,6.2873,8.01156,0.7630,4.0635,0
4,8,0.0000,6.3889,5.63701,0.7301,3.5556,0
4,9,0.0000,4.9675,12.66297,0.8803,16.0000,0
4,10,0.0000,6.8207,3.99360,0.6470,2.3486,0
4,11,0.0000,6.2810,5.56787,0.7380,3.8209,0
5,0,0.0000,5.7855,13.21048,0.8199,7.3143,0
5,1,0.0000,6.4909,6.93364,0.6986,3.0476,0
5,2,0.0000,6.4348,6.03049,0.7176,3.8209,0
5,4,0.0000,5.9908,12.50883,0.7857,6.0952,0
5,6,0.0000,6.2045,7.00855,0.7563,4.3390,0
5,7,0.0000,5.9116,15.65239,0.8063,5.5652,0
5,8,0.0000,6.7623,6.46350,0.6662,2.6122,0
5,9,0.0000,6.7260,4.65302,0.6433,2.5098,0
5,10,0.0000,6.3075,9.78739,0.7409,4.1967,0
5,11,0.0000,5.9774,11.33476,0.7923,5.6889,0
