layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,2,5,2,5
0,1,5,3,3,1
0,2,4,0,1,5
0,3,1,2,1,1
0,4,5,3,2,1
0,5,5,3,3,0
0,6,5,3,3,5
0,7,5,3,3,5
0,8,2,2,2,4
0,9,1,2,5,5
0,10,4,0,1,4
0,11,5,3,3,0
1,0,4,0,1,2
1,1,5,3,3,0
1,2,2,2,4,5
1,3,2,2,2,5
1,4,1,2,2,2
1,5,2,5,2,5
1,6,5,3,3,3
1,7,2,5,2,5
1,8,5,3,3,1
1,9,4,0,1,2
1,10,1,2,1,4
1,11,2,2,2,4
2,0,1,2,1,0
2,1,5,3,2,2
2,2,0,1,4,2
2,3,3,4,0,2
2,4,1,2,2,2
2,5,1,0,1,4
2,6,0,1,5,1
2,7,0,1,5,1
2,8,1,2,5,2
2,9,2,2,2,2
2,10,1,2,1,1
2,11,1,0,1,2
3,0,2,2,2,1
3,1,1,2,1,2
3,2,0,1,5,2
3,3,0,1,5,0
3,4,1,0,1,1
3,5,5,3,3,1
3,6,3,4,0,5
3,7,3,4,0,5
3,8,2,2,4,2
3,9,0,1,5,1
3,10,1,3,1,2
3,11,0,1,5,5
4,0,0,1,5,2
4,1,1,2,5,5
4,2,2,2,2,1
4,3,0,1,5,5
4,4,0,1,0,5
4,5,5,3,3,5
4,6,3,4,0,2
4,7,1,2,5,1
4,8,2,2,4,5
4,9,3,4,0,5
4,10,5,3,2,5
4,11,2,2,4,5
5,0,0,1,0,3
5,1,1,2,5,3
5,2,2,2,2,3
5,3,0,1,5,3
5,4,0,1,0,3
5,5,0,1,5,3
5,6,2,2,4,3
5,7,0,1,0,3
5,8,1,3,3,3
5,9,2,5,2,3
5,10,0,1,5,3
5,11,0,1,0,3
