layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,57.057,1.0000,0.00002,0.00579,1.0000
0,0,0.20,47.077,0.9999,0.00025,0.01827,0.9487
0,0,0.30,41.575,0.9996,0.00087,0.03443,0.8535
0,0,0.40,37.133,0.9989,0.00212,0.05742,0.8791
0,0,0.50,33.675,0.9975,0.00421,0.08550,0.8352
0,1,0.10,56.271,0.9999,nan,0.01889,0.9487
0,1,0.20,48.444,0.9997,nan,0.04651,0.9048
0,1,0.30,42.874,0.9989,nan,0.08832,0.8535
0,1,0.40,38.907,0.9973,nan,0.13945,0.7949
0,1,0.50,35.643,0.9942,nan,0.20305,0.7399
0,2,0.10,60.309,1.0000,nan,0.01235,0.8352
0,2,0.20,51.550,0.9999,nan,0.03386,0.7070
0,2,0.30,46.124,0.9998,nan,0.06324,0.6557
0,2,0.40,41.379,0.9994,nan,0.10921,0.6081
0,2,0.50,36.884,0.9982,nan,0.18324,0.6053
0,3,0.10,63.937,1.0000,nan,0.00675,0.9744
0,3,0.20,53.359,1.0000,nan,0.02281,1.0000
0,3,0.30,49.111,0.9999,nan,0.03719,1.0000
0,3,0.40,42.812,0.9995,nan,0.07681,0.9231
0,3,0.50,37.240,0.9982,nan,0.14588,0.8022
0,4,0.10,61.144,1.0000,0.00009,0.01079,0.9231
0,4,0.20,51.185,0.9998,nan,0.03396,0.8535
0,4,0.30,46.063,0.9993,nan,0.06125,0.8205
0,4,0.40,42.340,0.9982,nan,0.09402,0.7582
0,4,0.50,39.951,0.9969,nan,0.12379,0.7070
0,5,0.10,57.245,1.0000,0.00049,0.01680,0.9744
0,5,0.20,49.283,0.9998,nan,0.04201,0.8205
0,5,0.30,43.819,0.9992,nan,0.07881,0.7701
0,5,0.40,40.103,0.9981,nan,0.12089,0.7701
0,5,0.50,37.281,0.9964,nan,0.16729,0.7079
0,6,0.10,54.492,0.9999,nan,0.01704,0.9487
0,6,0.20,45.960,0.9995,nan,0.04551,0.8022
0,6,0.30,41.344,0.9987,nan,0.07743,0.7509
0,6,0.40,38.001,0.9971,nan,0.11378,0.7143
0,6,0.50,35.506,0.9949,nan,0.15164,0.7143
0,7,0.10,55.318,1.0000,0.00068,0.01648,0.9231
0,7,0.20,46.130,0.9997,nan,0.04745,0.8278
0,7,0.30,40.901,0.9991,nan,0.08664,0.7949
0,7,0.40,36.831,0.9977,nan,0.13842,0.7399
0,7,0.50,32.778,0.9942,nan,0.22074,0.5989
0,8,0.10,63.124,1.0000,0.00018,0.00670,0.9744
0,8,0.20,54.588,1.0000,0.00104,0.01790,0.9487
0,8,0.30,48.907,0.9998,0.00265,0.03443,0.9231
0,8,0.40,44.254,0.9995,nan,0.05883,0.8974
0,8,0.50,39.722,0.9986,nan,0.09913,0.8974
0,9,0.10,63.344,1.0000,0.00033,0.00774,0.9744
0,9,0.20,56.828,1.0000,nan,0.01639,0.9231
0,9,0.30,49.351,0.9999,nan,0.03876,0.8974
0,9,0.40,44.149,0.9995,nan,0.07055,0.8791
0,9,0.50,40.114,0.9988,nan,0.11227,0.8022
0,10,0.10,66.621,1.0000,nan,0.00590,0.9304
0,10,0.20,51.649,0.9999,nan,0.03306,0.8352
0,10,0.30,44.295,0.9997,nan,0.07709,0.6630
0,10,0.40,38.655,0.9987,nan,0.14757,0.6520
0,10,0.50,33.210,0.9955,nan,0.27621,0.5763
0,11,0.10,57.398,1.0000,0.00040,0.01134,1.0000
0,11,0.20,47.708,0.9998,nan,0.03461,0.9744
0,11,0.30,42.029,0.9994,nan,0.06654,0.8718
0,11,0.40,37.282,0.9983,nan,0.11494,0.8462
0,11,0.50,34.007,0.9964,nan,0.16758,0.7509
1,0,0.10,58.166,1.0000,nan,0.01606,0.3596
1,0,0.20,51.323,1.0000,nan,0.03530,0.2592
1,0,0.30,43.124,0.9997,nan,0.09073,0.3538
1,0,0.40,39.415,0.9992,nan,0.13905,0.4042
1,0,0.50,32.405,0.9962,nan,0.31167,0.3263
1,1,0.10,58.344,1.0000,nan,0.01342,0.9744
1,1,0.20,49.772,0.9999,nan,0.03601,0.9744
1,1,0.30,44.057,0.9995,nan,0.06953,0.8791
1,1,0.40,39.289,0.9986,nan,0.12038,0.8791
1,1,0.50,34.376,0.9957,nan,0.21192,0.7582
1,2,0.10,65.826,1.0000,0.00009,0.00420,0.9487
1,2,0.20,57.513,1.0000,0.00085,0.01093,0.9487
1,2,0.30,52.520,1.0000,nan,0.01943,0.9487
1,2,0.40,46.490,0.9998,nan,0.03890,0.8535
1,2,0.50,42.862,0.9996,nan,0.05906,0.8535
1,3,0.10,61.096,1.0000,0.00016,0.00958,0.9487
1,3,0.20,53.248,0.9999,0.00103,0.02364,0.8974
1,3,0.30,48.570,0.9998,nan,0.04050,0.9048
1,3,0.40,44.046,0.9993,nan,0.06818,0.8791
1,3,0.50,41.065,0.9986,nan,0.09610,0.8278
1,4,0.10,62.017,1.0000,nan,0.01016,0.9744
1,4,0.20,51.864,0.9999,nan,0.03269,0.9744
1,4,0.30,47.553,0.9997,nan,0.05371,0.8864
1,4,0.40,43.657,0.9993,nan,0.08410,0.8535
1,4,0.50,40.368,0.9985,nan,0.12282,0.7326
1,5,0.10,57.655,1.0000,0.00017,0.01043,0.9744
1,5,0.20,50.428,0.9999,0.00116,0.02396,0.9487
1,5,0.30,45.326,0.9997,0.00466,0.04310,0.9487
1,5,0.40,41.311,0.9992,nan,0.06843,0.9048
1,5,0.50,37.694,0.9982,nan,0.10377,0.9231
1,6,0.10,59.384,1.0000,nan,0.01199,1.0000
1,6,0.20,50.561,0.9999,nan,0.03311,1.0000
1,6,0.30,45.041,0.9996,nan,0.06251,0.9487
1,6,0.40,40.147,0.9987,nan,0.10982,0.8718
1,6,0.50,36.210,0.9967,nan,0.17280,0.8462
1,7,0.10,60.885,1.0000,0.00018,0.01012,1.0000
1,7,0.20,54.761,0.9999,0.00058,0.02048,1.0000
1,7,0.30,48.114,0.9996,0.00452,0.04403,1.0000
1,7,0.40,43.847,0.9990,nan,0.07197,0.9231
1,7,0.50,41.395,0.9983,nan,0.09543,0.8718
1,8,0.10,56.306,1.0000,nan,0.01937,1.0000
1,8,0.20,47.561,0.9997,nan,0.05301,0.9487
1,8,0.30,41.858,0.9989,nan,0.10221,0.8608
1,8,0.40,38.790,0.9978,nan,0.14551,0.8022
1,8,0.50,35.380,0.9951,nan,0.21547,0.6749
1,9,0.10,57.815,1.0000,nan,0.01672,0.3822
1,9,0.20,51.013,0.9999,nan,0.03658,0.2756
1,9,0.30,43.316,0.9997,nan,0.08875,0.3523
1,9,0.40,39.739,0.9993,nan,0.13397,0.4161
1,9,0.50,32.118,0.9958,nan,0.32214,0.3477
1,10,0.10,63.716,1.0000,0.00011,0.00690,1.0000
1,10,0.20,54.001,1.0000,0.00106,0.02112,0.9231
1,10,0.30,49.931,0.9999,0.00261,0.03374,0.8278
1,10,0.40,44.694,0.9996,nan,0.06166,0.7949
1,10,0.50,40.958,0.9991,nan,0.09481,0.7582
1,11,0.10,62.830,1.0000,nan,0.00754,1.0000
1,11,0.20,54.384,0.9999,nan,0.01994,1.0000
1,11,0.30,49.304,0.9998,nan,0.03579,0.9487
1,11,0.40,45.745,0.9996,nan,0.05391,0.9231
1,11,0.50,40.407,0.9987,nan,0.09968,0.8278
2,0,0.10,64.421,1.0000,nan,0.00773,0.9560
2,0,0.20,54.591,1.0000,nan,0.02397,0.9048
2,0,0.30,48.943,0.9998,nan,0.04592,0.8791
2,0,0.40,45.129,0.9996,nan,0.07124,0.7582
2,0,0.50,40.997,0.9989,nan,0.11464,0.6960
2,1,0.10,63.434,1.0000,0.00008,0.00749,1.0000
2,1,0.20,54.758,0.9999,0.00056,0.02034,0.9744
2,1,0.30,47.298,0.9995,0.00266,0.04802,0.9487
2,1,0.40,42.048,0.9985,nan,0.08790,0.8974
2,1,0.50,38.210,0.9963,nan,0.13672,0.8718
2,2,0.10,68.912,1.0000,nan,0.00463,1.0000
2,2,0.20,58.973,1.0000,nan,0.01453,0.9560
2,2,0.30,52.941,0.9999,nan,0.02911,0.9560
2,2,0.40,48.667,0.9998,nan,0.04761,0.9304
2,2,0.50,45.603,0.9996,nan,0.06775,0.9048
2,3,0.10,77.935,1.0000,nan,0.00165,0.9560
2,3,0.20,68.031,1.0000,nan,0.00515,0.8910
2,3,0.30,62.042,1.0000,nan,0.01027,0.8397
2,3,0.40,56.202,1.0000,nan,0.02012,0.8471
2,3,0.50,52.163,1.0000,nan,0.03203,0.7582
2,4,0.10,63.824,1.0000,nan,0.00827,0.9487
2,4,0.20,56.634,1.0000,nan,0.01892,0.8791
2,4,0.30,50.853,0.9998,nan,0.03682,0.8462
2,4,0.40,46.149,0.9995,nan,0.06328,0.8654
2,4,0.50,41.598,0.9987,nan,0.10685,0.6557
2,5,0.10,62.318,1.0000,nan,0.00989,0.8974
2,5,0.20,53.633,0.9999,nan,0.02688,0.8974
2,5,0.30,48.323,0.9998,nan,0.04953,0.8471
2,5,0.40,42.116,0.9992,nan,0.10122,0.7564
