layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9252,7.1390,18.68826,0.5886,2.0000,1
1,9,0.9252,7.1414,18.33858,0.5879,2.0000,1
2,7,0.8233,6.7111,9.47334,0.6877,2.7234,3
3,9,0.8233,6.5248,8.34251,0.7243,3.2000,1
3,4,0.8211,6.9426,10.01035,0.6380,2.2069,1
5,3,0.8015,6.6678,9.28624,0.6983,3.0118,1
5,5,0.8015,6.6908,9.03492,0.6950,2.7234,1
3,11,0.7933,6.5567,10.40916,0.7143,2.9767,1
2,10,0.7725,6.9728,5.96209,0.6273,2.1695,1
3,0,0.7725,6.8686,5.95804,0.6433,2.2655,1
0,0,0.0000,7.2305,2.00085,0.5603,1.8028,0
0,1,0.0000,7.3427,4.86570,0.5170,1.5901,0
0,2,0.0000,7.0405,13.97769,0.6172,2.1880,0
0,3,0.0000,6.9098,7.95511,0.6499,2.3704,0
0,4,0.0000,7.2723,3.13383,0.5384,1.6954,0
0,5,0.0000,7.1779,6.22447,0.5661,1.8028,0
0,6,0.0000,7.4199,3.04482,0.4900,1.5238,0
0,7,0.0000,7.1918,6.13796,0.5631,1.7415,0
0,8,0.0000,6.9593,5.04610,0.6275,2.1333,0
0,9,0.0000,6.7525,7.42384,0.6676,2.4854,0
0,10,0.0000,7.1254,13.34563,0.5929,1.9845,0
0,11,0.0000,7.1543,5.56992,0.5798,1.8824,0
1,1,0.0000,7.0904,6.96827,0.5971,1.9248,0
1,2,0.0000,6.5285,5.73844,0.7191,2.9767,0
1,3,0.0000,6.9458,4.18042,0.6296,2.1513,0
1,4,0.0000,6.9071,6.37242,0.6278,2.0984,0
1,5,0.0000,7.0607,3.78752,0.5993,1.9248,0
1,6,0.0000,7.0849,6.19224,0.5926,1.8686,0
1,7,0.0000,7.0718,3.55662,0.5858,1.9248,0
1,8,0.0000,7.2453,5.96440,0.5425,1.6516,0
1,10,0.0000,6.9108,6.13603,0.6415,2.2456,0
1,11,0.0000,6.9661,4.98878,0.6304,2.1513,0
2,0,0.0000,6.8561,7.28408,0.6485,2.2857,0
2,1,0.0000,7.2609,3.56004,0.5394,1.6842,0
2,2,0.0000,6.5219,7.39230,0.7155,3.0843,0
2,3,0.0000,5.8592,12.78739,0.8185,5.8182,0
2,4,0.0000,6.9650,5.14351,0.6241,2.0813,0
2,5,0.0000,6.9543,8.94311,0.6344,2.1880,0
2,6,0.0000,6.6309,8.41574,0.6971,2.7527,0
2,8,0.0000,6.7095,7.73063,0.6854,2.5859,0
2,9,0.0000,6.8220,5.49904,0.6479,2.3063,0
2,11,0.0000,6.9155,10.24809,0.6481,2.3063,0
3,1,0.0000,6.9017,7.47378,0.6447,2.2857,0
3,2,0.0000,6.5792,9.49187,0.7122,2.9091,0
3,3,0.0000,6.4833,9.87602,0.7339,3.3684,0
3,5,0.0000,7.2119,3.81885,0.5498,1.7067,0
3,6,0.0000,5.9963,12.14948,0.8013,5.3333,0
3,7,0.0000,5.9073,12.16821,0.8093,5.5652,0
3,8,0.0000,6.5815,6.75679,0.6998,2.9425,0
3,10,0.0000,7.0517,7.83388,0.6096,1.9845,0
4,0,0.0000,6.4341,8.56395,0.7335,3.2821,0
4,1,0.0000,6.7216,7.57337,0.6778,2.5347,0
4,2,0.0000,6.9758,4.90452,0.6159,2.0157,0
4,3,0.0000,6.4675,8.36898,0.7254,3.1605,0
4,4,0.0000,6.2676,9.36758,0.7511,3.8209,0
4,5,0.0000,7.1693,4.91683,0.5733,1.7902,0
4,6,0.0000,6.0803,10.58993,0.7883,4.9231,0
4,7,0.0000,6.7380,8.01156,0.6771,2.4854,0
4,8,0.0000,6.6976,5.63701,0.6766,2.5098,0
4,9,0.0000,5.7311,12.66298,0.8311,7.1111,0
4,10,0.0000,7.1303,3.99360,0.5837,1.8551,0
4,11,0.0000,6.5905,5.56787,0.6967,2.8444,0
5,0,0.0000,6.4415,13.21048,0.7416,3.7647,0
5,1,0.0000,6.7408,6.93365,0.6811,2.8132,0
5,2,0.0000,6.8324,6.03050,0.6662,2.4381,0
5,4,0.0000,6.4492,12.50884,0.7393,3.8209,0
5,6,0.0000,6.6098,7.00855,0.7108,3.0476,0
5,7,0.0000,6.3979,15.65239,0.7472,4.0635,0
5,8,0.0000,7.0479,6.46351,0.6092,2.0000,0
5,9,0.0000,6.9777,4.65302,0.6288,2.1513,0
5,10,0.0000,6.6109,9.78740,0.7090,3.1220,0
5,11,0.0000,6.3835,11.33477,0.7526,3.9385,0
