layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.792,1.0000,0.00004,0.00851,1.0000
0,0,0.20,46.095,0.9999,0.00035,0.02065,0.9722
0,0,0.30,40.223,0.9994,0.00141,0.04060,0.9722
0,0,0.40,36.529,0.9987,0.00344,0.06211,0.9167
0,0,0.50,33.617,0.9974,nan,0.08685,0.8889
0,1,0.10,55.665,0.9999,0.00158,0.01881,0.9444
0,1,0.20,45.060,0.9993,nan,0.06379,0.8889
0,1,0.30,41.322,0.9983,nan,0.09810,0.8968
0,1,0.40,37.487,0.9960,nan,0.15255,0.8413
0,1,0.50,33.669,0.9903,nan,0.23676,0.7708
0,2,0.10,58.956,1.0000,nan,0.01315,0.7788
0,2,0.20,46.927,0.9998,nan,0.05252,0.5456
0,2,0.30,43.025,0.9996,nan,0.08229,0.5327
0,2,0.40,38.218,0.9989,nan,0.14312,0.5327
0,2,0.50,32.310,0.9956,nan,0.28258,0.4980
0,3,0.10,61.515,1.0000,nan,0.00905,1.0000
0,3,0.20,52.159,0.9999,nan,0.02656,0.9722
0,3,0.30,47.371,0.9998,nan,0.04609,0.8690
0,3,0.40,42.930,0.9994,nan,0.07685,0.8611
0,3,0.50,38.671,0.9985,nan,0.12550,0.7460
0,4,0.10,60.615,1.0000,nan,0.01049,1.0000
0,4,0.20,50.848,0.9998,nan,0.03228,0.8889
0,4,0.30,44.336,0.9992,nan,0.06833,0.8889
0,4,0.40,41.281,0.9983,nan,0.09713,0.8611
0,4,0.50,38.742,0.9969,0.01568,0.13010,0.6806
0,5,0.10,61.454,1.0000,0.00027,0.00954,1.0000
0,5,0.20,51.379,0.9998,0.00146,0.03044,0.8690
0,5,0.30,45.675,0.9994,nan,0.05869,0.8968
0,5,0.40,41.348,0.9984,nan,0.09659,0.8413
0,5,0.50,37.784,0.9964,nan,0.14559,0.8135
0,6,0.10,55.252,1.0000,nan,0.01506,1.0000
0,6,0.20,46.789,0.9997,nan,0.03989,0.8889
0,6,0.30,42.805,0.9992,nan,0.06311,0.9167
0,6,0.40,39.664,0.9983,nan,0.09060,0.8333
0,6,0.50,35.633,0.9957,nan,0.14411,0.7024
0,7,0.10,52.449,0.9999,0.00141,0.02248,0.8611
0,7,0.20,44.684,0.9996,nan,0.05496,0.8333
0,7,0.30,40.796,0.9990,nan,0.08599,0.8056
0,7,0.40,37.273,0.9978,nan,0.12901,0.7857
0,7,0.50,34.410,0.9958,nan,0.17937,0.7381
0,8,0.10,63.118,1.0000,0.00021,0.00643,0.9722
0,8,0.20,54.016,0.9999,0.00211,0.01835,0.9722
0,8,0.30,46.439,0.9997,nan,0.04389,0.9167
0,8,0.40,42.289,0.9992,nan,0.07077,0.8611
0,8,0.50,38.553,0.9980,nan,0.10881,0.7778
0,9,0.10,53.947,1.0000,0.00079,0.02108,1.0000
0,9,0.20,47.168,0.9998,nan,0.04601,0.9444
0,9,0.30,42.764,0.9994,nan,0.07640,0.9167
0,9,0.40,40.027,0.9989,nan,0.10470,0.8333
0,9,0.50,35.815,0.9971,nan,0.17003,0.7381
0,10,0.10,56.267,1.0000,nan,0.01829,0.8214
0,10,0.20,47.770,0.9998,nan,0.04865,0.7103
0,10,0.30,42.844,0.9995,nan,0.08578,0.6230
0,10,0.40,35.940,0.9976,nan,0.18992,0.5675
0,10,0.50,31.488,0.9934,nan,0.31711,0.5129
0,11,0.10,56.818,1.0000,0.00075,0.01464,1.0000
0,11,0.20,50.012,0.9999,nan,0.03205,0.9167
0,11,0.30,43.139,0.9993,nan,0.07071,0.9167
0,11,0.40,38.982,0.9982,nan,0.11411,0.8333
0,11,0.50,37.080,0.9971,nan,0.14205,0.7778
1,0,0.10,55.763,1.0000,nan,0.01954,0.4021
1,0,0.20,45.992,0.9998,nan,0.06020,0.3145
1,0,0.30,41.662,0.9996,nan,0.09910,0.3128
1,0,0.40,36.961,0.9988,nan,0.17026,0.2599
1,0,0.50,31.299,0.9955,nan,0.32677,0.3591
1,1,0.10,58.809,1.0000,nan,0.01254,1.0000
1,1,0.20,53.136,0.9999,nan,0.02409,0.9167
1,1,0.30,46.151,0.9997,nan,0.05385,0.8889
1,1,0.40,40.854,0.9990,nan,0.09909,0.8889
1,1,0.50,37.177,0.9976,nan,0.15130,0.8889
1,2,0.10,55.302,1.0000,nan,0.01444,0.9444
1,2,0.20,49.698,0.9999,nan,0.02753,0.9444
1,2,0.30,45.537,0.9998,nan,0.04444,0.8968
1,2,0.40,42.190,0.9995,nan,0.06534,0.8492
1,2,0.50,39.464,0.9990,nan,0.08942,0.8690
1,3,0.10,60.233,1.0000,0.00022,0.00970,0.9722
1,3,0.20,52.272,0.9999,0.00163,0.02425,0.9246
1,3,0.30,47.725,0.9998,0.00375,0.04093,0.8413
1,3,0.40,43.943,0.9994,0.00765,0.06326,0.8333
1,3,0.50,40.667,0.9988,nan,0.09224,0.7778
1,4,0.10,61.861,1.0000,nan,0.00952,0.9722
1,4,0.20,54.989,1.0000,nan,0.02100,0.9167
1,4,0.30,49.329,0.9998,nan,0.04029,0.9167
1,4,0.40,45.119,0.9995,nan,0.06543,0.8333
1,4,0.50,40.506,0.9986,nan,0.11128,0.8065
1,5,0.10,60.965,1.0000,0.00007,0.00563,1.0000
1,5,0.20,50.340,0.9999,0.00055,0.01914,0.9444
1,5,0.30,44.015,0.9997,nan,0.03965,0.8690
1,5,0.40,39.267,0.9991,nan,0.06848,0.8413
1,5,0.50,35.686,0.9978,nan,0.10343,0.8135
1,6,0.10,58.261,1.0000,0.00040,0.01180,0.9722
1,6,0.20,49.289,0.9999,nan,0.03315,0.9444
1,6,0.30,42.959,0.9994,nan,0.06869,0.9167
1,6,0.40,38.955,0.9985,nan,0.10892,0.8889
1,6,0.50,35.980,0.9970,nan,0.15341,0.8611
1,7,0.10,66.876,1.0000,0.00003,0.00464,0.9722
1,7,0.20,55.679,1.0000,0.00103,0.01685,0.9722
1,7,0.30,48.022,0.9997,0.00503,0.04069,0.9167
1,7,0.40,43.310,0.9993,nan,0.07000,0.8889
1,7,0.50,40.411,0.9986,nan,0.09773,0.8333
1,8,0.10,59.747,1.0000,nan,0.01190,0.9167
1,8,0.20,50.054,0.9998,nan,0.03633,0.9444
1,8,0.30,44.629,0.9995,nan,0.06784,0.7778
1,8,0.40,41.205,0.9988,nan,0.10061,0.7381
1,8,0.50,37.484,0.9973,nan,0.15443,0.7857
1,9,0.10,58.657,1.0000,nan,0.01401,0.4428
1,9,0.20,48.155,0.9999,nan,0.04693,0.4428
1,9,0.30,41.726,0.9996,nan,0.09837,0.4775
1,9,0.40,38.089,0.9990,nan,0.14953,0.4299
1,9,0.50,30.956,0.9948,nan,0.33993,0.3952
1,10,0.10,62.744,1.0000,0.00018,0.00730,0.9444
1,10,0.20,53.497,1.0000,0.00124,0.02116,0.9167
1,10,0.30,49.131,0.9999,nan,0.03498,0.9167
1,10,0.40,44.704,0.9996,nan,0.05824,0.8889
1,10,0.50,40.242,0.9990,nan,0.09735,0.8889
1,11,0.10,68.090,1.0000,0.00010,0.00375,1.0000
1,11,0.20,58.890,1.0000,0.00066,0.01080,0.9722
1,11,0.30,52.829,0.9999,0.00212,0.02171,0.9444
1,11,0.40,47.245,0.9997,nan,0.04128,0.8968
1,11,0.50,42.037,0.9992,nan,0.07520,0.8690
2,0,0.10,60.897,1.0000,nan,0.01063,0.9524
2,0,0.20,53.109,0.9999,nan,0.02606,0.9444
2,0,0.30,48.329,0.9998,nan,0.04519,0.8889
2,0,0.40,44.682,0.9996,nan,0.06876,0.7857
2,0,0.50,41.031,0.9990,nan,0.10469,0.7579
2,1,0.10,60.704,1.0000,0.00015,0.00925,0.9722
2,1,0.20,49.773,0.9998,nan,0.03258,0.9167
2,1,0.30,44.711,0.9993,nan,0.05835,0.8611
2,1,0.40,40.504,0.9981,nan,0.09471,0.8492
2,1,0.50,36.752,0.9955,0.01915,0.14587,0.7381
2,2,0.10,71.357,1.0000,nan,0.00322,0.9722
2,2,0.20,58.810,1.0000,nan,0.01365,0.9246
2,2,0.30,52.361,0.9999,nan,0.02868,0.8968
2,2,0.40,48.067,0.9998,nan,0.04702,0.8968
2,2,0.50,43.842,0.9993,nan,0.07648,0.8413
2,3,0.10,77.560,1.0000,nan,0.00159,0.9524
2,3,0.20,67.295,1.0000,nan,0.00518,0.7431
2,3,0.30,60.765,1.0000,nan,0.01098,0.7579
2,3,0.40,57.303,1.0000,nan,0.01636,0.7659
2,3,0.50,52.664,1.0000,nan,0.02791,0.7222
2,4,0.10,61.384,1.0000,nan,0.01011,0.9524
2,4,0.20,53.164,0.9999,nan,0.02603,0.9097
2,4,0.30,47.325,0.9995,nan,0.05099,0.9246
2,4,0.40,42.575,0.9987,nan,0.08810,0.8819
2,4,0.50,39.259,0.9971,nan,0.12906,0.7708
2,5,0.10,62.314,1.0000,nan,0.00916,0.9375
2,5,0.20,55.985,1.0000,nan,0.01899,0.9375
2,5,0.30,50.596,0.9999,nan,0.03531,0.8426
2,5,0.40,46.245,0.9997,nan,0.05827,0.7788
2,5,0.50,41.511,0.9991,nan,0.10050,0.7801
2,6,0.10,64.444,1.0000,nan,0.00716,0.9722
2,6,0.20,53.903,0.9999,nan,0.02409,0.9375
2,6,0.30,48.468,0.9998,nan,0.04503,0.8690
2,6,0.40,44.648,0.9995,nan,0.06990,0.8135
2,6,0.50,40.716,0.9989,nan,0.10992,0.7937
2,7,0.10,68.108,1.0000,nan,0.00469,0.9722
2,7,0.20,56.643,1.0000,nan,0.01754,0.9246
