layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.407,1.0000,0.00009,0.00890,0.9722
0,0,0.20,43.761,0.9998,0.00066,0.02701,0.9444
0,0,0.30,38.500,0.9992,0.00161,0.04950,0.9167
0,0,0.40,34.927,0.9981,0.00434,0.07470,0.8611
0,0,0.50,30.985,0.9953,nan,0.11759,0.8135
0,1,0.10,52.771,0.9999,nan,0.02626,0.9167
0,1,0.20,46.246,0.9995,0.00661,0.05565,0.8135
0,1,0.30,41.244,0.9983,nan,0.09898,0.8690
0,1,0.40,36.969,0.9955,nan,0.16192,0.8889
0,1,0.50,32.540,0.9874,nan,0.26962,0.7857
0,2,0.10,59.815,1.0000,nan,0.01191,0.7183
0,2,0.20,51.967,1.0000,nan,0.02940,0.5804
0,2,0.30,46.385,0.9998,nan,0.05589,0.5258
0,2,0.40,41.577,0.9995,nan,0.09723,0.5327
0,2,0.50,36.832,0.9985,nan,0.16790,0.4236
0,3,0.10,60.795,1.0000,nan,0.00983,1.0000
0,3,0.20,52.219,0.9999,nan,0.02638,0.9167
0,3,0.30,46.386,0.9998,nan,0.05163,0.8333
0,3,0.40,41.813,0.9993,nan,0.08740,0.8413
0,3,0.50,36.999,0.9978,nan,0.15214,0.6151
0,4,0.10,60.245,1.0000,0.00026,0.01094,0.9444
0,4,0.20,52.512,0.9999,0.00073,0.02666,0.9444
0,4,0.30,45.500,0.9994,nan,0.05975,0.8413
0,4,0.40,41.548,0.9984,nan,0.09419,0.8016
0,4,0.50,37.624,0.9960,nan,0.14797,0.7659
0,5,0.10,58.545,1.0000,0.00048,0.01334,0.9722
0,5,0.20,46.694,0.9995,nan,0.05219,0.8968
0,5,0.30,41.707,0.9985,nan,0.09268,0.8690
0,5,0.40,39.005,0.9973,nan,0.12648,0.8413
0,5,0.50,35.477,0.9939,nan,0.18986,0.6905
0,6,0.10,56.734,1.0000,nan,0.01269,0.9444
0,6,0.20,48.085,0.9998,nan,0.03436,0.9246
0,6,0.30,42.511,0.9991,nan,0.06528,0.9246
0,6,0.40,38.623,0.9978,nan,0.10214,0.8690
0,6,0.50,35.578,0.9957,nan,0.14503,0.8135
