layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9151,7.1414,20.75358,0.5870,1.8963,1
1,9,0.9151,7.1562,20.23294,0.5832,1.8824,1
2,11,0.8971,6.9744,8.42094,0.6262,2.0984,2
3,2,0.8971,6.7754,9.20953,0.6689,2.3925,2
2,7,0.8483,6.7437,9.72166,0.6831,2.6392,2
3,11,0.8483,6.5301,9.95240,0.7200,3.1220,2
3,9,0.8358,6.7648,8.69589,0.6796,2.6392,3
5,2,0.8348,6.9382,4.95398,0.6280,2.1513,1
5,9,0.8348,6.8449,5.03650,0.6482,2.3063,1
5,0,0.8249,6.5156,7.81810,0.7211,3.0476,2
5,5,0.8249,6.6646,6.87484,0.6897,2.6947,3
1,3,0.8115,6.9592,4.84603,0.6299,2.0984,1
1,7,0.8115,7.1207,4.51991,0.5874,1.8417,1
5,3,0.8112,6.6599,7.79603,0.6951,2.7234,4
2,10,0.8086,6.9284,6.21088,0.6372,2.1157,1
3,0,0.8086,6.9315,6.33047,0.6357,2.1880,1
4,0,0.8037,6.6383,8.62783,0.6972,2.6392,1
4,7,0.8037,6.4267,9.54352,0.7342,3.4133,1
5,10,0.8002,6.8765,6.73130,0.6450,2.3063,2
5,6,0.7890,6.4906,8.60141,0.7307,3.1220,2
5,7,0.7890,6.4897,9.19858,0.7307,3.2821,1
3,10,0.7887,6.9797,9.18693,0.6296,2.2069,2
2,6,0.7864,6.8855,8.09980,0.6465,2.3063,1
3,3,0.7780,6.4408,10.36281,0.7334,3.3684,1
2,8,0.7756,6.6735,6.50192,0.6886,2.6667,1
3,8,0.7756,6.6141,6.75567,0.6977,2.8132,1
4,3,0.7682,6.5588,8.29219,0.7134,3.0476,1
0,0,0.0000,7.3474,2.56562,0.5210,1.6306,0
0,1,0.0000,7.4929,5.46702,0.4603,1.4545,0
0,2,0.0000,7.0338,15.04929,0.6193,2.1157,0
0,3,0.0000,7.0228,9.36049,0.6200,2.0984,0
0,4,0.0000,7.2698,3.69157,0.5369,1.6306,0
0,5,0.0000,7.3068,5.82510,0.5282,1.6101,0
0,6,0.0000,7.3509,4.14051,0.5160,1.6306,0
0,7,0.0000,7.3840,6.33751,0.5005,1.5148,0
0,8,0.0000,7.1079,5.03925,0.5874,1.8551,0
0,9,0.0000,7.1856,7.05496,0.5626,1.7297,0
0,10,0.0000,7.1684,13.19421,0.5794,1.8286,0
0,11,0.0000,7.2621,5.75791,0.5492,1.6732,0
1,1,0.0000,7.0726,7.17812,0.6046,2.0000,0
1,2,0.0000,6.8768,5.54826,0.6555,2.3704,0
1,4,0.0000,7.0860,6.18656,0.5935,1.8551,0
1,5,0.0000,7.1538,3.73363,0.5798,1.8286,0
1,6,0.0000,7.2123,8.85133,0.5650,1.7534,0
1,8,0.0000,7.1610,6.38608,0.5772,1.8156,0
1,10,0.0000,7.0221,6.93868,0.6109,2.0000,0
1,11,0.0000,6.9548,4.79131,0.6324,2.1333,0
2,0,0.0000,6.7771,7.33202,0.6636,2.3704,0
2,1,0.0000,7.3009,3.38702,0.5337,1.6516,0
2,2,0.0000,6.8652,5.96118,0.6519,2.3273,0
2,3,0.0000,5.8045,13.57578,0.8227,7.5294,0
2,4,0.0000,7.2266,3.89358,0.5564,1.7297,0
2,5,0.0000,6.8806,8.30154,0.6481,2.2655,0
2,9,0.0000,6.6827,6.09776,0.6843,2.6122,0
3,1,0.0000,6.9067,7.68316,0.6460,2.2655,0
3,4,0.0000,7.1278,11.02795,0.5925,1.9542,0
3,5,0.0000,7.1601,4.33662,0.5724,1.8286,0
3,6,0.0000,5.7038,13.60918,0.8354,8.0000,0
3,7,0.0000,5.7997,13.31940,0.8257,7.3143,0
4,1,0.0000,6.4807,9.00487,0.7271,3.2000,0
4,2,0.0000,6.9202,4.76244,0.6384,2.2069,0
4,4,0.0000,6.1096,10.45166,0.7816,4.9231,0
4,5,0.0000,7.1228,3.90237,0.5895,1.9692,0
4,6,0.0000,6.1785,11.12520,0.7738,4.6545,0
4,8,0.0000,7.0460,4.51481,0.6130,2.0813,0
4,9,0.0000,5.7804,12.49212,0.8236,8.0000,0
4,10,0.0000,7.1919,3.67450,0.5667,1.7534,0
4,11,0.0000,6.8181,4.08726,0.6653,2.5098,0
5,1,0.0000,6.6879,8.51623,0.6886,2.6947,0
5,4,0.0000,6.6307,9.80134,0.7050,2.8132,0
5,8,0.0000,6.9883,6.16624,0.6173,1.9692,0
5,11,0.0000,6.3823,11.77231,0.7498,3.8788,0
