layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,4,0,5,1
0,1,5,0,5,1
0,2,2,2,4,5
0,3,5,0,4,0
0,4,4,0,5,1
0,5,5,0,5,3
0,6,4,0,5,1
0,7,5,0,4,3
0,8,4,1,2,2
0,9,5,0,4,0
0,10,2,2,4,4
0,11,5,0,5,1
1,0,2,2,4,4
1,1,5,1,4,1
1,2,4,1,2,0
1,3,4,1,2,0
1,4,5,1,2,1
1,5,4,0,2,0
1,6,5,0,4,1
1,7,4,0,2,0
1,8,5,0,4,0
1,9,2,2,4,4
1,10,5,1,2,1
1,11,4,1,2,2
2,0,1,1,1,1
2,1,4,0,5,1
2,2,4,1,2,1
2,3,0,3,3,1
2,4,4,0,5,1
2,5,1,1,1,1
2,6,1,1,1,1
2,7,1,1,1,0
2,8,1,1,2,2
2,9,1,1,2,1
2,10,4,1,2,1
2,11,1,1,1,1
3,0,4,1,2,0
3,1,5,1,4,2
3,2,1,1,1,1
3,3,1,4,3,0
3,4,5,0,4,0
3,5,4,0,5,0
3,6,0,3,3,1
3,7,0,3,3,1
3,8,1,1,0,2
3,9,1,1,1,0
3,10,1,1,1,1
3,11,1,1,1,1
4,0,1,1,1,1
4,1,1,1,1,2
4,2,4,1,2,0
4,3,1,1,1,0
4,4,0,4,3,1
4,5,4,0,5,0
4,6,0,4,3,1
4,7,1,4,1,2
4,8,4,0,2,0
4,9,0,3,3,1
4,10,4,0,5,2
4,11,4,1,2,0
5,0,3,4,0,3
5,1,3,4,0,3
5,2,3,5,0,3
5,3,3,4,0,3
5,4,1,4,3,3
5,5,3,5,0,3
5,6,3,4,3,3
5,7,3,4,0,3
5,8,4,1,2,3
5,9,3,5,0,3
5,10,1,1,0,3
5,11,0,4,3,3
