layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,59.461,1.0000,0.00002,0.00443,1.0000
0,0,0.20,48.835,0.9999,0.00025,0.01506,0.9167
0,0,0.30,41.189,0.9996,nan,0.03632,0.9444
0,0,0.40,37.573,0.9990,nan,0.05508,0.9167
0,0,0.50,34.010,0.9977,nan,0.08301,0.8889
0,1,0.10,56.997,1.0000,0.00038,0.01614,0.9444
0,1,0.20,48.425,0.9997,nan,0.04330,0.9167
0,1,0.30,42.012,0.9986,nan,0.09061,0.8413
0,1,0.40,37.841,0.9963,nan,0.14646,0.8611
0,1,0.50,34.804,0.9925,nan,0.20776,0.7857
0,2,0.10,56.368,1.0000,nan,0.01771,0.6885
0,2,0.20,47.906,0.9999,nan,0.04692,0.5476
0,2,0.30,41.717,0.9995,nan,0.09567,0.5377
0,2,0.40,37.938,0.9988,nan,0.14783,0.5258
0,2,0.50,32.998,0.9963,nan,0.26105,0.4583
0,3,0.10,60.493,1.0000,nan,0.01017,0.9722
0,3,0.20,51.130,0.9999,nan,0.02990,0.9722
0,3,0.30,45.415,0.9997,nan,0.05773,0.9167
0,3,0.40,40.548,0.9990,nan,0.10111,0.8492
0,3,0.50,36.038,0.9973,nan,0.16993,0.7659
0,4,0.10,56.047,0.9999,0.00030,0.01774,0.9167
0,4,0.20,50.082,0.9998,nan,0.03526,0.8611
0,4,0.30,45.553,0.9994,nan,0.05939,0.8413
0,4,0.40,42.877,0.9988,nan,0.08082,0.8611
0,4,0.50,38.428,0.9967,nan,0.13489,0.7857
0,5,0.10,57.439,1.0000,0.00044,0.01515,1.0000
0,5,0.20,50.170,0.9998,0.00269,0.03498,0.9246
0,5,0.30,45.752,0.9994,0.00648,0.05817,0.9167
0,5,0.40,42.045,0.9987,nan,0.08913,0.9167
0,5,0.50,37.797,0.9964,nan,0.14537,0.7986
0,6,0.10,55.904,1.0000,nan,0.01397,0.9722
0,6,0.20,49.202,0.9998,nan,0.03022,0.9167
0,6,0.30,45.140,0.9995,nan,0.04823,0.8413
0,6,0.40,39.357,0.9982,nan,0.09386,0.7778
0,6,0.50,36.353,0.9964,nan,0.13264,0.8135
0,7,0.10,55.993,1.0000,0.00054,0.01495,0.9444
0,7,0.20,47.597,0.9998,nan,0.03930,0.8968
0,7,0.30,42.129,0.9993,nan,0.07376,0.7778
0,7,0.40,38.492,0.9983,nan,0.11211,0.7738
0,7,0.50,34.597,0.9960,nan,0.17555,0.7183
0,8,0.10,65.970,1.0000,0.00006,0.00463,1.0000
0,8,0.20,55.433,1.0000,nan,0.01558,0.9722
0,8,0.30,49.023,0.9998,nan,0.03259,0.9444
0,8,0.40,42.845,0.9993,nan,0.06639,0.8968
0,8,0.50,39.585,0.9984,nan,0.09662,0.8413
0,9,0.10,59.683,1.0000,0.00030,0.01089,0.9722
0,9,0.20,50.759,0.9999,nan,0.03043,0.9444
0,9,0.30,43.817,0.9995,nan,0.06768,0.8889
0,9,0.40,39.829,0.9988,nan,0.10711,0.8889
0,9,0.50,35.968,0.9972,nan,0.16707,0.7431
0,10,0.10,57.074,1.0000,nan,0.01667,0.8135
