layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.56562,2.08341,0.48222,4.32047,7.21881,-0.00000,0.56493,0,0.03632,1.77778,12,144,16
0,1,5.46702,2.77276,2.69426,1.02914,7.35590,-0.00000,0.51588,0,0.09061,1.60000,12,144,16
0,2,15.04929,5.70798,9.34132,0.61105,7.17221,-0.00000,0.57971,1,0.09567,1.89630,12,144,16
0,3,9.36049,4.71652,4.64397,1.01562,6.99117,-0.00000,0.62947,0,0.05773,2.11570,12,144,16
0,4,3.69157,2.21550,1.47607,1.50095,7.31000,-0.00000,0.52634,0,0.05939,1.61006,12,144,16
0,5,5.82510,3.15926,2.66584,1.18509,7.15841,-0.00000,0.57230,0,0.05817,1.82857,12,144,16
0,6,4.14052,2.75034,1.39017,1.97841,7.28376,-0.00000,0.54198,0,0.04823,1.65161,12,144,16
0,7,6.33751,3.06103,3.27648,0.93424,7.22085,-0.00000,0.55883,1,0.07376,1.69536,12,144,16
0,8,5.03926,3.64287,1.39638,2.60879,7.03488,-0.00000,0.60864,0,0.03259,2.00000,12,144,16
0,9,7.05496,2.82951,4.22545,0.66964,7.15855,-0.00000,0.57825,1,0.06768,1.82857,12,144,16
0,10,13.19421,5.16955,8.02466,0.64421,7.27834,-0.00000,0.54353,1,0.09524,1.74150,12,144,16
0,11,5.75791,2.45999,3.29792,0.74592,7.21290,-0.00000,0.56604,1,0.06222,1.77778,12,144,16
1,0,20.75358,6.98315,13.77043,0.50711,7.25107,-0.00000,0.55294,1,0.11116,1.84173,12,144,16
1,1,7.17812,3.20242,3.97570,0.80550,7.10091,-0.00000,0.59900,1,0.05454,1.96923,12,144,16
1,2,5.54826,2.99589,2.55237,1.17377,6.74711,-0.00000,0.67552,0,0.03176,2.50980,12,144,16
1,3,4.84603,2.60313,2.24290,1.16061,6.80395,-0.00000,0.65881,0,0.03805,2.37037,12,144,16
1,4,6.18656,2.94595,3.24060,0.90908,6.98956,-0.00000,0.62697,1,0.04363,2.13333,12,144,16
1,5,3.73363,2.43092,1.30271,1.86605,7.02321,-0.00000,0.61748,0,0.04133,2.03175,12,144,16
1,6,8.85133,4.06270,4.78864,0.84840,7.09245,-0.00000,0.59674,1,0.06898,1.89630,12,144,16
1,7,4.51991,2.57609,1.94382,1.32527,6.93835,-0.00000,0.63218,0,0.04269,2.11570,12,144,16
1,8,6.38608,2.76011,3.62597,0.76121,7.21871,-0.00000,0.56324,1,0.06487,1.81560,12,144,16
1,9,20.23294,6.89008,13.34286,0.51639,7.24773,-0.00000,0.55387,1,0.11492,1.82857,12,144,16
1,10,6.93868,3.39836,3.54032,0.95990,6.91635,-0.00000,0.64244,1,0.04504,2.30631,12,144,16
1,11,4.79131,2.56536,2.22595,1.15248,6.81194,-0.00000,0.66941,0,0.02174,2.50980,12,144,16
2,0,7.33202,5.15509,2.17693,2.36806,6.71342,-0.00000,0.67367,0,0.04231,2.56000,12,144,16
2,1,3.38702,2.34796,1.03906,2.25970,7.35348,-0.00000,0.51110,0,0.06188,1.59006,12,144,16
2,2,5.96118,3.99412,1.96706,2.03050,6.86401,-0.00000,0.64577,0,0.03684,2.22609,12,144,16
2,3,13.57578,9.02047,4.55531,1.98021,5.73250,-0.00000,0.83315,0,0.00726,7.11111,12,144,16
