layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9150,7.2511,20.75358,0.5529,1.8417,1
1,9,0.9150,7.2477,20.23294,0.5539,1.8286,1
2,11,0.8996,6.8811,8.42094,0.6494,2.3704,2
3,2,0.8996,6.6669,9.20953,0.6924,2.7527,2
2,7,0.8476,6.7545,9.72166,0.6765,2.5600,2
3,11,0.8476,6.5975,9.95240,0.7009,2.7234,2
3,9,0.8441,6.6488,8.69589,0.6976,2.9767,3
5,2,0.8354,6.7291,4.95398,0.6770,2.5859,1
5,9,0.8354,6.6897,5.03650,0.6837,2.7527,1
5,0,0.8261,6.3129,7.81810,0.7574,4.0000,2
5,5,0.8261,6.5590,6.87484,0.7054,3.0476,3
5,3,0.8134,6.4612,7.79604,0.7302,3.2821,3
1,3,0.8118,6.8040,4.84603,0.6588,2.3704,1
1,7,0.8118,6.9383,4.51991,0.6322,2.1157,1
4,0,0.8040,6.5713,8.62783,0.7108,2.9425,1
4,7,0.8040,6.4241,9.54352,0.7312,3.2821,1
2,10,0.8034,6.9870,6.21089,0.6213,2.0984,1
3,0,0.8034,6.9196,6.33047,0.6256,2.0317,1
5,10,0.8012,6.6211,6.73130,0.7018,2.9767,2
3,10,0.7879,6.8292,9.18693,0.6633,2.4381,3
5,6,0.7859,6.2091,8.60141,0.7759,4.5714,1
5,7,0.7859,6.4017,9.19858,0.7436,3.6056,1
2,6,0.7790,6.7525,8.09980,0.6747,2.6122,1
3,3,0.7785,6.3524,10.36281,0.7465,3.5068,1
2,8,0.7776,6.8271,6.50192,0.6509,2.3063,1
3,8,0.7776,6.6460,6.75567,0.6756,2.5600,1
4,1,0.7647,6.5855,9.00487,0.7048,2.8132,1
4,3,0.7640,6.5226,8.29220,0.7166,3.1605,1
0,0,0.0000,7.2188,2.56562,0.5649,1.7778,0
0,1,0.0000,7.3559,5.46702,0.5159,1.6000,0
0,2,0.0000,7.1722,15.04929,0.5797,1.8963,0
0,3,0.0000,6.9912,9.36049,0.6295,2.1157,0
0,4,0.0000,7.3100,3.69157,0.5263,1.6101,0
0,5,0.0000,7.1584,5.82510,0.5723,1.8286,0
0,6,0.0000,7.2838,4.14052,0.5420,1.6516,0
0,7,0.0000,7.2209,6.33751,0.5588,1.6954,0
0,8,0.0000,7.0349,5.03926,0.6086,2.0000,0
0,9,0.0000,7.1585,7.05496,0.5782,1.8286,0
0,10,0.0000,7.2783,13.19421,0.5435,1.7415,0
0,11,0.0000,7.2129,5.75791,0.5660,1.7778,0
1,1,0.0000,7.1009,7.17812,0.5990,1.9692,0
1,2,0.0000,6.7471,5.54826,0.6755,2.5098,0
1,4,0.0000,6.9896,6.18656,0.6270,2.1333,0
1,5,0.0000,7.0232,3.73363,0.6175,2.0317,0
1,6,0.0000,7.0925,8.85133,0.5967,1.8963,0
1,8,0.0000,7.2187,6.38608,0.5632,1.8156,0
1,10,0.0000,6.9164,6.93868,0.6424,2.3063,0
1,11,0.0000,6.8119,4.79131,0.6694,2.5098,0
2,0,0.0000,6.7134,7.33202,0.6737,2.5600,0
2,1,0.0000,7.3535,3.38702,0.5111,1.5901,0
2,2,0.0000,6.8640,5.96118,0.6458,2.2261,0
2,3,0.0000,5.7325,13.57578,0.8331,7.1111,0
2,4,0.0000,7.2874,3.89358,0.5314,1.7067,0
2,5,0.0000,6.7933,8.30154,0.6663,2.4854,0
2,9,0.0000,6.6306,6.09776,0.6815,2.8132,0
3,1,0.0000,6.9998,7.68316,0.6236,2.2069,0
3,4,0.0000,7.1660,11.02795,0.5800,1.8686,0
3,5,0.0000,7.0887,4.33662,0.5893,1.8963,0
3,6,0.0000,5.6772,13.60918,0.8401,7.1111,0
3,7,0.0000,5.8063,13.31940,0.8241,6.2439,0
4,2,0.0000,6.9191,4.76244,0.6315,2.1333,0
4,4,0.0000,6.0590,10.45166,0.7842,4.8302,0
4,5,0.0000,7.0743,3.90237,0.5986,1.9394,0
4,6,0.0000,6.0675,11.12520,0.7890,4.5714,0
4,8,0.0000,7.0607,4.51481,0.6059,1.9845,0
4,9,0.0000,5.7397,12.49212,0.8273,7.3143,0
4,10,0.0000,7.1526,3.67450,0.5746,1.8686,0
4,11,0.0000,6.8101,4.08726,0.6609,2.5098,0
5,1,0.0000,6.5310,8.51623,0.7109,3.1605,0
5,4,0.0000,6.4477,9.80134,0.7392,3.3684,0
5,8,0.0000,6.9144,6.16624,0.6333,2.2857,0
5,11,0.0000,6.2067,11.77231,0.7771,4.8302,0
