layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,3,5,3,3
0,1,3,1,3,1
0,2,2,3,4,5
0,3,5,4,5,0
0,4,3,1,3,1
0,5,3,1,3,3
0,6,3,1,3,3
0,7,3,1,3,3
0,8,1,2,2,1
0,9,1,2,4,1
0,10,2,3,4,4
0,11,1,2,0,0
1,0,2,3,4,4
1,1,1,2,2,0
1,2,1,2,2,1
1,3,1,2,2,1
1,4,1,2,4,1
1,5,1,2,2,1
1,6,3,1,3,2
1,7,1,2,2,1
1,8,1,2,0,1
1,9,2,3,4,4
1,10,1,2,2,1
1,11,1,2,2,1
2,0,1,2,0,1
2,1,3,1,3,1
2,2,1,2,0,1
2,3,0,0,1,1
2,4,1,2,0,1
2,5,1,2,4,1
2,6,1,2,4,0
2,7,0,0,1,1
2,8,1,2,2,1
2,9,1,2,2,1
2,10,1,2,2,0
2,11,0,2,4,1
3,0,1,2,2,0
3,1,0,0,1,1
3,2,0,0,1,1
3,3,0,0,1,0
3,4,1,2,4,0
3,5,1,2,0,0
3,6,4,0,1,1
3,7,4,0,1,1
3,8,5,2,5,1
3,9,0,0,1,0
3,10,1,2,4,0
3,11,0,0,1,1
4,0,0,0,1,0
4,1,1,2,4,0
4,2,1,2,0,0
4,3,0,0,1,0
4,4,0,0,1,0
4,5,1,2,0,0
4,6,4,0,1,1
4,7,0,0,4,0
4,8,1,2,0,0
4,9,4,0,1,1
4,10,1,2,2,0
4,11,1,2,2,1
5,0,5,4,5,3
5,1,5,4,5,3
5,2,3,1,3,3
5,3,5,2,5,3
5,4,5,4,5,3
5,5,5,4,5,3
5,6,5,4,5,3
5,7,5,4,5,3
5,8,5,2,5,3
5,9,3,1,3,3
5,10,1,2,3,3
5,11,5,4,5,3
