layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.107,1.0000,0.00006,0.00935,0.9778
0,0,0.20,43.245,0.9998,0.00035,0.02311,0.9556
0,0,0.30,37.972,0.9993,0.00123,0.04240,0.9111
0,0,0.40,33.542,0.9981,0.00326,0.07061,0.8286
0,0,0.50,30.178,0.9959,0.00630,0.10401,0.7905
0,1,0.10,48.768,0.9998,nan,0.03447,0.9333
0,1,0.20,41.345,0.9990,nan,0.08103,0.8889
0,1,0.30,35.312,0.9960,nan,0.16229,0.8889
0,1,0.40,31.433,0.9903,nan,0.25367,0.8794
0,1,0.50,28.671,0.9816,nan,0.34862,0.7524
0,2,0.10,63.347,1.0000,nan,0.01002,0.8730
0,2,0.20,53.724,1.0000,nan,0.03033,0.6794
0,2,0.30,46.536,0.9998,nan,0.06938,0.5857
0,2,0.40,40.361,0.9991,nan,0.14124,0.5778
0,2,0.50,34.568,0.9967,nan,0.27519,0.5079
0,3,0.10,66.820,1.0000,nan,0.00600,1.0000
0,3,0.20,58.807,1.0000,nan,0.01508,1.0000
0,3,0.30,52.171,0.9999,nan,0.03238,0.9556
0,3,0.40,46.238,0.9997,nan,0.06412,0.8889
0,3,0.50,41.001,0.9989,nan,0.11717,0.8286
0,4,0.10,59.831,1.0000,0.00025,0.01457,0.9619
0,4,0.20,51.048,0.9997,nan,0.04005,0.9556
0,4,0.30,45.716,0.9989,nan,0.07400,0.9333
0,4,0.40,42.039,0.9975,nan,0.11300,0.9111
0,4,0.50,38.939,0.9949,nan,0.16146,0.7183
0,5,0.10,50.360,0.9999,nan,0.02565,0.9778
0,5,0.20,42.331,0.9993,nan,0.06464,0.8667
0,5,0.30,38.005,0.9981,nan,0.10636,0.8444
0,5,0.40,34.413,0.9957,nan,0.16085,0.8508
0,5,0.50,31.310,0.9912,nan,0.22991,0.7460
0,6,0.10,54.953,0.9999,0.00128,0.01784,0.9333
0,6,0.20,46.455,0.9996,nan,0.04745,0.9556
0,6,0.30,41.786,0.9988,nan,0.08122,0.8222
0,6,0.40,38.477,0.9975,nan,0.11888,0.8000
0,6,0.50,35.140,0.9947,nan,0.17456,0.7333
0,7,0.10,58.489,1.0000,nan,0.01210,1.0000
0,7,0.20,47.780,0.9998,nan,0.04152,0.9556
0,7,0.30,40.622,0.9989,nan,0.09466,0.8730
0,7,0.40,36.457,0.9971,nan,0.15289,0.7460
0,7,0.50,33.552,0.9944,nan,0.21363,0.7460
0,8,0.10,67.190,1.0000,0.00007,0.00486,1.0000
0,8,0.20,56.776,1.0000,0.00073,0.01612,1.0000
0,8,0.30,50.778,0.9999,nan,0.03216,1.0000
0,8,0.40,45.216,0.9995,nan,0.06100,0.9333
0,8,0.50,41.088,0.9987,nan,0.09813,0.8889
0,9,0.10,62.343,1.0000,nan,0.01006,0.9778
0,9,0.20,52.287,0.9999,nan,0.03202,0.8444
0,9,0.30,46.721,0.9997,nan,0.06078,0.7746
0,9,0.40,42.654,0.9992,nan,0.09707,0.7024
0,9,0.50,38.938,0.9982,nan,0.14889,0.6294
0,10,0.10,64.714,1.0000,nan,0.00847,0.9397
0,10,0.20,55.349,1.0000,nan,0.02490,0.8413
0,10,0.30,48.149,0.9998,nan,0.05705,0.7683
0,10,0.40,42.525,0.9994,nan,0.10901,0.6635
0,10,0.50,35.705,0.9971,nan,0.23903,0.5278
0,11,0.10,60.569,1.0000,0.00036,0.00916,0.9778
0,11,0.20,50.217,0.9999,nan,0.03015,0.9333
0,11,0.30,45.167,0.9996,nan,0.05392,0.9111
0,11,0.40,41.837,0.9992,nan,0.07912,0.9333
0,11,0.50,38.847,0.9984,nan,0.11164,0.9333
1,0,0.10,68.612,1.0000,nan,0.00557,0.4005
1,0,0.20,60.032,1.0000,nan,0.01494,0.3042
1,0,0.30,53.420,1.0000,nan,0.03200,0.2857
1,0,0.40,44.905,0.9998,nan,0.08528,0.2725
1,0,0.50,36.801,0.9984,nan,0.21678,0.2698
1,1,0.10,65.166,1.0000,nan,0.00548,0.9778
1,1,0.20,57.000,1.0000,nan,0.01403,1.0000
1,1,0.30,50.831,0.9999,nan,0.02854,0.9778
1,1,0.40,46.003,0.9997,nan,0.04976,0.9778
1,1,0.50,40.682,0.9990,nan,0.09180,0.9175
1,2,0.10,60.980,1.0000,nan,0.00935,0.9778
1,2,0.20,52.912,0.9999,nan,0.02367,0.8667
1,2,0.30,48.177,0.9998,nan,0.04083,0.8063
1,2,0.40,44.809,0.9996,nan,0.06017,0.8063
1,2,0.50,41.937,0.9993,nan,0.08375,0.7841
1,3,0.10,65.894,1.0000,0.00006,0.00623,0.9778
1,3,0.20,55.426,0.9999,0.00061,0.02079,0.9556
1,3,0.30,49.927,0.9998,nan,0.03917,0.9111
1,3,0.40,46.343,0.9995,nan,0.05917,0.8667
1,3,0.50,42.683,0.9989,nan,0.09017,0.7683
1,4,0.10,63.501,1.0000,nan,0.00991,0.9397
1,4,0.20,54.755,0.9999,nan,0.02714,0.9397
1,4,0.30,50.049,0.9998,nan,0.04665,0.8952
1,4,0.40,47.024,0.9996,nan,0.06608,0.9016
1,4,0.50,43.805,0.9992,nan,0.09572,0.8167
1,5,0.10,61.295,1.0000,0.00009,0.00771,1.0000
1,5,0.20,52.450,0.9999,0.00070,0.02136,0.9556
1,5,0.30,47.931,0.9998,0.00198,0.03594,0.8889
1,5,0.40,42.903,0.9992,0.00659,0.06411,0.8508
1,5,0.50,38.969,0.9981,nan,0.10084,0.8286
1,6,0.10,56.503,1.0000,nan,0.01692,0.9778
1,6,0.20,47.996,0.9997,nan,0.04506,0.9111
1,6,0.30,41.662,0.9989,nan,0.09342,0.9111
1,6,0.40,38.071,0.9974,nan,0.14127,0.8667
1,6,0.50,34.402,0.9940,nan,0.21551,0.8286
1,7,0.10,65.822,1.0000,0.00010,0.00656,1.0000
1,7,0.20,56.124,0.9999,0.00110,0.02004,1.0000
1,7,0.30,51.566,0.9998,nan,0.03388,0.9556
1,7,0.40,47.204,0.9996,nan,0.05597,0.9333
1,7,0.50,43.946,0.9991,nan,0.08145,0.9333
1,8,0.10,63.070,1.0000,0.00082,0.01024,0.9556
1,8,0.20,52.300,0.9999,nan,0.03539,0.9175
1,8,0.30,47.385,0.9996,nan,0.06232,0.9175
1,8,0.40,43.373,0.9990,nan,0.09890,0.8571
1,8,0.50,39.406,0.9975,nan,0.15615,0.7905
1,9,0.10,69.282,1.0000,nan,0.00515,0.3672
1,9,0.20,60.016,1.0000,nan,0.01497,0.3304
1,9,0.30,51.083,0.9999,nan,0.04187,0.3108
1,9,0.40,44.430,0.9997,nan,0.09008,0.3172
1,9,0.50,36.960,0.9984,nan,0.21286,0.3069
