layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,50.601,1.0000,0.00006,0.00991,1.0000
0,0,0.20,41.497,0.9997,0.00048,0.02826,0.9778
0,0,0.30,36.957,0.9991,0.00138,0.04766,0.9111
0,0,0.40,32.984,0.9979,0.00344,0.07530,0.8667
0,0,0.50,29.755,0.9955,0.00771,0.10920,0.7841
0,1,0.10,47.510,0.9998,nan,0.03985,0.8952
0,1,0.20,39.650,0.9985,nan,0.09849,0.8952
0,1,0.30,35.186,0.9959,nan,0.16467,0.8611
0,1,0.40,32.532,0.9925,nan,0.22350,0.8063
0,1,0.50,29.621,0.9853,nan,0.31248,0.7246
0,2,0.10,68.819,1.0000,nan,0.00533,0.8730
0,2,0.20,55.388,1.0000,nan,0.02504,0.7460
0,2,0.30,47.193,0.9998,nan,0.06433,0.6325
0,2,0.40,41.076,0.9993,nan,0.13009,0.4444
0,2,0.50,34.830,0.9969,nan,0.26701,0.4511
0,3,0.10,66.997,1.0000,nan,0.00588,1.0000
0,3,0.20,58.069,1.0000,nan,0.01642,1.0000
0,3,0.30,52.672,0.9999,nan,0.03057,0.9778
0,3,0.40,48.138,0.9998,nan,0.05152,0.8952
0,3,0.50,41.872,0.9991,nan,0.10599,0.8222
0,4,0.10,64.031,1.0000,0.00016,0.00898,0.9619
0,4,0.20,53.611,0.9998,nan,0.02982,0.9397
0,4,0.30,47.543,0.9993,nan,0.05996,0.8952
0,4,0.40,43.123,0.9981,nan,0.09974,0.8389
0,4,0.50,39.871,0.9959,nan,0.14504,0.7852
0,5,0.10,54.909,1.0000,nan,0.01519,0.9556
0,5,0.20,45.213,0.9996,nan,0.04639,0.9333
0,5,0.30,39.478,0.9987,nan,0.08978,0.8730
0,5,0.40,35.519,0.9967,nan,0.14162,0.8508
0,5,0.50,32.311,0.9931,nan,0.20488,0.8127
0,6,0.10,55.967,1.0000,nan,0.01587,0.9556
0,6,0.20,48.263,0.9997,nan,0.03853,0.9333
0,6,0.30,42.581,0.9990,nan,0.07411,0.8667
0,6,0.40,38.086,0.9973,nan,0.12436,0.8889
0,6,0.50,34.550,0.9939,nan,0.18683,0.8063
0,7,0.10,53.498,0.9999,nan,0.02150,1.0000
0,7,0.20,45.456,0.9996,nan,0.05425,0.9111
0,7,0.30,39.700,0.9986,nan,0.10526,0.7905
0,7,0.40,35.823,0.9967,nan,0.16448,0.7397
0,7,0.50,32.223,0.9924,nan,0.24893,0.6921
0,8,0.10,63.745,1.0000,0.00017,0.00723,1.0000
0,8,0.20,53.260,0.9999,nan,0.02416,1.0000
0,8,0.30,47.714,0.9997,nan,0.04576,0.9556
0,8,0.40,43.758,0.9993,nan,0.07215,0.9556
0,8,0.50,40.113,0.9984,nan,0.10977,0.8952
0,9,0.10,62.239,1.0000,nan,0.01018,0.9778
0,9,0.20,53.222,0.9999,nan,0.02875,0.8444
0,9,0.30,47.711,0.9998,nan,0.05423,0.8000
0,9,0.40,43.533,0.9994,nan,0.08773,0.6635
0,9,0.50,39.793,0.9985,nan,0.13494,0.5754
0,10,0.10,64.442,1.0000,nan,0.00874,0.9175
0,10,0.20,54.888,1.0000,nan,0.02626,0.8222
0,10,0.30,47.389,0.9998,nan,0.06227,0.6825
0,10,0.40,41.448,0.9992,nan,0.12340,0.6040
0,10,0.50,35.933,0.9973,nan,0.23285,0.4630
0,11,0.10,61.680,1.0000,0.00026,0.00806,1.0000
0,11,0.20,50.421,0.9999,nan,0.02945,0.9778
0,11,0.30,44.969,0.9996,nan,0.05517,0.9778
0,11,0.40,40.515,0.9989,nan,0.09213,0.9175
0,11,0.50,37.081,0.9975,nan,0.13680,0.8508
1,0,0.10,78.209,1.0000,nan,0.00184,0.4913
1,0,0.20,65.885,1.0000,nan,0.00762,0.3476
1,0,0.30,54.363,1.0000,nan,0.02870,0.2910
1,0,0.40,44.824,0.9997,nan,0.08608,0.3492
1,0,0.50,37.345,0.9986,nan,0.20362,0.3029
1,1,0.10,66.933,1.0000,nan,0.00447,1.0000
1,1,0.20,56.029,1.0000,nan,0.01569,0.9778
1,1,0.30,48.337,0.9998,nan,0.03803,0.9333
1,1,0.40,42.648,0.9994,nan,0.07321,0.9111
1,1,0.50,37.279,0.9978,nan,0.13584,0.8667
1,2,0.10,61.767,1.0000,0.00060,0.00854,0.9333
1,2,0.20,53.939,1.0000,nan,0.02103,0.8889
1,2,0.30,49.623,0.9999,nan,0.03457,0.8667
1,2,0.40,45.697,0.9997,nan,0.05432,0.8667
1,2,0.50,42.080,0.9993,nan,0.08239,0.8286
1,3,0.10,64.241,1.0000,0.00026,0.00754,0.9333
1,3,0.20,55.541,0.9999,nan,0.02052,0.9778
1,3,0.30,50.364,0.9998,0.00190,0.03724,0.9111
1,3,0.40,46.312,0.9995,0.00558,0.05938,0.8889
1,3,0.50,42.388,0.9988,nan,0.09329,0.8667
1,4,0.10,65.145,1.0000,nan,0.00820,0.9778
1,4,0.20,55.849,1.0000,nan,0.02392,0.9111
1,4,0.30,50.171,0.9998,nan,0.04600,0.8730
1,4,0.40,46.073,0.9995,nan,0.07373,0.8952
1,4,0.50,42.708,0.9990,nan,0.10862,0.8063
1,5,0.10,61.541,1.0000,0.00007,0.00750,0.9778
1,5,0.20,52.116,0.9999,0.00095,0.02220,0.9778
1,5,0.30,45.930,0.9996,0.00286,0.04525,0.9111
1,5,0.40,41.388,0.9989,0.00831,0.07633,0.8889
1,5,0.50,37.754,0.9975,nan,0.11599,0.8667
1,6,0.10,55.247,1.0000,nan,0.01955,1.0000
1,6,0.20,46.516,0.9996,nan,0.05343,1.0000
1,6,0.30,40.875,0.9987,nan,0.10229,0.9778
1,6,0.40,36.985,0.9967,nan,0.16007,0.8667
1,6,0.50,34.058,0.9936,nan,0.22422,0.8349
1,7,0.10,63.368,1.0000,0.00026,0.00871,1.0000
1,7,0.20,54.997,0.9999,0.00117,0.02282,1.0000
1,7,0.30,49.806,0.9998,nan,0.04149,0.9778
1,7,0.40,45.296,0.9994,nan,0.06972,0.9333
1,7,0.50,41.828,0.9986,nan,0.10394,0.8508
1,8,0.10,56.337,0.9999,nan,0.02223,0.9556
1,8,0.20,48.073,0.9997,nan,0.05757,0.9397
1,8,0.30,43.641,0.9990,nan,0.09590,0.8833
1,8,0.40,40.321,0.9980,nan,0.14054,0.8452
1,8,0.50,37.115,0.9957,nan,0.20330,0.7460
1,9,0.10,74.166,1.0000,nan,0.00294,0.4317
1,9,0.20,63.265,1.0000,nan,0.01030,0.3183
1,9,0.30,50.987,0.9999,nan,0.04234,0.3063
1,9,0.40,43.540,0.9997,nan,0.09979,0.3135
1,9,0.50,36.911,0.9984,nan,0.21407,0.3241
1,10,0.10,64.129,1.0000,0.00014,0.00781,1.0000
1,10,0.20,54.799,0.9999,nan,0.02286,1.0000
1,10,0.30,48.182,0.9998,nan,0.04898,0.9556
1,10,0.40,43.474,0.9993,nan,0.08422,0.8190
1,10,0.50,39.352,0.9982,nan,0.13536,0.6921
1,11,0.10,70.102,1.0000,nan,0.00372,1.0000
1,11,0.20,58.155,1.0000,nan,0.01473,0.9778
1,11,0.30,50.601,0.9999,nan,0.03514,0.9556
1,11,0.40,45.292,0.9995,nan,0.06475,0.9333
1,11,0.50,39.996,0.9984,nan,0.11913,0.8508
2,0,0.10,60.723,1.0000,nan,0.01360,0.9556
2,0,0.20,50.211,0.9998,nan,0.04560,0.9397
2,0,0.30,44.974,0.9994,nan,0.08334,0.8730
2,0,0.40,40.173,0.9983,nan,0.14484,0.8063
2,0,0.50,36.156,0.9957,nan,0.23003,0.6960
2,1,0.10,61.186,1.0000,0.00031,0.01147,1.0000
2,1,0.20,52.981,0.9998,0.00142,0.02950,0.9619
2,1,0.30,46.457,0.9992,nan,0.06251,0.9397
2,1,0.40,42.344,0.9979,nan,0.10037,0.9175
2,1,0.50,38.571,0.9949,nan,0.15498,0.8730
2,2,0.10,64.028,1.0000,nan,0.00937,0.9278
2,2,0.20,55.190,0.9999,nan,0.02591,0.9500
2,2,0.30,50.401,0.9998,nan,0.04498,0.9056
2,2,0.40,47.090,0.9995,nan,0.06585,0.8296
2,2,0.50,43.127,0.9987,nan,0.10392,0.8741
2,3,0.10,72.134,1.0000,nan,0.00371,0.9619
2,3,0.20,61.749,1.0000,nan,0.01226,0.8389
2,3,0.30,55.558,1.0000,nan,0.02500,0.8190
2,3,0.40,50.125,0.9999,nan,0.04673,0.6984
2,3,0.50,44.768,0.9997,nan,0.08658,0.5921
2,4,0.10,63.987,1.0000,nan,0.00939,0.9778
2,4,0.20,53.265,0.9999,nan,0.03227,0.9556
2,4,0.30,47.842,0.9995,nan,0.06024,0.9556
2,4,0.40,44.470,0.9989,nan,0.08881,0.8389
2,4,0.50,41.310,0.9977,nan,0.12779,0.8508
2,5,0.10,72.750,1.0000,nan,0.00344,1.0000
2,5,0.20,60.575,1.0000,nan,0.01398,0.9333
2,5,0.30,52.898,0.9999,nan,0.03383,0.9056
2,5,0.40,47.444,0.9997,nan,0.06338,0.8952
2,5,0.50,42.380,0.9991,nan,0.11355,0.8444
2,6,0.10,66.269,1.0000,nan,0.00725,0.9778
2,6,0.20,57.465,1.0000,nan,0.01997,0.9619
2,6,0.30,52.046,0.9999,nan,0.03726,0.9056
2,6,0.40,47.865,0.9997,nan,0.06030,0.8611
2,6,0.50,42.962,0.9991,nan,0.10603,0.7786
2,7,0.10,75.025,1.0000,nan,0.00263,1.0000
2,7,0.20,66.107,1.0000,nan,0.00734,0.9778
2,7,0.30,58.898,1.0000,nan,0.01684,0.9397
2,7,0.40,50.461,0.9999,nan,0.04448,0.8952
2,7,0.50,44.063,0.9995,nan,0.09292,0.8127
2,8,0.10,71.884,1.0000,0.00010,0.00370,0.9778
2,8,0.20,61.718,1.0000,nan,0.01191,1.0000
2,8,0.30,53.746,0.9999,nan,0.02983,0.9500
2,8,0.40,48.285,0.9997,nan,0.05593,0.8611
2,8,0.50,43.797,0.9993,nan,0.09376,0.8190
2,9,0.10,62.228,1.0000,0.00023,0.01075,1.0000
2,9,0.20,53.471,0.9999,nan,0.02947,0.9556
2,9,0.30,48.763,0.9997,nan,0.05067,0.9333
2,9,0.40,44.476,0.9992,nan,0.08301,0.9111
2,9,0.50,41.371,0.9984,nan,0.11867,0.8389
2,10,0.10,67.551,1.0000,nan,0.00616,0.9778
2,10,0.20,58.340,1.0000,nan,0.01779,0.9397
2,10,0.30,54.072,0.9999,nan,0.02909,0.9397
2,10,0.40,49.435,0.9998,nan,0.04961,0.9278
2,10,0.50,44.318,0.9992,nan,0.08941,0.9278
2,11,0.10,70.502,1.0000,nan,0.00434,1.0000
2,11,0.20,61.399,1.0000,nan,0.01237,0.9397
2,11,0.30,54.295,1.0000,nan,0.02802,0.8889
