layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.49248,1.24374,0.24874,5.00012,7.30483,-0.00000,0.53695,0,0.04812,1.68421,15,225,16
0,1,3.71003,1.46616,2.24387,0.65341,7.56342,-0.00000,0.42494,1,0.16725,1.32642,15,225,16
0,2,12.91502,4.32351,8.59151,0.50323,7.04029,-0.00000,0.61807,1,0.06742,2.16949,15,225,16
0,3,6.52773,3.82234,2.70538,1.41287,6.80704,-0.00000,0.67370,0,0.03802,2.61224,15,225,16
0,4,2.81259,1.50692,1.30567,1.15414,7.29831,-0.00000,0.52947,0,0.05990,1.64103,15,225,16
0,5,3.90308,2.11776,1.78532,1.18621,7.37387,-0.00000,0.50662,0,0.10442,1.56098,15,225,16
0,6,3.00563,1.53287,1.47276,1.04082,7.35889,-0.00000,0.51242,0,0.07873,1.61006,15,225,16
0,7,4.95834,2.08789,2.87045,0.72737,7.17396,-0.00000,0.57108,1,0.07516,1.76552,15,225,16
0,8,4.49544,2.79317,1.70227,1.64085,6.89301,-0.00000,0.64668,0,0.04039,2.26549,15,225,16
0,9,6.90363,2.46518,4.43845,0.55541,6.90042,-0.00000,0.64283,1,0.06448,2.20690,15,225,16
0,10,11.40864,4.32370,7.08494,0.61027,7.04708,-0.00000,0.61602,1,0.05688,2.04800,15,225,16
0,11,4.09671,1.96100,2.13572,0.91819,6.94254,-0.00000,0.63599,1,0.03982,2.22609,15,225,16
1,0,16.56674,5.65893,10.90781,0.51880,6.95770,-0.00000,0.63657,1,0.03882,2.30631,15,225,16
1,1,4.48033,2.41281,2.06752,1.16701,6.79788,-0.00000,0.67624,0,0.02411,2.56000,15,225,16
1,2,5.26929,3.11005,2.15923,1.44035,6.64861,-0.00000,0.70100,0,0.03439,2.94253,15,225,16
1,3,3.78708,2.16322,1.62386,1.33215,6.83257,-0.00000,0.65768,0,0.03352,2.32727,15,225,16
1,4,6.18607,2.53365,3.65243,0.69369,6.68665,-0.00000,0.68632,1,0.04897,2.72340,15,225,16
1,5,2.90205,1.97029,0.93176,2.11459,7.01380,-0.00000,0.61858,0,0.03946,2.04800,15,225,16
1,6,4.18456,2.25163,1.93294,1.16487,7.29123,-0.00000,0.53222,0,0.08340,1.67320,15,225,16
1,7,3.97373,2.25724,1.71649,1.31503,6.75229,-0.00000,0.67582,0,0.03141,2.53465,15,225,16
1,8,5.18890,2.26578,2.92312,0.77512,7.04205,-0.00000,0.60891,1,0.05091,1.98450,15,225,16
1,9,16.23228,5.60277,10.62952,0.52710,6.96154,-0.00000,0.63667,1,0.04203,2.32727,15,225,16
1,10,5.81358,2.41795,3.39562,0.71208,6.77565,-0.00000,0.66688,1,0.03980,2.43810,15,225,16
1,11,4.93344,2.62156,2.31188,1.13395,6.68470,-0.00000,0.69670,0,0.02248,2.78261,15,225,16
2,0,6.57674,2.40298,4.17376,0.57574,6.96247,-0.00000,0.63293,1,0.07303,2.18803,15,225,16
2,1,2.69160,1.47162,1.21998,1.20626,7.34840,-0.00000,0.51422,0,0.06718,1.62025,15,225,16
2,2,4.37920,1.99562,2.38358,0.83724,6.99176,-0.00000,0.62095,1,0.05713,2.08130,15,225,16
2,3,12.02195,4.25779,7.76417,0.54839,6.23898,-0.00000,0.76590,1,0.01969,3.82090,15,225,16
2,4,3.76182,1.74916,2.01266,0.86908,7.10847,-0.00000,0.58080,1,0.06703,1.76552,15,225,16
2,5,7.71385,3.38890,4.32495,0.78357,6.79783,-0.00000,0.66830,1,0.03268,2.53465,15,225,16
2,6,6.57721,2.78681,3.79040,0.73523,6.76449,-0.00000,0.67049,1,0.04565,2.50980,15,225,16
2,7,9.53902,3.52445,6.01458,0.58598,6.44536,-0.00000,0.74113,1,0.02260,3.24051,15,225,16
2,8,6.30663,2.81570,3.49093,0.80657,6.54954,-0.00000,0.71805,1,0.02097,3.01176,15,225,16
2,9,4.68568,2.33068,2.35501,0.98967,6.86828,-0.00000,0.63596,1,0.05463,2.09836,15,225,16
2,10,5.38802,2.40158,2.98644,0.80416,6.87651,-0.00000,0.65633,1,0.02970,2.34862,15,225,16
2,11,9.18958,3.15496,6.03462,0.52281,6.80562,-0.00000,0.67448,1,0.02906,2.50980,15,225,16
3,0,5.24402,2.51303,2.73099,0.92019,6.87058,-0.00000,0.65289,1,0.04205,2.30631,15,225,16
3,1,8.26109,3.12595,5.13514,0.60874,6.50243,-0.00000,0.73168,1,0.02008,3.28205,15,225,16
3,2,10.01095,3.69358,6.31736,0.58467,6.25089,-0.00000,0.77140,1,0.01559,3.82090,15,225,16
3,3,9.36288,3.44362,5.91926,0.58177,6.38496,-0.00000,0.74466,1,0.02640,3.60563,15,225,16
3,4,8.91668,3.36827,5.54841,0.60707,6.95878,-0.00000,0.63667,1,0.04228,2.24561,15,225,16
3,5,4.94990,1.86479,3.08511,0.60445,7.05140,-0.00000,0.60171,1,0.05666,1.93939,15,225,16
3,6,12.90156,4.65543,8.24613,0.56456,5.73799,-0.00000,0.83381,1,0.00806,6.91892,15,225,16
3,7,11.77875,4.45819,7.32056,0.60900,5.93847,-0.00000,0.81155,1,0.00970,5.22449,15,225,16
3,8,5.78078,3.29720,2.48358,1.32760,6.61049,-0.00000,0.70420,0,0.02815,2.84444,15,225,16
3,9,8.42890,3.43579,4.99311,0.68811,6.37047,-0.00000,0.74939,1,0.02422,3.76471,15,225,16
3,10,8.91910,2.88419,6.03491,0.47792,6.84545,-0.00000,0.66463,1,0.04063,2.53465,15,225,16
3,11,10.09426,4.17740,5.91686,0.70602,6.21194,-0.00000,0.77689,1,0.01369,4.12903,15,225,16
4,0,9.50955,3.38012,6.12943,0.55146,6.32037,-0.00000,0.75500,1,0.02537,3.93846,15,225,16
4,1,7.81041,2.86034,4.95007,0.57784,6.67972,-0.00000,0.68725,1,0.05162,2.75269,15,225,16
4,2,4.31533,1.93041,2.38492,0.80943,6.92353,-0.00000,0.63595,1,0.04574,2.16949,15,225,16
4,3,7.79763,3.04703,4.75060,0.64140,6.44582,-0.00000,0.72848,1,0.02927,3.28205,15,225,16
4,4,9.29310,3.37873,5.91437,0.57127,6.15983,-0.00000,0.77143,1,0.02096,4.65455,15,225,16
4,5,5.57515,2.02437,3.55077,0.57012,6.97104,-0.00000,0.61882,1,0.06894,2.04800,15,225,16
