layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9009,6.9577,16.56674,0.6366,2.3063,1
1,9,0.9009,6.9615,16.23228,0.6367,2.3273,1
5,7,0.8707,6.7747,9.97766,0.6825,2.7826,1
5,11,0.8707,6.5929,10.70075,0.7202,3.4133,1
2,7,0.8250,6.4454,9.53902,0.7411,3.2405,1
3,11,0.8250,6.2119,10.09426,0.7769,4.1290,1
5,0,0.8125,6.6714,7.54953,0.7040,3.1220,2
5,6,0.8125,6.7114,7.73827,0.6963,3.0843,1
5,5,0.8067,6.7298,7.85798,0.6925,2.9425,1
4,0,0.7987,6.3204,9.50955,0.7550,3.9385,1
4,7,0.7987,6.4865,8.78390,0.7284,3.3247,1
3,3,0.7707,6.3850,9.36288,0.7447,3.6056,1
3,9,0.7707,6.3705,8.42890,0.7494,3.7647,1
0,0,0.0000,7.3048,1.49248,0.5369,1.6842,0
0,1,0.0000,7.5634,3.71003,0.4249,1.3264,0
0,2,0.0000,7.0403,12.91502,0.6181,2.1695,0
0,3,0.0000,6.8070,6.52773,0.6737,2.6122,0
0,4,0.0000,7.2983,2.81259,0.5295,1.6410,0
0,5,0.0000,7.3739,3.90308,0.5066,1.5610,0
0,6,0.0000,7.3589,3.00563,0.5124,1.6101,0
0,7,0.0000,7.1740,4.95834,0.5711,1.7655,0
0,8,0.0000,6.8930,4.49544,0.6467,2.2655,0
0,9,0.0000,6.9004,6.90363,0.6428,2.2069,0
0,10,0.0000,7.0471,11.40864,0.6160,2.0480,0
0,11,0.0000,6.9425,4.09671,0.6360,2.2261,0
1,1,0.0000,6.7979,4.48033,0.6762,2.5600,0
1,2,0.0000,6.6486,5.26929,0.7010,2.9425,0
1,3,0.0000,6.8326,3.78708,0.6577,2.3273,0
1,4,0.0000,6.6867,6.18607,0.6863,2.7234,0
1,5,0.0000,7.0138,2.90205,0.6186,2.0480,0
1,6,0.0000,7.2912,4.18456,0.5322,1.6732,0
1,7,0.0000,6.7523,3.97373,0.6758,2.5347,0
1,8,0.0000,7.0420,5.18890,0.6089,1.9845,0
1,10,0.0000,6.7757,5.81358,0.6669,2.4381,0
1,11,0.0000,6.6847,4.93344,0.6967,2.7826,0
2,0,0.0000,6.9625,6.57674,0.6329,2.1880,0
2,1,0.0000,7.3484,2.69160,0.5142,1.6203,0
2,2,0.0000,6.9918,4.37920,0.6210,2.0813,0
2,3,0.0000,6.2390,12.02195,0.7659,3.8209,0
2,4,0.0000,7.1085,3.76182,0.5808,1.7655,0
2,5,0.0000,6.7978,7.71385,0.6683,2.5347,0
2,6,0.0000,6.7645,6.57721,0.6705,2.5098,0
2,8,0.0000,6.5495,6.30663,0.7181,3.0118,0
2,9,0.0000,6.8683,4.68568,0.6360,2.0984,0
2,10,0.0000,6.8765,5.38802,0.6563,2.3486,0
2,11,0.0000,6.8056,9.18958,0.6745,2.5098,0
3,0,0.0000,6.8706,5.24402,0.6529,2.3063,0
3,1,0.0000,6.5024,8.26109,0.7317,3.2821,0
3,2,0.0000,6.2509,10.01095,0.7714,3.8209,0
3,4,0.0000,6.9588,8.91668,0.6367,2.2456,0
3,5,0.0000,7.0514,4.94990,0.6017,1.9394,0
3,6,0.0000,5.7380,12.90156,0.8338,6.9189,0
3,7,0.0000,5.9385,11.77875,0.8115,5.2245,0
3,8,0.0000,6.6105,5.78078,0.7042,2.8444,0
3,10,0.0000,6.8454,8.91910,0.6646,2.5347,0
4,1,0.0000,6.6797,7.81041,0.6872,2.7527,0
4,2,0.0000,6.9235,4.31533,0.6359,2.1695,0
4,3,0.0000,6.4458,7.79763,0.7285,3.2821,0
4,4,0.0000,6.1598,9.29310,0.7714,4.6545,0
4,5,0.0000,6.9710,5.57515,0.6188,2.0480,0
4,6,0.0000,5.8207,11.70633,0.8269,6.2439,0
4,8,0.0000,7.0119,4.17449,0.6187,2.0813,0
4,9,0.0000,5.6972,11.94863,0.8342,8.0000,0
4,10,0.0000,6.8561,4.68839,0.6533,2.2857,0
4,11,0.0000,6.8358,4.07480,0.6561,2.3486,0
5,1,0.0000,6.7719,6.61481,0.6818,2.9767,0
5,2,0.0000,7.2820,4.17077,0.5405,1.6732,0
5,3,0.0000,7.0185,6.85897,0.6221,2.1333,0
5,4,0.0000,6.7111,9.23223,0.6953,3.0843,0
5,8,0.0000,6.9756,6.08053,0.6335,2.2857,0
5,9,0.0000,7.3890,3.18757,0.4989,1.5515,0
5,10,0.0000,7.1394,5.90000,0.5875,1.9692,0
