layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,49.094,1.0000,0.00009,0.01129,1.0000
0,0,0.20,43.060,0.9998,0.00036,0.02261,0.9744
0,0,0.30,37.393,0.9993,0.00160,0.04341,0.9744
0,0,0.40,32.762,0.9981,0.00414,0.07398,0.9231
0,0,0.50,29.323,0.9957,nan,0.10992,0.8718
0,1,0.10,54.790,0.9999,nan,0.02227,1.0000
0,1,0.20,46.484,0.9994,nan,0.05795,0.9744
0,1,0.30,39.955,0.9975,nan,0.12288,0.9231
0,1,0.40,36.041,0.9938,nan,0.19283,0.9231
0,1,0.50,32.375,0.9855,nan,0.29410,0.8535
0,2,0.10,65.967,1.0000,nan,0.00635,0.8718
0,2,0.20,52.784,1.0000,nan,0.02897,0.6081
0,2,0.30,46.236,0.9998,nan,0.06157,0.5824
0,2,0.40,39.394,0.9991,nan,0.13536,0.5275
0,2,0.50,33.536,0.9965,nan,0.26568,0.4863
0,3,0.10,62.029,1.0000,nan,0.00796,1.0000
0,3,0.20,52.783,0.9999,nan,0.02308,1.0000
0,3,0.30,48.198,0.9999,nan,0.03913,1.0000
0,3,0.40,43.039,0.9995,nan,0.07087,0.8974
0,3,0.50,38.158,0.9985,nan,0.12431,0.8278
0,4,0.10,56.924,0.9999,nan,0.01777,0.9231
0,4,0.20,48.233,0.9995,nan,0.04834,0.8278
0,4,0.30,43.561,0.9987,nan,0.08277,0.7372
0,4,0.40,39.227,0.9964,nan,0.13633,0.7189
0,4,0.50,36.359,0.9930,nan,0.18967,0.6493
0,5,0.10,57.517,1.0000,0.00037,0.01622,1.0000
0,5,0.20,48.872,0.9997,nan,0.04388,1.0000
0,5,0.30,42.795,0.9988,nan,0.08832,0.8462
0,5,0.40,38.734,0.9969,nan,0.14097,0.7885
0,5,0.50,35.770,0.9938,nan,0.19830,0.7701
0,6,0.10,60.341,1.0000,0.00015,0.00948,0.9744
0,6,0.20,48.105,0.9997,nan,0.03880,0.8910
0,6,0.30,42.331,0.9989,nan,0.07542,0.9048
0,6,0.40,38.192,0.9972,nan,0.12147,0.8141
0,6,0.50,35.025,0.9942,nan,0.17491,0.8022
0,7,0.10,56.923,1.0000,0.00052,0.01494,0.9744
0,7,0.20,47.468,0.9997,nan,0.04436,0.8974
0,7,0.30,41.355,0.9989,nan,0.08966,0.8205
0,7,0.40,37.771,0.9976,nan,0.13545,0.8022
0,7,0.50,33.961,0.9942,nan,0.21005,0.8352
0,8,0.10,61.092,1.0000,0.00016,0.00845,1.0000
0,8,0.20,51.171,0.9999,0.00132,0.02649,1.0000
0,8,0.30,46.127,0.9997,nan,0.04734,0.8974
0,8,0.40,42.367,0.9992,nan,0.07299,0.8535
0,8,0.50,38.933,0.9982,nan,0.10838,0.8718
0,9,0.10,59.229,1.0000,0.00050,0.01275,0.9231
0,9,0.20,48.678,0.9998,nan,0.04295,0.8205
0,9,0.30,43.503,0.9995,nan,0.07793,0.7692
0,9,0.40,39.564,0.9987,nan,0.12264,0.7253
0,9,0.50,37.587,0.9980,nan,0.15400,0.6996
0,10,0.10,62.002,1.0000,nan,0.01024,0.8974
