layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9211,7.1185,18.60618,0.5935,2.0317,1
1,9,0.9211,7.1268,18.29352,0.5910,2.0157,1
2,3,0.8266,6.0628,12.83337,0.7858,4.5714,1
4,6,0.8266,6.0149,12.03900,0.7954,4.6545,1
5,3,0.8226,6.4894,10.48276,0.7316,3.5556,2
5,10,0.8226,6.5694,11.28997,0.7177,3.1605,3
5,1,0.8128,6.3920,11.67231,0.7486,4.1290,2
5,5,0.7889,6.5106,11.06769,0.7299,3.5068,1
3,8,0.7397,6.6225,6.59303,0.6850,2.6122,1
5,2,0.7397,6.8481,6.75518,0.6611,2.4151,1
0,0,0.0000,7.3431,2.01551,0.5206,1.6410,0
0,1,0.0000,7.5319,4.41538,0.4387,1.4144,0
0,2,0.0000,7.1431,14.84177,0.5860,1.9692,0
0,3,0.0000,6.8548,7.15545,0.6595,2.4381,0
0,4,0.0000,7.4262,3.23515,0.4780,1.4798,0
0,5,0.0000,7.2679,5.45326,0.5287,1.6000,0
0,6,0.0000,7.3661,3.20388,0.5070,1.5329,0
0,7,0.0000,7.2666,5.62406,0.5380,1.6410,0
0,8,0.0000,7.0884,4.43757,0.5961,1.9845,0
0,9,0.0000,7.0160,7.59844,0.6123,2.0317,0
0,10,0.0000,7.1642,12.77961,0.5797,1.9104,0
0,11,0.0000,7.1110,4.40333,0.5868,1.8824,0
1,1,0.0000,6.9278,5.35035,0.6422,2.2655,0
1,2,0.0000,6.8946,4.90911,0.6445,2.2069,0
1,3,0.0000,6.8606,4.17524,0.6512,2.2857,0
1,4,0.0000,7.0454,6.19154,0.5956,1.9394,0
1,5,0.0000,7.0435,4.14224,0.5982,1.9104,0
1,6,0.0000,6.9881,8.00159,0.6231,2.0984,0
1,7,0.0000,7.0143,4.04132,0.6108,2.0984,0
1,8,0.0000,7.2185,6.40245,0.5590,1.7655,0
1,10,0.0000,7.1042,4.57520,0.5756,1.8028,0
1,11,0.0000,6.8512,5.56722,0.6597,2.3486,0
2,0,0.0000,6.9542,6.66416,0.6259,2.1695,0
2,1,0.0000,7.3036,2.89837,0.5301,1.6101,0
2,2,0.0000,6.8507,5.97357,0.6405,2.1157,0
2,4,0.0000,7.1063,4.11945,0.5849,1.8686,0
2,5,0.0000,6.8565,7.74777,0.6490,2.2857,0
2,6,0.0000,6.7875,7.93700,0.6668,2.5859,0
2,7,0.0000,6.8744,10.31578,0.6548,2.3704,0
2,8,0.0000,6.6151,7.54670,0.6935,2.6947,0
2,9,0.0000,6.7724,5.18720,0.6555,2.2857,0
2,10,0.0000,6.9735,5.92083,0.6199,2.1157,0
2,11,0.0000,6.9730,8.94987,0.6308,2.2069,0
3,0,0.0000,6.7208,5.76327,0.6745,2.5347,0
3,1,0.0000,6.7154,7.57916,0.6833,2.6122,0
3,2,0.0000,6.6190,9.73770,0.7054,2.7826,0
3,3,0.0000,6.3101,10.76986,0.7521,4.0000,0
3,4,0.0000,7.1202,9.62163,0.5902,1.9542,0
3,5,0.0000,7.1589,3.90214,0.5663,1.8028,0
3,6,0.0000,5.8579,13.17376,0.8116,5.9535,0
3,7,0.0000,5.8810,12.48409,0.8153,5.4468,0
3,9,0.0000,6.5545,8.66695,0.7089,3.1220,0
3,10,0.0000,6.7253,9.51710,0.6818,2.5859,0
3,11,0.0000,6.5871,9.95106,0.7090,2.7234,0
4,0,0.0000,6.4380,9.42194,0.7320,3.3684,0
4,1,0.0000,6.4635,9.59375,0.7167,3.1220,0
4,2,0.0000,6.7948,5.37986,0.6588,2.3704,0
4,3,0.0000,6.2227,9.94884,0.7576,4.1967,0
4,4,0.0000,6.3359,8.45414,0.7367,3.4595,0
4,5,0.0000,7.1030,4.16271,0.5923,1.9542,0
4,7,0.0000,6.6650,8.44623,0.6827,2.6392,0
4,8,0.0000,6.8456,5.47399,0.6466,2.2069,0
4,9,0.0000,5.8475,12.31687,0.8127,6.0952,0
4,10,0.0000,6.9343,4.52400,0.6187,2.0645,0
4,11,0.0000,6.5113,6.08670,0.7074,3.0118,0
5,0,0.0000,6.4474,9.53380,0.7379,3.6056,0
5,4,0.0000,6.4809,14.80053,0.7349,3.7647,0
5,6,0.0000,6.4857,8.65968,0.7300,3.6056,0
5,7,0.0000,6.2135,17.19668,0.7750,5.4468,0
5,8,0.0000,6.9701,7.03951,0.6265,2.0813,0
5,9,0.0000,6.9499,5.21472,0.6315,2.2261,0
5,11,0.0000,6.3290,14.11370,0.7567,4.5714,0
