layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.653,1.0000,0.00005,0.00841,1.0000
0,0,0.20,42.683,0.9998,0.00036,0.02361,1.0000
0,0,0.30,37.153,0.9993,nan,0.04462,0.9487
0,0,0.40,34.412,0.9987,0.00250,0.06118,0.9231
0,0,0.50,30.272,0.9966,0.00707,0.09854,0.9231
0,1,0.10,57.084,1.0000,0.00045,0.01710,1.0000
0,1,0.20,46.322,0.9994,nan,0.05904,0.9487
0,1,0.30,41.214,0.9981,nan,0.10630,0.8974
0,1,0.40,36.811,0.9948,nan,0.17647,0.8791
0,1,0.50,32.933,0.9873,nan,0.27581,0.8654
0,2,0.10,61.700,1.0000,nan,0.01038,0.8974
0,2,0.20,54.304,1.0000,nan,0.02432,0.7143
0,2,0.30,47.623,0.9999,nan,0.05248,0.5897
0,2,0.40,40.937,0.9994,nan,0.11333,0.4515
0,2,0.50,34.944,0.9974,nan,0.22592,0.4423
0,3,0.10,65.067,1.0000,nan,0.00561,1.0000
0,3,0.20,53.656,1.0000,nan,0.02087,1.0000
0,3,0.30,48.478,0.9999,nan,0.03789,0.9744
0,3,0.40,43.123,0.9995,nan,0.07018,0.9487
0,3,0.50,38.140,0.9985,nan,0.12457,0.8022
0,4,0.10,60.813,1.0000,nan,0.01136,0.9231
0,4,0.20,52.404,0.9998,nan,0.02991,0.8791
0,4,0.30,46.255,0.9993,nan,0.06070,0.8462
0,4,0.40,42.563,0.9983,nan,0.09285,0.7949
0,4,0.50,39.769,0.9968,nan,0.12809,0.7766
0,5,0.10,59.474,1.0000,0.00029,0.01295,0.9744
0,5,0.20,49.302,0.9997,0.00363,0.04176,0.9304
0,5,0.30,45.393,0.9993,nan,0.06549,0.8791
0,5,0.40,39.618,0.9974,nan,0.12733,0.8095
0,5,0.50,35.899,0.9940,nan,0.19539,0.6630
0,6,0.10,51.195,0.9999,nan,0.02718,1.0000
0,6,0.20,46.095,0.9995,nan,0.04890,0.9744
0,6,0.30,42.486,0.9990,nan,0.07409,0.8352
0,6,0.40,39.392,0.9979,nan,0.10579,0.8205
0,6,0.50,35.959,0.9953,nan,0.15708,0.7656
0,7,0.10,59.384,1.0000,nan,0.01125,0.9744
0,7,0.20,50.306,0.9999,0.00167,0.03199,0.8791
0,7,0.30,44.272,0.9995,nan,0.06408,0.8278
0,7,0.40,38.648,0.9980,nan,0.12245,0.8608
0,7,0.50,34.601,0.9950,nan,0.19513,0.7656
0,8,0.10,66.862,1.0000,0.00007,0.00435,1.0000
0,8,0.20,55.461,1.0000,0.00072,0.01616,0.9744
0,8,0.30,48.882,0.9998,nan,0.03448,0.9744
0,8,0.40,43.336,0.9993,nan,0.06528,0.9231
0,8,0.50,39.621,0.9985,nan,0.10013,0.8974
0,9,0.10,63.811,1.0000,0.00033,0.00752,0.9487
0,9,0.20,53.978,1.0000,nan,0.02333,0.8974
0,9,0.30,48.990,0.9999,nan,0.04143,0.8462
0,9,0.40,43.751,0.9995,nan,0.07573,0.8205
0,9,0.50,39.386,0.9986,nan,0.12518,0.6703
0,10,0.10,62.489,1.0000,nan,0.00968,0.9487
0,10,0.20,52.724,0.9999,nan,0.02980,0.8718
0,10,0.30,47.324,0.9998,nan,0.05549,0.6822
0,10,0.40,41.737,0.9994,nan,0.10559,0.6126
