layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,50.834,1.0000,0.00009,0.00924,0.9744
0,0,0.20,40.134,0.9996,0.00077,0.03166,0.9744
0,0,0.30,35.603,0.9990,0.00225,0.05334,0.9231
0,0,0.40,31.192,0.9972,nan,0.08863,0.9048
0,0,0.50,27.527,0.9936,nan,0.13517,0.8278
0,1,0.10,54.067,0.9999,nan,0.02421,0.9487
0,1,0.20,44.765,0.9992,nan,0.07063,0.9231
0,1,0.30,40.337,0.9977,nan,0.11760,0.9048
0,1,0.40,35.497,0.9930,nan,0.20530,0.8654
0,1,0.50,32.547,0.9861,nan,0.28832,0.8141
0,2,0.10,92.694,1.0000,nan,0.00029,1.0000
0,2,0.20,82.531,1.0000,nan,0.00094,1.0000
0,2,0.30,75.020,1.0000,nan,0.00224,0.9231
0,2,0.40,66.393,1.0000,nan,0.00605,0.7949
0,2,0.50,57.159,1.0000,nan,0.01751,0.7692
0,3,0.10,74.845,1.0000,0.00010,0.00182,1.0000
0,3,0.20,62.207,1.0000,0.00082,0.00780,1.0000
0,3,0.30,56.195,1.0000,nan,0.01558,0.9744
0,3,0.40,51.709,0.9999,nan,0.02612,0.9744
0,3,0.50,45.561,0.9997,0.01201,0.05301,0.8535
0,4,0.10,56.222,0.9999,nan,0.01927,0.9487
0,4,0.20,49.178,0.9996,nan,0.04335,0.9304
0,4,0.30,44.878,0.9990,0.00434,0.07113,0.8791
0,4,0.40,40.570,0.9974,nan,0.11680,0.7326
0,4,0.50,38.283,0.9955,nan,0.15198,0.6374
0,5,0.10,56.800,1.0000,0.00079,0.01761,1.0000
0,5,0.20,49.073,0.9997,nan,0.04287,0.9048
0,5,0.30,44.319,0.9991,0.00771,0.07411,0.8608
0,5,0.40,39.575,0.9974,0.01991,0.12797,0.7766
0,5,0.50,35.599,0.9935,nan,0.20225,0.6886
0,6,0.10,54.928,0.9999,nan,0.01769,0.9560
0,6,0.20,44.227,0.9993,nan,0.06063,0.8535
0,6,0.30,40.137,0.9982,0.00876,0.09709,0.8791
0,6,0.40,36.782,0.9961,nan,0.14288,0.7399
0,6,0.50,34.502,0.9934,nan,0.18576,0.7445
0,7,0.10,58.310,1.0000,0.00038,0.01273,0.9487
0,7,0.20,49.553,0.9998,0.00244,0.03489,0.8791
0,7,0.30,43.541,0.9994,nan,0.06971,0.8352
0,7,0.40,38.577,0.9980,nan,0.12346,0.7839
0,7,0.50,35.184,0.9956,nan,0.18245,0.6960
0,8,0.10,60.721,1.0000,0.00023,0.00882,1.0000
0,8,0.20,54.215,0.9999,0.00089,0.01866,0.9744
0,8,0.30,49.182,0.9998,0.00257,0.03330,0.9744
0,8,0.40,43.641,0.9994,0.00687,0.06303,0.9487
0,8,0.50,39.231,0.9983,0.01500,0.10473,0.8278
0,9,0.10,65.415,1.0000,0.00038,0.00625,0.9487
0,9,0.20,55.119,1.0000,nan,0.02046,0.8974
0,9,0.30,49.402,0.9999,0.00611,0.03951,0.8718
0,9,0.40,45.834,0.9997,nan,0.05958,0.8022
0,9,0.50,42.277,0.9993,nan,0.08974,0.6932
0,10,0.10,90.296,1.0000,nan,0.00039,1.0000
0,10,0.20,73.624,1.0000,nan,0.00269,0.9487
0,10,0.30,66.907,1.0000,nan,0.00582,0.8608
0,10,0.40,57.280,1.0000,nan,0.01764,0.8022
0,10,0.50,50.946,0.9999,0.01254,0.03657,0.6859
0,11,0.10,58.746,1.0000,0.00018,0.00959,1.0000
0,11,0.20,51.267,0.9999,0.00112,0.02269,0.9231
0,11,0.30,45.962,0.9997,0.00329,0.04179,0.8718
0,11,0.40,41.575,0.9993,nan,0.06925,0.8205
0,11,0.50,37.941,0.9984,nan,0.10522,0.7692
1,0,0.10,152.258,1.0000,nan,0.00000,0.9304
1,0,0.20,151.919,1.0000,nan,0.00000,0.9304
1,0,0.30,141.251,1.0000,nan,0.00000,0.7912
1,0,0.40,125.500,1.0000,nan,0.00001,0.6777
1,0,0.50,100.836,1.0000,nan,0.00012,0.6264
1,1,0.10,72.232,1.0000,nan,0.00223,1.0000
1,1,0.20,60.748,1.0000,0.00111,0.00836,1.0000
1,1,0.30,53.745,1.0000,0.00315,0.01873,0.9744
1,1,0.40,46.732,0.9998,nan,0.04200,1.0000
1,1,0.50,41.369,0.9993,nan,0.07788,0.9487
1,2,0.10,65.201,1.0000,0.00010,0.00442,0.9744
1,2,0.20,55.100,1.0000,0.00191,0.01414,0.9744
1,2,0.30,49.113,0.9999,0.00397,0.02816,0.9231
1,2,0.40,43.776,0.9996,0.00821,0.05206,0.8462
