layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.01551,1.64511,0.37039,4.44155,7.33518,-0.00000,0.52316,0,0.04050,1.64103,13,169,16
0,1,4.41538,2.09231,2.32308,0.90066,7.53916,-0.00000,0.43543,1,0.12043,1.41436,13,169,16
0,2,14.84177,6.22889,8.61288,0.72321,7.12489,-0.00000,0.59151,1,0.06495,2.03175,13,169,16
0,3,7.15545,4.60192,2.55354,1.80217,6.88555,-0.00000,0.65293,0,0.03362,2.43810,13,169,16
0,4,3.23515,2.10296,1.13219,1.85742,7.42919,-0.00000,0.47592,0,0.07466,1.49708,13,169,16
0,5,5.45327,2.78391,2.66935,1.04292,7.23395,-0.00000,0.54451,0,0.07187,1.70667,13,169,16
0,6,3.20388,2.05446,1.14942,1.78739,7.37478,-0.00000,0.50386,0,0.07919,1.52381,13,169,16
0,7,5.62406,3.02578,2.59828,1.16453,7.25013,-0.00000,0.54460,0,0.07862,1.67320,13,169,16
0,8,4.43757,2.90685,1.53072,1.89901,7.06736,-0.00000,0.60377,0,0.04002,2.03175,13,169,16
0,9,7.59844,4.34815,3.25029,1.33778,7.02257,-0.00000,0.60993,0,0.07824,1.96923,13,169,16
0,10,12.77962,5.35425,7.42536,0.72108,7.15708,-0.00000,0.58327,1,0.06272,1.92481,13,169,16
0,11,4.40333,2.86273,1.54061,1.85818,7.10838,-0.00000,0.58832,0,0.04490,1.89630,13,169,16
1,0,18.60618,7.15377,11.45240,0.62465,7.13739,-0.00000,0.58921,1,0.08934,2.00000,13,169,16
1,1,5.35035,3.50719,1.84316,1.90282,6.95572,-0.00000,0.63551,0,0.03351,2.22609,13,169,16
1,2,4.90911,3.59779,1.31132,2.74364,6.92856,-0.00000,0.63677,0,0.05062,2.15126,13,169,16
1,3,4.17524,2.97893,1.19631,2.49010,6.91045,-0.00000,0.63618,0,0.04426,2.15126,13,169,16
1,4,6.19154,4.02839,2.16315,1.86228,7.00588,-0.00000,0.60722,0,0.05536,1.96923,13,169,16
1,5,4.14224,3.18143,0.96082,3.31116,7.05523,-0.00000,0.59552,0,0.05828,1.85507,13,169,16
1,6,8.00159,3.69430,4.30729,0.85769,6.97597,-0.00000,0.62826,1,0.05992,2.15126,13,169,16
1,7,4.04132,2.99899,1.04233,2.87719,7.01604,-0.00000,0.60843,0,0.03493,2.08130,13,169,16
1,8,6.40245,3.46043,2.94202,1.17621,7.22619,-0.00000,0.55622,0,0.07803,1.72973,13,169,16
1,9,18.29352,7.00508,11.28844,0.62055,7.13959,-0.00000,0.58846,1,0.08932,2.00000,13,169,16
1,10,4.57520,3.22253,1.35266,2.38236,7.10290,-0.00000,0.57649,0,0.05379,1.80282,13,169,16
1,11,5.56722,3.73815,1.82907,2.04375,6.91356,-0.00000,0.64397,0,0.03245,2.24561,13,169,16
2,0,6.66416,4.18876,2.47540,1.69215,6.93799,-0.00000,0.63028,0,0.03937,2.13333,13,169,16
2,1,2.89837,2.01305,0.88532,2.27380,7.29870,-0.00000,0.53125,0,0.05790,1.63057,13,169,16
2,2,5.97357,4.07484,1.89874,2.14608,6.81847,-0.00000,0.65091,0,0.04851,2.22609,13,169,16
2,3,12.83337,8.54761,4.28576,1.99442,5.98064,-0.00000,0.80225,0,0.01289,4.92308,13,169,16
2,4,4.11945,2.75063,1.36883,2.00948,7.10475,-0.00000,0.58438,0,0.05662,1.85507,13,169,16
2,5,7.74777,5.04163,2.70614,1.86303,6.86572,-0.00000,0.64780,0,0.04893,2.34862,13,169,16
2,6,7.93700,4.71886,3.21814,1.46633,6.79119,-0.00000,0.66766,0,0.04516,2.53465,13,169,16
2,7,10.31578,5.65307,4.66270,1.21240,6.87494,-0.00000,0.65556,0,0.05212,2.37037,13,169,16
2,8,7.54670,5.13356,2.41314,2.12733,6.61192,-0.00000,0.69403,0,0.02752,2.72340,13,169,16
2,9,5.18720,3.88359,1.30361,2.97910,6.81135,-0.00000,0.64342,0,0.04283,2.20690,13,169,16
2,10,5.92083,3.90516,2.01567,1.93740,6.90751,-0.00000,0.64122,0,0.04274,2.24561,13,169,16
2,11,8.94987,5.09815,3.85173,1.32360,6.94246,-0.00000,0.63836,0,0.03974,2.24561,13,169,16
3,0,5.76327,4.33680,1.42647,3.04023,6.70047,-0.00000,0.68214,0,0.02378,2.53465,13,169,16
3,1,7.57916,4.63695,2.94222,1.57600,6.71979,-0.00000,0.68144,0,0.03483,2.61224,13,169,16
3,2,9.73770,6.12189,3.61581,1.69309,6.57650,-0.00000,0.71512,0,0.02757,2.97674,13,169,16
3,3,10.76987,6.97219,3.79768,1.83591,6.24175,-0.00000,0.76798,0,0.01902,4.06349,13,169,16
3,4,9.62163,4.80691,4.81473,0.99838,7.12336,-0.00000,0.59003,1,0.06495,1.98450,13,169,16
3,5,3.90214,2.55545,1.34669,1.89758,7.12704,-0.00000,0.57730,0,0.04629,1.84173,13,169,16
3,6,13.17377,8.95278,4.22098,2.12102,5.75230,-0.00000,0.82947,0,0.01066,6.73684,13,169,16
3,7,12.48409,8.55758,3.92651,2.17944,5.85065,-0.00000,0.82086,0,0.00901,5.95349,13,169,16
3,8,6.59303,5.20248,1.39056,3.74129,6.57314,-0.00000,0.69851,0,0.02034,2.75269,13,169,16
3,9,8.66695,5.77371,2.89324,1.99559,6.50603,-0.00000,0.72325,0,0.02684,3.12195,13,169,16
3,10,9.51710,5.52895,3.98815,1.38634,6.67442,-0.00000,0.69450,0,0.03387,2.72340,13,169,16
3,11,9.95106,6.48348,3.46759,1.86974,6.57740,-0.00000,0.71210,0,0.02581,2.90909,13,169,16
4,0,9.42194,5.97625,3.44569,1.73442,6.40976,-0.00000,0.73519,0,0.02721,3.50685,13,169,16
4,1,9.59376,6.38372,3.21004,1.98867,6.36481,-0.00000,0.74135,0,0.02603,3.60563,13,169,16
4,2,5.37986,3.75437,1.62550,2.30968,6.76452,-0.00000,0.66846,0,0.02776,2.43810,13,169,16
4,3,9.94884,6.89427,3.05458,2.25703,6.15816,-0.00000,0.77188,0,0.02310,4.49123,13,169,16
4,4,8.45414,5.76647,2.68766,2.14553,6.35913,-0.00000,0.73168,0,0.03153,3.41333,13,169,16
4,5,4.16271,2.47842,1.68429,1.47150,7.09372,-0.00000,0.59453,0,0.03802,1.93939,13,169,16
4,6,12.03900,8.22543,3.81357,2.15688,5.89544,-0.00000,0.81741,0,0.00705,5.12000,13,169,16
4,7,8.44623,5.32921,3.11701,1.70972,6.60975,-0.00000,0.69581,0,0.03908,2.81319,13,169,16
4,8,5.47399,3.93860,1.53538,2.56523,6.82940,-0.00000,0.65166,0,0.03623,2.24561,13,169,16
4,9,12.31687,8.31326,4.00361,2.07644,5.75155,-0.00000,0.82870,0,0.00961,6.73684,13,169,16
4,10,4.52400,3.36115,1.16285,2.89043,6.92798,-0.00000,0.61992,0,0.05139,2.06452,13,169,16
4,11,6.08670,4.41895,1.66775,2.64965,6.47888,-0.00000,0.71652,0,0.02739,3.16049,13,169,16
5,0,9.53380,6.09356,3.44024,1.77126,6.52164,-0.00000,0.72414,0,0.02199,3.20000,13,169,16
5,1,11.67231,7.33395,4.33837,1.69049,6.44001,-0.00000,0.74058,0,0.02494,3.82090,13,169,16
5,2,6.75518,4.59652,2.15866,2.12933,6.85591,-0.00000,0.65994,0,0.03154,2.39252,13,169,16
5,3,10.48276,6.49228,3.99048,1.62694,6.55240,-0.00000,0.72084,0,0.02601,3.20000,13,169,16
5,4,14.80054,7.73473,7.06581,1.09467,6.49728,-0.00000,0.73317,0,0.03390,3.60563,13,169,16
5,5,11.06769,6.66710,4.40059,1.51504,6.53942,-0.00000,0.72504,0,0.02489,3.32468,13,169,16
5,6,8.65968,6.12318,2.53650,2.41402,6.54935,-0.00000,0.71847,0,0.02859,3.24051,13,169,16
5,7,17.19668,9.46732,7.72936,1.22485,6.21399,-0.00000,0.77754,0,0.01837,4.92308,13,169,16
5,8,7.03951,4.43195,2.60756,1.69965,6.95024,-0.00000,0.63229,0,0.04185,2.09836,13,169,16
5,9,5.21472,3.91379,1.30092,3.00848,6.95948,-0.00000,0.62940,0,0.03357,2.16949,13,169,16
5,10,11.28997,6.75521,4.53477,1.48965,6.60390,-0.00000,0.71138,0,0.03028,3.01176,13,169,16
5,11,14.11370,8.03089,6.08281,1.32026,6.34979,-0.00000,0.75626,0,0.02127,4.06349,13,169,16
