layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9213,7.1374,18.60618,0.5892,2.0000,1
1,9,0.9213,7.1396,18.29352,0.5885,2.0000,1
2,3,0.8266,5.9806,12.83337,0.8023,4.9231,1
4,6,0.8266,5.8954,12.03900,0.8174,5.1200,1
5,3,0.8225,6.5524,10.48276,0.7208,3.2000,2
5,10,0.8225,6.6039,11.28997,0.7114,3.0118,3
5,1,0.8132,6.4400,11.67231,0.7406,3.8209,2
5,5,0.7891,6.5394,11.06769,0.7250,3.3247,1
0,0,0.0000,7.3352,2.01551,0.5232,1.6410,0
0,1,0.0000,7.5392,4.41538,0.4354,1.4144,0
0,2,0.0000,7.1249,14.84177,0.5915,2.0317,0
0,3,0.0000,6.8855,7.15545,0.6529,2.4381,0
0,4,0.0000,7.4292,3.23515,0.4759,1.4971,0
0,5,0.0000,7.2339,5.45327,0.5445,1.7067,0
0,6,0.0000,7.3748,3.20388,0.5039,1.5238,0
0,7,0.0000,7.2501,5.62406,0.5446,1.6732,0
0,8,0.0000,7.0674,4.43757,0.6038,2.0317,0
0,9,0.0000,7.0226,7.59844,0.6099,1.9692,0
0,10,0.0000,7.1571,12.77962,0.5833,1.9248,0
0,11,0.0000,7.1084,4.40333,0.5883,1.8963,0
1,1,0.0000,6.9557,5.35035,0.6355,2.2261,0
1,2,0.0000,6.9286,4.90911,0.6368,2.1513,0
1,3,0.0000,6.9104,4.17524,0.6362,2.1513,0
1,4,0.0000,7.0059,6.19154,0.6072,1.9692,0
1,5,0.0000,7.0552,4.14224,0.5955,1.8551,0
1,6,0.0000,6.9760,8.00159,0.6283,2.1513,0
1,7,0.0000,7.0160,4.04132,0.6084,2.0813,0
1,8,0.0000,7.2262,6.40245,0.5562,1.7297,0
1,10,0.0000,7.1029,4.57520,0.5765,1.8028,0
1,11,0.0000,6.9136,5.56722,0.6440,2.2456,0
2,0,0.0000,6.9380,6.66416,0.6303,2.1333,0
2,1,0.0000,7.2987,2.89837,0.5313,1.6306,0
2,2,0.0000,6.8185,5.97357,0.6509,2.2261,0
2,4,0.0000,7.1048,4.11945,0.5844,1.8551,0
2,5,0.0000,6.8657,7.74777,0.6478,2.3486,0
2,6,0.0000,6.7912,7.93700,0.6677,2.5347,0
2,7,0.0000,6.8749,10.31578,0.6556,2.3704,0
2,8,0.0000,6.6119,7.54670,0.6940,2.7234,0
2,9,0.0000,6.8113,5.18720,0.6434,2.2069,0
2,10,0.0000,6.9075,5.92083,0.6412,2.2456,0
2,11,0.0000,6.9425,8.94987,0.6384,2.2456,0
3,0,0.0000,6.7005,5.76327,0.6821,2.5347,0
3,1,0.0000,6.7198,7.57916,0.6814,2.6122,0
3,2,0.0000,6.5765,9.73770,0.7151,2.9767,0
3,3,0.0000,6.2418,10.76987,0.7680,4.0635,0
3,4,0.0000,7.1234,9.62163,0.5900,1.9845,0
3,5,0.0000,7.1270,3.90214,0.5773,1.8417,0
3,6,0.0000,5.7523,13.17377,0.8295,6.7368,0
3,7,0.0000,5.8506,12.48409,0.8209,5.9535,0
3,8,0.0000,6.5731,6.59303,0.6985,2.7527,0
3,9,0.0000,6.5060,8.66695,0.7232,3.1220,0
3,10,0.0000,6.6744,9.51710,0.6945,2.7234,0
3,11,0.0000,6.5774,9.95106,0.7121,2.9091,0
4,0,0.0000,6.4098,9.42194,0.7352,3.5068,0
4,1,0.0000,6.3648,9.59376,0.7413,3.6056,0
4,2,0.0000,6.7645,5.37986,0.6685,2.4381,0
4,3,0.0000,6.1582,9.94884,0.7719,4.4912,0
4,4,0.0000,6.3591,8.45414,0.7317,3.4133,0
4,5,0.0000,7.0937,4.16271,0.5945,1.9394,0
4,7,0.0000,6.6098,8.44623,0.6958,2.8132,0
4,8,0.0000,6.8294,5.47399,0.6517,2.2456,0
4,9,0.0000,5.7516,12.31687,0.8287,6.7368,0
4,10,0.0000,6.9280,4.52400,0.6199,2.0645,0
4,11,0.0000,6.4789,6.08670,0.7165,3.1605,0
5,0,0.0000,6.5216,9.53380,0.7241,3.2000,0
5,2,0.0000,6.8559,6.75518,0.6599,2.3925,0
5,4,0.0000,6.4973,14.80054,0.7332,3.6056,0
5,6,0.0000,6.5493,8.65968,0.7185,3.2405,0
5,7,0.0000,6.2140,17.19668,0.7775,4.9231,0
5,8,0.0000,6.9502,7.03951,0.6323,2.0984,0
5,9,0.0000,6.9595,5.21472,0.6294,2.1695,0
5,11,0.0000,6.3498,14.11370,0.7563,4.0635,0
