layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.807,1.0000,0.00007,0.00941,0.9744
0,0,0.20,43.538,0.9997,0.00081,0.03068,0.9231
0,0,0.30,38.238,0.9990,0.00255,0.05648,0.8462
0,0,0.40,35.682,0.9982,0.00443,0.07580,0.8462
0,0,0.50,32.908,0.9966,0.00815,0.10432,0.7582
0,1,0.10,49.794,0.9998,nan,0.03967,0.9231
0,1,0.20,43.574,0.9992,nan,0.08117,0.8141
0,1,0.30,39.358,0.9978,nan,0.13189,0.8278
0,1,0.40,35.794,0.9950,nan,0.19880,0.7399
0,1,0.50,33.510,0.9915,nan,0.25859,0.6899
0,2,0.10,62.351,1.0000,nan,0.00964,0.8535
0,2,0.20,52.352,0.9999,nan,0.03049,0.6703
0,2,0.30,47.154,0.9998,nan,0.05548,0.5641
0,2,0.40,41.851,0.9994,nan,0.10215,0.5897
0,2,0.50,34.822,0.9971,nan,0.22944,0.5247
0,3,0.10,62.809,1.0000,nan,0.00781,0.9744
0,3,0.20,54.667,1.0000,nan,0.01995,0.9744
0,3,0.30,49.268,0.9999,nan,0.03714,0.9487
0,3,0.40,43.260,0.9995,nan,0.07419,0.8791
0,3,0.50,37.354,0.9981,nan,0.14643,0.7839
0,4,0.10,55.622,0.9999,0.00043,0.02046,0.9487
0,4,0.20,48.304,0.9996,0.00187,0.04750,0.9231
0,4,0.30,44.170,0.9989,nan,0.07645,0.8397
0,4,0.40,40.082,0.9971,nan,0.12241,0.7701
0,4,0.50,36.643,0.9935,nan,0.18187,0.6493
0,5,0.10,56.687,1.0000,nan,0.01779,0.9744
0,5,0.20,47.497,0.9996,nan,0.05124,0.9304
0,5,0.30,42.654,0.9988,nan,0.08949,0.8608
0,5,0.40,39.846,0.9978,nan,0.12364,0.8095
0,5,0.50,36.217,0.9948,nan,0.18776,0.7518
0,6,0.10,55.771,1.0000,nan,0.01407,0.9744
0,6,0.20,45.327,0.9995,nan,0.04681,0.9744
0,6,0.30,41.351,0.9987,nan,0.07399,0.9487
0,6,0.40,36.935,0.9965,nan,0.12301,0.8974
0,6,0.50,33.602,0.9925,nan,0.18056,0.8462
0,7,0.10,55.840,1.0000,0.00064,0.01568,0.9487
0,7,0.20,42.166,0.9993,nan,0.07569,0.8791
0,7,0.30,36.707,0.9976,nan,0.14190,0.8095
0,7,0.40,34.069,0.9956,nan,0.19225,0.6822
0,7,0.50,30.846,0.9907,nan,0.27863,0.6703
0,8,0.10,62.501,1.0000,0.00022,0.00681,1.0000
0,8,0.20,51.961,0.9999,0.00148,0.02291,0.9744
0,8,0.30,45.338,0.9997,nan,0.04912,0.9744
0,8,0.40,41.348,0.9992,0.01143,0.07777,0.8974
0,8,0.50,36.691,0.9975,nan,0.13294,0.7582
0,9,0.10,57.980,1.0000,0.00089,0.01433,0.8718
0,9,0.20,47.548,0.9998,nan,0.04763,0.8608
0,9,0.30,42.222,0.9993,nan,0.08793,0.8352
0,9,0.40,37.973,0.9982,nan,0.14340,0.7399
0,9,0.50,34.257,0.9958,nan,0.21997,0.7143
0,10,0.10,60.526,1.0000,nan,0.01157,0.9304
0,10,0.20,51.844,0.9999,nan,0.03143,0.8352
0,10,0.30,45.425,0.9998,nan,0.06580,0.7582
0,10,0.40,39.047,0.9990,nan,0.13713,0.5989
0,10,0.50,32.168,0.9949,nan,0.30275,0.5293
0,11,0.10,60.498,1.0000,0.00042,0.01104,1.0000
0,11,0.20,50.146,0.9998,nan,0.03637,0.9744
0,11,0.30,45.275,0.9995,nan,0.06372,0.9231
0,11,0.40,41.629,0.9988,nan,0.09696,0.8718
0,11,0.50,38.623,0.9976,nan,0.13706,0.7582
1,0,0.10,63.664,1.0000,nan,0.00853,0.3767
1,0,0.20,51.934,1.0000,nan,0.03290,0.2912
1,0,0.30,44.764,0.9998,nan,0.07512,0.2347
1,0,0.40,40.922,0.9995,nan,0.11691,0.3049
1,0,0.50,32.807,0.9965,nan,0.29757,0.2821
1,1,0.10,58.544,1.0000,nan,0.01190,1.0000
1,1,0.20,49.513,0.9999,nan,0.03365,1.0000
1,1,0.30,43.499,0.9994,nan,0.06725,0.9744
1,1,0.40,39.672,0.9987,nan,0.10449,0.8718
1,1,0.50,37.073,0.9976,nan,0.14093,0.8718
1,2,0.10,63.106,1.0000,0.00013,0.00607,1.0000
1,2,0.20,54.808,1.0000,nan,0.01578,0.9744
1,2,0.30,47.967,0.9998,0.00417,0.03467,0.8278
1,2,0.40,43.605,0.9996,0.00991,0.05730,0.8095
1,2,0.50,40.738,0.9991,nan,0.07970,0.8352
1,3,0.10,58.651,1.0000,0.00049,0.01259,1.0000
1,3,0.20,51.349,0.9999,nan,0.02917,0.9304
1,3,0.30,46.719,0.9996,nan,0.04971,0.9304
1,3,0.40,42.708,0.9990,nan,0.07889,0.8864
1,3,0.50,39.403,0.9978,nan,0.11542,0.8095
1,4,0.10,60.670,1.0000,nan,0.01185,0.9304
1,4,0.20,52.960,0.9999,nan,0.02879,0.9304
1,4,0.30,48.403,0.9997,nan,0.04865,0.9048
1,4,0.40,43.437,0.9992,nan,0.08617,0.8535
1,4,0.50,39.066,0.9978,nan,0.14254,0.8095
1,5,0.10,53.520,1.0000,nan,0.01659,1.0000
1,5,0.20,44.830,0.9996,nan,0.04512,0.8974
1,5,0.30,41.033,0.9991,nan,0.06985,0.7949
1,5,0.40,37.547,0.9981,nan,0.10435,0.8022
1,5,0.50,35.125,0.9966,nan,0.13791,0.7070
1,6,0.10,54.293,1.0000,nan,0.01854,0.9744
1,6,0.20,46.008,0.9997,nan,0.04813,0.9487
1,6,0.30,40.762,0.9991,nan,0.08805,0.8974
1,6,0.40,37.402,0.9980,nan,0.12963,0.8462
1,6,0.50,34.367,0.9959,nan,0.18385,0.7509
1,7,0.10,63.703,1.0000,0.00018,0.00731,0.9744
1,7,0.20,52.198,0.9999,0.00125,0.02749,0.9744
1,7,0.30,45.976,0.9995,nan,0.05628,0.9487
1,7,0.40,42.235,0.9989,nan,0.08657,0.8791
1,7,0.50,39.392,0.9978,nan,0.12009,0.9231
1,8,0.10,57.713,1.0000,nan,0.01648,0.9304
1,8,0.20,49.827,0.9998,nan,0.04085,0.9231
1,8,0.30,43.976,0.9992,nan,0.08013,0.8791
1,8,0.40,39.717,0.9979,nan,0.13084,0.7912
1,8,0.50,35.970,0.9949,nan,0.20142,0.6960
1,9,0.10,59.671,1.0000,nan,0.01350,0.3852
1,9,0.20,50.094,0.9999,nan,0.04067,0.3031
1,9,0.30,44.281,0.9997,nan,0.07941,0.3382
1,9,0.40,40.775,0.9994,nan,0.11891,0.3916
1,9,0.50,32.257,0.9959,nan,0.31701,0.3736
1,10,0.10,58.672,1.0000,0.00030,0.01244,0.9231
1,10,0.20,51.310,0.9999,nan,0.02904,0.8974
1,10,0.30,44.985,0.9995,nan,0.06014,0.7949
1,10,0.40,40.738,0.9988,nan,0.09807,0.8205
1,10,0.50,37.901,0.9976,nan,0.13595,0.7766
1,11,0.10,66.376,1.0000,0.00034,0.00495,1.0000
1,11,0.20,55.880,1.0000,nan,0.01658,0.9744
1,11,0.30,50.010,0.9999,nan,0.03259,0.9231
1,11,0.40,45.529,0.9996,nan,0.05460,0.9048
1,11,0.50,41.187,0.9990,nan,0.09001,0.8608
2,0,0.10,67.360,1.0000,nan,0.00549,0.9744
2,0,0.20,55.594,1.0000,nan,0.02129,0.8791
2,0,0.30,50.090,0.9999,nan,0.04013,0.8462
2,0,0.40,46.423,0.9997,nan,0.06120,0.8022
2,0,0.50,42.844,0.9994,nan,0.09242,0.7143
2,1,0.10,62.103,1.0000,0.00010,0.00900,0.9744
2,1,0.20,52.693,0.9998,0.00087,0.02658,0.9487
2,1,0.30,47.509,0.9995,nan,0.04828,0.9231
2,1,0.40,43.695,0.9988,nan,0.07490,0.9487
2,1,0.50,40.235,0.9972,nan,0.11156,0.8397
2,2,0.10,65.926,1.0000,nan,0.00653,0.9423
2,2,0.20,57.626,1.0000,nan,0.01697,0.9423
2,2,0.30,51.661,0.9999,nan,0.03372,0.9167
2,2,0.40,46.238,0.9996,nan,0.06296,0.8141
2,2,0.50,41.862,0.9988,nan,0.10419,0.8397
2,3,0.10,73.724,1.0000,nan,0.00268,0.9167
2,3,0.20,64.702,1.0000,nan,0.00756,0.8397
2,3,0.30,59.025,1.0000,nan,0.01454,0.8278
2,3,0.40,54.449,1.0000,nan,0.02462,0.8022
2,3,0.50,49.412,0.9999,nan,0.04397,0.6310
2,4,0.10,64.352,1.0000,nan,0.00779,0.9744
2,4,0.20,56.017,0.9999,nan,0.02034,0.9304
2,4,0.30,50.367,0.9998,nan,0.03898,0.8718
2,4,0.40,45.297,0.9994,nan,0.06988,0.8462
2,4,0.50,42.120,0.9987,nan,0.10074,0.8535
2,5,0.10,63.797,1.0000,nan,0.00836,0.9167
2,5,0.20,55.984,1.0000,nan,0.02056,0.8910
2,5,0.30,50.027,0.9999,nan,0.04081,0.8910
2,5,0.40,44.341,0.9995,nan,0.07854,0.8397
