layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9249,7.1184,18.62314,0.5935,2.0317,1
1,9,0.9249,7.1293,18.34657,0.5902,2.0000,1
2,11,0.8560,6.9699,8.39708,0.6310,2.2069,2
3,2,0.8560,6.7298,8.50035,0.6786,2.5347,1
2,7,0.8215,6.8080,9.70691,0.6699,2.4854,1
3,11,0.8215,6.5730,9.68459,0.7114,2.9425,1
5,1,0.8175,6.7515,8.92391,0.6816,2.5859,2
5,3,0.8175,6.6732,8.70709,0.6955,2.8444,3
5,10,0.8114,6.6594,8.24666,0.6950,2.8132,2
3,9,0.7822,6.6217,7.37731,0.7037,2.8132,1
4,3,0.7822,6.6754,7.15778,0.6852,2.5859,1
5,2,0.7765,6.7785,5.53354,0.6681,2.5347,1
5,8,0.7765,6.9661,6.10544,0.6270,2.1333,1
5,0,0.7725,6.5999,8.34038,0.7096,3.0843,1
2,5,0.7546,6.7825,8.48555,0.6701,2.5347,1
0,0,0.0000,7.3197,2.21926,0.5278,1.6732,0
0,1,0.0000,7.4234,6.28545,0.4867,1.4971,0
0,2,0.0000,7.1043,13.34437,0.5980,2.0317,0
0,3,0.0000,6.8770,8.03232,0.6568,2.3925,0
0,4,0.0000,7.4222,3.16291,0.4803,1.5059,0
0,5,0.0000,7.2483,5.98856,0.5383,1.6623,0
0,6,0.0000,7.4466,2.84021,0.4797,1.4713,0
0,7,0.0000,7.3284,6.55786,0.5234,1.5706,0
0,8,0.0000,7.0451,5.68510,0.6045,1.9692,0
0,9,0.0000,7.1008,7.85088,0.5893,1.8551,0
0,10,0.0000,7.1460,13.29301,0.5856,1.9394,0
0,11,0.0000,7.0034,5.81458,0.6164,2.0317,0
1,1,0.0000,7.0408,5.62509,0.6103,2.0157,0
1,2,0.0000,6.6751,4.66173,0.6851,2.5859,0
1,3,0.0000,7.0922,3.69547,0.5851,1.8286,0
1,4,0.0000,7.0521,5.74053,0.6053,1.9542,0
1,5,0.0000,7.1659,3.59657,0.5652,1.7415,0
1,6,0.0000,7.2401,6.23255,0.5521,1.7297,0
1,7,0.0000,7.0462,4.11248,0.5881,1.8286,0
1,8,0.0000,7.3051,5.58734,0.5296,1.6516,0
1,10,0.0000,7.1680,5.14946,0.5682,1.8417,0
1,11,0.0000,6.8809,6.05606,0.6522,2.3925,0
2,0,0.0000,6.6039,8.80789,0.7052,3.0476,0
2,1,0.0000,7.2537,2.94779,0.5482,1.7655,0
2,2,0.0000,6.8265,5.52891,0.6532,2.2261,0
2,3,0.0000,6.0717,13.40346,0.7852,4.4912,0
2,4,0.0000,7.0735,4.56901,0.5983,1.9394,0
2,6,0.0000,6.6621,7.18184,0.6891,2.7527,0
2,8,0.0000,6.7281,6.31356,0.6719,2.5347,0
2,9,0.0000,6.7605,5.86306,0.6602,2.4381,0
2,10,0.0000,7.0397,5.48354,0.6025,1.9394,0
3,0,0.0000,6.9036,5.82664,0.6376,2.2069,0
3,1,0.0000,7.0067,7.32197,0.6186,2.0645,0
3,3,0.0000,6.4219,9.01879,0.7337,3.6056,0
3,4,0.0000,7.0335,10.51548,0.6170,2.0813,0
3,5,0.0000,7.1896,4.80070,0.5574,1.7655,0
3,6,0.0000,5.9357,12.80267,0.8033,5.3333,0
3,7,0.0000,5.8571,12.93234,0.8188,5.6889,0
3,8,0.0000,6.7250,6.82121,0.6714,2.4854,0
3,10,0.0000,7.0143,9.25203,0.6219,2.2261,0
4,0,0.0000,6.4642,9.76487,0.7233,3.3684,0
4,1,0.0000,6.7002,7.89924,0.6738,2.4854,0
4,2,0.0000,7.0282,4.52889,0.6094,2.0317,0
4,4,0.0000,6.3013,9.57817,0.7408,3.5556,0
4,5,0.0000,7.0141,5.11395,0.6125,1.9845,0
4,6,0.0000,5.9576,12.14959,0.8010,5.0196,0
4,7,0.0000,6.8072,7.78418,0.6606,2.4615,0
4,8,0.0000,7.0950,3.80338,0.5872,1.8551,0
4,9,0.0000,5.8638,12.34574,0.8088,6.2439,0
4,10,0.0000,7.1361,4.18955,0.5791,1.8551,0
4,11,0.0000,6.7730,3.76682,0.6682,2.6392,0
5,4,0.0000,6.5308,10.97802,0.7263,3.1605,0
5,5,0.0000,6.4408,10.12038,0.7395,4.0000,0
5,6,0.0000,6.2613,10.75777,0.7702,4.7407,0
5,7,0.0000,6.2025,15.61617,0.7785,5.3333,0
5,9,0.0000,6.8927,4.81772,0.6461,2.2857,0
5,11,0.0000,6.2609,13.76312,0.7706,4.8302,0
